title,price,currency,offer_type,property_type,city,neighborhood,description,contact_info,agency,agency_url,details_url,num_photos,date_added,site,floor,price_per_m2,ref_no,area
"Ателие/Таван, 99m²",180000,EUR,продажба,,жк. Овча Купел,София,Тухла,,,,https://homes.bg/offer/apartament-za-prodazhba/atelie/tavan-99m2-sofiya-zhk.-ovcha-kupel/as1545063,10.0,2024-12-29 17:26:19.194134,homes.bg,,"1,818 EUR/m²",1545063,
"Ателие/Таван, 151m²",188750,EUR,продажба,,жк. Овча Купел,София,Тухла,,,,https://homes.bg/offer/apartament-za-prodazhba/atelie/tavan-151m2-sofiya-zhk.-ovcha-kupel/as1545064,10.0,2024-12-29 17:26:19.194134,homes.bg,,"1,250 EUR/m²",1545064,
"Многостаен, 130m²",234000,EUR,продажба,,жк. Овча Купел,София,Тухла,,,,https://homes.bg/offer/apartament-za-prodazhba/mnogostaen-130m2-sofiya-zhk.-ovcha-kupel/as1545065,10.0,2024-12-29 17:26:19.194134,homes.bg,,"1,800 EUR/m²",1545065,
"Многостаен, 162m²",295500,EUR,продажба,,жк. Овча Купел,София,Тухла,,,,https://homes.bg/offer/apartament-za-prodazhba/mnogostaen-162m2-sofiya-zhk.-ovcha-kupel/as1545053,10.0,2024-12-29 17:26:19.194134,homes.bg,,"1,824 EUR/m²",1545053,
"Двустаен, 89m²",160200,EUR,продажба,,жк. Овча Купел,София,Тухла,,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-89m2-sofiya-zhk.-ovcha-kupel/as1545055,10.0,2024-12-29 17:26:19.194134,homes.bg,,"1,800 EUR/m²",1545055,
"Двустаен, 89m²",160200,EUR,продажба,,жк. Овча Купел,София,Тухла,,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-89m2-sofiya-zhk.-ovcha-kupel/as1545027,10.0,2024-12-29 17:26:19.194134,homes.bg,,"1,800 EUR/m²",1545027,
"Двустаен, 73m²",131400,EUR,продажба,,жк. Овча Купел,София,Тухла,,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-73m2-sofiya-zhk.-ovcha-kupel/as1545028,10.0,2024-12-29 17:26:19.194134,homes.bg,,"1,800 EUR/m²",1545028,
"Двустаен, 95m²",166400,EUR,продажба,,жк. Овча Купел,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-95m2-sofiya-zhk.-ovcha-kupel/as1594070,6.0,2024-12-29 17:26:19.194134,homes.bg,,"1,751 EUR/m²",1594070,
"Тристаен, 132m²",205530,EUR,продажба,тристаен,жк. Овча Купел,София,Тухла,,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-132m2-sofiya-zhk.-ovcha-kupel/as1602753,3.0,2024-12-29 17:26:19.194134,homes.bg,,"1,557 EUR/m²",1602753,
"Двустаен, 70m²",136000,EUR,продажба,,жк. Овча Купел,София,Тухла,,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-70m2-sofiya-zhk.-ovcha-kupel/as1577855,4.0,2024-12-29 17:26:19.194134,homes.bg,,"1,942 EUR/m²",1577855,
"Тристаен, 98m²",191600,EUR,продажба,тристаен,жк. Овча Купел,София,Тухла,,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-98m2-sofiya-zhk.-ovcha-kupel/as1577856,5.0,2024-12-29 17:26:19.194134,homes.bg,,"1,955 EUR/m²",1577856,
