price,title,listing_id,location,description,contact_info,agency_url,details_url,num_photos,reference_number,,url,photos,is_favorite,price_per_m2,floor,is_top_ad
269 000 EUR,Продава 2-СТАЕН,1b173393742263720,"град София, Докторски паметник","74 кв.м, 5-ти ет. от 7, ТЕЦ, Тухла 1955 г., Светъл непреходен 2-стен апартамент в най-престижния ройон на Столицата - Докротски паметник. В непо ..., тел.: 0898 57 48 91",0898 57 48 91,https://avgusta.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173393742263720&slink=bhcl5k&f1=1,14,,,,,,,,
269 000 EUR,Продава 2-СТАЕН,1b173393742263720,"град София, Докторски паметник","74 кв.м, 5-ти ет. от 7, ТЕЦ, Тухла 1955 г., Светъл непреходен 2-стен апартамент в най-престижния ройон на Столицата - Докротски паметник. В непо ..., тел.: 0898 57 48 91",0898 57 48 91,https://avgusta.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173393742263720&slink=bhcl5k&f1=1,14,,,,,,,,
310 000 EUR,Продава 2-СТАЕН,1b172129722757947,"град София, Докторски паметник","78 кв.м, 1-ви ет. от 5, ТЕЦ, Тухла 1965 г.,   Ексклузивен имот!   Ключ за огледи!  Продава  двустаен, тухлен апартамент, бул.,,Евлоги  Георгиев' ..., тел.: 0888426291",0888426291,https://pro_properties.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172129722757947&slink=bhcl5k&f1=1,13,,,,,,,,
144 999 EUR,Продава 2-СТАЕН,1b173461600031474,"град София, Оборище","62 кв.м, 2-ри ет. от 7, Тухла 1970 г., СРЕДЕН ЕТАЖ !!! ВЪТРЕШЕН !!! ТУХЛА !!!  Home2U представя на Вашето внимание двустайно жилище, на сре ..., тел.: 0875363330",0875363330,https://home2um.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173461600031474&slink=bhcl5k&f1=1,6,,,,,,,,
173 270 EUR,Продава 2-СТАЕН,1b169986791660024,"град София, Оборище","68 кв.м, 6-ти ет. от 7, Страхотна локация в район Оборище, на тихата и спокойна улица 'Майор Агов'. Парцелът граничи с болни ..., тел.: 0898525544",0898525544,,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b169986791660024&slink=bhcl5k&f1=1,10,,,,,,,,
145 837 EURЦената е без ДДС,Продава 2-СТАЕН,1b167993868590823,"град София, Оборище","67 кв.м, 5-ти ет. от 9, ТЕЦ, Тухла 2023 г., Директно от инвеститора!!!Без комисион! На Вашето внимание предлагаме новата ни многофункционална сг ..., тел.: 0888414711",0888414711,,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b167993868590823&slink=bhcl5k&f1=1,3,,,,,,,,
176 600 EUR,Продава 2-СТАЕН,1b172431754119519,"град София, Оборище","65 кв.м, 5-ти ет. от 14, Тухла 2026 г., БЕЗ КОМИСИОННА ОТ КУПУВАЧА ! ! !   Двустаен апартамент с обща площ от 65.18 кв.м. и застроена площ о ..., тел.: 088 21 21 488",088 21 21 488,https://imoteka.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172431754119519&slink=bhcl5k&f1=1,6,,,,,,,,
185 000 EUR,Продава 2-СТАЕН,1b173486650863812,"град София, Оборище","60 кв.м, 2-ри ет. от 5, Тухла 2007 г., Ключ в агенцията!Огледи възможни всеки ден! Агенция РЕстейт 1119 предлага за продажба двустаен апарт ..., тел.: 0898691119",0898691119,,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173486650863812&slink=bhcl5k&f1=1,12,,,,,,,,
185 000 EUR,Продава 2-СТАЕН,1b173481985512814,"град София, Оборище","60 кв.м, 2-ри ет. от 5, Тухла 2007 г., Ключ в агенцията!Огледи възможни всеки ден! Агенция РЕстейт 1119 предлага за продажба двустаен апарт ..., тел.: 0898691119",0898691119,,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173481985512814&slink=bhcl5k&f1=1,9,,,,,,,,
201 850 EUR,Продава 2-СТАЕН,1b172657455027082,"град София, Оборище","65 кв.м, 5-ти ет. от 14, ТЕЦ, Тухла 2024 г., Двустаен апартамент в новоизграждащ се затворен жилищен комплекс Teatralna Park Residence, с изключи ..., тел.: 0882919127",0882919127,https://adrielltd.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172657455027082&slink=bhcl5k&f1=1,9,,,,,,,,
195 428 EURЦената е без ДДС,Продава 2-СТАЕН,1b172967160686138,"град София, Оборище","64 кв.м, 12-ти ет. от 14, ТЕЦ, BULGARIA SOTHEBY’S INTERNATIONAL REALTY представя жилищен комплекс от затворен тип, хармонично ..., тел.: 02/9632460",02/9632460,https://bulgariasir.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172967160686138&slink=bhcl5k&f1=1,9,,,,,,,,
238 000 EUR,Продава 2-СТАЕН,1b172958943512985,"град София, Оборище","66 кв.м, 7-ми ет. от 8, ТЕЦ, Тухла 1992 г., Двустаен апартамент в Центъра на Столицата - ул.Оборище, състоящ се от хол, спалня, кухня, коридор,  ..., тел.: 088 21 21 450",088 21 21 450,https://address.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172958943512985&slink=bhcl5k&f1=1,8,,,,,,,,
400 377 EUR,Продава 3-СТАЕН,1c173382483370044,"град София, Докторски паметник","111 кв.м, 6-ти ет. от 7, ТЕЦ, Тухла 2026 г., LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме Ви тристаен апартамент за продажба в новострояща  ..., тел.: 0882817580",0882817580,https://luximmo.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c173382483370044&slink=bhcl5k&f1=1,6,,,,,,,,
445 000 EUR,Продава 3-СТАЕН,1c173442509776872,"град София, Докторски паметник","94 кв.м, бул. Янко Сакъзов, 1-ви ет. от 5, ТЕЦ, Тухла 1962 г., Представяме Ви прекрасен тристаен апартамент, находящ се в отлично поддържана тухлена кооперация в е ..., тел.: 0899995955",0899995955,,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c173442509776872&slink=bhcl5k&f1=1,17,,,,,,,,
445 000 EUR,Продава 3-СТАЕН,1c173441798011037,"град София, Докторски паметник","82 кв.м, 4-ти ет. от 4, ТЕЦ, Тухла 1935 г., Кантора Миленков има удоволствието да ви предложи този прекрасен имот на метри от Докторската градин ..., тел.: 0888787997",0888787997,,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c173441798011037&slink=bhcl5k&f1=1,16,,,,,,,,
225 000 EUR,Продава 3-СТАЕН,1c173281186432157,"град София, Оборище","80 кв.м, 3-ти ет. от 4, Тухла 1934 г., ЕКСКЛУЗИВНО! EРА ТЕРА предлага за продажба тристаен апартамент в кв. Оборище. Намира се на ул. Буная ..., тел.: 0883550506",0883550506,https://eraterabg.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c173281186432157&slink=bhcl5k&f1=1,12,,,,,,,,
272 800 EUR,Продава 3-СТАЕН,1c173453682864567,"град София, Оборище","124 кв.м, 3-ти ет. от 7, ТЕЦ, Тухла 2025 г., За повече информация обадете ни се на тел: 0882 817 499 или 02 425 68 61 и цитирайте референтния ном ..., тел.: 0882817499",0882817499,https://novostroitelstvo.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c173453682864567&slink=bhcl5k&f1=1,16,,,,,,,,
327 376 EUR,Продава 3-СТАЕН,1c173347922027716,"град София, Оборище","88 кв.м, 3-ти ет. от 7, ТЕЦ, Тухла 2026 г., LUXIMMO FINEST ESTATES: www.luximmo.bg Тристаен апартамент за продажба в новострояща се сграда на ул ..., тел.: 0882817580",0882817580,https://luximmo.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c173347922027716&slink=bhcl5k&f1=1,7,,,,,,,,
336 609 EUR,Продава 3-СТАЕН,1c173347921189106,"град София, Оборище","86 кв.м, 5-ти ет. от 7, ТЕЦ, Тухла 2026 г., LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме Ви тристаен апартамент за продажба в новострояща  ..., тел.: 0882817580",0882817580,https://luximmo.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c173347921189106&slink=bhcl5k&f1=1,6,,,,,,,,
