title,price,currency,offer_type,property_type,city,neighborhood,description,contact_info,agency,agency_url,details_url,num_photos,date_added,site,floor,price_per_m2,ref_no,area
"Двустаен, 81m²",249000,EUR,апартамент,двустаен,Оборище,София,"Тухла, Необзаведен, ТЕЦ",,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-81m2-sofiya-oborishte/as1536123,8,2025-01-10 14:53:07.633717,homes.bg,,"3,074 EUR/m²",1536123,
"Тристаен, 93m²",428000,EUR,апартамент,тристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-93m2-sofiya-oborishte/as1585653,10,2025-01-10 14:53:07.633717,homes.bg,,"4,602 EUR/m²",1585653,
"Четиристаен, 179m²",652575,EUR,апартамент,четиристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-179m2-sofiya-oborishte/as1568138,1,2025-01-10 14:53:07.633717,homes.bg,,"3,645 EUR/m²",1568138,
"Четиристаен, 171m²",542850,EUR,апартамент,четиристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-171m2-sofiya-oborishte/as1568140,1,2025-01-10 14:53:07.633717,homes.bg,,"3,174 EUR/m²",1568140,
"Четиристаен, 199m²",450450,EUR,апартамент,четиристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-199m2-sofiya-oborishte/as1568145,1,2025-01-10 14:53:07.633717,homes.bg,,"2,263 EUR/m²",1568145,
"Двустаен, 62m²",173250,EUR,апартамент,двустаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-62m2-sofiya-oborishte/as1568150,1,2025-01-10 14:53:07.633717,homes.bg,,"2,794 EUR/m²",1568150,
"Двустаен, 66m²",164450,EUR,апартамент,двустаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-66m2-sofiya-oborishte/as1567975,1,2025-01-10 14:53:07.633717,homes.bg,,"2,491 EUR/m²",1567975,
"Тристаен, 148m²",346500,EUR,апартамент,тристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-148m2-sofiya-oborishte/as1567981,1,2025-01-10 14:53:07.633717,homes.bg,,"2,341 EUR/m²",1567981,
"Четиристаен, 80m²",234900,EUR,апартамент,четиристаен,Оборище,София,Тухла,,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-80m2-sofiya-oborishte/as1506050,10,2025-01-10 14:53:07.633717,homes.bg,,"2,936 EUR/m²",1506050,
"Двустаен, 62m²",173250,EUR,апартамент,двустаен,Оборище,София,,,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-62m2-sofiya-oborishte/as1549893,4,2025-01-10 14:53:07.633717,homes.bg,,"2,794 EUR/m²",1549893,
"Двустаен, 68m²",258000,EUR,апартамент,двустаен,Оборище,София,"Тухла, ТЕЦ",,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-68m2-sofiya-oborishte/as1574847,6,2025-01-10 14:53:07.633717,homes.bg,,"3,794 EUR/m²",1574847,
"Четиристаен, 178m²",583275,EUR,апартамент,четиристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-178m2-sofiya-oborishte/as1568136,1,2025-01-10 14:53:07.633717,homes.bg,,"3,276 EUR/m²",1568136,
"Четиристаен, 207m²",490875,EUR,апартамент,четиристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-207m2-sofiya-oborishte/as1568143,1,2025-01-10 14:53:07.633717,homes.bg,,"2,371 EUR/m²",1568143,
"Четиристаен, 216m²",473550,EUR,апартамент,четиристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-216m2-sofiya-oborishte/as1568144,1,2025-01-10 14:53:07.633717,homes.bg,,"2,192 EUR/m²",1568144,
"Двустаен, 87m²",248325,EUR,апартамент,двустаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-87m2-sofiya-oborishte/as1568149,1,2025-01-10 14:53:07.633717,homes.bg,,"2,854 EUR/m²",1568149,
"Тристаен, 140m²",427350,EUR,апартамент,тристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-140m2-sofiya-oborishte/as1567976,1,2025-01-10 14:53:07.633717,homes.bg,,"3,052 EUR/m²",1567976,
"Двустаен, 86m²",249000,EUR,апартамент,двустаен,Оборище,София,"Тухла, ТЕЦ",,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-86m2-sofiya-oborishte/as1585654,10,2025-01-10 14:53:07.633717,homes.bg,,"2,895 EUR/m²",1585654,
"Тристаен, 104m²",282975,EUR,апартамент,тристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-104m2-sofiya-oborishte/as1567983,1,2025-01-10 14:53:07.633717,homes.bg,,"2,720 EUR/m²",1567983,
"Четиристаен, 185m²",612150,EUR,апартамент,четиристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-185m2-sofiya-oborishte/as1568139,1,2025-01-10 14:53:07.633717,homes.bg,,"3,308 EUR/m²",1568139,
"Четиристаен, 248m²",693000,EUR,апартамент,четиристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-248m2-sofiya-oborishte/as1568141,1,2025-01-10 14:53:07.633717,homes.bg,,"2,794 EUR/m²",1568141,
"Четиристаен, 176m²",392700,EUR,апартамент,четиристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-176m2-sofiya-oborishte/as1568146,1,2025-01-10 14:53:07.633717,homes.bg,,"2,231 EUR/m²",1568146,
"Двустаен, 65m²",179025,EUR,апартамент,двустаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-65m2-sofiya-oborishte/as1568147,1,2025-01-10 14:53:07.633717,homes.bg,,"2,754 EUR/m²",1568147,
"Двустаен, 87m²",242550,EUR,апартамент,двустаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-87m2-sofiya-oborishte/as1568148,1,2025-01-10 14:53:07.633717,homes.bg,,"2,787 EUR/m²",1568148,
"Двустаен, 61m²",179025,EUR,апартамент,двустаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/dvustaen-61m2-sofiya-oborishte/as1568151,1,2025-01-10 14:53:07.633717,homes.bg,,"2,934 EUR/m²",1568151,
"Тристаен, 145m²",404250,EUR,апартамент,тристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-145m2-sofiya-oborishte/as1567978,1,2025-01-10 14:53:07.633717,homes.bg,,"2,787 EUR/m²",1567978,
"Тристаен, 145m²",421575,EUR,апартамент,тристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-145m2-sofiya-oborishte/as1567979,1,2025-01-10 14:53:07.633717,homes.bg,,"2,907 EUR/m²",1567979,
"Тристаен, 144m²",340725,EUR,апартамент,тристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-144m2-sofiya-oborishte/as1567980,1,2025-01-10 14:53:07.633717,homes.bg,,"2,366 EUR/m²",1567980,
"Тристаен, 90m²",271425,EUR,апартамент,тристаен,Оборище,София,,,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-90m2-sofiya-oborishte/as1549277,4,2025-01-10 14:53:07.633717,homes.bg,,"3,015 EUR/m²",1549277,
"Четиристаен, 174m²",635250,EUR,апартамент,четиристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-174m2-sofiya-oborishte/as1568137,1,2025-01-10 14:53:07.633717,homes.bg,,"3,650 EUR/m²",1568137,
"Четиристаен, 190m²",398475,EUR,апартамент,четиристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/chetiristaen-190m2-sofiya-oborishte/as1568142,1,2025-01-10 14:53:07.633717,homes.bg,,"2,097 EUR/m²",1568142,
"Тристаен, 105m²",288750,EUR,апартамент,тристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-105m2-sofiya-oborishte/as1567982,1,2025-01-10 14:53:07.633717,homes.bg,,"2,750 EUR/m²",1567982,
"Тристаен, 173m²",542850,EUR,апартамент,тристаен,Оборище,София,"Тухла, Електричество",,,,https://homes.bg/offer/apartament-za-prodazhba/tristaen-173m2-sofiya-oborishte/as1567984,1,2025-01-10 14:53:07.633717,homes.bg,,"3,137 EUR/m²",1567984,
