title,price,currency,offer_type,property_type,city,neighborhood,description,contact_info,agency,agency_url,details_url,num_photos,date_added,site,floor,price_per_m2,ref_no,area
"продава Четиристаен апартамент, 86 м2",129000,EUR,продава,четиристаен,София,Оборище,"Имоти Премиер предлага на Вашето внимание имот със статут на апартамент в кв. Оборище.Намира се на полусутерен в тухлена сграда. Състои се от 4 помещения, два санитарни възела и има...",,Имоти Премиер,,https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/chetiristaen/5885595/?sid=h892j0&page=1,2.0,2025-01-02 16:36:34.249237,imoti.net,Етаж: 0 от 5,Цена на /м2/:1 500EUR,, 86 м2
"продава Двустаен апартамент, 64 м2",140976,EUR,продава,двустаен,София,Оборище,"Титан Пропъртис има удоволствието да Ви представи двустайно жилище, в новострояща се малка бутикова сграда в кв. Оборище.Местоположението е изключително благоприятно, в близост са...",,Титан Пропъртис,,https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/dvustaen/6010717/?sid=h892j0&page=1,10.0,2025-01-02 16:36:34.249747,imoti.net,Етаж: 2 от 6,Цена на /м2/:2 203EUR,, 64 м2
"продава Двустаен апартамент, 68 м2",143000,EUR,продава,двустаен,София,Хладилника,"Компания `ЕКС` представя на Вашето внимание двустаен апартамент в кв. Хладилника.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски транспорт, училища, магазини от всякакъв тип....",,ЕКС НВД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6003077/?sid=h892j0&page=1,1.0,2025-01-02 16:36:34.250209,imoti.net,Етаж: 2 от 8,Цена на /м2/:2 103EUR,, 68 м2
"продава Двустаен апартамент, 68 м2",143000,EUR,продава,двустаен,София,Хладилника,"Двустаен апартамент с площ от 68 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",,АДРЕС Недвижими имоти АД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004974/?sid=h892j0&page=1,4.0,2025-01-02 16:36:34.250668,imoti.net,Етаж: 2 от 18,Цена на /м2/:2 103EUR,, 68 м2
"продава Двустаен апартамент, 68 м2",144000,EUR,продава,двустаен,София,Хладилника,"Двустаен апартамент с площ от 68 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за хора,...",,АДРЕС Недвижими имоти АД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001714/?sid=h892j0&page=1,4.0,2025-01-02 16:36:34.251126,imoti.net,Етаж: 2 от 18,Цена на /м2/:2 118EUR,, 68 м2
"продава Двустаен апартамент, 68 м2",144000,EUR,продава,двустаен,София,Хладилника,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!Компания `ЕКС` представя на Вашето внимание двустаен апартамент в кв. Хладилника.МЕСТОПОЛОЖЕНИЕ: В близост до спирка на градски транспорт,...",,ЕКС НВД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6003114/?sid=h892j0&page=1,1.0,2025-01-02 16:36:34.251587,imoti.net,Етаж: 2 от 18,Цена на /м2/:2 118EUR,, 68 м2
"продава Двустаен апартамент, 68 м2",146000,EUR,продава,двустаен,София,Хладилника,"Двустаен апартамент с площ от 68 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",,АДРЕС Недвижими имоти АД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6004966/?sid=h892j0&page=1,4.0,2025-01-02 16:36:34.252096,imoti.net,Етаж: 3 от 8,Цена на /м2/:2 147EUR,, 68 м2
"продава Двустаен апартамент, 68 м2",147000,EUR,продава,двустаен,София,Хладилника,"Двустаен апартамент с площ от 68 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса .Този двустаен апартамент е чудесен избор за хора, които...",,АДРЕС Недвижими имоти АД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001711/?sid=h892j0&page=1,4.0,2025-01-02 16:36:34.252582,imoti.net,Етаж: 3 от 31,Цена на /м2/:2 162EUR,, 68 м2
"продава Тристаен апартамент, 69 м2",150000,EUR,продава,тристаен,София,Оборище,Представяме Ви етаж от къща в кв. Оборище!Имотът представлява жилище- втори жилищен етаж от къща с площ от 47 кв.м. разпределено както следва:- Антре- Кухня- Баня с...,,ANTRE,,https://www.imoti.net/bg/obiava/prodava/sofia/oborishte/tristaen/6006102/?sid=h892j0&page=1,11.0,2025-01-02 16:36:34.253045,imoti.net,Етаж: 3 от 3,Цена на /м2/:2 174EUR,, 69 м2
"продава Двустаен апартамент, 74 м2",155000,EUR,продава,двустаен,София,Хладилника,"Двустаен апартамент с площ от 74 кв.м. ,състоящ се от антре, голям хол с кухненски бокс, спалня,баня с тоалетна и тераса (тип лоджия).Този двустаен апартамент е чудесен избор за...",,АДРЕС Недвижими имоти АД,,https://www.imoti.net/bg/obiava/prodava/sofia/hladilnika/dvustaen/6001712/?sid=h892j0&page=1,4.0,2025-01-02 16:36:34.253497,imoti.net,Етаж: 2 от 26,Цена на /м2/:2 095EUR,, 74 м2
