id,type,url,time,location,title,description,status,photos,price_value,price_currency,price_per_square_meter,price_period,main_photo,is_favorite,offer_type,property_type,date_added,search_url,total_offers,location_id,neighborhoods,main_property_type
18975,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2195m2-sozopol-s.atiya/la18975,днес,"с.Атия, Созопол","Земеделска земя, 2195m²",Нива,1,"['https://homes.bg/2017-07-06_2/14594514', 'https://homes.bg/2017-07-06_2/14594515', 'https://homes.bg/2017-07-06_2/14594516', 'https://homes.bg/2017-07-06_2/14594519']",33000.0,EUR,15 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.631479,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
22713,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3841m2-burgas-severna-promishlena-zona/la22713,днес," Северна Промишлена Зона, Бургас","Земеделска земя, 3841m²","Категория 4, Нива",1,['https://homes.bg/2021-03-02_2/61081524'],115230.0,EUR,30 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.631534,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
21393,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-14136m2-kameno-s.krystina/la21393,днес,"с.Кръстина, Камено","Земеделска земя, 14136m²","Категория 4, Нива",1,"['https://homes.bg/2019-09-26_2/43014370', 'https://homes.bg/2019-09-26_2/43014371', 'https://homes.bg/2019-09-26_2/43014374', 'https://homes.bg/2019-09-26_2/43014377']",56000.0,EUR,3 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.631561,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
24308,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3124m2-slivnica-s.aldomirovci/la24308,днес,"с.Алдомировци, Сливница","Земеделска земя, 3124m²","Категория 4, Нива",1,['https://homes.bg/2022-12-10_2/92442923'],39900.0,EUR,12 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.631585,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
24288,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-34000m2-slivo-pole-s.slivo-pole/la24288,днес,"с.Сливо Поле, Сливо Поле","Земеделска земя, 34000m²","Категория 4, Нива",1,"['https://homes.bg/2022-12-05_2/92223331', 'https://homes.bg/2022-12-05_2/92223330', 'https://homes.bg/2022-12-05_2/92223333', 'https://homes.bg/2022-12-05_2/92223332']",156400.0,ЛЕВА,4 ЛЕВА/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.631605,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34473,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-996m2-blagoevgrad-s.dybrava/la34473,днес,"с.Дъбрава, Благоевград","Земеделска земя, 996m²","Категория 7, Нива",1,"['https://homes.bg/2024-09-24_1/111354549', 'https://homes.bg/2024-09-24_1/111354550']",21000.0,EUR,21 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.631623,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34465,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-1000m2-blagoevgrad-s.dybrava/la34465,днес,"с.Дъбрава, Благоевград","Земеделска земя, 1000m²","Категория 7, Нива",1,"['https://homes.bg/2024-09-18_2/111282422', 'https://homes.bg/2024-09-18_2/111282423', 'https://homes.bg/2024-09-19_2/111300350']",15000.0,EUR,15 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.631676,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34737,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3000m2-burgas-gr.pomorie/la34737,вчера,"гр.Поморие, Бургас","Земеделска земя, 3000m²","Категория 3, Нива",1,['https://homes.bg/2025-01-09_2/112627685'],81300.0,EUR,27 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.631701,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
34640,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2500m2-burgas-gr.pomorie/la34640,вчера,"гр.Поморие, Бургас","Земеделска земя, 2500m²","Категория 3, Нива",1,['https://homes.bg/2025-01-09_2/112627686'],28200.0,EUR,11 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.631715,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
33614,la,https://homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-5000m2-plovdiv-industrialna-zona---iztok/la33614,вчера," Индустриална зона - Изток, Пловдив","Земеделска земя, 5000m²","Категория 4, Нива",1,[],160000.0,EUR,32 EUR/m²,,,False,земеделска земя,PropertyType.UNKNOWN,2025-01-10 14:53:20.631727,https://www.homes.bg/api/offers??currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,2175,,[], продажба
