imotbg_title,imotbg_price,imotbg_listing_id,imotbg_location,imotbg_description,imotbg_contact_info,imotbg_agency_url,imotbg_details_url,imotbg_num_photos,imotbg_date_added,title,price,currency,offer_type,property_type,city,neighborhood,description,contact_info,agency_url,details_url,num_photos,date_added,site,floor,price_per_m2,ref_no
Продава 2-СТАЕН,258 000 EUR,1b161849537189258,"град София, Докторски паметник","74 кв.м, 1-ви ет. от 6, ТЕЦ, Тухла 1949 г., Отличен имот, подходящ за живеене, офис или инвестиция. Състои се от дневна стая, втора стая свързан ..., тел.: 0893444901",0893444901,https://maxm.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b161849537189258&slink=bi18s2&f1=1,11,2025-01-04 06:01:59.529149,Продава 2-СТАЕН,258000,EUR,Продава,PropertyType.DVUSTAEN,град София,Докторски паметник,"74 кв.м, 1-ви ет. от 6, ТЕЦ, Тухла 1949 г., Отличен имот, подходящ за живеене, офис или инвестиция. Състои се от дневна стая, втора стая свързан ..., тел.: 0893444901",0893444901,https://maxm.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b161849537189258&slink=bi18s2&f1=1,11,2025-01-04 06:01:59.529149,Site.IMOTBG,,,1b161849537189258
Продава 2-СТАЕН,258 000 EUR,1b161849537189258,"град София, Докторски паметник","74 кв.м, 1-ви ет. от 6, ТЕЦ, Тухла 1949 г., Отличен имот, подходящ за живеене, офис или инвестиция. Състои се от дневна стая, втора стая свързан ..., тел.: 0893444901",0893444901,https://maxm.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b161849537189258&slink=bi18s2&f1=1,11,2025-01-04 06:01:59.529858,Продава 2-СТАЕН,258000,EUR,Продава,PropertyType.DVUSTAEN,град София,Докторски паметник,"74 кв.м, 1-ви ет. от 6, ТЕЦ, Тухла 1949 г., Отличен имот, подходящ за живеене, офис или инвестиция. Състои се от дневна стая, втора стая свързан ..., тел.: 0893444901",0893444901,https://maxm.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b161849537189258&slink=bi18s2&f1=1,11,2025-01-04 06:01:59.529858,Site.IMOTBG,,,1b161849537189258
Продава 2-СТАЕН,245 000 EUR,1b172969562943579,"град София, Изток","72 кв.м, 1-ви ет. от 8, ТЕЦ, Тухла 2010 г., LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме просторен, обзаведен двустаен апартамент за прода ..., тел.: 0884604192",0884604192,https://luximmo.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172969562943579&slink=bi18s2&f1=1,11,2025-01-04 06:01:59.530161,Продава 2-СТАЕН,245000,EUR,Продава,PropertyType.DVUSTAEN,град София,Изток,"72 кв.м, 1-ви ет. от 8, ТЕЦ, Тухла 2010 г., LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме просторен, обзаведен двустаен апартамент за прода ..., тел.: 0884604192",0884604192,https://luximmo.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172969562943579&slink=bi18s2&f1=1,11,2025-01-04 06:01:59.530161,Site.IMOTBG,,,1b172969562943579
Продава 2-СТАЕН,144 999 EUR,1b173461600031474,"град София, Оборище","62 кв.м, 2-ри ет. от 7, Тухла 1970 г., СРЕДЕН ЕТАЖ !!! ВЪТРЕШЕН !!! ТУХЛА !!!  Home2U представя на Вашето внимание двустайно жилище, на сре ..., тел.: 0875363330",0875363330,https://home2um.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173461600031474&slink=bi18s2&f1=1,6,2025-01-04 06:01:59.530455,Продава 2-СТАЕН,144999,EUR,Продава,PropertyType.DVUSTAEN,град София,Оборище,"62 кв.м, 2-ри ет. от 7, Тухла 1970 г., СРЕДЕН ЕТАЖ !!! ВЪТРЕШЕН !!! ТУХЛА !!!  Home2U представя на Вашето внимание двустайно жилище, на сре ..., тел.: 0875363330",0875363330,https://home2um.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173461600031474&slink=bi18s2&f1=1,6,2025-01-04 06:01:59.530455,Site.IMOTBG,,,1b173461600031474
Продава 2-СТАЕН,184 999 EUR,1b173589523979019,"град София, Оборище","60 кв.м, 2-ри ет. от 5, Тухла 2007 г., Ключ в агенцията!Огледи възможни всеки ден! Агенция РЕстейт 1119 предлага за продажба двустаен апарт ..., тел.: 0898691119",0898691119,https://none/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173589523979019&slink=bi18s2&f1=1,,2025-01-04 06:01:59.530768,Продава 2-СТАЕН,184999,EUR,Продава,PropertyType.DVUSTAEN,град София,Оборище,"60 кв.м, 2-ри ет. от 5, Тухла 2007 г., Ключ в агенцията!Огледи възможни всеки ден! Агенция РЕстейт 1119 предлага за продажба двустаен апарт ..., тел.: 0898691119",0898691119,https://none/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173589523979019&slink=bi18s2&f1=1,,2025-01-04 06:01:59.530768,Site.IMOTBG,,,1b173589523979019
Продава 2-СТАЕН,184 999 EUR,1b173589508533972,"град София, Оборище","60 кв.м, 2-ри ет. от 5, Тухла 2007 г., Ключ в агенцията!Огледи възможни всеки ден! Агенция РЕстейт 1119 предлага за продажба двустаен апарт ..., тел.: 0898691119",0898691119,https://none/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173589508533972&slink=bi18s2&f1=1,,2025-01-04 06:01:59.531130,Продава 2-СТАЕН,184999,EUR,Продава,PropertyType.DVUSTAEN,град София,Оборище,"60 кв.м, 2-ри ет. от 5, Тухла 2007 г., Ключ в агенцията!Огледи възможни всеки ден! Агенция РЕстейт 1119 предлага за продажба двустаен апарт ..., тел.: 0898691119",0898691119,https://none/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173589508533972&slink=bi18s2&f1=1,,2025-01-04 06:01:59.531130,Site.IMOTBG,,,1b173589508533972
Продава 2-СТАЕН,185 000 EUR,1b173481985512814,"град София, Оборище","60 кв.м, 2-ри ет. от 5, Тухла 2007 г., Ключ в агенцията!Огледи възможни всеки ден! Агенция РЕстейт 1119 предлага за продажба двустаен апарт ..., тел.: 0898691119",0898691119,https://none/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173481985512814&slink=bi18s2&f1=1,12,2025-01-04 06:01:59.531446,Продава 2-СТАЕН,185000,EUR,Продава,PropertyType.DVUSTAEN,град София,Оборище,"60 кв.м, 2-ри ет. от 5, Тухла 2007 г., Ключ в агенцията!Огледи възможни всеки ден! Агенция РЕстейт 1119 предлага за продажба двустаен апарт ..., тел.: 0898691119",0898691119,https://none/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173481985512814&slink=bi18s2&f1=1,12,2025-01-04 06:01:59.531446,Site.IMOTBG,,,1b173481985512814
Продава 2-СТАЕН,185 000 EUR,1b173486650863812,"град София, Оборище","60 кв.м, 2-ри ет. от 5, Тухла 2007 г., Ключ в агенцията!Огледи възможни всеки ден! Агенция РЕстейт 1119 предлага за продажба двустаен апарт ..., тел.: 0898691119",0898691119,https://none/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173486650863812&slink=bi18s2&f1=1,12,2025-01-04 06:01:59.531768,Продава 2-СТАЕН,185000,EUR,Продава,PropertyType.DVUSTAEN,град София,Оборище,"60 кв.м, 2-ри ет. от 5, Тухла 2007 г., Ключ в агенцията!Огледи възможни всеки ден! Агенция РЕстейт 1119 предлага за продажба двустаен апарт ..., тел.: 0898691119",0898691119,https://none/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173486650863812&slink=bi18s2&f1=1,12,2025-01-04 06:01:59.531768,Site.IMOTBG,,,1b173486650863812
Продава 2-СТАЕН,205 000 EUR,1b172785950689638,"град София, Оборище","76 кв.м, 2-ри ет. от 5, ТЕЦ, Тухла 2004 г., Локация: на 6 мин. от Президентството, ул. Цар Симеон и ул. Будапеща, дневна с к. бокс и трапезария  ..., тел.: 0887921557",0887921557,https://none/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172785950689638&slink=bi18s2&f1=1,9,2025-01-04 06:01:59.532088,Продава 2-СТАЕН,205000,EUR,Продава,PropertyType.DVUSTAEN,град София,Оборище,"76 кв.м, 2-ри ет. от 5, ТЕЦ, Тухла 2004 г., Локация: на 6 мин. от Президентството, ул. Цар Симеон и ул. Будапеща, дневна с к. бокс и трапезария  ..., тел.: 0887921557",0887921557,https://none/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172785950689638&slink=bi18s2&f1=1,9,2025-01-04 06:01:59.532088,Site.IMOTBG,,,1b172785950689638
Продава 2-СТАЕН,211 488 EURЦената е без ДДС,1b166443216968170,"град София, Хладилника","78 кв.м, 3-ти ет. от 5, Тухла 2024 г., Продажби директно от инвеститора, без комисиона за купувача! С Акт 16! Представеният апартамент 14 в ..., тел.: 0882330022",0882330022,https://husestate.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166443216968170&slink=bi18s2&f1=1,16,2025-01-04 06:01:59.532414,Продава 2-СТАЕН,211488,EUR,Продава,PropertyType.DVUSTAEN,град София,Хладилника,"78 кв.м, 3-ти ет. от 5, Тухла 2024 г., Продажби директно от инвеститора, без комисиона за купувача! С Акт 16! Представеният апартамент 14 в ..., тел.: 0882330022",0882330022,https://husestate.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166443216968170&slink=bi18s2&f1=1,16,2025-01-04 06:01:59.532414,Site.IMOTBG,,,1b166443216968170
Продава 3-СТАЕН,400 377 EUR,1c173382483370044,"град София, Докторски паметник","111 кв.м, 6-ти ет. от 7, ТЕЦ, Тухла 2026 г., LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме Ви тристаен апартамент за продажба в новострояща  ..., тел.: 0882817580",0882817580,https://luximmo.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c173382483370044&slink=bi18s2&f1=1,6,2025-01-04 06:01:59.532747,Продава 3-СТАЕН,400377,EUR,Продава,PropertyType.TRISTAEN,град София,Докторски паметник,"111 кв.м, 6-ти ет. от 7, ТЕЦ, Тухла 2026 г., LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме Ви тристаен апартамент за продажба в новострояща  ..., тел.: 0882817580",0882817580,https://luximmo.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c173382483370044&slink=bi18s2&f1=1,6,2025-01-04 06:01:59.532747,Site.IMOTBG,,,1c173382483370044
Продава 3-СТАЕН,539 999 EUR,1c173191725317760,"град София, Докторски паметник","96 кв.м, 2-ри ет. от 4, ТЕЦ, Имаме удоволствието да Ви представим аристократичен тристаен апартамент, ситуиран в поддържана сград ..., тел.: 0878571581",0878571581,https://everdream_2023.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c173191725317760&slink=bi18s2&f1=1,11,2025-01-04 06:01:59.533036,Продава 3-СТАЕН,539999,EUR,Продава,PropertyType.TRISTAEN,град София,Докторски паметник,"96 кв.м, 2-ри ет. от 4, ТЕЦ, Имаме удоволствието да Ви представим аристократичен тристаен апартамент, ситуиран в поддържана сград ..., тел.: 0878571581",0878571581,https://everdream_2023.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c173191725317760&slink=bi18s2&f1=1,11,2025-01-04 06:01:59.533036,Site.IMOTBG,,,1c173191725317760
Продава 3-СТАЕН,Цена при запитване,1c161548430351810,"град София, Докторски паметник","150 кв.м, бул. Цар Освободител, 2-ри ет. от 5, ТЕЦ, Тухла 1950 г., Цена 1 250 000 евро. Изключително рядък за съвременните стандарти имот, следващ интериора на модерно ..., тел.: 0897944445",0897944445,https://partners.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c161548430351810&slink=bi18s2&f1=1,17,2025-01-04 06:01:59.533332,Продава 3-СТАЕН,,,Продава,PropertyType.TRISTAEN,град София,Докторски паметник,"150 кв.м, бул. Цар Освободител, 2-ри ет. от 5, ТЕЦ, Тухла 1950 г., Цена 1 250 000 евро. Изключително рядък за съвременните стандарти имот, следващ интериора на модерно ..., тел.: 0897944445",0897944445,https://partners.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c161548430351810&slink=bi18s2&f1=1,17,2025-01-04 06:01:59.533332,Site.IMOTBG,,,1c161548430351810
Продава 3-СТАЕН,395 000 EUR,1c171645227535234,"град София, Изток","107 кв.м, 2-ри ет. от 6, ТЕЦ, Тухла 2011 г., LUXIMMO FINEST ESTATES: www.luximmo.bg LUXIMMO представя ексклузивно на вашето внимание просторен и  ..., тел.: 0988170844",0988170844,https://luximmo.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171645227535234&slink=bi18s2&f1=1,4,2025-01-04 06:01:59.533619,Продава 3-СТАЕН,395000,EUR,Продава,PropertyType.TRISTAEN,град София,Изток,"107 кв.м, 2-ри ет. от 6, ТЕЦ, Тухла 2011 г., LUXIMMO FINEST ESTATES: www.luximmo.bg LUXIMMO представя ексклузивно на вашето внимание просторен и  ..., тел.: 0988170844",0988170844,https://luximmo.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171645227535234&slink=bi18s2&f1=1,4,2025-01-04 06:01:59.533619,Site.IMOTBG,,,1c171645227535234
