listing_id,price,title,location,description,contact_info,agency_url,details_url,num_photos,date_added,offer_type,search_url,total_offers
1s173865899262081,25 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Сатовча, област Благоевград","Нива, кат. 9, 14 дка, Продавам заедно следните земеделски земи: 1. НИВА С ПЛОЩ 8,091 ДКА  В М. КРЪСТ, ЗАСАДЕНА Е С ЛЕШНИКО ..., тел.: 0886666097",0886666097,https://arkel.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173865899262081&slink=bnp4dt&f1=1,5,2025-02-08 18:03:31.191724,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173865899262081,25 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Сатовча, област Благоевград","Нива, кат. 9, 14 дка, Продавам заедно следните земеделски земи: 1. НИВА С ПЛОЩ 8,091 ДКА  В М. КРЪСТ, ЗАСАДЕНА Е С ЛЕШНИКО ..., тел.: 0886666097",0886666097,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173865899262081&slink=bnp4dt&f1=1,5,2025-02-08 18:03:31.192478,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173018475720723,49 999 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Провадия, област Варна","Нива, кат. 5, с Аренден договор до 31.12.2025 г. и рента 2405 лв./год., 37 дка, село Кривня, ЧАСТНО ЛИЦЕ продава голям парцел 37 дка пета категория в землището на село Кривня, местността под ло ..., тел.: 0899855101",0899855101,https://ronibg.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173018475720723&slink=bnp4dt&f1=1,3,2025-02-08 18:03:31.192794,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s168251687656351,59 500 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Мийковци, област Велико Търново","Гори и храсти в земеделска земя, кат. 10, 53 дка, Продавам гора в замлището на с. Мийковци. Купувана е с инвестиционна цел, но ми предстои покупка на  ..., тел.: 0889384811",0889384811,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s168251687656351&slink=bnp4dt&f1=1,2,2025-02-08 18:03:31.193059,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173615184524937,12 500 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Добровница, област Пазарджик","Нива, кат. 4, 3 дка, Земеделска земя в землището на с. Добровница, обл. Пазарджик, с площ от 3 дка. категория 4. Разполож ..., тел.: 0888181889",0888181889,https://ignatovimoti.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173615184524937&slink=bnp4dt&f1=1,2,2025-02-08 18:03:31.193357,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173791469672874,100 000 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Пловдив, област Пловдив","Нива, кат. 4, 5 дка, Кв.Прослав, Собственик продава без комисиона.  Земеделска земя 5000кв.м. Гр.Пловдив, Кв.Прослав, Район Западен.  ..., тел.: 0888263881",0888263881,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173791469672874&slink=bnp4dt&f1=1,2,2025-02-08 18:03:31.193615,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173806618937781,300 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Дълбок извор, област Пловдив","Нива, кат. 4, с Аренден договор до 15.05.2025 г. и рента 6000 лв./год., 100 дка, Само за директни купувачи, тел.: 0885900042",0885900042,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173806618937781&slink=bnp4dt&f1=1,,2025-02-08 18:03:31.193939,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173102684767851,282 000 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Оризари, област Пловдив","Нива, кат. 3, 22 дка, Номер на оферта: 619913  Агенция за недвижими имоти 'Trivium Estate' продава земеделска земя с площ  ..., тел.: 0896878933",0896878933,https://trivium.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173102684767851&slink=bnp4dt&f1=1,3,2025-02-08 18:03:31.194233,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173495255104895,12 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Ботевград, област София","Нива, кат. 5, 3.359 дка, Поземлен имот 05815.41.56, област София, община Ботевград, гр. Ботевград, м. БЕНЧОВСКА КОРИЯ, вид со ..., тел.: 0882037532",0882037532,https://dca.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173495255104895&slink=bnp4dt&f1=1,4,2025-02-08 18:03:31.194495,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s152645458099839,27 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"град Враца, Хранително-вкусова зона","Пасище, мера, кат. 5, 3 дка, ЗЕМЕДЕЛСКА ЗЕМЯ - землище Враца, 3 дка, лице 36 м на Е79 Враца Монтана, до регулация, подходяща за п ..., тел.: 0888261981",0888261981,https://123.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s152645458099839&slink=bnp4dt&f1=1,2,2025-02-08 18:03:31.194766,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173557426495586,3 507 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Пиперица, област Благоевград","Лозе, кат. 9, 1.002 дка, Продавам Лозе - 1002 кв.метра - с.Пиперица, Обл. Благоевград,местност '' Дупката'' ,П.И-56352.21.4 . ..., тел.: 0876555421",0876555421,https://alfatrans.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173557426495586&slink=bnp4dt&f1=1,14,2025-02-08 18:03:31.195025,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173557275227159,7 560 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Пиперица, област Благоевград","Лозе, кат. 9, 2.16 дка, Продавам Лозе - 2160 кв.метра - с.Пиперица, Обл. Благоевград,местност '' Лунгурица'' ,П.И-56352.20.3 ..., тел.: 0876555421",0876555421,https://alfatrans.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173557275227159&slink=bnp4dt&f1=1,14,2025-02-08 18:03:31.195280,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173557028047153,2 900 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Яново, област Благоевград","Лозе, кат. 5, 1.16 дка, Продавам Лозе - 1160 кв.метра - с.Яново, Обл. Благоевград,местност '' Цвяткова горница'' ,П.И-87446. ..., тел.: 0876555421",0876555421,https://alfatrans.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173557028047153&slink=bnp4dt&f1=1,15,2025-02-08 18:03:31.195537,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173557130447405,5 070 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Яново, област Благоевград","Нива, кат. 7, 2.028 дка, Продавам Нива - 2028 кв.метра - с.Яново, Обл. Благоевград,местност '' Малечковица'' ,П.И-87446.125.1 ..., тел.: 0876555421",0876555421,https://alfatrans.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173557130447405&slink=bnp4dt&f1=1,11,2025-02-08 18:03:31.195805,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173265648412077,95 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Айтос, област Бургас","Нива, кат. 3, 32 дка, КАРА ПЕЛИТ, НА 100 метра от ШОСЕТО БУРГАС-АЙТОС, НА 1,5 км ОТ гр. АЙТОС, В МЕСТНОСТТА КАРА ПЕЛИТ, на 1 км от БИВ ..., тел.: 0888725771",0888725771,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173265648412077&slink=bnp4dt&f1=1,4,2025-02-08 18:03:31.196060,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173739365006966,15 000 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Бургас, област Бургас","Нива, кат. 8, 6 дка, м. Черно море, Продава парцел с правилна форма в непосредствена близост до вилно селище Солт Лейк., тел.: 0888297441",0888297441,https://bulgarovo.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173739365006966&slink=bnp4dt&f1=1,,2025-02-08 18:03:31.196368,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173714234802924,32 000 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Поморие, област Бургас","Нива, кат. 3, 6 дка, м. Кротиря, Земеделска земя в землището на Поморие БЕЗ КОМИСИОНА! ПРАВИЛНА,ПРАВОЪГЪЛНА ФОРМА! РАВЕН ТЕРЕН! ПАНОР ..., тел.: 0886088088",0886088088,https://petrakievi.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173714234802924&slink=bnp4dt&f1=1,4,2025-02-08 18:03:31.196623,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173808398750813,69 900 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Просеник, област Бургас","Нива, кат. 3, 6 дка, Земя до регулация в землището на село Просеник, Бургас БЕЗ КОМИСИОНА! ДО РЕГУЛАЦИЯ! В БЛИЗОСТ ДО ТОК ..., тел.: 0886088088",0886088088,https://petrakievi.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173808398750813&slink=bnp4dt&f1=1,5,2025-02-08 18:03:31.196891,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173711594819702,49 000 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Резово, област Бургас","Нива, кат. 5, 6 дка, резово, Агенция 'Доминита' предлага за продажба  земеделска земя, намираща се в непосредствена близост до по ..., тел.: 0888206647",0888206647,https://dominita1.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173711594819702&slink=bnp4dt&f1=1,15,2025-02-08 18:03:31.197146,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s168049204564173,33 000 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Бенковски, област Варна","Овощна градина, кат. 6, 13 дка, Varna Home предлага на Вашето внимание овощна сливова градина /сорт'Стенли'/ за продажба в землището ..., тел.: 0879424004",0879424004,https://varnahome.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s168049204564173&slink=bnp4dt&f1=1,6,2025-02-08 18:03:31.197402,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173884381619526,24 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Момчилград, област Кърджали","Нива, кат. 4, 3 дка, с. Сушево, Нивата се намира до с. Сушево. Ток и вода на 100м., тел.: 0879540448",0879540448,https://sharpmg.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173884381619526&slink=bnp4dt&f1=1,,2025-02-08 18:03:31.197674,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s162142678282599,140 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Николичевци, област Кюстендил","Овощна градина, кат. 5, 7.5 дка, Фирмата предлага ябълкова градина в село Николичевци, която е 7,500 кв.м.,сортовете ябълки са ФЛОРИН ..., тел.: 0878790095",0878790095,https://teskoeng.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s162142678282599&slink=bnp4dt&f1=1,11,2025-02-08 18:03:31.197942,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s171041160876769,58 500 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Смоляновци, област Монтана","Гори и храсти в земеделска земя, кат. 10, 230 дка, Продава се гора, като основната част от нея е в района на село Смоляновци. Изрядни документи. Един с ..., тел.: 0884301335",0884301335,https://vcsltd.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s171041160876769&slink=bnp4dt&f1=1,2,2025-02-08 18:03:31.198234,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s166747617189641,10 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Виноградец, област Пазарджик","Нива, кат. 6, 1 дка, местност БОСТАНАЛА, Агенция за недвижими имоти ДОМ-КО предлага за продажба земеделки имот с площ 939кв.м., с  12 л.м., л ..., тел.: 0878688860",0878688860,https://dom-ko.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s166747617189641&slink=bnp4dt&f1=1,,2025-02-08 18:03:31.198512,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s168934860560961,196 000 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Студена, област Перник","Ливада, кат. 3, 7 дка, РЕАЛНА ОФЕРТА!!! НА ВНИМАНИЕТО ВИ ПРЕДЛАГАМЕ ЗЕМЕДЕЛСКА ЗЕМЯ РАВНА 7000кв.м, В НЕПОСРЕДСТВЕНА БЛИЗОС ..., тел.: 0878414123",0878414123,https://elitkomers122.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s168934860560961&slink=bnp4dt&f1=1,,2025-02-08 18:03:31.198799,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173783116233909,155 000 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Асеновград, област Пловдив","Нива, кат. 7, 9 дка, Продаваме в гр.Асеновград, обл.Пловдив: Парцел, на асфалтов път, с лице 150 метра, вид територия Зем ..., тел.: 0878292959",0878292959,https://imot-ekspres99.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173783116233909&slink=bnp4dt&f1=1,17,2025-02-08 18:03:31.199056,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s172553972067353,24 900 лв.,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Карлово, област Пловдив","Нива, кат. 5, 16 дка, Агенция 'ИМОТ ИНВЕСТ', продава земеделска земя с площ  16 дка, находяща се в землището на град Карло ..., тел.: 0885111597",0885111597,https://imotikarlovo.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s172553972067353&slink=bnp4dt&f1=1,2,2025-02-08 18:03:31.199312,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173764352675038,231 600 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Пловдив, област Пловдив","Нива, кат. 4, 4.496 дка, ЗЕМЕДЕЛСКА ЗЕМЯ!!! В НЕПОСРЕДСТВЕНА БЛИЗОСТ ДО КЪЩИ!!! МЕСТНОСТ ТЕРЗИИТЕ!!!  Агенция Дрийм Хаус Ви п ..., тел.: 0897 644 447",0897 644 447,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173764352675038&slink=bnp4dt&f1=1,2,2025-02-08 18:03:31.199560,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s173764192699208,399 000 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Пловдив, област Пловдив","Нива, кат. 4, 6.458 дка, Терзиите, ЗЕМЕДЕЛСКА ЗЕМЯ!!! В НЕПОСРЕДСТВЕНА БЛИЗОСТ ДО КЪЩИ!!! МЕСТНОСТ ТЕРЗИИТЕ!!!  Агенция DreamHouse Real ..., тел.: 0897 644 447",0897 644 447,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173764192699208&slink=bnp4dt&f1=1,2,2025-02-08 18:03:31.199853,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s166847530880894,468 000 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"гр. Пловдив, област Пловдив","Нива, кат. 5, 12.423 дка, Северен промишлен район, Само от РИНГ ЕСТЕЙТ!  Продаваме 12.423 дка земеделска земя, непосредствено зад Безмитна зона и близо ..., тел.: 0888389546",0888389546,https://ringestate.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s166847530880894&slink=bnp4dt&f1=1,7,2025-02-08 18:03:31.200144,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
1s171130993149819,49 800 EUR,Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"с. Бенковски, област Пловдив","Нива, кат. 5, 16.6 дка, местност Гьолчетата, Продава се земеделска земя в землището на село Бенковски с площ 16600 кв.м. Не се дължи комисионна.  ..., тел.: 0899323837",0899323837,https://imotionline.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s171130993149819&slink=bnp4dt&f1=1,,2025-02-08 18:03:31.200429,Продава,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bnp4dt&f1=1,1025
