raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
Просторен 3-стаен апартамент в Каменица 2 - ул. „Лев Толстой“,"Агенция TRIVIUM ESTATE представя: 

🏡 Просторен 3-стаен саниран панелен апартамент в Каменица 2 - ул. „Лев Толстой“
Предлагамe голям и светъл апартамент в саниран панелен блок, разположен на 3-ти от 5 етажа в тих и предпочитан район на Пловдив. 🌇

✨ Характеристики: 
📏 Чиста площ: 88,42 кв.м
🛏️ 2 просторни спални
🛋️ Голям хол
🍽️ Отделна кухня
🛁 Баня с тоалетна
🚾 Отделен санитарен възел
🧭 Голям коридор
🌤️ 2 тераси с възможност за усвояване
🗄️ Мазе - 7,96 кв.м
🏢 Състояние и предимства: 
🧱 Санирана сграда
🧹 Добре поддържани общи части
📌 Отлично разпределение - подходящо както за ..",157000.0,EUR,False,,тристаен,Пловдив,Каменица 2,,,,https://www.alo.bg/prostoren-3-staen-apartament-v-kamenica-2-ul-lev-tolstoi-10726165,0,2026-01-24 18:37:22.135027,,alobg,0,,,,97 кв.м,3 етаж
Двустаен с двор / Бунарджика,"оф.24538

ИДЕАЛЕН ЗА AIRBNB! ТОП ЛОКАЦИЯ! ДВОР И ПРЕКРАСНА НЕСКРИВАЕМА ГЛЕДКА! Предлагаме Ви да закупите отличен двустаен апартамент, разположен на тиха и спокойна улица в чисто нова модерна сграда с акт 16 в района на Бунарджика. Имотът, който Ви предлагаме да закупите се състои от голям хол с кухненски бокс, просторна спалня, коридор, баня с тоалетна и прекрасна външна тераса 50кв.м. Жилището се продава на шпакловка и замазка, което Ви дава отличната възможност да го обзаведете по Ваш собствен вкус. Поради отличната си локация и специфика имота е отлична инвестиция с цел отдаване на нощувк..",137999.0,EUR,False,,двустаен,Пловдив,Център,,,,https://www.alo.bg/dvustaen-s-dvor-bunardjika-10709254,0,2026-01-24 18:37:22.140265,,alobg,0,,,,114 кв.м,1 етаж
3-стаен до Военна Болница,"оф.24915

ТОП ЛОКАЦИЯ! СРЕДЕН ЕТАЖ! ИЗТОЧНО ИЗЛОЖЕНИЕ! Предлагаме Ви да закупите чудесен тристаен апартамент със следното разпределение: Хол с кухненски бокс, две спални, баня с тоалетна, входно антре, две тераси, прилежащо избено и таванско помещение. Жилището се продава необзаведено и без съвременни подобрения което Ви позволява да го отремонтирате и обзаведете по Ваш собствен вкус. Намира се в близост до детски градини, училища, магазини и удобен градски транспорт. 

Авангард Риъл Естейт предлага Висока сигурност при покупка на имот и цялостно съдействие до финализиране на сделката пред..",112199.0,EUR,False,,тристаен,Пловдив,Център,,,,https://www.alo.bg/3-staen-do-voenna-bolnica-10841814,0,2026-01-24 18:37:22.145430,,alobg,0,,,,60 кв.м,2 етаж
Тристаен с Паркомясто Военна Болница,"оф.22583

ТОП ЛОКАЦИЯ! ПАРКОМЯСТО В ЦЕНАТА! САНИРАН! СРЕДЕН ЕТАЖ! Предлагаме Ви да закупите ЧУДЕСЕН ТРИСТАЕН АПАРТАМЕНТ, разположен в района на Военна болница. Имотът се състои от голям с кухня и трапезария, две просторни спални, баня с тоалетна, входно антре, тераса и прилежащи избено ( 13,40кв.м ) и таванско ( 21,48кв.м ) помещения. Жилището е без съвременни подобрения, което Ви позволява да го отремонтирате и обзаведете по Ваш собствен вкус. С локацията си в най - предпочитаният район за живеене в гр. Пловдив, имотът е чудесен избор за Вашият нов дом и отлична инвестиция с цел отдаване по..",168299.0,EUR,False,,тристаен,Пловдив,Център,,,,https://www.alo.bg/tristaen-s-parkomyasto-voenna-bolnica-10149007,0,2026-01-24 18:37:22.150609,,alobg,0,,,,120 кв.м,2 етаж
Изгоден тристаен с АКТ 16/ Съдийски,"оф.24884

АКТ 16!! ИЗГОДЕН!! ПРЕПОЧИТАНА ЛОКАЦИЯ!! СРЕДЕН ЕТАЖ!! Предлагаме Ви да закупите страхотен тристаен апартамент, състоящ се от просторен хол с кухненски бокс и трапезария, две големи спални, две бани с тоалетни, мокро помещение, две тераси и коридор. Жилището, което Ви предлагаме да закупите е на шпакловка и замазка, което Ви дава пълната възможност да го довършите по ваш собствен вкус. Намира се на спокойна, но и комуникативна локация, в близост до центъра на града, училища, детски градини, автобусни спирки, магазини и др. Има възможност за закупуването на подземни и надземни парко..",149487.0,EUR,False,,тристаен,Пловдив,Център,,,,https://www.alo.bg/izgoden-tristaen-s-akt-16-sadiiski-10823920,0,2026-01-24 18:37:22.155782,,alobg,0,,,,115 кв.м,4 етаж
Луксозен тристаен с акт 16/ Съдийски,"оф.24921

ИЗЦЯЛО ОБЗАВЕДЕН ПО ДИЗАЙНЕРСКИ ПРОЕКТ! АКТ 16! БЕЗ АНАЛОГ НА ПАЗАРА! ОБЗАВЕЖДАНЕ С НАЙ-ВИСОК КЛАС МЕБЕЛИ И ЕЛ. УРЕДИ! Предлагаме Ви да закупите страхотен тристаен апартамент без аналог на пазара, състоящ се от ПРОСТОРЕН ХОЛ С КУХНЕНСКИ БОКС И ТРАПЕЗАРИЯ, ДВЕ ГОЛЕМИ СПАЛНИ, БАНЯ С ТОАЛЕТНА, ОТДЕЛНА ТОАЛЕТНА, ПЕРАЛНО ПОМЕЩЕНИЕ, КОРИДОР И ДВЕ ТЕРАСИ. Жилището, което Ви предлагаме да закупите, ще бъде обзаведено по дизайнерски проект, с мебели и ел. уреди от най-висок клас, което ще Ви дава пълната възможност да се нанесете веднага. Имотът е перфектния избор, както за вашия нов и мечт..",244999.0,EUR,False,,тристаен,Пловдив,Център,,,,https://www.alo.bg/luksozen-tristaen-s-akt-16-sadiiski-10831537,0,2026-01-24 18:37:22.160987,,alobg,0,,,,115 кв.м,7 етаж
Просторен 3-стаен Монолит до Семинарията и Водната Палата,"ОФЕРТА - 8977
ЕКСКЛУЗИВНО от АРМАРА ЕСТЕЙТ! 

Предлагаме Ви Просторен 3-стаен в сърцето на Пловдив. Имотът е в масивна тухлена сграда от 1995 г. - типичното качествено „старо строителство“ с правилни форми на помещенията и реални, обширни площи. Поддържани общи части. Жилището предлага комфортна дневна зона разделена на 3 зони - хол, трапезария и кухненски кът, 2 отделни спални, 3 тераси за повече светлина и проветрение, баня с тоалетна, допълнителна тоалетна, перално, избено помещение от 4 м2 - идеална функционалност за семейство или инвестиция. 🧱✨

- 🏠 Вид имот: 3-стаен
- 📍 Локация: Пловдив,..",239999.0,EUR,False,,тристаен,Пловдив,Център,,,,https://www.alo.bg/prostoren-3-staen-monolit-do-seminariyata-i-vodnata-palata-10854735,0,2026-01-24 18:37:22.166240,,alobg,0,,,,105 кв.м,1 етаж
Срещу Младехки хълм,"НАМАЛЕНА ЦЕНА ДО КРАЯ НА ЯНУАРИ! Само за частни лица! Представяме на вашето внимание стилен двустаен апартамент, разположен в централната част на Пловдив, в квартал Център. Имотът е с обща площ от 112 кв.м и предлага съвременен комфорт, идеален за млади професионалисти или двойки. 

ЖИЛИЩЕ: 
- Апартаментът е напълно обзаведен и готов за нанасяне, с модерен интериор и уютна атмосфера. 
- Състои се от просторна дневна с обособен кухненски бокс, една спалня и баня с тоалетна. 
- Дневната е светла и приветлива, с излаз на тераса, която предлага прекрасна гледка и е идеална за отдих. 
- Имотъ..",215000.0,EUR,False,,двустаен,Пловдив,Център,,,,https://www.alo.bg/sreshtu-mladehki-halm-10820939,0,2026-01-24 18:37:22.171428,,alobg,0,,,,112 кв.м,5 етаж
Тристаен апартамент до у-ще Петър Берон и 2ро ДКЦ,"Оферта №620723
Агенция за недвижими имоти ”SEVEN HILLS REAL ESTATE Co” предлага на Вашето внимание тристаен обзаведен апартамент, намиращ се на 1 минута пешеходно разстояние от училище ”Петър Берон” и на метри от 2ро ДКЦ. 
Жилището е с обща площ от 106 кв.м., като към него има прилежащи таванско помещение от 8 кв.м., изба 6 кв.м., и партерна стая 10 кв.м., а квадратурата на апартамента е 79.32 кв.м. ЗАСТРОЕНА ПЛОЩ, без общи части и терасите. 
Продава се във видът от снимките, дограмата е сменана в целия апартамент, състои се от две спални, кухня, хол, както и отделни баня и тоалетна. 
Парк..",210000.0,EUR,False,,тристаен,Пловдив,Младежки хълм,,,,https://www.alo.bg/tristaen-apartament-do-u-shte-petar-beron-i-2ro-dkc-10859170,0,2026-01-24 18:37:22.176639,,alobg,0,,,,106 кв.м,3 етаж
ЕКСКЛУЗИВНО! Двустаен апартамент в кв. Каменица 2 - напълно обзаведен и готов за нанасяне,"🙏 С всяка сделка ние от Diamond Home помагаме! 💎
Даряваме процент от нашата комисионна на Фондация „Вярвай“ - организация, която подпомага хора, борещи се с рак. 
Вярваме, че заедно можем да направим нещо повече от просто бизнес - можем да дадем надежда. ❤️

🏡 ЕКСКЛУЗИВНО - Двстаен апартамент, кв. Каменица 2. 

💶 170 000 € | 📐 60 кв.м | 🏢 5/6 етаж | 🧭 Север

Разпределение: входно антре, дневна с кухненски бокс, спалня, баня с тоалетна, тераса. 

Предимства: напълно обзаведен, готов за живеене, отлично изложение, подходящ за лично ползване или инвестиция. 

📍 Локация: на крачки от М..",170000.0,EUR,False,,двустаен,Пловдив,Каменица 2,,,,https://www.alo.bg/ekskluzivno-dvustaen-apartament-v-kv-kamenica-2-napalno-obzaveden-i-gotov-za-nanasyane-10509595,0,2026-01-24 18:37:22.181825,,alobg,0,,,,60 кв.м,5 етаж
