raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
Прекрасен многостаен апартамент в София,"Собственик продава просторен многостаен апартамент 220,27 кв.м с панорамна гледка към. София, ул. „Околчица“ 4, ЖК „Редута Ин“

Продавам изключително просторен и светъл многостаен апартамент, разположен на 6-ти етаж (не последен), на едно ниво, в сграда с Акт 16 от 2008 г. и асансьор. 

Имот, създаден за комфортен живот на голямо семейство, с отлична функционалност и редки за София квадратури. 

Важно предимство: апартаментът е без никакви скосявания - всички помещения са с реално използваеми площи. Терасите са компактни и практични, без излишни „губещи“ квадратури. 
Жилището е обзаведе..",640000.0,EUR,False,,многостаен,София,Редута,,,,https://www.alo.bg/prekrasen-mnogostaen-apartament-v-sofiya-10850889,0,2026-01-24 18:22:35.383743,,alobg,0,,,,220 кв.м,6 етаж
"Южен двустаен апартамент с отделна кухня, в спокоен и зелен район","За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: STO-132154 

Представяме просторен, южен двустаен имот за продажба в спокоен и зелен район, на 10 мин пеша от парк ”Герена”. 

Имотът е разположен на 4-ти етаж от 6. Сградата е построена от Строителни войски за собствени нужди. Има асансьор, а входът се заключва. 

Жилището е с обща площ 74 кв.м, разпределени в: 
• антре, коридор; 
• просторен светъл хол; 
• голям остъклен балкон, който може да се ползва като обща част с хола; 
• кухня; 
• ..",175000.0,EUR,False,,двустаен,София,Сухата река,,,,https://www.alo.bg/yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-raion-10383253,0,2026-01-24 18:22:35.386922,,alobg,0,,,,74 кв.м,4 етаж
"Нов ексклузивен жилищен проект в София - Corner Park, кв. Сухата река","За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в alo.bg. 

Референтен номер: Sfa 87778
Отговорен брокер: Иван Каменов

Представяме в..",98538.0,EUR,False,,двустаен,София,Сухата река,,,,https://www.alo.bg/nov-ekskluziven-jilishten-proekt-v-sofiya-corner-park-kv-suhata-reka-10707720,0,2026-01-24 18:22:35.389483,,alobg,0,,,,44.79 кв.м,
Продава апартамент на бул. Прага,"ЕКСКЛУЗИВНО ПРЕДЛОЖЕНИЕ - Тристаен апартамент на бул. Прага, Център
Цена: 301 000 EUR
Площ: 70 кв.м | Етаж 4 | Монолитна тухлена сграда 
Представяме Ви изключително функционален тристаен апартамент..",301000.0,EUR,False,продава,тристаен,София,Медицинска академия,,,,https://www.alo.bg/prodava-apartament-na-bul-praga-10826211,0,2026-01-24 18:22:35.392106,,alobg,0,,,,70 кв.м,4 етаж
"До метростанция, Ул. ”Нишава”, Обзаведен непреходен 2-стаен след ремонт.","Продавам голям, непреходен, обзаведен двустаен апартамент в гр. София, кв. ’Белите брези’, ул. ’Нишава’. Комуникативно и същевременно тихо място. Близо до метростанция, до спирки на градски транспорт,..",238000.0,EUR,False,,двустаен,София,Белите Брези,,,,https://www.alo.bg/do-metrostanciya-ul-nishava-obzaveden-neprehoden-2-staen-sled-remont-10855629,0,2026-01-24 18:22:35.394577,,alobg,0,,,,71 кв.м,7 етаж
Двустаен апартамент с отделна кухня,Агенция за недвижими имоти ви представя за продажба двустаен непреходен апартамент с отделна кухня с 2 остъклени балкона в ж.к. Мусагеница. Жилището се намира в изцяло саниран блок по европейска прогр..,191000.0,EUR,False,,двустаен,София,Дървеница,,,,https://www.alo.bg/dvustaen-apartament-s-otdelna-kuhnya-10844493,0,2026-01-24 18:22:35.397194,,alobg,0,,,,71 кв.м,
Тристаен апартамент до хотел Плиска в ж.к. Изток,"Галерия Имоти ви предлага за продажба 3-стаен апартамент с отделна кухня до хотел Плиска в ж.к. Изток на Цариградско шосе. 

Апартаментът се намира в много добре поддържана тухлена сграда с асансьор..",399990.0,EUR,False,,тристаен,София,Изток,,,,https://www.alo.bg/tristaen-apartament-do-hotel-pliska-v-j-k-iztok-10738129,0,2026-01-24 18:22:35.399680,,alobg,0,,,,96 кв.м,5 етаж
Тристаен апартамент 91 кв.м ЕПК/ПК 1985 г. 14 етаж Непоследен,"Номер в агенцията - 54665. Агенция Абела предлага за продажба изключително просторен и светъл тристаен апартамент. Локацията е една от най-предпочитаните в района, непосредствено до метростанция Хаджи..",205000.0,EUR,False,,тристаен,София,Сухата река,,,,https://www.alo.bg/tristaen-apartament-91-kv-m-epk-pk-1985-g-14-etaj-neposleden-10742934,0,2026-01-24 18:22:35.402304,,alobg,0,,,,91 кв.м,14 етаж
Продавам прекрасен 4-стаен апартамент в нова сграда в кв. Бели брези,"Продавам прекрасен 4-стаен апартамент в нова сграда в кв. Бели брези, на ул. Хайдушка гора 35, разположен на пети жилищен етаж. Жилището включва антре с коридор, дневна с кухненски бокс, три спални, д..",249900.0,EUR,False,продава,многостаен,София,Белите Брези,,,,https://www.alo.bg/prodavam-prekrasen-4-staen-apartament-v-nova-sgrada-v-kv-beli-brezi-10842342,0,2026-01-24 18:22:35.404694,,alobg,0,,,,78 кв.м,5 етаж
"2-стаен, София, Борово, 106 кв.м., 270000 €","Просторен двустаен апартамент функционално преустроен на тристаен. 

Застроена площ - 106,14 кв.м. и мазе 6кв.м. Състои се от антре, дневна /светла площ 23кв.м./ с преход към кабинет /зимна градина ..",270000.0,EUR,False,,двустаен,София,Борово,,,,https://www.alo.bg/2-staen-sofiya-borovo-106-kv-m-270000-10867421,0,2026-01-24 18:22:35.407040,,alobg,0,,,,106 кв.м,2 етаж
