raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
"Продава 2-СТАЕН, гр. Пловдив, Отдих и култура",,101500.0,EUR,False,продава,двустаен,Пловдив,Отдих и култура,,,,https://bazar.bg/obiava-53205359/prodawa-2-staen-gr-plowdiw-otdih-i-kultura,0,2026-01-23 22:36:39.068648,,bazarbg,0,53205359,вчера,,,
"Продава 3-СТАЕН, гр. Пловдив, Център",,179999.0,EUR,False,продава,тристаен,Пловдив,Център,,,,https://bazar.bg/obiava-53199336/prodawa-3-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.068807,,bazarbg,0,53199336,вчера,,,
🏡 Луксозен апартамент с невероятна гледка до хотел ”Марица”,,300000.0,EUR,False,,,Пловдив,Център,,,,https://bazar.bg/obiava-53160394/luksozen-apartament-s-neweroiatna-gledka-do-hotel-maritsa,0,2026-01-23 22:36:39.068961,,bazarbg,0,53160394,вчера,,,
"Продава 3-СТАЕН, гр. Пловдив, Каменица 1",,219990.0,EUR,False,продава,тристаен,Пловдив,Каменица 1,,,,https://bazar.bg/obiava-53195787/prodawa-3-staen-gr-plowdiw-kamenitsa-1,0,2026-01-23 22:36:39.069132,,bazarbg,0,53195787,вчера,,,
"Продава 2-СТАЕН, гр. Пловдив, Младежки Хълм",,189100.0,EUR,False,продава,двустаен,Пловдив,Младежки Хълм,,,,https://bazar.bg/obiava-53160669/prodawa-2-staen-gr-plowdiw-mladezhki-halm,0,2026-01-23 22:36:39.069287,,bazarbg,0,53160669,вчера,,,
"Продава 2-СТАЕН, гр. Пловдив, Център",,112000.0,EUR,False,продава,двустаен,Пловдив,Център,,,,https://bazar.bg/obiava-50134961/prodawa-2-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.069445,,bazarbg,0,50134961,22 януари,,,
"Продава 3-СТАЕН, гр. Пловдив, Център",,168295.0,EUR,False,продава,тристаен,Пловдив,Център,,,,https://bazar.bg/obiava-49478309/prodawa-3-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.069598,,bazarbg,0,49478309,22 януари,,,
"Продава 3-СТАЕН, гр. Пловдив, Център",,112195.0,EUR,False,продава,тристаен,Пловдив,Център,,,,https://bazar.bg/obiava-53094573/prodawa-3-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.069751,,bazarbg,0,53094573,22 януари,,,
"Продава 2-СТАЕН, гр. Пловдив, Младежки Хълм",,96447.0,EUR,False,продава,двустаен,Пловдив,Младежки Хълм,,,,https://bazar.bg/obiava-50990092/prodawa-2-staen-gr-plowdiw-mladezhki-halm,0,2026-01-23 22:36:39.069903,,bazarbg,0,50990092,22 януари,,,
"Продава МНОГОСТАЕН, гр. Пловдив, Младежки Хълм",,199000.0,EUR,False,продава,многостаен,Пловдив,Младежки Хълм,,,,https://bazar.bg/obiava-52283161/prodawa-mnogostaen-gr-plowdiw-mladezhki-halm,0,2026-01-23 22:36:39.070070,,bazarbg,0,52283161,22 януари,,,
"Продава 3-СТАЕН, гр. Пловдив, Център",,168296.0,EUR,False,продава,тристаен,Пловдив,Център,,,,https://bazar.bg/obiava-51367629/prodawa-3-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.070223,,bazarbg,0,51367629,22 януари,,,
"Продава 3-СТАЕН, гр. Пловдив, Център",,112196.0,EUR,False,продава,тристаен,Пловдив,Център,,,,https://bazar.bg/obiava-53108145/prodawa-3-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.070377,,bazarbg,0,53108145,22 януари,,,
"Продава 2-СТАЕН, гр. Пловдив, Каменица 1",,180550.0,EUR,False,продава,двустаен,Пловдив,Каменица 1,,,,https://bazar.bg/obiava-52495679/prodawa-2-staen-gr-plowdiw-kamenitsa-1,0,2026-01-23 22:36:39.070529,,bazarbg,0,52495679,21 януари,,,
"Продава 4-СТАЕН, гр. Пловдив, Център",,360000.0,EUR,False,продава,четиристаен,Пловдив,Център,,,,https://bazar.bg/obiava-53071135/prodawa-4-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.070681,,bazarbg,0,53071135,21 януари,,,
"Продава 3-СТАЕН, гр. Пловдив, Център",,244990.0,EUR,False,продава,тристаен,Пловдив,Център,,,,https://bazar.bg/obiava-53085287/prodawa-3-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.070833,,bazarbg,0,53085287,21 януари,,,
"Продава 3-СТАЕН, гр. Пловдив, Младежки Хълм",,370000.0,EUR,False,продава,тристаен,Пловдив,Младежки Хълм,,,,https://bazar.bg/obiava-51906683/prodawa-3-staen-gr-plowdiw-mladezhki-halm,0,2026-01-23 22:36:39.070984,,bazarbg,0,51906683,21 януари,,,
"Продава 2-СТАЕН, гр. Пловдив, Център",,116000.0,EUR,False,продава,двустаен,Пловдив,Център,,,,https://bazar.bg/obiava-52667381/prodawa-2-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.071155,,bazarbg,0,52667381,21 януари,,,
"Продава 3-СТАЕН, гр. Пловдив, Младежки Хълм",,240000.0,EUR,False,продава,тристаен,Пловдив,Младежки Хълм,,,,https://bazar.bg/obiava-52096935/prodawa-3-staen-gr-plowdiw-mladezhki-halm,0,2026-01-23 22:36:39.071314,,bazarbg,0,52096935,21 януари,,,
"Продава 2-СТАЕН, гр. Пловдив, Младежки Хълм",,155000.0,EUR,False,продава,двустаен,Пловдив,Младежки Хълм,,,,https://bazar.bg/obiava-52885263/prodawa-2-staen-gr-plowdiw-mladezhki-halm,0,2026-01-23 22:36:39.071467,,bazarbg,0,52885263,21 януари,,,
"Продава 3-СТАЕН, гр. Пловдив, Мараша",,359000.0,EUR,False,продава,тристаен,Пловдив,Мараша,,,,https://bazar.bg/obiava-40888907/prodawa-3-staen-gr-plowdiw-marasha,0,2026-01-23 22:36:39.071620,,bazarbg,0,40888907,20 януари,,,
"Продава 2-СТАЕН, гр. Пловдив, Каменица 1",,153456.0,EUR,False,продава,двустаен,Пловдив,Каменица 1,,,,https://bazar.bg/obiava-52711143/prodawa-2-staen-gr-plowdiw-kamenitsa-1,0,2026-01-23 22:36:39.071773,,bazarbg,0,52711143,20 януари,,,
"Продава МЕЗОНЕТ, гр. Пловдив, Център",,244990.0,EUR,False,продава,мезонет,Пловдив,Център,,,,https://bazar.bg/obiava-51240010/prodawa-mezonet-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.071923,,bazarbg,0,51240010,20 януари,,,
"Продава 2-СТАЕН, гр. Пловдив, Център",,179999.0,EUR,False,продава,двустаен,Пловдив,Център,,,,https://bazar.bg/obiava-52834278/prodawa-2-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.072089,,bazarbg,0,52834278,19 януари,,,
"Продава 2-СТАЕН, гр. Пловдив, Център",,159599.0,EUR,False,продава,двустаен,Пловдив,Център,,,,https://bazar.bg/obiava-52494076/prodawa-2-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.072240,,bazarbg,0,52494076,19 януари,,,
"Продава 2-СТАЕН, гр. Пловдив, Младежки Хълм",,170000.0,EUR,False,продава,двустаен,Пловдив,Младежки Хълм,,,,https://bazar.bg/obiava-52457588/prodawa-2-staen-gr-plowdiw-mladezhki-halm,0,2026-01-23 22:36:39.072389,,bazarbg,0,52457588,19 януари,,,
"Продава 3-СТАЕН, гр. Пловдив, Център",,140000.0,EUR,False,продава,тристаен,Пловдив,Център,,,,https://bazar.bg/obiava-53082419/prodawa-3-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.072540,,bazarbg,0,53082419,19 януари,,,
"Продава 2-СТАЕН, гр. Пловдив, Център",,126900.0,EUR,False,продава,двустаен,Пловдив,Център,,,,https://bazar.bg/obiava-51592923/prodawa-2-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.072691,,bazarbg,0,51592923,19 януари,,,
"Продава 2-СТАЕН, гр. Пловдив, Център",,185000.0,EUR,False,продава,двустаен,Пловдив,Център,,,,https://bazar.bg/obiava-53148892/prodawa-2-staen-gr-plowdiw-tsentar,0,2026-01-23 22:36:39.072875,,bazarbg,0,53148892,19 януари,,,
