raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
Двустаен апартамент в модерен комплекс в кв. Остромила,"Представяме ви двустаен апартамент в модерен, нов комплекс в кв. Остромила – имот, който впечатлява с функционално разпределение, южно изложение и отлична среда за живот. Жилището е с площ от 62 кв.м, от които 53 кв.м чиста площ и 9 кв.м общи части, разположено на 3-ти етаж в",88500.0,EUR,False,,двустаен,Пловдив,"кв. ""Остромила""",,,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-88882-dvustaen-apartament-za-prodajba-v-plovdiv.html,0,2026-01-24 06:02:51.216253,,bulgarianproperties,0,,,,62.00,
Тристаен апартамент ново строителство с топ локация в кв. Христо Смирненски,"Предлагаме за продажба тристаен апартамент в новострояща се модерна сграда в един от най-предпочитаните райони на Пловдив – кв. Христо Смирненски. Имот с концепция, комфорт и изключително функционално разпределение, каквото рядко се среща на пазара.

Апартаментът е разположен",165000.0,EUR,False,,тристаен,Пловдив,"кв. ""Христо Смирненски""",,,,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-88671-tristaen-apartament-za-prodajba-v-plovdiv.html,0,2026-01-24 06:02:51.218430,,bulgarianproperties,0,,,,98.00,
Двустаен апартамент с Акт 16 и паркомясто в кв. Беломорски,"Двустаен апартамент с Акт 16, разположен в тихия и уютен квартал Беломорски, който граничи с Кючук Париж. Районът се характеризира с преобладаващо жилищно застрояване, спокойна атмосфера, много зелени площи, което го прави отличен избор за семейства и хора, търсещи баланс между",118000.0,EUR,False,,двустаен,Пловдив,"кв. ""Беломорски""",,,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89053-dvustaen-apartament-za-prodajba-v-plovdiv.html,0,2026-01-24 06:02:51.220610,,bulgarianproperties,0,,,,67.00,
Тристаен апартамент в нова сграда в кв. Кършияка,"Просторно жилище в нова сграда, висок клас строителство в кв. Кършияка, до бул. България, с удобен градски транспорт, детски градини, училища, 3 болници, аптеки, супермаркети и много други ежедневни удобства.

Имотът се намира на седми етаж с площ 124.84 кв.м.:
• преддверие
•",189882.0,EUR,False,,тристаен,Пловдив,"кв. ""Кършияка""",,,,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-87223-tristaen-apartament-za-prodajba-v-plovdiv.html,0,2026-01-24 06:02:51.222776,,bulgarianproperties,0,,,,103.35,
Етаж от къща с прекрасна гледка към Родопите в гр. Куклен,"Етаж от просторна къща намираща се в полите на Родопите на няколко минути от град Пловдив. Имотът е достъпен целогодишно и предлага невероятна тишина, спокойствие и уединение. Намира се в края на града и разкрива невероятна гледка към Родопите. Разположен е едва на 8 км от втория",170000.0,EUR,False,,,Близо до гр. Пловдив,,,,,https://www.bulgarianproperties.bg/imoti-etaji-ot-kashta/imot-85340-etaj-ot-kashta-za-prodajba-blizo-do-plovdiv.html,0,2026-01-24 06:02:51.225161,,bulgarianproperties,0,,,,145.00,
Просторен апартамент с голяма тераса и гледка към Пловдивските тепета,"Тристаен апартамент в нова сграда в кв. Остромила. Апартаментът е проектиран с изключително функционално разпределение, а просторът и възможността за преустройства го правят гъвкав и подходящ за семейства с различни нужди.

Имотът е с площ 115 кв. м. (96.60 кв. м. чиста площ),",115000.0,EUR,False,,,Пловдив,"кв. ""Остромила""",,,,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-88302-tristaen-apartament-za-prodajba-v-plovdiv.html,0,2026-01-24 06:02:51.227333,,bulgarianproperties,0,,,,115.00,
Модерен жилищен комплекс с Акт 16 до Парк-хотел „Санкт Петербург“,"Представяме на вашето внимание студиа, двустайни и тристайни апартаменти, магазини и паркоместа в модерна бутикова сграда, разположена до хотел „Санкт Петербург“, в кв. Кършияка. Комплексът се отличава с висок клас строителство, съвременен архитектурен дизайн, европейска визия,",224728.0,EUR,False,,,Пловдив,"кв. ""Кършияка""",,,,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-85748-apartamenti-za-prodajba-v-plovdiv.html,0,2026-01-24 06:02:51.229607,,bulgarianproperties,0,,,,156.58,
Обзаведен двустаен апартамент с голяма тераса в близост до Гребна база,"Напълно обзаведен двустаен апартамент, разположен в малка бутикова кооперация с модерна визия, на спокойно място в непосредствена близост до Гребна база, с лесен достъп както от бул. „6-ти септември“, така и от бул. „Пещерско шосе“. 

Апартаментът е с площ 61.00 м2 (чиста площ",123000.0,EUR,False,,двустаен,Пловдив,"кв. ""Христо Смирненски""",,,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-88491-dvustaen-apartament-za-prodajba-v-plovdiv.html,0,2026-01-24 06:02:51.231823,,bulgarianproperties,0,,,,61.00,
Обзаведен тристаен апартамент в кв. Кършияка,"Представяме на вашето внимание тристайно жилище в бутикова сграда (2010 година), ситуирана в тихия и престижен квартал Кършияка, с лесна връзка с центъра и главната улица на Пловдив, близо до детска ясла, детска градина, училище, супермаркети на всички вериги, парк-хотел Санкт",225000.0,EUR,False,,тристаен,Пловдив,"кв. ""Кършияка""",,,,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-87450-tristaen-apartament-za-prodajba-v-plovdiv.html,0,2026-01-24 06:02:51.233972,,bulgarianproperties,0,,,,83.75,
Южен апартамент в нова сграда с Акт 16,"Отлична инвестиция или бъдещ дом в модерен жилищен комплекс!

Представяме ви нов двустаен апартамент в модерна жилищна сграда с Акт 16. Разположен на среден етаж в 11-етажна сграда, имотът предлага функционално разпределение, южно изложение и отлична локация в близост до големи",106400.0,EUR,False,,,Пловдив,"кв. ""Южен""",,,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-86786-dvustaen-apartament-za-prodajba-v-plovdiv.html,0,2026-01-24 06:02:51.236199,,bulgarianproperties,0,,,,76.00,
