raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
Прекрасен напълно обзаведен мезонет в кв. Бъкстон,"Представяме ви изключителен напълно обзаведен мезонет под наем, разположен в предпочитания столичен квартал Бъкстон, който впечатлява с простор, функционално разпределение и впечатляващи панорамни гледки към Витоша и града. Имотът е с южно-северно изложение, което осигурява",1500.0,EUR,False,,мезонет,София,"кв. ""Бъкстон""",,,,https://www.bulgarianproperties.bg/imoti-mezoneti/imot-89171-mezonet-pod-naem-v-sofiya.html,0,2026-01-24 18:02:49.415184,,bulgarianproperties,0,,,,212.00,
Двустаен апартамент под наем в кв. Малинова долина,"Представяме ви чисто нов двустаен апартамент под наем, разположен в една от най-перспективните и предпочитани жилищни зони на София – кв. Малинова долина. Имотът е завършен през 2025 г., напълно обзаведен и готов за незабавно нанасяне, като в наемната цена е включен подземен",675.0,EUR,False,наем,двустаен,София,"кв. ""Малинова долина""",,,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89147-dvustaen-apartament-pod-naem-v-sofiya.html,0,2026-01-24 18:02:49.417455,,bulgarianproperties,0,,,,74.00,
Изцяло южен двустаен апартамент на ТОП локация в жк. Белите брези,"Предлагаме на вашето внимание светъл и топъл двустаен апартамент под наем, разположен в един от най-предпочитаните столични квартали – жк. Белите брези. Локацията е изключително удобна, с бърз достъп до основни булеварди, градски транспорт, търговски обекти и всички необходими",500.0,EUR,False,,двустаен,София,"кв. ""Белите брези""",,,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89113-dvustaen-apartament-pod-naem-v-sofiya.html,0,2026-01-24 18:02:49.419619,,bulgarianproperties,0,,,,69.00,
Напълно обзаведен апартамент под наем с три спални в ж.к. Красна поляна 2,"Предлагаме под наем напълно обзаведен апартамент с три спални, разположен в ж.к. Красна поляна 2. Жилището е в отлично състояние, топло и добре поддържано, подходящо за семейство или съквартиранти, търсещи удобство и практично разпределение. Имотът се намира на 2 етаж и е част от",750.0,EUR,False,наем,,София,"кв. ""Красна поляна 2""",,,,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89081-tristaen-apartament-pod-naem-v-sofiya.html,0,2026-01-24 18:02:49.421896,,bulgarianproperties,0,,,,80.00,
"Луксозен апартамент с гараж в кв. Лозенец – престижна локация, простор и безкомпромисен комфорт","Изключително просторен и светъл апартамент, разположен в кв. Лозенец, един от най-желаните райони на София. Кварталът е символ на престиж, зеленина и отлично качество на живот, предпочитан от семейства, търсещи спокойствие, сигурност и бърз достъп до центъра.

Лозенец съчетава",2400.0,EUR,False,,,София,"кв. ""Лозенец""",,,,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89035-tristaen-apartament-pod-naem-v-sofiya.html,0,2026-01-24 18:02:49.424061,,bulgarianproperties,0,,,,150.00,
Обзаведен апартамент с две спални на 650 м. от метростанция „Европейски съюз“,"Тристаен апартамент в кв. Лозенец на пешеходно разстояние от парк „Резиденция Лозенец“ и метростанция „Европейски съюз“. Жилището е разположено в поддържана сграда, заобиколена от перфектно поддържани междублокови пространства, множество места за отдих и разходка. Отлично",830.0,EUR,False,,,София,"кв. ""Лозенец""",,,,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-81870-tristaen-apartament-pod-naem-v-sofiya.html,0,2026-01-24 18:02:49.426155,,bulgarianproperties,0,,,,110.00,
Двустаен апартамент под наем на две нива в центъра на София,"Предлагаме под наем отличен двустаен апартамент на две нива, разположен в центъра на София близо до Лъвов мост. Локацията е изключително предпочитана заради бързия достъп до ключови административни, културни и търговски зони, както и до спирки на градски транспорт, метростанция,",700.0,EUR,False,наем,двустаен,София,"кв. ""Център""",,,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89045-dvustaen-apartament-pod-naem-v-sofiya.html,0,2026-01-24 18:02:49.428250,,bulgarianproperties,0,,,,75.00,
Обзаведен двустаен апартамент в центъра на София,"Предлагаме под наем напълно обзаведен и обезопасен двустаен апартамент, разположен на партерен етаж с директен вход от улицата, в централната част на София. Имотът е отлично решение за хора, които търсят комфортно градско жилище с бърз достъп до всички ключови точки на",750.0,EUR,False,,двустаен,София,"кв. ""Център""",,,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89047-dvustaen-apartament-pod-naem-v-sofiya.html,0,2026-01-24 18:02:49.430307,,bulgarianproperties,0,,,,70.00,
"Тристаен апартамент под наем в кв. Манастирски ливади, София","Предлагаме под наем просторен тристаен апартамент с площ от 90 кв.м, разположен в един от най-предпочитаните и комуникативни райони на София – кв. Манастирски ливади. Имотът се намира в добре поддържана сграда с асансьор и затворено дворно пространство с възможност за паркиране,",900.0,EUR,False,наем,тристаен,София,"кв. ""Манастирски ливади""",,,,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89050-tristaen-apartament-pod-naem-v-sofiya.html,0,2026-01-24 18:02:49.432372,,bulgarianproperties,0,,,,90.00,
Двустаен апартамент под наем в кв. Манастирски ливади,"Предлагаме двустаен апартамент под наем, разположен в предпочитания южен квартал Манастирски ливади. Районът се отличава с добра инфраструктура, бърз достъп до бул. „България“ и Околовръстен път, както и удобна близост до магазини, заведения, спортни центрове и спирки на градския",550.0,EUR,False,наем,двустаен,София,"кв. ""Манастирски ливади""",,,,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89017-dvustaen-apartament-pod-naem-v-sofiya.html,0,2026-01-24 18:02:49.434458,,bulgarianproperties,0,,,,76.00,
