raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
"Многостаен, 168m²","Тухла, Електричество",454000.0,EUR,False,наем,многостаен,София,жк. Хиподрума,,,,https://www.homes.bg/offer/apartament-za-prodazhba/mnogostaen-168m2-sofiya-zhk.-hipodruma/as1657419,10,,,homesbg,0,1657419,днес,,,
"Тристаен, 107m²","Тухла, Необзаведен, ТЕЦ",267500.0,EUR,False,наем,тристаен,София,жк. Хиподрума,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-107m2-sofiya-zhk.-hipodruma/as1640720,6,,,homesbg,0,1640720,вчера,,,
"Двустаен, 60m²","Тухла, ТЕЦ",239000.0,EUR,False,наем,двустаен,София,жк. Хиподрума,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-zhk.-hipodruma/as1638968,5,,,homesbg,0,1638968,,,,
"Многостаен, 168m²","Тухла, Обзаведен, ТЕЦ",429000.0,EUR,False,наем,многостаен,София,жк. Хиподрума,,,,https://www.homes.bg/offer/apartament-za-prodazhba/mnogostaen-168m2-sofiya-zhk.-hipodruma/as1658736,10,,,homesbg,0,1658736,,,,
"Двустаен, 60m²","Тухла, Полуобзаведен, ТЕЦ",239000.0,EUR,False,наем,двустаен,София,жк. Хиподрума,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-zhk.-hipodruma/as1620769,5,,,homesbg,0,1620769,,,,
"Тристаен, 160m²","Тухла, Обзаведен, ТЕЦ",320000.0,EUR,False,наем,тристаен,София,жк. Хиподрума,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-160m2-sofiya-zhk.-hipodruma/as1484933,10,,,homesbg,0,1484933,,,,
"Четиристаен, 165m²","Тухла, Обзаведен, ТЕЦ",420000.0,EUR,False,наем,четиристаен,София,жк. Хиподрума,,,,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-165m2-sofiya-zhk.-hipodruma/as1650683,10,,,homesbg,0,1650683,,,,
"Двустаен, 42m²","Тухла, Обзаведен",250000.0,EUR,False,наем,двустаен,София,жк. Хиподрума,,,,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-42m2-sofiya-zhk.-hipodruma/as1644890,10,,,homesbg,0,1644890,,,,
"Тристаен, 111m²",Тухла,380000.0,EUR,False,наем,тристаен,София,жк. Хиподрума,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-111m2-sofiya-zhk.-hipodruma/as1634778,1,,,homesbg,0,1634778,,,,
"Тристаен, 78m²","ЕПК, Необзаведен, ТЕЦ",195000.0,EUR,False,наем,тристаен,София,жк. Хиподрума,,,,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-78m2-sofiya-zhk.-hipodruma/as1602571,4,,,homesbg,0,1602571,,,,
