raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Пасище, мера, кат. 3, 630 дка, ПРОДАВА СЕ МАСИВ ОТ 630 ДКА ПАСИЩА и Бивша животновъдна ферма   на 60км от гр Варна   Предлагаме за  ..., тел.: 0888916439",35534786.0,EUR,False,продава,земя,Провадия,област Варна,0888916439,,https://temenuga.imot.bg,https://www.imot.bg/obiava-1s174842120585054-prodava-zemedelska-zemya-oblast-varna-gr-provadiya,,,,imotbg,0,,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 26.11.2026 г. и рента 80 €/год., 3800 дка, тел.: 0886646964",3420000.0,EUR,False,продава,земя,Дебелец,област Велико Търново,0886646964,,https://yana_invest.imot.bg,https://www.imot.bg/obiava-1s176730699513177-prodava-zemedelska-zemya-oblast-veliko-tarnovo-gr-debelets,,,,imotbg,0,,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 21 дка, Агенция Теменуга предлага за продажба нива 21,5дка, 3 категория в землището на с Попица община Бяла  ..., тел.: 0888916439",30200.0,EUR,False,продава,земя,Попица,област Враца,0888916439,,https://temenuga.imot.bg,https://www.imot.bg/obiava-1s176483656670183-prodava-zemedelska-zemya-oblast-vratsa-s-popitsa,,,,imotbg,0,,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 10.11.2025 г. и рента 51 €/год., 40 дка, Войниково, Адрес недвижими имоти- Добрич продава 40дк с изтичащ аренден договор в землището на с.Войниково Цена ..., тел.: 0888717813",6033244.0,EUR,False,продава,земя,Тервел,област Добрич,0888717813,,https://address_dobrich.imot.bg,https://www.imot.bg/obiava-1s175636549416627-prodava-zemedelska-zemya-oblast-dobrich-gr-tervel-voynikovo,,,,imotbg,0,,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 15 дка, Агенция TRIVIUM ESTATE представя:  За продажба земеделска земя с площ 15.750 дка, разположена на тре ..., тел.: 0896748861",260000.0,EUR,False,продава,земя,Пловдив,област Пловдив,0896748861,,https://trivium.imot.bg,https://www.imot.bg/obiava-1s176882482692772-prodava-zemedelska-zemya-oblast-plovdiv-gr-plovdiv,,,,imotbg,0,,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 2.789 дка, местност Шарпавица, Земеделска земя 2789 кв.м. , с идент.   06447.5.576 Нивата е близо до околовръстното шосе и прелеза  ..., тел.: 0895 703 643",58500.0,EUR,False,продава,земя,Брестник,област Пловдив,0895 703 643,,https://kepri.imot.bg,https://www.imot.bg/obiava-1s138541016122644-prodava-zemedelska-zemya-oblast-plovdiv-s-brestnik-mestnost-sharpavitsa,,,,imotbg,0,,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 4.5 дка, Кръговото за Пловдив, Продавам земя 4500кв.м. на втора линия преди с.Крумово  Продавам земя/поземлен имот с площ от 4500кв ..., тел.: 0892970864",104000.0,EUR,False,продава,земя,Куртово,област Пловдив,0892970864,,https://neumornata.imot.bg,https://www.imot.bg/obiava-1s176825963966493-prodava-zemedelska-zemya-oblast-plovdiv-s-kurtovo-kragovoto-za-plovdiv,9.0,,,imotbg,0,,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 20 дка, Горен Вакъв, Агенция  Панорама  представя на Вашето внимание изгоден парцел   нива в местността Горен Вакъв, с. Я ..., тел.: 0885668383",260000.0,EUR,False,продава,земя,Ягодово,област Пловдив,0885668383,,https://panorama.imot.bg,https://www.imot.bg/obiava-1s176693849299371-prodava-zemedelska-zemya-oblast-plovdiv-s-yagodovo-goren-vakav,,,,imotbg,0,,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Гори и храсти в земеделска земя, кат. 1, 197 дка, Гората се намира в село Видраре, община Правец. От общо 197 дка 147 дка са съседни и граничат с водн ..., тел.: 0888-966696",56145.0,EUR,False,продава,земя,Видраре,област София,0888-966696,,https://aristo.imot.bg,https://www.imot.bg/obiava-1s151284042727607-prodava-zemedelska-zemya-oblast-sofiya-s-vidrare,,,,imotbg,0,,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 7770 дка, Явлена продава нива от 7,770 дка трета категория находяща се в местността ' Чанлъка' в землището на  ..., тел.: 0886426180",144000.0,EUR,False,продава,земя,Стара Загора,Зора,0886426180,,https://yavlena_sz.imot.bg,https://www.imot.bg/obiava-1s156655360699782-prodava-zemedelska-zemya-grad-stara-zagora-zora,2.0,,,imotbg,0,,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 1, 2 дка, www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Агенция 'Уникални Имоти Банско' предлага за  ..., тел.: 0899564900",52500.0,EUR,False,продава,земя,Банско,област Благоевград,0899564900,,https://unikalniimoti.imot.bg,https://www.imot.bg/obiava-1s176278014476293-prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,2.0,,,imotbg,0,,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 2 дка, Сити пропъртис предлага за продажба земеделски имот попадащ в зона за преотреждане с площ от 1876 кв ..., тел.: 0896505565",46900.0,EUR,False,продава,земя,Благоевград,област Благоевград,0896505565,,https://cityproperties.imot.bg,https://www.imot.bg/obiava-1s163300812377315-prodava-zemedelska-zemya-oblast-blagoevgrad-gr-blagoevgrad,3.0,,,imotbg,0,,,,,
