raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
Продава  Земеделска земя,"Нива, кат. 9, , ЗЕМЕДЕЛСКА ЗЕМЯ - землище гр.Враца, м-ст Дърводелци, на изхода на Враца към София, до Околовръстен п ...",47992.0,EUR,False,продава,земя,град Враца,Промишлена зона - Изток,0888261981,,,https://www.imoti.com/obiava/19281582/prodava-zemedelska-zemya-grad-vratsa-promishlena-zona-iztok,1,2026-01-24 21:26:13.951349,,imoticom,384,19281582,11:27 01.01.2026,,,
Продава  Земеделска земя,"Нива, кат. 4, , Предлагаме за продажба земеделска земя в гр. Пазарджик в местност 'ТАТАР ЕКИН' зад Крез с площ 9,769 ...",97690.0,EUR,False,продава,земя,град Пазарджик,Запад,0888181889,,,https://www.imoti.com/obiava/48631714/prodava-zemedelska-zemya-grad-pazardzhik-zapad,1,2026-01-24 21:26:13.951862,,imoticom,384,48631714,13:10 26.07.2022,,,
Продава  Земеделска земя,"Нива, кат. 4, , Земеделска земя в гр. Пазарджик в близост до мост Атлантик с обща площ от 7,268 дка. подходяща за см ...",72680.0,EUR,False,продава,земя,град Пазарджик,Запад,0888181889,,,https://www.imoti.com/obiava/67761796/prodava-zemedelska-zemya-grad-pazardzhik-zapad,1,2026-01-24 21:26:13.952389,,imoticom,384,67761796,10:28 07.06.2022,,,
Продава  Земеделска земя,"Нива, кат. 4, , ПРОДАВА СЕ ИМОТ С ПЛОЩ ОТ 12500 КВ.М И ЛИЦЕ 70 МЕТРА НА ГЛАВЕН ПЪТ, С УДОБЕН ДОСТЪП ОТ И КЪМ ПЪТ Е80 ...",200000.0,EUR,False,продава,земя,град Пловдив,Индустриална зона - Изток,0898333919,,,https://www.imoti.com/obiava/96777517/prodava-zemedelska-zemya-grad-plovdiv-industrialna-zona-iztok,1,2026-01-24 21:26:13.952893,,imoticom,384,96777517,18:00 04.06.2019,,,
Продава  Земеделска земя,"Нива, кат. 4, с Аренден договор до 25.10.2019 г. и рента 60 лв./год., , Нива с лице на асфалтов път,близко до разклона за с.Червена вода,ток,вода,газ до нивата.",0.0,,False,продава,земя,град Русе,Дружба 3,082/82-84-86,,,https://www.imoti.com/obiava/58846591/prodava-zemedelska-zemya-grad-ruse-druzhba-3,1,2026-01-24 21:26:13.953393,,imoticom,384,58846591,13:11 28.11.2024,,,
Продава  Земеделска земя,"Нива, кат. 10, , ТЕЛ.:0879432468; 0301 69999/ПРЕДЛАГАМЕ ВИ ЗА ПРОДАЖБА НА ЖИВОПИСЕН ИМОТ ВЪВ ВИЛНАТА ЗОНА НА ГРАД СМО ...",29600.0,EUR,False,продава,земя,град Смолян,в.з. Смолян,0301/69999  0879/,,,https://www.imoti.com/obiava/69415588/prodava-zemedelska-zemya-grad-smolyan-v-z-smolyan,1,2026-01-24 21:26:13.953881,,imoticom,384,69415588,09:45 19.04.2019,,,
Продава  Земеделска земя,"Нива, кат. 5, , Прекрасен,слънчев имот, с невероятна гледка към Рила и Пирин.в местността 'Байова борика'землището н ...",25000.0,EUR,True,продава,земя,гр. Банско,област Благоевград,0895539823,,,https://www.imoti.com/obiava/89699421/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,1,2026-01-24 21:26:13.954446,,imoticom,384,89699421,14:33 16.01.2026,,,
Продава  Земеделска земя,"Нива, кат. 8, , www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Агенция 'Уникални Имоти Банско' предлага за  ...",35000.0,EUR,False,продава,земя,гр. Банско,област Благоевград,0899564900,,,https://www.imoti.com/obiava/98861259/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,1,2026-01-24 21:26:13.954953,,imoticom,384,98861259,15:51 28.06.2022,,,
Продава  Земеделска земя,,40000.0,EUR,False,продава,земя,гр. Банско,област Благоевград,0895670590,,,https://www.imoti.com/obiava/91448698/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,1,2026-01-24 21:26:13.955464,,imoticom,384,91448698,15:46 15.02.2020,,,
Продава  Земеделска земя,"Нива, кат. 8, , www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Предлага се за продажба земя с площ от 1,230 ...",79950.0,EUR,False,продава,земя,гр. Банско,област Благоевград,0899564900,,,https://www.imoti.com/obiava/58792903/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,1,2026-01-24 21:26:13.955972,,imoticom,384,58792903,15:03 10.03.2021,,,
Продава  Земеделска земя,"Нива, кат. 8, , www.unikalniimotibansko.com БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Предлага се за продажба земя с площ от 2,098 ...",136370.0,EUR,False,продава,земя,гр. Банско,област Благоевград,0899564900,,,https://www.imoti.com/obiava/60120567/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-bansko,1,2026-01-24 21:26:13.956498,,imoticom,384,60120567,14:55 10.03.2021,,,
Продава  Земеделска земя,,0.0,,False,продава,земя,гр. Белица,област Благоевград,0878670102,,,https://www.imoti.com/obiava/33349016/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-belitsa,1,2026-01-24 21:26:13.956984,,imoticom,384,33349016,10:30 28.12.2025,,,
Продава  Земеделска земя,,20500.0,EUR,False,продава,земя,гр. Благоевград,област Благоевград,0888 02 44 88,,,https://www.imoti.com/obiava/78873060/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-blagoevgrad,1,2026-01-24 21:26:13.957493,,imoticom,384,78873060,18:11 29.12.2025,,,
Продава  Земеделска земя,,26320.0,EUR,True,продава,земя,гр. Благоевград,област Благоевград,0899942911,,,https://www.imoti.com/obiava/88515467/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-blagoevgrad,1,2026-01-24 21:26:13.958043,,imoticom,384,88515467,10:23 11.07.2022,,,
Продава  Земеделска земя,"Нива, кат. 5, , ARRAY(0x805570468)",200.0,EUR,False,продава,земя,гр. Гоце Делчев,област Благоевград,0895953343,,,https://www.imoti.com/obiava/16640149/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-gotse-delchev,1,2026-01-24 21:26:13.958532,,imoticom,384,16640149,08:38 12.06.2024,,,
Продава  Земеделска земя,"Нива, кат. 4, , Атрактивен имот на главен път Гоце Делчев - Гърция.",360000.0,EUR,False,продава,земя,гр. Гоце Делчев,област Благоевград,0894766790,,,https://www.imoti.com/obiava/16337696/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-gotse-delchev,1,2026-01-24 21:26:13.959030,,imoticom,384,16337696,10:31 30.03.2023,,,
Продава  Земеделска земя,"Нива, кат. 6, , Земеделска земя, на 1ва линия по пътя Гоце Делчев - Драма, при с. Копривлен. 9.5дка. Има лице на два ...",330000.0,EUR,False,продава,земя,гр. Гоце Делчев,област Благоевград,0878783256,,,https://www.imoti.com/obiava/94312322/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-gotse-delchev,1,2026-01-24 21:26:13.959524,,imoticom,384,94312322,13:52 21.07.2023,,,
Продава  Земеделска земя,,200000.0,EUR,False,продава,земя,гр. Кресна,област Благоевград,0878703816,,,https://www.imoti.com/obiava/99777254/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-kresna,1,2026-01-24 21:26:13.960025,,imoticom,384,99777254,15:40 15.11.2024,,,
Продава  Земеделска земя,,2499.0,EUR,False,продава,земя,гр. Петрич,област Благоевград,0892974844,,,https://www.imoti.com/obiava/88719339/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-petrich,1,2026-01-24 21:26:13.960529,,imoticom,384,88719339,13:17 29.09.2025,,,
Продава  Земеделска земя,"Нива, кат. 5, , Имот с площ от 18 декара в местността 'Гробо', землище на Разлог. Имотът е атрактивен и е подходящ з ...",40000.0,EUR,False,продава,земя,гр. Разлог,област Благоевград,0895670590,,,https://www.imoti.com/obiava/68715163/prodava-zemedelska-zemya-oblast-blagoevgrad-gr-razlog,1,2026-01-24 21:26:13.961027,,imoticom,384,68715163,18:02 25.01.2020,,,
Продава  Земеделска земя,,111111.0,EUR,False,продава,земя,с. Баня,област Благоевград,0888770170,,,https://www.imoti.com/obiava/66476702/prodava-zemedelska-zemya-oblast-blagoevgrad-s-banya,1,2026-01-24 21:26:16.017034,,imoticom,384,66476702,08:59 04.03.2023,,,
Продава  Земеделска земя,,2499.0,EUR,False,продава,земя,с. Беласица,област Благоевград,0892974844,,,https://www.imoti.com/obiava/20786653/prodava-zemedelska-zemya-oblast-blagoevgrad-s-belasitsa,1,2026-01-24 21:26:16.017576,,imoticom,384,20786653,13:10 29.09.2025,,,
Продава  Земеделска земя,"Нива, кат. 5, , Нива с площ от 13,5 декара в землището на село Дебрен, община Гърмен.
Нивата е поливна, 5-та категор ...",65000.0,EUR,False,продава,земя,с. Гърмен,област Благоевград,0895670590,,,https://www.imoti.com/obiava/41513664/prodava-zemedelska-zemya-oblast-blagoevgrad-s-garmen,1,2026-01-24 21:26:16.018128,,imoticom,384,41513664,14:41 20.01.2023,,,
Продава  Земеделска земя,"Нива, кат. 5, , Продават се 11 земеделски имота с обща площ oт 17,717 декара в землището на с.Крушево, общ. Гърмен.  ...",0.0,,False,продава,земя,с. Гърмен,област Благоевград,0895670590,,,https://www.imoti.com/obiava/61398516/prodava-zemedelska-zemya-oblast-blagoevgrad-s-garmen,1,2026-01-24 21:26:16.018632,,imoticom,384,61398516,10:51 19.12.2024,,,
Продава  Земеделска земя,"Нива, кат. 8, , Земеделски имот с площ от 99 декара в землището село Дъбница. Масивът граничи с регулация на селото. ...",300000.0,EUR,False,продава,земя,с. Дъбница,област Благоевград,0895670590,,,https://www.imoti.com/obiava/47362069/prodava-zemedelska-zemya-oblast-blagoevgrad-s-dabnitsa,1,2026-01-24 21:26:16.019163,,imoticom,384,47362069,15:45 06.02.2023,,,
Продава  Земеделска земя,"Нива, кат. 5, , Петнадесет ниви в землище на село Илинден с обща площ от 25 декара. Не всички ниви са непосредствено ...",11250.0,EUR,False,продава,земя,с. Илинден,област Благоевград,0895670590,,,https://www.imoti.com/obiava/97009907/prodava-zemedelska-zemya-oblast-blagoevgrad-s-ilinden,1,2026-01-24 21:26:16.019670,,imoticom,384,97009907,17:24 28.07.2022,,,
Продава  Земеделска земя,,4000.0,EUR,True,продава,земя,с. Ласкарево,област Благоевград,0888 02 44 88,,,https://www.imoti.com/obiava/19985195/prodava-zemedelska-zemya-oblast-blagoevgrad-s-laskarevo,1,2026-01-24 21:26:16.020260,,imoticom,384,19985195,18:11 29.12.2025,,,
Продава  Земеделска земя,,6000.0,EUR,True,продава,земя,с. Ласкарево,област Благоевград,0888 02 44 88,,,https://www.imoti.com/obiava/84345878/prodava-zemedelska-zemya-oblast-blagoevgrad-s-laskarevo,1,2026-01-24 21:26:16.020812,,imoticom,384,84345878,18:10 29.12.2025,,,
Продава  Земеделска земя,"Нива, кат. 6, , Ниви в землище на село Огняново, община Гърмен:
- 0,810 дка. в местността 'Падинето';
- 1 дка. в мес ...",0.0,,False,продава,земя,с. Огняново,област Благоевград,0895670590,,,https://www.imoti.com/obiava/78378428/prodava-zemedelska-zemya-oblast-blagoevgrad-s-ognyanovo,1,2026-01-24 21:26:16.021325,,imoticom,384,78378428,11:38 28.08.2018,,,
Продава  Земеделска земя,"Нива, кат. 7, с Аренден договор до 31.08.2014 г. и рента 300 лв./год., , Земеделска земя в гр. Ахтопол намираща се 2 километра преди река Велека в дясно.",83004.0,EUR,False,продава,земя,гр. Ахтопол,област Бургас,0888181889,,,https://www.imoti.com/obiava/95753689/prodava-zemedelska-zemya-oblast-burgas-gr-ahtopol,1,2026-01-24 21:26:16.021832,,imoticom,384,95753689,11:58 08.04.2021,,,
Продава  Земеделска земя,"Нива, кат. 4, , Имоти Янев продава имот със статут на  нива , на първа линия море в землището на град Ахтопол. Имотъ ...",108000000.0,EUR,False,продава,земя,гр. Ахтопол,област Бургас,0888310436,,,https://www.imoti.com/obiava/38070648/prodava-zemedelska-zemya-oblast-burgas-gr-ahtopol,1,2026-01-24 21:26:16.022353,,imoticom,384,38070648,14:33 27.06.2025,,,
Продава  Земеделска земя,"Нива, кат. 3, , Продава парцел за ранчо или строителство на къщи на 500м. от в.з.Мин.Бани. С плодородна земя(3кат.)  ...",123000.0,EUR,False,продава,земя,гр. Бургас,област Бургас,0889891223,,,https://www.imoti.com/obiava/84206771/prodava-zemedelska-zemya-oblast-burgas-gr-burgas,1,2026-01-24 21:26:16.022855,,imoticom,384,84206771,09:47 06.11.2024,,,
Продава  Земеделска земя,"Нива, кат. 3, , Предлагаме за продажба имот в землището на кв. Сарафово, м. Соката, с правилна форма и с лице на асф ...",160720.0,EUR,False,продава,земя,гр. Бургас,област Бургас,0899370285,,,https://www.imoti.com/obiava/99739419/prodava-zemedelska-zemya-oblast-burgas-gr-burgas,1,2026-01-24 21:26:16.023382,,imoticom,384,99739419,14:28 17.03.2023,,,
Продава  Земеделска земя,"Нива, кат. 3, , Продава се имот отреден за промишлено строителство (складове и безвредни производства) на главния пъ ...",175365.0,EUR,False,продава,земя,гр. Бургас,област Бургас,0888847300,,,https://www.imoti.com/obiava/56077413/prodava-zemedelska-zemya-oblast-burgas-gr-burgas,1,2026-01-24 21:26:16.023881,,imoticom,384,56077413,11:07 01.08.2024,,,
Продава  Земеделска земя,"Нива, кат. 6, , ОМЕГА продава парцели около язовир, в близост до Минерални бани. Имотите са с обща площ от 300дка, н ...",900000.0,EUR,True,продава,земя,гр. Бургас,област Бургас,0887515546,,,https://www.imoti.com/obiava/12175326/prodava-zemedelska-zemya-oblast-burgas-gr-burgas,1,2026-01-24 21:26:16.024435,,imoticom,384,12175326,09:46 06.01.2026,,,
Продава  Земеделска земя,"Нива, кат. 3, , Нива 3-та категория в землището на Каблешково, местност Симеонова могила, с идентификатор - 35033.10 ...",11900.0,EUR,True,продава,земя,гр. Каблешково,област Бургас,0889797870,,,https://www.imoti.com/obiava/39830183/prodava-zemedelska-zemya-oblast-burgas-gr-kableshkovo,1,2026-01-24 21:26:16.024968,,imoticom,384,39830183,11:26 29.12.2025,,,
Продава  Земеделска земя,"Нива, кат. 3, с Аренден договор до 01.10.2025 г. и рента 400 лв./год., , ARRAY(0x805777690)",63150.0,EUR,False,продава,земя,гр. Каблешково,област Бургас,0888544670,,,https://www.imoti.com/obiava/66105251/prodava-zemedelska-zemya-oblast-burgas-gr-kableshkovo,1,2026-01-24 21:26:16.025487,,imoticom,384,66105251,13:11 18.01.2024,,,
Продава  Земеделска земя,"Нива, кат. 4, , На вашето внимание, представяме уникален поземлен имот, с невероятна панорама и местоположение. Прод ...",15000.0,EUR,False,продава,земя,гр. Несебър,област Бургас,0892974946,,,https://www.imoti.com/obiava/93520908/prodava-zemedelska-zemya-oblast-burgas-gr-nesebar,1,2026-01-24 21:26:16.025985,,imoticom,384,93520908,13:26 29.09.2025,,,
Продава  Земеделска земя,"Нива, кат. 4, , Продава се земеделска земя в землището на с. Оризаре, общ. Несебър с кадастрални идентификационни но ...",135000.0,EUR,False,продава,земя,гр. Несебър,област Бургас,0886334224,,,https://www.imoti.com/obiava/48435286/prodava-zemedelska-zemya-oblast-burgas-gr-nesebar,1,2026-01-24 21:26:16.026502,,imoticom,384,48435286,08:39 24.04.2023,,,
Продава  Земеделска земя,"Нива, кат. 7, , продавам 1060 кв м идеални части от земеделска земя/част от ПИ с размер от 10599 кв,м,/ ид. 53045.53 ...",7000.0,EUR,False,продава,земя,гр. Обзор,област Бургас,0882219084,,,https://www.imoti.com/obiava/14232163/prodava-zemedelska-zemya-oblast-burgas-gr-obzor,1,2026-01-24 21:26:16.027018,,imoticom,384,14232163,13:04 05.03.2023,,,
Продава  Земеделска земя,"Нива, кат. 1, , Земеделска земя с възможност за смяна на статута на УПИВода и ток в непосредствена близост до имотаР ...",99000.0,EUR,False,продава,земя,гр. Созопол,област Бургас,0888283908,,,https://www.imoti.com/obiava/62523887/prodava-zemedelska-zemya-oblast-burgas-gr-sozopol,1,2026-01-24 21:26:17.989516,,imoticom,384,62523887,17:40 13.06.2022,,,
Продава  Земеделска земя,"Нива, кат. 3, , Собственик продава 1750 м2 атрактивна земеделска земя на главен път между с. Лозенец и с. Велика. Им ...",100000.0,EUR,False,продава,земя,гр. Царево,област Бургас,0888149200,,,https://www.imoti.com/obiava/11495159/prodava-zemedelska-zemya-oblast-burgas-gr-tsarevo,1,2026-01-24 21:26:17.990045,,imoticom,384,11495159,10:50 19.06.2024,,,
Продава  Земеделска земя,"Нива, кат. 4, , Без комисион! Предлагаме Ви имот на първа линия море в местността  СК Фонд Боруна, квартал  Василико ...",2104560.0,EUR,True,продава,земя,гр. Царево,област Бургас,0888310436,,,https://www.imoti.com/obiava/64692385/prodava-zemedelska-zemya-oblast-burgas-gr-tsarevo,1,2026-01-24 21:26:17.990589,,imoticom,384,64692385,18:12 09.09.2025,,,
Продава  Земеделска земя,"Нива, кат. 5, , Изкупува земеделска земя в землището на град Черноморец,село Равадиново, село Атия и град Созопол. Ц ...",1000.0,EUR,True,продава,земя,гр. Черноморец,област Бургас,0878657547,,,https://www.imoti.com/obiava/73628188/prodava-zemedelska-zemya-oblast-burgas-gr-chernomorets,1,2026-01-24 21:26:17.991141,,imoticom,384,73628188,23:45 22.01.2026,,,
Продава  Земеделска земя,"Нива, кат. 4, , Представяме Ви земеделска земя за продажба в местността Външна чешма до гр.Черноморец. Имотът е с пл ...",24000.0,EUR,False,продава,земя,гр. Черноморец,област Бургас,0897402395,,,https://www.imoti.com/obiava/44338106/prodava-zemedelska-zemya-oblast-burgas-gr-chernomorets,1,2026-01-24 21:26:17.991640,,imoticom,384,44338106,14:23 19.12.2025,,,
Продава  Земеделска земя,"Нива, кат. 4, , Предлагаме Ви имот на втора линия море в землището на село Варвара, общ. Царево. Имотът се намиира в ...",1155440.0,EUR,False,продава,земя,с. Варвара,област Бургас,0888310436,,,https://www.imoti.com/obiava/93437473/prodava-zemedelska-zemya-oblast-burgas-s-varvara,1,2026-01-24 21:26:17.992153,,imoticom,384,93437473,14:33 27.06.2025,,,
