raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
Многостаен апартамент,,502020.0,EUR,False,продава,многостаен,София,Бояна,,Suprimmo,,https://www.suprimmo.bg/imot-109946-mnogostaen-apartament-za-prodajba-v-rezidentsiya-berlin-park-boyana/,3,2026-01-23 22:36:02.611046,,suprimmo,1448,SOF 109946,,2000.0,251.01,3
Четиристаен апартамент,,1950000.0,EUR,False,продава,четиристаен,Панчарево,"Софийска област, България",,Suprimmo,,https://www.suprimmo.bg/imot-130883-dizaynerski-apartament-s-tri-spalni-na-ezero-pancharevo/,3,2026-01-23 22:36:02.612172,,suprimmo,1448,STO-130883,,4401.81,443,партер
Двустаен апартамент,,185000.0,EUR,False,продава,двустаен,София,Сухата река,,Suprimmo,,https://www.suprimmo.bg/imot-132154-yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-rayon/,3,2026-01-23 22:36:02.613242,,suprimmo,1448,STO-132154,,2500.0,74,4
Тристаен апартамент,,480000.0,EUR,False,продава,тристаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-132801-poluobzaveden-tristaen-apartament-na-metri-ot-yujen-park/,3,2026-01-23 22:36:02.614250,,suprimmo,1448,SOF-132801,,4329.0,110.88,2
Тристаен апартамент,,367260.0,EUR,False,продава,тристаен,София,Горна баня,,Suprimmo,,https://www.suprimmo.bg/imot-129729-nov-zapaden-tristaen-apartament-v-gloria-palace-residence/,3,2026-01-23 22:36:02.615189,,suprimmo,1448,SOF-129729,,3000.0,122.42,2
Тристаен апартамент,,1200000.0,EUR,False,продава,тристаен,Панчарево,"Софийска област, България",,Suprimmo,,https://www.suprimmo.bg/imot-128088-tristaen-apartament-s-frontalna-gledka-kam-pancharevskoto-ezero/,3,2026-01-23 22:36:02.616214,,suprimmo,1448,STO-128088,,4000.0,300,2
Двустаен апартамент,,253000.0,EUR,False,продава,двустаен,София,Драгалевци,,Suprimmo,,https://www.suprimmo.bg/imot-126389-dvustaen-apartament-v-nova-sgrada-sas-spa-i-fitnes/,3,2026-01-23 22:36:02.617210,,suprimmo,1448,SOF-126389,,2510.92,100.76,2
Тристаен апартамент(В процес на строителство),,247468.0,EUR,False,продава,тристаен,Панчарево,"Софийска област, България",,Suprimmo,,https://www.suprimmo.bg/imot-133172-tristaen-apartament-v-luksozna-sgrada-do-borova-gora-v-pancharevo/,3,2026-01-23 22:36:02.618214,,suprimmo,1448,STO-133172,,2600.0,95.18,3
Двустаен апартамент(В процес на строителство),,160240.0,EUR,False,продава,двустаен,София,Горна баня,,Suprimmo,,https://www.suprimmo.bg/imot-132787-dvustaen-apartament-novo-stroitelstvo-blizo-do-gloria-palace/,3,2026-01-23 22:36:02.619168,,suprimmo,1448,SOF-132787,,2150.01,74.53,2
Тристаен апартамент,,702702.0,EUR,False,продава,тристаен,София,Манастирски ливади - Запад,,Suprimmo,,https://www.suprimmo.bg/imot-100962-prostoren-tristaen-apartament-za-prodajba-v-luksozna-sgrada/,3,2026-01-23 22:36:02.620250,,suprimmo,1448,AP 100962,,3000.05,234.23,7
Къща,,835120.0,EUR,False,продава,,София,Драгалевци,,Suprimmo,,https://www.suprimmo.bg/imot-101958-kashta-v-zatvoren-kompleks-na-ul-leshnikova-gora/,3,2026-01-23 22:36:02.621184,,suprimmo,1448,Sve-101958,,2200.0,379.60,
Тристаен апартамент,,385000.0,EUR,False,продава,тристаен,София,Драгалевци,,Suprimmo,,https://www.suprimmo.bg/imot-126380-tristaen-apartament-v-nova-sgrada-sas-spa-i-fitnes-v-kv-dragalevtsi/,3,2026-01-23 22:36:02.622165,,suprimmo,1448,SOF-126380,,2493.04,154.43,2
