title,details_url,ref_no,price_text,location,date,search_url,scraped_at
"Продава МЕЗОНЕТ, гр. Пловдив, Център",https://bazar.bg/obiava-51240010/prodawa-mezonet-gr-plowdiw-tsentar,51240010,244 990€,"гр. Пловдив, Център",днес,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-26T06:04:26.483583
"Продава 2-СТАЕН, гр. Пловдив, Младежки Хълм",https://bazar.bg/obiava-53160669/prodawa-2-staen-gr-plowdiw-mladezhki-halm,53160669,189 100€,"гр. Пловдив, Младежки Хълм",днес,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-26T06:04:26.483754
"Продава 2-СТАЕН, гр. Пловдив, Младежки Хълм",https://bazar.bg/obiava-52988594/prodawa-2-staen-gr-plowdiw-mladezhki-halm,52988594,215 000€,"гр. Пловдив, Младежки Хълм",вчера,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-26T06:04:26.483911
🏡 Луксозен апартамент с невероятна гледка до хотел ”Марица”,https://bazar.bg/obiava-53160394/luksozen-apartament-s-neweroiatna-gledka-do-hotel-maritsa,53160394,300 000€,"гр. Пловдив, Център",вчера,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-26T06:04:26.484071
"Продава 2-СТАЕН, гр. Пловдив, Отдих и култура",https://bazar.bg/obiava-53205359/prodawa-2-staen-gr-plowdiw-otdih-i-kultura,53205359,101 500€,"гр. Пловдив, Отдих и култура",24 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-26T06:04:26.484226
"Продава 3-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-53199336/prodawa-3-staen-gr-plowdiw-tsentar,53199336,179 999€,"гр. Пловдив, Център",23 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-26T06:04:26.484395
"Продава 3-СТАЕН, гр. Пловдив, Каменица 1",https://bazar.bg/obiava-53195787/prodawa-3-staen-gr-plowdiw-kamenitsa-1,53195787,219 990€,"гр. Пловдив, Каменица 1",23 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-26T06:04:26.484555
"Продава 2-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-50134961/prodawa-2-staen-gr-plowdiw-tsentar,50134961,112 000€,"гр. Пловдив, Център",22 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-26T06:04:26.484708
"Продава 3-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-49478309/prodawa-3-staen-gr-plowdiw-tsentar,49478309,168 295€,"гр. Пловдив, Център",22 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-26T06:04:26.484861
"Продава 3-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-53094573/prodawa-3-staen-gr-plowdiw-tsentar,53094573,112 195€,"гр. Пловдив, Център",22 януари,https://bazar.bg/obiavi/prodazhba-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270,2026-01-26T06:04:26.485016
