price_text,title,location,size_text,description,details_url,ref_no,agency_name,search_url,scraped_at
1 500€/месец,Прекрасен напълно обзаведен мезонет в кв. Бъкстон,"гр. София,кв. ""Бъкстон""","(7,08€/м2)(13,84лв./м2)Площ: 212.00 м2Етаж: 5","Представяме ви изключителен напълно обзаведен мезонет под наем, разположен в предпочитания столичен квартал Бъкстон, който впечатлява с простор, функционално разпределение и впечатляващи панорамни гледки към Витоша и града. Имотът е с южно-северно изложение, което осигурява",https://www.bulgarianproperties.bg/imoti-mezoneti/imot-89171-mezonet-pod-naem-v-sofiya.html,,инж. Даниела Тотева,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-01-23T21:56:31.831838
675€/месец,Двустаен апартамент под наем в кв. Малинова долина,"гр. София,кв. ""Малинова долина""","(9,12€/м2)(17,84лв./м2)Площ: 74.00 м2Етаж: 2","Представяме ви чисто нов двустаен апартамент под наем, разположен в една от най-перспективните и предпочитани жилищни зони на София – кв. Малинова долина. Имотът е завършен през 2025 г., напълно обзаведен и готов за незабавно нанасяне, като в наемната цена е включен подземен",https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89147-dvustaen-apartament-pod-naem-v-sofiya.html,,Николай Попов,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-01-23T21:56:31.834129
500€/месец,Изцяло южен двустаен апартамент на ТОП локация в жк. Белите брези,"гр. София,кв. ""Белите брези""","(7,25€/м2)(14,17лв./м2)Площ: 69.00 м2Етаж: 3","Предлагаме на вашето внимание светъл и топъл двустаен апартамент под наем, разположен в един от най-предпочитаните столични квартали – жк. Белите брези. Локацията е изключително удобна, с бърз достъп до основни булеварди, градски транспорт, търговски обекти и всички необходими",https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89113-dvustaen-apartament-pod-naem-v-sofiya.html,,Магдалена Цоклинова,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-01-23T21:56:31.836351
750€/месец,Напълно обзаведен апартамент под наем с три спални в ж.к. Красна поляна 2,"гр. София,кв. ""Красна поляна 2""","(9,38€/м2)(18,34лв./м2)Площ: 80.00 м2Етаж: 2","Предлагаме под наем напълно обзаведен апартамент с три спални, разположен в ж.к. Красна поляна 2. Жилището е в отлично състояние, топло и добре поддържано, подходящо за семейство или съквартиранти, търсещи удобство и практично разпределение. Имотът се намира на 2 етаж и е част от",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89081-tristaen-apartament-pod-naem-v-sofiya.html,,Магдалена Цоклинова,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-01-23T21:56:31.838653
2 400€/месец,"Луксозен апартамент с гараж в кв. Лозенец – престижна локация, простор и безкомпромисен комфорт","гр. София,кв. ""Лозенец""","(16€/м2)(31,29лв./м2)Площ: 150.00 м2Етаж: 5","Изключително просторен и светъл апартамент, разположен в кв. Лозенец, един от най-желаните райони на София. Кварталът е символ на престиж, зеленина и отлично качество на живот, предпочитан от семейства, търсещи спокойствие, сигурност и бърз достъп до центъра.

Лозенец съчетава",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89035-tristaen-apartament-pod-naem-v-sofiya.html,,Кирил Календерски,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-01-23T21:56:31.840853
830€/месец,Обзаведен апартамент с две спални на 650 м. от метростанция „Европейски съюз“,"гр. София,кв. ""Лозенец""","(7,55€/м2)(14,76лв./м2)Площ: 110.00 м2Етаж: 3","Тристаен апартамент в кв. Лозенец на пешеходно разстояние от парк „Резиденция Лозенец“ и метростанция „Европейски съюз“. Жилището е разположено в поддържана сграда, заобиколена от перфектно поддържани междублокови пространства, множество места за отдих и разходка. Отлично",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-81870-tristaen-apartament-pod-naem-v-sofiya.html,,Иван Каменов,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-01-23T21:56:31.843030
700€/месец,Двустаен апартамент под наем на две нива в центъра на София,"гр. София,кв. ""Център""","(9,33€/м2)(18,25лв./м2)Площ: 75.00 м2Етаж: 5","Предлагаме под наем отличен двустаен апартамент на две нива, разположен в центъра на София близо до Лъвов мост. Локацията е изключително предпочитана заради бързия достъп до ключови административни, културни и търговски зони, както и до спирки на градски транспорт, метростанция,",https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89045-dvustaen-apartament-pod-naem-v-sofiya.html,,Иван Каменов,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-01-23T21:56:31.845214
750€/месец,Обзаведен двустаен апартамент в центъра на София,"гр. София,кв. ""Център""","(11€/м2)(20,96лв./м2)Площ: 70.00 м2Етаж: 1","Предлагаме под наем напълно обзаведен и обезопасен двустаен апартамент, разположен на партерен етаж с директен вход от улицата, в централната част на София. Имотът е отлично решение за хора, които търсят комфортно градско жилище с бърз достъп до всички ключови точки на",https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89047-dvustaen-apartament-pod-naem-v-sofiya.html,,Иван Каменов,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-01-23T21:56:31.847361
900€/месец,"Тристаен апартамент под наем в кв. Манастирски ливади, София","гр. София,кв. ""Манастирски ливади""","(10€/м2)(19,56лв./м2)Площ: 90.00 м2Етаж: 5","Предлагаме под наем просторен тристаен апартамент с площ от 90 кв.м, разположен в един от най-предпочитаните и комуникативни райони на София – кв. Манастирски ливади. Имотът се намира в добре поддържана сграда с асансьор и затворено дворно пространство с възможност за паркиране,",https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89050-tristaen-apartament-pod-naem-v-sofiya.html,,Иван Каменов,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-01-23T21:56:31.849492
550€/месец,Двустаен апартамент под наем в кв. Манастирски ливади,"гр. София,кв. ""Манастирски ливади""","(7,24€/м2)(14,15лв./м2)Площ: 76.00 м2Етаж: 6","Предлагаме двустаен апартамент под наем, разположен в предпочитания южен квартал Манастирски ливади. Районът се отличава с добра инфраструктура, бърз достъп до бул. „България“ и Околовръстен път, както и удобна близост до магазини, заведения, спортни центрове и спирки на градския",https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89017-dvustaen-apartament-pod-naem-v-sofiya.html,,Иван Каменов,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-01-23T21:56:31.851698
