price_text,title,location,description,details_url,photos_text,contact_info,agency_name,agency_url,search_url,scraped_at
180 000 €352 049.40 лв.,Продава 4-СТАЕН,"град Пловдив, Център","103 кв.м, Гладстон, 5-ти ет. от 5, Въведен в експлоатация, ЦЕНТЪР!!!ТОП ЛОКАЦИЯ!!!!ПАНОРАМНА ГЛЕДКА!!!  Предлагаме ексклузивно на вашето внимание четиристаен а ..., тел.: 0877700361",//www.imot.bg/obiava-1d176840800898604-prodava-chetiristaen-apartament-grad-plovdiv-tsentar-gladston,Повече детайлии 6 снимки,0877700361,СИНДАРЕЛА 7 ЕООД,//cindarella79311.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.943950
350 000 €684 540.50 лв.,Продава 4-СТАЕН,"град Пловдив, Център","121 кв.м, 5-ти ет. от 6, БИЛДИНГ БОКС има удоволствието да Ви представи четиристаен апартамент за продажба в Центъра на град  ..., тел.: 0879900984",//www.imot.bg/obiava-1d176820800747421-prodava-chetiristaen-apartament-grad-plovdiv-tsentar,Повече детайлии 11 снимки,0879900984,БИЛДИНГ БОКС,//buildingbox.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.945024
360 000 €704 098.80 лв.,Продава 4-СТАЕН,"град Пловдив, Център","121 кв.м, 4-ти ет. от 6, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg Представяме стилен многостаен апартамент в идеалния център на ..., тел.: 0882931568",//www.imot.bg/obiava-1d176821208007057-prodava-chetiristaen-apartament-grad-plovdiv-tsentar,Повече детайлии 11 снимки,0882931568,ЛУКСИММО ПЛОВДИВ,//luximmoplovdiv.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.946072
170 000 €332 491.10 лв.,Продава 4-СТАЕН,"град Пловдив, Мараша","85 кв.м, р-т Стадиона, 4-ти ет. от 6, Въведен в експлоатация 1960 - 1969 г., МОНОЛИТЕН АПАРТАМЕНТ С 4 СТАИ ДО РЕСТОРАНТ СТАДИОНА  ТОП МЯСТО, ВЪЗМОЖНО ПРЕУСТРОЙСТВО С ТРИ СПАЛНИ  ..., тел.: 0889992848",//www.imot.bg/obiava-1d176354518274753-prodava-chetiristaen-apartament-grad-plovdiv-marasha-r-t-stadiona,Повече детайлии 6 снимки,0889992848,ЕЛЕМЕНТ,//element.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.947113
189 500 €370 629.79 лв.,Продава 4-СТАЕН,"град Пловдив, Младежки Хълм","198 кв.м, 5-ти ет. от 6, Не е въведен в експлоатация, еКСКЛУЗОВНА ПФЕРТА! ПРОСТОРЕН, ПАНОРАМЕН мезонет в монолитна сграда от 1996 г., в тих и спокоен за ж ..., тел.: 0885615308",//www.imot.bg/obiava-1d160554564698547-prodava-chetiristaen-apartament-grad-plovdiv-mladezhki-halm,Повече детайлии 17 снимки,0885615308,ДОМЕА ЕООД,//domea.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.948154
175 000 €342 270.25 лв.,Продава 4-СТАЕН,"град Пловдив, Център","102 кв.м, 8-ми ет. от 9, Въведен в експлоатация 1980 - 1989 г., Агенцията предлага апартамент в ЦГЧ, в района на Била-1, в добро състояние без подобрения, но със см ..., тел.: 0898398496",//www.imot.bg/obiava-1d173703385444920-prodava-chetiristaen-apartament-grad-plovdiv-tsentar,Повече детайлии 17 снимки,0898398496,ТАРА,//tara2011.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.949201
322 500 €630 755.18 лв.,Продава 4-СТАЕН,"град Пловдив, Център","150 кв.м, Гранда, 6-ти ет. от 6, Ще бъде въведен в експлоатация 2026 г., АТРАКТИВНО!!! Имотът се намира в района на Гранд-а, място, подходящо както за живеене, така и за инв ..., тел.: 0988746233",//www.imot.bg/obiava-1d175579633895717-prodava-chetiristaen-apartament-grad-plovdiv-tsentar-granda,Повече детайлии 2 снимки,0988746233,НД ИМОТКОНСУЛТ,//ndimotconsult.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.950157
340 000 €664 982.20 лв.,Продава 4-СТАЕН,"град Пловдив, Център","200 кв.м, Русин махала, 2-ри ет. от 3, Въведен в експлоатация, Имотът се   намира в един от най-предпочитаните централни райони   на град Пловдив - Русин махала .Л ..., тел.: 0988757390",//www.imot.bg/obiava-1d175040588190572-prodava-chetiristaen-apartament-grad-plovdiv-tsentar-rusin-mahala,Повече детайлии 6 снимки,0988757390,УНИСТРОЙ 33 ЕООД,//unistroy33.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.951194
514 750 €1 006 763.49 лв.,Продава 4-СТАЕН,"град Пловдив, Център","205 кв.м, 6-ти ет. от 6, Ще бъде въведен в експлоатация 2026 г., LUXIMMO FINEST ESTATES: www.luximmo.bg  Представяме многостаен апартамент в самото сърце на Пловдив, ..., тел.: 0884134482",//www.imot.bg/obiava-1d172967407828739-prodava-chetiristaen-apartament-grad-plovdiv-tsentar,Повече детайлии 14 снимки,0884134482,ЛУКСИММО ПЛОВДИВ,//luximmoplovdiv.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.952245
610 000 €1 193 056.30 лв.,Продава 4-СТАЕН,"град Пловдив, Център","238 кв.м, Идеален Център, 5-ти ет. от 6, Въведен в експлоатация 2019 г., NL Consult Real Estate представя на вниманието Ви за покупка  Просторен четиристаен апартамент, разп ..., тел.: 0888962441",//www.imot.bg/obiava-1d176874275946931-prodava-chetiristaen-apartament-grad-plovdiv-tsentar-idealen-tsentar,Повече детайлии 8 снимки,0888962441,ЕН ЕЛ  КОНСУЛТ РИЪЛ ЕСТЕЙТ,//nlconsult.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/chetiristaen?raioni=5982~5986~5988~5991~6360~,2026-01-23T22:17:42.953306
