price_text,title,location,description,details_url,photos_text,contact_info,agency_name,agency_url,search_url,scraped_at
410 000 €801 890.30 лв.,Продава 4-СТАЕН,"град София, Белите брези","175 кв.м, 2-ри ет. от 7, 1998 г., БЕЗ КОМИСИОНА ОТ КУПУВАЧА! ARCO REAL ESTATE предлага уютен, светъл и просторен четиристаен апартамен ..., тел.: 0877284744",//www.imot.bg/obiava-1d175015097276476-prodava-chetiristaen-apartament-grad-sofiya-belite-brezi,Повече детайлии 17 снимки,0877284744,АРКО РИЪЛ ЕСТЕЙТ,//arcoimoti.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/chetiristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-21T18:12:45.533189
365 000 €713 877.95 лв.,Продава 4-СТАЕН,"град София, Дианабад","165 кв.м, 5-ти ет. от 8, Въведен в експлоатация 2024 г., ЮЖНО ИЗЛОЖЕНИЕ !!! ПОЛУОБЗАВЕДЕН !!! НА 300 метра от Студентски парк !!! КОМУНИКАТИВНА ЛОКАЦИЯ !!!   ..., тел.: 0875363330",//www.imot.bg/obiava-1d176760632487135-prodava-chetiristaen-apartament-grad-sofiya-dianabad,Повече детайлии 13 снимки,0875363330,ХОУМ ТУ Ю БЪЛГАРИЯ,//home2u3.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/chetiristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-21T18:12:45.534301
642 600 €1 256 816.36 лв.,Продава 4-СТАЕН,"град София, Докторски паметник","130 кв.м, 3-ти ет. от 4, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., Предлагаме Ви просторен четиристаен апартамент в район Докторски паметник, на тиха улица, в близост  ..., тел.: 0896743844",//www.imot.bg/obiava-1d176796514572077-prodava-chetiristaen-apartament-grad-sofiya-doktorski-pametnik,Повече детайлии 17 снимки,0896743844,М-ТРЕЙД ИМОТИ,//mtradecom.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/chetiristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-21T18:12:45.535416
649 900 €1 271 093.92 лв.,Продава 4-СТАЕН,"град София, Докторски паметник","118 кв.м, ул. Кракра, 2-ри ет. от 6, ТЕЦ, Въведен в експлоатация 1950 - 1959 г., Предлага за продажба обширен 3-стаен с възможност за преустройство в 4-стаен апартамент, на Топ-мяст ..., тел.: 0878453511",//www.imot.bg/obiava-1d176880495120401-prodava-chetiristaen-apartament-grad-sofiya-doktorski-pametnik-ul-krakra,Повече детайлии 9 снимки,0878453511,МАРИЕТА АД,//atanas.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/chetiristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-21T18:12:45.536493
740 000 €1 447 314.20 лв.,Продава 4-СТАЕН,"град София, Докторски паметник","128 кв.м, 3-ти ет. от 4, ТЕЦ, Въведен в експлоатация 1930 - 1939 г., ЕКСКЛУЗИВНО! ЕРА Голд има удоволствието да Ви представи за продажба, просторен и слънчев апартамент  ..., тел.: 0889115777",//www.imot.bg/obiava-1d175982040566379-prodava-chetiristaen-apartament-grad-sofiya-doktorski-pametnik,Повече детайлии 15 снимки,0889115777,ГОЛД ЕСТЕЙТ ЕООД,//goldestate.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/chetiristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-21T18:12:45.537578
768 500 €1 503 055.36 лв.,Продава 4-СТАЕН,"град София, Докторски паметник","145 кв.м, ул. Кракра, 4-ти ет. от 6, ТЕЦ, Въведен в експлоатация 1930 - 1939 г., Прайм  имоти има удоволствието и привилегията да представи на вниманието на заинтересованите един из ..., тел.: 0888122325",//www.imot.bg/obiava-1d175757750470461-prodava-chetiristaen-apartament-grad-sofiya-doktorski-pametnik-ul-krakra,Повече детайлии 17 снимки,0888122325,ПРАЙМ ИМОТИ ЕООД,//prime_estate.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/chetiristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-21T18:12:45.538669
875 000 €1 711 351.25 лв.,Продава 4-СТАЕН,"град София, Изгрев","180 кв.м, 15-ти ет. от 17, Явлена, представя  на вниманието на най-взискателните ни клиенти - апартамент  в квартал Изгрев. Жил ..., тел.: 0892505842",//www.imot.bg/obiava-1d176887870403458-prodava-chetiristaen-apartament-grad-sofiya-izgrev,Повече детайлии 16 снимки,0892505842,ЯВЛЕНА ЦЕНТРАЛЕН ОФИС,//yavlena.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/chetiristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-21T18:12:45.539757
850 000 €1 662 455.50 лв.,Продава 4-СТАЕН,"град София, Изток","228 кв.м, 6-ти ет. от 7, Въведен в експлоатация 2009 г., ✨ Не просто апартамент. Пространство за живот и вдъхновение - 228кв.м дизайнерски комфорт и ф ..., тел.: 0879242433",//www.imot.bg/obiava-1d176761176558790-prodava-chetiristaen-apartament-grad-sofiya-iztok,Повече детайлии 17 снимки,0879242433,ДЕНИРА ИМОТИ,//deniraimoti.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/chetiristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-21T18:12:45.540878
470 000 €919 240.10 лв.,Продава 4-СТАЕН,"град София, Медицинска академия","135 кв.м, 3-ти ет. от 6, Лок.отопл., Въведен в експлоатация, Луксозно ремонтиран и напълно обзаведен четиристаен тухлен апартамент със застроена площ от 125 кв.м ..., тел.: 0894777697",//www.imot.bg/obiava-1d176295193377853-prodava-chetiristaen-apartament-grad-sofiya-meditsinska-akademiya,Повече детайлии 17 снимки,0894777697,АВИСТА ОФИС ЕКСПО,//expo.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/chetiristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-21T18:12:45.541959
380 000 €743 215.40 лв.,Продава 4-СТАЕН,"град София, Оборище","100 кв.м, 2-ри ет. от 6, ТЕЦ, Въведен в експлоатация,  ПОЛЮСИ предлага непреходен апартамент на бул.Дондуков,в санирана сграда с идеално   пъддържани общи ..., тел.: 0888613192",//www.imot.bg/obiava-1d174101575581455-prodava-chetiristaen-apartament-grad-sofiya-oborishte,Повече детайлии 8 снимки,0888613192,ПОЛЮСИ,//polusy.imot.bg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/chetiristaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,2026-01-21T18:12:45.543047
