price_text,title,location,location_info,description,details_url,contact_info,search_url,scraped_at
"310 000 €606 307,30 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Белите брези","град София, Белите брези
97 кв.м","2-ри ет., ТЕЦ, РИКОМС НЕДВИЖИМИ ИМОТИ ПРОДАВА: ТРИСТАЕН АПАРТАМЕНТ В Ж.К.БЕЛИ БРЕЗИ НА УЛ.СМЪРЧ. Имот с просторни с ...",https://www.imoti.com/obiava/73889076/prodava-3-staen-grad-sofiya-belite-brezi,0889890200,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.407879
"349 900 €684 344,92 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Белите брези","град София, Белите брези
174 кв.м","1-ви ет., ТЕЦ, ПРОСТОР !!! ФУНКЦИОНАЛНОСТ !!! ТИШИНА !!!🏢 Просторно ателие на две нива в кв. Белите брези   ...",https://www.imoti.com/obiava/59088420/prodava-3-staen-grad-sofiya-belite-brezi,0875363320,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.408256
"510 000 €997 473,30 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Белите брези","град София, Белите брези
175 кв.м","5-ти ет., ГАЗ, ТЕЦ, BARNES BULGARIA: www.barnes-bulgaria.comМоля, кажете, че сте видeли обявата в този сайт.Референтен н ...",https://www.imoti.com/obiava/34954972/prodava-3-staen-grad-sofiya-belite-brezi,0882850717,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.408633
"177 000 €346 181,91 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Борово","град София, Борово
60 кв.м","6-ти ет., ТЕЦ, Функционален двустаен апартамент С ВЪЗМОЖНОСТ ЗА ПРЕУСТРОЙСТВО В ТРИСТАЕН, с южно изложение в предпо ...",https://www.imoti.com/obiava/96360357/prodava-3-staen-grad-sofiya-borovo,0879877975,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.408998
"195 000 €381 386,85 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Борово","град София, Борово
74 кв.м","1-ви ет., ТЕЦ, Ексклузивно предложение с ключ в агенцията!Продаваме тристаен апартамент в ж.к. Борово, бл. 231, ул. ...",https://www.imoti.com/obiava/41204063/prodava-3-staen-grad-sofiya-borovo,0885982120,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.409362
"240 000 €469 399,20 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Борово","град София, Борово
66 кв.м","4-ти ет., ТЕЦ, Апартамента се състои от дневна, отделна кухня, спалня, две тераси, баня с тоалетна и коридор. 66кв. ...",https://www.imoti.com/obiava/10757049/prodava-3-staen-grad-sofiya-borovo,088 21 21 488,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.409740
"260 000 €508 515,80 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Борово","град София, Борово
90 кв.м","4-ти ет., ТЕЦ, Предлагаме просторен тристаен апартамент на комуникативно място в кв. 'Борово' в близост до  ...",https://www.imoti.com/obiava/74598003/prodava-3-staen-grad-sofiya-borovo,0876262525,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.410105
"269 000 €526 118,27 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Борово","град София, Борово
70 кв.м","1-ви ет., ТЕЦ, След основен ремонт по дизайнерски проект. Лукс. На минути от  метро. Функционално разпределение. Пр ...",https://www.imoti.com/obiava/23565151/prodava-3-staen-grad-sofiya-borovo,0877586601,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.410466
"275 000 €537 853,25 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Борово","град София, Борово
132 кв.м","2-ри ет., ТЕЦ, ИНТЕРЕСЕН, ПЕРСПЕКТИВЕН, ТИХ, ВЪТРЕШЕН ап. в тухлена кооперация от 2004г.; в близост до бул. Българи ...",https://www.imoti.com/obiava/42148267/prodava-3-staen-grad-sofiya-borovo,0899931948 АЛДЕС,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.410840
"330 000 €645 423,90 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Борово","град София, Борово
100 кв.м","7-ми ет., ТЕЦ, Просторен, напълно завършен и обзаведен апартамент в добре поддържана тухлена сграда от 1976 г., в б ...",https://www.imoti.com/obiava/91694818/prodava-3-staen-grad-sofiya-borovo,0888660255,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.411202
"558 000 €1 091 353,14 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Борово","град София, Борово
148 кв.м","3-ти ет., ТЕЦ, LUXIMMO FINEST ESTATES: www.luximmo.bgПредставяме впечатляващ имот за истински ценители на лукс и ко ...",https://www.imoti.com/obiava/49318942/prodava-3-staen-grad-sofiya-borovo,0884604774,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.411577
"245 000 €479 178,35 лв.Цената е с включено ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
76 кв.м","3-ти ет., ТЕЦ, Агенция Явлена-Изток   предлага на Вашето внимание един  слънчев , топъл, класически тристаен апарта ...",https://www.imoti.com/obiava/14188422/prodava-3-staen-grad-sofiya-gotse-delchev,0892515345,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.411938
"278 000 €543 720,74 лв.Не се начислява ДДС",Продава  3-стаен,"град София, Гоце Делчев","град София, Гоце Делчев
78 кв.м","3-ти ет., ТЕЦ, апартаментът е позициониран в предпочитан район поради близостта до Южен парк и отличната комуникати ...",https://www.imoti.com/obiava/15979318/prodava-3-staen-grad-sofiya-gotse-delchev,0886575557,https://www.imoti.com/prodazhbi/grad-sofiya/tristaini?sraion=86~80~72~147~21~81~32~132~146~15~22~23~85~60~6101~57~120~4~14~,2026-01-20T18:04:48.412296
