price_text,title,location,details_text,description,details_url,ref_no,offer_type,agency_name,num_photos,total_offers,price_per_m2,search_url,scraped_at
153 461 €,Тристаен апартамент,"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:96.57 м²Спални:2Етаж:4Етажност на сградата:4,,https://www.suprimmo.bg/imot-125423-tristaen-apartament-v-elegantniya-kompleks-magnoliya-forest-v-plovdiv/,PLV-125423,продава,Suprimmo,3,261,1589.12,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.714163
110 720 €,Двустаен апартамент(В процес на строителство),"гр. Пловдив / кв. Каменица 2 / Пловдивска област, България",Площ:76.36 м²Спални:1Етаж:4Етажност на сградата:7,,https://www.suprimmo.bg/imot-137385-dvustaen-apartament-v-nov-kompleks-v-kv-kamenitsa-2/,PLV-137387,продава,Suprimmo,3,261,1449.97,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.715188
149 000 €,Двустаен апартамент,"гр. Пловдив / кв. Кършияка / Пловдивска област, България",Площ:73.43 м²Спални:1Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-137375-svetal-dvustaen-apartament-do-klyuch-v-nov-kompleks-v-kv-karshiyaka/,PLV-137375,продава,Suprimmo,3,261,2029.14,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.716183
180 000 €,Двустаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:72 м²Спални:1Етаж:4Етажност на сградата:9,,https://www.suprimmo.bg/imot-137379-dvustaen-apartament-v-nov-moderen-kompleks-v-kv-hristo-smirnenski/,PLV-137379,продава,Suprimmo,3,261,2500.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.717153
148 770 €,Тристаен апартамент,"гр. Пловдив / кв. Тракия / Пловдивска област, България",Площ:129 м²Спални:2Етаж:2Етажност на сградата:7,,https://www.suprimmo.bg/imot-137384-tristaen-apartament-v-nov-kompleks-v-kv-trakiya/,PLV-137384,продава,Suprimmo,3,261,1153.26,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.718124
145 580 €,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Каменица 2 / Пловдивска област, България",Площ:116 м²Спални:2Етаж:2Етажност на сградата:7,,https://www.suprimmo.bg/imot-137353-tristaen-apartament-v-nov-kompleks-v-kv-kamenitsa-2/,PLV-137353,продава,Suprimmo,3,261,1255.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.719122
156 000 €,Тристаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:91.34 м²Спални:1Етаж:4Етажност на сградата:5,,https://www.suprimmo.bg/imot-98448-tristaen-apartament-v-kompleks-s-akt-16-v-park-otdih-i-kultura/,PLV-98448,продава,Suprimmo,3,261,1707.9,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.720036
119 000 €,Двустаен апартамент,"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:74 м²Спални:1Етаж:8Етажност на сградата:10,,https://www.suprimmo.bg/imot-137246-dvustaen-apartament-s-panorama-kam-rodopite-v-nov-kompleks-do-mall-plovdiv/,PLV-137246,продава,Suprimmo,3,261,1608.11,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.720910
88 900 €,Двустаен апартамент,"гр. Пловдив / кв. Беломорски / Пловдивска област, България",Площ:113.33 м²Спални:1Етаж:4Етажност на сградата:4,,https://www.suprimmo.bg/imot-137266-dvustaen-apartament-v-nov-kompleks-v-yujnata-chast-na-plovdiv/,PLV-137266,продава,Suprimmo,3,261,784.43,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.721792
134 665 €,Тристаен апартамент(В процес на строителство),"гр. Пловдив / кв. Остромила / Пловдивска област, България",Площ:95.28 м²Спални:2Етаж:1Етажност на сградата:3,,https://www.suprimmo.bg/imot-137197-gradinski-tristaen-apartament-s-golyam-dvor-v-kv-ostromila/,PLV-137197,продава,Suprimmo,3,261,1413.36,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.722683
82 872 €,Едностаен апартамент(Предварителни продажби ),"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:59.62 м²Етаж:3Етажност на сградата:7,,https://www.suprimmo.bg/imot-137073-ednostaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,PLV-137073,продава,Suprimmo,3,261,1390.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.723599
103 833 €,Двустаен апартамент(Предварителни продажби ),"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:74.70 м²Спални:1Етаж:2Етажност на сградата:10,,https://www.suprimmo.bg/imot-137078-dvustaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,PLV-137078,продава,Suprimmo,3,261,1390.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.724526
164 852 €,Тристаен апартамент(Предварителни продажби ),"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:120.33 м²Спални:2Етаж:2Етажност на сградата:10,,https://www.suprimmo.bg/imot-137082-tristaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,PLV-137082,продава,Suprimmo,3,261,1370.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.725464
391 179 €,Четиристаен апартамент(Предварителни продажби ),"гр. Пловдив / кв. Христо Смирненски / Пловдивска област, България",Площ:264.31 м²Спални:3Етаж:7Етажност на сградата:7,,https://www.suprimmo.bg/imot-137083-mnogostaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,PLV-137083,продава,Suprimmo,3,261,1480.0,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,2026-01-24T18:06:21.726402
