price_text,title,location,details_text,description,details_url,ref_no,offer_type,agency_name,num_photos,search_url,scraped_at
1 600 €,Тристаен апартамент,"гр. София / кв. Манастирски ливади - Запад / Софийска област, България",Площ:122 м²Спални:2Етаж:4Етажност на сградата:10,,https://www.suprimmo.bg/imot-131731-iziskan-i-moderen-tristaen-apartament-v-luksozna-sgrada-pulse-tower/,SOF-131731,продава,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.596608
10 000 €,Тристаен апартамент,"гр. София / кв. Център / Софийска област, България",Площ:260 м²Спални:2Етаж:21Етажност на сградата:22,,https://www.suprimmo.bg/imot-104721-panoramen-tristaen-apartament-v-prestijnata-sgrada-milenium-tsentar/,SOF-104721,продава,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.597611
450 €,Двустаен апартамент,"гр. София / кв. Хиподрума / Софийска област, България",Площ:54.31 м²Спални:1Етаж:3Етажност на сградата:8,,https://www.suprimmo.bg/imot-36493-napalno-obzaveden-dvustaen-apartament-v-kv-hipodruma/,Kbs 36493,продава,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.598540
1 800 €,Четиристаен апартамент,"гр. София / кв. Малинова долина / Софийска област, България",Площ:160 м²Спални:3Етаж:4Етажност на сградата:7,,https://www.suprimmo.bg/imot-63398-svetal-apartament-s-podzemno-parkomyasto-v-polite-na-vitosha/,SOF-63398,продава,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.599496
1 650 €,Тристаен апартамент,"гр. София / кв. Център / Софийска област, България",Площ:156 м²Спални:2Етаж:5Етажност на сградата:6,,https://www.suprimmo.bg/imot-133548-tristaen-apartament-s-parkomyasto-do-metrostantsiya-sv-patriarh-evtimiy/,SOF-133548,продава,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.600455
2 000 €,Двустаен апартамент,"гр. София / кв. Манастирски ливади - Запад / Софийска област, България",Площ:182.13 м²Спални:1Етаж:1Етажност на сградата:6,,https://www.suprimmo.bg/imot-95307-dizaynerski-apartament-pod-naem-na-2-niva-s-garaj-v-zatvoren-kompleks-do-bulbalgariya/,SOF 95307,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.601411
1 400 €,Тристаен апартамент,"гр. София / кв. Манастирски ливади - Изток / Софийска област, България",Площ:114.13 м²Спални:2Етаж:3Етажност на сградата:6,,https://www.suprimmo.bg/imot-125367-stilen-tristaen-apartament-pod-naem-v-predpochitan-kompleks-v-kv-manastirski-livadi/,Kbs 125367,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.602389
1 500 €,Четиристаен апартамент,"гр. София / кв. Изток / Софийска област, България",Площ:130 м²Спални:3Етаж:1Етажност на сградата:3,,https://www.suprimmo.bg/imot-130536-chetiristaen-apartament-etaj-ot-kashta-v-kviztok-s-hubava-terasa-i-garaj/,SOF 130536,продава,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.603349
1 023 €,Двустаен апартамент,"гр. София / кв. Бояна / Софийска област, България",Площ:108 м²Спални:1Етаж:2Етажност на сградата:4,,https://www.suprimmo.bg/imot-106259-prostoren-stilno-obzaveden-dvustaen-apartament-pod-naem-s-vklyucheno-parkomyasto/,Kbs 106259,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.604321
1 900 €,Тристаен апартамент,"гр. София / кв. Дианабад / Софийска област, България",Площ:122 м²Спални:2Етаж:11Етажност на сградата:13,,https://www.suprimmo.bg/imot-113455-vazhititelen-dizaynerski-apartament-s-otlichna-lokatsiya-pod-naem-v-kv-dianabad/,Kbs 113455,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.605373
1 430 €,Тристаен апартамент,"гр. София / кв. Кръстова вада / Софийска област, България",Площ:80 м²Спални:2Етаж:5Етажност на сградата:6,,https://www.suprimmo.bg/imot-122146-nov-moderen-tristaen-apartament-pod-naem-do-paradise-mall/,SOF-122146,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.606346
818 €,Двустаен апартамент,"гр. София / кв. Лозенец / Софийска област, България",Площ:67 м²Спални:1Етаж:2Етажност на сградата:7,,https://www.suprimmo.bg/imot-75140-stilen-dvustaen-apartament-pod-naem-na-top-lokatsiya-v-kv-lozenets/,Kbs 75140,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.607401
750 €,Двустаен апартамент,"гр. София / кв. Лозенец / Софийска област, България",Площ:71 м²Спални:1Етаж:2Етажност на сградата:5,,https://www.suprimmo.bg/imot-118991-stilen-dvustaen-apartament-s-podzemno-parkomyasto-v-lozenets/,Sof 118991,продава,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.608384
1 600 €,Тристаен апартамент,"гр. София / кв. Кръстова вада / Софийска област, България",Площ:110 м²Спални:2Етаж:5Етажност на сградата:6,,https://www.suprimmo.bg/imot-118300-nov-moderen-tristaen-apartament-pod-naem-do-paradise-mall/,SOF-118300,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.609341
2 500 €,Многостаен апартамент,"гр. София / кв. Стрелбище / Софийска област, България",Площ:301 м²Спални:3Етаж:7,,https://www.suprimmo.bg/imot-41508-luksozen-dizaynerski-mnogostaen-apartament-pod-naem-do-bul-balgariya/,Sfa 1275,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.610255
1 300 €,Тристаен апартамент,"гр. София / кв. Борово / Софийска област, България",Площ:105 м²Спални:2Етаж:2Етажност на сградата:5,,https://www.suprimmo.bg/imot-137365-stilno-obzaveden-apartament-v-k-s-ot-zatvoren-tip-v-kvborovo/,Sve-137365,продава,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.611302
899 €,Тристаен апартамент,"гр. София / кв. Банишора / Софийска област, България",Площ:125 м²Спални:2Етаж:3Етажност на сградата:7,,https://www.suprimmo.bg/imot-137373-tristaen-apartament-pod-naem-v-kv-banishora-do-ul-opalchenska/,SOF-137373,наем,Suprimmo,3,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,2026-01-23T22:18:18.612272
