site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",https://www.alo.bg/prodavam-zemedelska-zemya-10529079,462000.0,EUR,,Ивайло,Пазарджик,продава,земя,,,,Продавам земеделска земя,"Продавам 21 декара земеделска земя. Намира се на асфалтиран път, на изхода на с. Ивайло на път за магистрала Тракия. Земята е подходяща за складови помещения, производствени бази, логистични центрове, тир паркинг на транспортни фирми, административни центрове, зеленчукови борси и еднофамилни къщи, каквито в момента ще се строят до имота. Има ток и вода.",вчера,,1,10529079,2026-02-07 06:14:16.548735,926,228f70dcf22000c0f78ed979cbff6645
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",https://www.alo.bg/prodavam-zemedelska-zemya-10462876,97500.0,EUR,,Генерал Тошево,"Александър Стамболийски, Област  Добрич",продава,земя,,,,Продавам земеделска земя,"Продава се земеделска земя - 50 дка, едно парче, 3-та категория - Александър Стамболийски, Ген. Тошево
📍 Местоположение: землището на с. Александър Стамболийски, община Генерал Тошево
📏 Площ: 50 декара, в едно цяло парче
🟢 Категория: III категория - плодородна земя
📄 Състояние: Сключен арендов договор за още 5 години
💰 Цена: 1950 евро./дка - подлежи на разумен коментар

✅ Без тежести
✅ 100% собственост
✅ Редовни плащания от арендатор
✅ Подходяща както за инвестиция, така и за дългосрочно земеделие

📞 За повече информация: 
Георги Чекелов",Георги Чекелов,,1,10462876,2026-02-07 06:14:16.548735,926,3bf574181cc568da573afc0036477227
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",https://www.alo.bg/parcel-za-rancho-do-min-bani-8688798,123000.0,EUR,,Банево,Бургас,продава,земя,,,,продава Парцел за ранчо до Мин. Бани,"Продава парцел за ранчо или строителство на къщи на 500м. от в. з. Мин. Бани. С плодородна земя(3кат.). С гледка към Бургаския залив и околните хълмове с борови гори. На 180м. от в. з. Светлейката, от..",вчера,,1,8688798,2026-02-07 06:14:16.548735,926,4c705503f061696f8dfee45a3934b9c4
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",https://www.alo.bg/zemedelska-zemya-v-s-veselinovo-obl-yambol-10861494,5549075.0,EUR,,местност Бетимя,"Веселиново, Област  Ямбол",продава,земя,,,,"продава Земеделска земя в с. Веселиново, обл. Ямбол","Два съседни имота с площ и категория както следва: 
имот № 006042 - 14.997, трета категория
имот № 006043 - 14.996, четвърта категория",вчера,,1,10861494,2026-02-07 06:14:16.548735,926,92be40ad52e26939417adc3d1d264637
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",https://www.alo.bg/niva-21-5-dka-3-kategoriya-v-aktiven-zemedelski-raion-do-byala-slatina-10478501,30000.0,EUR,,Попица,Област  Враца,продава,земя,,,,"продава Нива 21,5 дка 3 категория в активен земеделски район до Бяла Слатина","Агенция Теменуга предлага за продажба нива 21,5дка, 3 категория в землището на с Попица община Бяла Слатина. 

Района е с голяма земеделска активност и устойчиви доходи от рента и обработка на земят..",ТЕМЕНУГА НЕДВИЖИМИ ИМОТИ,,1,10478501,2026-02-07 06:14:16.548735,926,1fcaacc25d04f5b9d4fec6529e800e5f
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",https://www.alo.bg/50-dka-s-aleksandar-stamboliiski-10459949,93500.0,EUR,,Александър Стамболийски,Област  Добрич,продава,,,,,продава 50 дка - с. Александър Стамболийски,,АНГЕЛОВИ-АВ60 ЕООД,,1,10459949,2026-02-07 06:14:16.548735,926,7b1b33fe2ced857cec8c4ef3e1d704b6
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",https://www.alo.bg/pomorie-mestnost-kosharite-2003-kv-m-10743168,,,,Поморие,Област  Бургас,продава,земя,,,,продава Поморие - Местност Кошарите 2003 кв м,"Парцел калкан с изградени къщи и гледка към Бургаския залив. 

Имотът е с отлична локация, добра градоустройствена перспектива и сериозен потенциал за развитие. Подходящ за жилищен комплекс, семейни..",Х. Ж. Георгиев,,1,10743168,2026-02-07 06:14:16.548735,926,20ac964b4619d2dcc4ac66ec2194538a
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",https://www.alo.bg/prodavam-parcel-s-plosht-22-500-dka-patya-yambol-veselinovo-magistrala-trakiya-7730494,11504067.0,EUR,,Веселиново,Област  Ямбол,продава,земя,,,,"Продавам парцел с площ 22,500 дка. Пътя Ямбол - Веселиново - Магистрала Тракия","Продавам парцел с площ 22,500 дка. Подходящ за бензиностанция, паркинг или друго. Намира се на главния път от Ямбол - Веселиново - Автомагистрала Тракия, в землището на село Веселиново. Цена по догова..",Таня Атанасова,,1,7730494,2026-02-07 06:14:16.548735,926,2be1f774528b0de16cef5c9a4d1d117d
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",https://www.alo.bg/ekskluzivno-parcel-kv-dolni-voden-asenovgrad-10723528,32600.0,EUR,,кв. Долни Воден,"Асеновград, Област  Пловдив",продава,земя,,,,продава 🔥 Ексклузивно! Парцел - кв. Долни Воден - Асеновград,"🔥 ЕКСКЛУЗИВНО! 
🔥 Парцел за строителство - кв. Долни Воден, Асеновград

🔹 В близост се намират ток, вода, което улеснява бъдещото застрояване. 
🔹 Подходящ за жилищно строене с панорамна гледка. 
..",DeluxeHomes,,1,10723528,2026-02-07 06:14:16.548735,926,dde25cbcecf08384a2f2c6c1905c6e6f
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",https://www.alo.bg/ekskluzivno-zemedelska-zemya-grad-burgas-10456761,800000.0,EUR,,местност ” Крушата”,Бургас,продава,земя,,,,продава 🔥 Ексклузивно! Земеделска земя - град Бургас,"🔥 ЕКСКЛУЗИВНО! 
Парцел с инвестиционен потенциал в град Бургас. 

🔹 Земеделска земя с площ от 9146 кв.м, разположена на стратегическо място с лесен достъп до главни пътни артерии. 
🔹 Парцелът се н..",DeluxeHomes,,1,10456761,2026-02-07 06:14:16.548735,926,960f7da014e77f7d6d33d4517211c3ef
