site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",https://www.alo.bg/dvustaen-apartament-s-parkomyasto-10890427,185000.0,EUR,2642.86,Гребна база,Пловдив,продава,паркомясто,70.0,2,,продава Двустаен апартамент с паркомясто,"Представяме ви стилен и функционален двустаен апартамент с обща площ от 70 кв.м, разположен на втори жилищен етаж в малка бутикова сграда с отлично поддържани общи части. 
Имотът се намира в един от най-предпочитаните и зелени райони на Пловдив - Гребна база, отличаващ се със спокойна среда, удобна локация и бърз достъп до централните части на града. 
Разпределение: 
входно антре
просторна всекидневна с кухненски бокс
спалня
баня с тоалетна
тераса
Апартаментът се продава напълно обзаведен, с всички необходими мебели и висок клас електроуреди, готов за нанасяне или отдаване под наем. 
..",Алегра Иммо БГ,,1,10890427,2026-02-07 06:10:20.547813,2158,b94c6628973c44354a3219fa809823b7
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",https://www.alo.bg/tristaen-apartament-do-medicinski-universitet-v-gr-plovdiv-10878567,240000.0,EUR,2666.67,Център,Пловдив,продава,тристаен,90.0,4,,продава Тристаен апартамент до Медицински Университет в гр. Пловдив,"Референтен номер: 579. 
	SAVINI предлага за продажба тристаен/многостаен апартамент в центъра на гр. Пловдив - в непосредствена близост до Медицинския Университет, на ул. Ниш. 
	Апартаментът се състои от: 
	- хубав коридор, 
	- просторна и светла всекидневна, 
	- баня с тоалетна, 
	- 2 спални, едната от които е обзаведена, 
	- отделна кухня, 
	- 3 тераси. 
	Квадратурата на имота е 115 кв.м. с терасите. 
	На етаж са само 3 апартамента. 
	SAVINI съдейства за изгодно банково кредитиране при необходимост.",SAVINI INTERNATIONAL REALTY - член на НСНИ,,1,10878567,2026-02-07 06:10:20.547813,2158,dea2f4b8db1fd4edd610e0156009ba32
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",https://www.alo.bg/ekskluzivno-dvustaen-apartament-v-kv-kamenica-2-napalno-obzaveden-i-gotov-za-nanasyane-10509595,164000.0,EUR,2733.33,Каменица 2,Пловдив,продава,двустаен,60.0,5,,продава ЕКСКЛУЗИВНО! Двустаен апартамент в кв. Каменица 2 - напълно обзаведен и готов за нанасяне,"🙏 С всяка сделка ние от Diamond Home помагаме! 💎
Даряваме процент от нашата комисионна на Фондация „Вярвай“ - организация, която подпомага хора, борещи се с рак. 
Вярваме, че заедно можем да направим нещо повече от просто бизнес - можем да дадем надежда. ❤️

🏡 ЕКСКЛУЗИВНО ПРЕДЛОЖЕНИЕ! 
Предлагаме на Вашето внимание двустаен апартамент, част от нова сграда в кв. Каменица 2. Жилището е напълно обзаведено и готово за нанасяне, съчетавайки комфорт, стил и функционалност. 

📐 Площ: 60 кв.м
🏢 Етаж: 5/6
🧭 Изложение: Север

🛋️ Разпределение: Входно антре, просторна дневна с кухненски бокс, ..",Diamond Home,,1,10509595,2026-02-07 06:10:20.547813,2158,6084c4336a59d57fcfe6ec0c899018a3
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",https://www.alo.bg/prostoren-tristaen-s-akt-16-sadiiski-10896812,164999.0,EUR,1363.63,Център,Пловдив,продава,тристаен,121.0,3,,продава Просторен тристаен с АКТ 16/ Съдийски,"оф.25123

АКТ 16!! ИЗГОДЕН!! ПРЕПОЧИТАНА ЛОКАЦИЯ!! СРЕДЕН ЕТАЖ!! Предлагаме Ви да закупите страхотен тристаен апартамент, състоящ се от просторен хол с кухненски бокс и трапезария, две големи спални 18,43кв.м и 15,72кв.м, баня с тоалетна, отделна тоалетна, килер, две тераси и коридор. Жилището, което Ви предлагаме да закупите е на шпакловка и замазка, което Ви дава пълната възможност да го довършите по ваш собствен вкус. Намира се на спокойна, но и комуникативна локация, в близост до центъра на града, училища, детски градини, автобусни спирки, магазини и др. Има възможност за закупуването на..",Avangard Real Estate,,1,10896812,2026-02-07 06:10:20.547813,2158,7a7e2c4d8091bdd546889750a2bd5f24
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",https://www.alo.bg/ekskluzivno-tristaen-apartament-obzaveden-do-klyuch-v-centar-10782178,188000.0,EUR,2292.68,Център,Пловдив,продава,тристаен,82.0,4,5,продава Ексклузивно! Тристаен апартамент обзаведен до ключ в Център,"🌹Агенция за недвижими имоти Роуз хоумс

Ви представя ЕКСКЛУЗИВНО: 

🏠Тристаен имот завършен до ключ с прекрасна панорама към стария град и храм Света Неделя 
✨Жилището е завършени с висококачествени материали и уреди и очаква своите нови артистични собственици да го обзаведат по свой вкус
📐Разпределение - входно антре, всекидневна с излаз на тераса, две спални и баня с тоалетна
📍Имота се намира на комуникативна локация в самият Център на гр. Пловдив. 
🏢Ситуиран е на 4ти от 5 етажна сграда с асансьор
📌Сградата е с АКТ 16 от 2025г

📞 За допълнителна информация сме на разположение на п..",Роуз Хоумс България ЕООД,,1,10782178,2026-02-07 06:10:20.547813,2158,9a69dac93c51ab6437a8ef8b31a1188b
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",https://www.alo.bg/dvustaen-obzaveden-apartament-centar-grad-plovdiv-ogledi-sega-10878818,112000.0,EUR,2947.37,Център,Пловдив,продава,двустаен,38.0,,,продава 🏡Двустаен обзаведен апартамент - ”Център” град Пловдив / ОГЛЕДИ СЕГА,"🏡 Двустаен ОБЗАВЕДЕН апартамент, разположен на отлична локация в район ”Център”- град Пловдив. 

🔑Разпределение: 

➤ коридор
➤ дневна с кухня и трапезария
➤ спалня
➤ баня с тоалетна

Имотът е с функционално разпределение, подходящ както за живеене, така и за инвестиция и отдаване под наем. 

📌 Локация: Намира се непосредствена близост до Четвъртък пазара, Главната улица и Художественото училище. 

📌 Огледи с предварителна уговорка

📞 За оглед и допълнителна информация - обадете се сега ✅

✨ Deluxe Homes - коректен партньор в сделките с недвижими имоти
✔ Юридическо съдействие..",DeluxeHomes,,1,10878818,2026-02-07 06:10:20.547813,2158,bc25fd4b9a38502e0c71bd381d64a33a
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",https://www.alo.bg/tristaen-apartament-135-kv-m-do-turskoto-posolstvo-10772119,275000.0,EUR,2037.04,Център,Пловдив,продава,тристаен,135.0,1,,продава Тристаен апартамент 135 кв.м до Турското посолство!!!,"ОФЕРТА 261928 ПРОДАВА СЕ Етаж от къща в сърцето на Пловдив - до Турското посолство

Предлагаме Ви уникална възможност да придобиете самостоятелен етаж от къща, разположен на тиха улица в самия супер център на Пловдив, само на минути от Главната, Капана и всички ключови административни точки. Локацията е една от най-предпочитаните - комбинира спокойствие, престижна среда и абсолютна градска удобност. 

Характеристики на имота: 

-- 
Две непреходни спални - светли, уютни и подходящи за семейство или комбинирано жилище + офис. 

-- 
Просторен хол с трапезария и кухненски бокс - голямо о..",РЕНТАЛ,,1,10772119,2026-02-07 06:10:20.547813,2158,2ab0f9fe1b328409fc1ed95239822025
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",https://www.alo.bg/tristaen-s-akt-16-centar-10558513,269999.0,EUR,2523.36,Център,Пловдив,продава,тристаен,107.0,7,,продава ТРИСТАЕН С АКТ 16 ЦЕНТЪР,"Референтен номер: 2641. Реф. номер: 2641

ЕКСКЛУЗИВНО! ТОП ЛОКАЦИЯ! АКТ 16! ЛУКСОЗНА СГРАДА! ЮГ/ ИЗТОК! ЦЕТЪР! 

Предлагаме ви да закупите тристаен апартамент в луксозна нова сграда С АКТ 16 ОТ 2024 ГОДИНА на пешеходно разстояние от Х-Л ТРИМОНЦИУМ до ТЦ ГРАНД! 

Основни характеристики на имота: 

- Площ: 107кв.м

- Разпределение: Голям и светъл хол с кухненски бокс, две просторни спални, едната от които с обособена част за голям гардероб, баня с тоалетна, отделно тоалетна, перално помещение, тераса с уникална гледка към града. Към апартамента и складово помещение на същия етаж до апа..",Лайт Хоум Риъл Естейт ЕООД,,1,10558513,2026-02-07 06:10:20.547813,2158,a6f3548a2fe74d0292cbe641d3f14ba8
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",https://www.alo.bg/sled-osnoven-remont-dvustaen-apartament-v-kv-marasha-10662036,112000.0,EUR,2947.37,Мараша,Пловдив,продава,двустаен,38.0,1,,продава След основен ремонт! Двустаен апартамент в кв. Мараша,"Титан Пропъртис с радост предлага на Вашето внимание двустаен апартамент в кв. Мараша. Районът е изключително комуникативен - в близост до магазини, спирки, училища, детска градина ”Незабравка” и в непосредствена близост до Четвъртък пазара, Главната улица и Художественото училище. 

Имотът е ситуиран на 1-ви жилищен етаж и разполага с площ от 38кв.м, разгърната в следното разпределение: входно антре, хол с кухненски бокс, спалня, баня с тоалетна и тераса. 

Имотът е напълно обзаведен и подходящ както за живеене, така и за инвестиция. 

Агенцията разполага с множество оферти в и извън ра..",Титан Пропъртис Пловдив ООД,,1,10662036,2026-02-07 06:10:20.547813,2158,f8618954b61770773d2b8f54ae5f29ed
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",https://www.alo.bg/luksozen-tristaen-s-akt-16-sadiiski-10831537,244999.0,EUR,2130.43,Център,Пловдив,продава,тристаен,115.0,7,,продава Луксозен тристаен с акт 16/ Съдийски,"оф.24921

ИЗЦЯЛО ОБЗАВЕДЕН ПО ДИЗАЙНЕРСКИ ПРОЕКТ! АКТ 16! БЕЗ АНАЛОГ НА ПАЗАРА! ОБЗАВЕЖДАНЕ С НАЙ-ВИСОК КЛАС МЕБЕЛИ И ЕЛ. УРЕДИ! Предлагаме Ви да закупите страхотен тристаен апартамент без аналог на пазара, състоящ се от ПРОСТОРЕН ХОЛ С КУХНЕНСКИ БОКС И ТРАПЕЗАРИЯ, ДВЕ ГОЛЕМИ СПАЛНИ, БАНЯ С ТОАЛЕТНА, ОТДЕЛНА ТОАЛЕТНА, ПЕРАЛНО ПОМЕЩЕНИЕ, КОРИДОР И ДВЕ ТЕРАСИ. Жилището, което Ви предлагаме да закупите, ще бъде обзаведено по дизайнерски проект, с мебели и ел. уреди от най-висок клас, което ще Ви дава пълната възможност да се нанесете веднага. Имотът е перфектния избор, както за вашия нов и мечт..",Avangard Real Estate,,1,10831537,2026-02-07 06:10:20.547813,2158,a1532bb7a08791a3396e6a4bd1f50303
