site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",https://www.alo.bg/ot-sobstvenik-tristaen-na-ul-oborishte-10902478,340000.0,EUR,5230.77,Оборище,София,продава,тристаен,65.0,2,,продава От собственик. Тристаен на ул. Оборище.,"От собственик. Ремонтиран и обзаведен апартамент на ул Оборище. Състои се от хол, две спални и малка кухня. Баня и тоалетна. Балкон и голямо мазе към апартамента. Изложение - Юг, Изток, Север.",Жени,,1,10902478,2026-02-14 06:10:08.764723,693,d86eb294a0c897488c380a2c070ee4f0
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",https://www.alo.bg/prekrasen-mnogostaen-apartament-v-sofiya-10850889,640000.0,EUR,2909.09,Редута,София,продава,многостаен,220.0,6,,продава Прекрасен многостаен апартамент в София,"Собственик продава просторен многостаен апартамент 220,27 кв.м с панорамна гледка към. София, ул. „Околчица“ 4, ЖК „Редута Ин“

Продавам изключително просторен и светъл многостаен апартамент, разположен на 6-ти етаж (не последен), на едно ниво, в сграда с Акт 16 от 2008 г. и асансьор. 

Имот, създаден за комфортен живот на голямо семейство, с отлична функционалност и редки за София квадратури. 

Важно предимство: апартаментът е без никакви скосявания - всички помещения са с реално използваеми площи. Терасите са компактни и практични, без излишни „губещи“ квадратури. 
Жилището е обзаведе..",вчера,,1,10850889,2026-02-14 06:10:08.764723,693,af66235bdade66a80388c4f62207c23b
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",https://www.alo.bg/yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-raion-10383253,175000.0,EUR,2364.86,Сухата река,София,продава,двустаен,74.0,4,6,"продава Южен двустаен апартамент с отделна кухня, в спокоен и зелен район","За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: STO-132154 

Представяме просторен, южен двустаен имот за продажба в спокоен и зелен район, на 10 мин пеша от парк ”Герена”. 

Имотът е разположен на 4-ти етаж от 6. Сградата е построена от Строителни войски за собствени нужди. Има асансьор, а входът се заключва. 

Жилището е с обща площ 74 кв.м, разпределени в: 
• антре, коридор; 
• просторен светъл хол; 
• голям остъклен балкон, който може да се ползва като обща част с хола; 
• кухня; 
• ..",SUPRIMMO,,1,10383253,2026-02-14 06:10:08.764723,693,00a622435e4aca2c710a699ace9dd7ca
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",https://www.alo.bg/dvustaen-apartament-4-32-v-sgrada-s-tower-na-bul-g-m-dimitrov-10003788,212600.0,EUR,2649.88,Дианабад,София,продава,двустаен,80.23,4,,продава Двустаен апартамент №4.32 в сграда S-Tower на бул. ”Г. М. Димитров”,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-127848 

Ексклузивно представяме за продажба двустаен апартамент №4.32 в сграда S-Tower - нов проект с отличителен дизайн, висок клас на изпълнение, комуникативна локация и отлична възможност за инвестиция. Проектът е дело на арх. Ангел Захариев и неговия екип, печелили неведнъж престижната награда ”Сграда на годината”. Кулата е с изключителна визия и ще се превърне в емблема за столицата ни. 

Апартаментът е ситуиран на 4-ти етаж от общо 15 и..",SUPRIMMO,,1,10003788,2026-02-14 06:10:08.764723,693,2324dba75486b42e238825eed2c3062a
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",https://www.alo.bg/dvustaen-apartament-4-28-v-kula-s-tower-na-bul-g-m-dimitrov-v-sofiya-10080380,247041.0,EUR,2750.09,Дианабад,София,продава,двустаен,89.83,4,,продава Двустаен апартамент №4.28 в кула S-Tower на бул. ”Г. М. Димитров” в София,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-128675 

Ексклузивно представяме за продажба двустаен апартамент №4.28 в сграда S-Tower - нов проект с отличителен дизайн, висок клас на изпълнение, комуникативна локация и отлична възможност за инвестиция. Проектът е дело на арх. Ангел Захариев и неговия екип, печелили неведнъж престижната награда ”Сграда на годината”. Кулата е с изключителна визия и ще се превърне в емблема за столицата ни. 

Апартаментът е ситуиран на 4-ти етаж от общо 15 и..",SUPRIMMO,,1,10080380,2026-02-14 06:10:08.764723,693,8f8f6d0d0b5f57cc570e6e9cf551e03f
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",https://www.alo.bg/ot-sobstvenika-bez-komisionna-prodava-3-staen-grad-sofiya-medicinska-akademiya-10880680,285000.0,EUR,3800.0,Медицинска академия,София,продава,тристаен,75.0,6,,"От собственика, без комисионна, Продава 3-СТАЕН, град София, Медицинска академия","От собственика, без комисионна
Продава 3-СТАЕН
град София, Медицинска академия
285 000 €
МЕДИЦИНСКА АКАДЕМИЯ!!! НА 5 МИНУТИ ОТ МЕТРО!!! 10 МИНУТИ ДО НДК!!! 

Представяме на вашето внимание трист..",Абдул Ал Шалаби,,1,10880680,2026-02-14 06:10:08.764723,693,61f7c7edac25dd63524e24cc25653efd
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",https://www.alo.bg/prodavam-3-staen-apartament-v-kv-izgrev-do-ruskoto-posolstvo-10690265,399000.0,EUR,4384.62,Изгрев,София,продава,тристаен,91.0,2,,"продавам 3-стаен апартамент в кв Изгрев, до Руското посолство","🏢 3-стаен, непреходен апартамент. 
🚇 До метростанция Ж. Кюри и до Руското посолство. 
📌 Състои се от хол, самостоятелна кухня, две самостоятелни спални, баня с wc, отделно wc, голям коридор, тераса ..",Архконсулт,,1,10690265,2026-02-14 06:10:08.764723,693,fe76559a5274796a40df68430d8a1d04
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",https://www.alo.bg/tristaen-apartament-5-34-v-sgrada-s-tower-na-bul-g-m-dimitrov-9103755,370655.0,EUR,2850.1,Дианабад,София,продава,тристаен,130.05,5,,продава Тристаен апартамент №5.34 в сграда S-Tower на бул. ”Г. М. Димитров”,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-116659 

Ексклузивно представяме за продажба трис..",SUPRIMMO,,1,9103755,2026-02-14 06:10:08.764723,693,076443cbaec594abd624d560f0d041d9
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",https://www.alo.bg/tristaen-apartament-medicinska-akademiya-10288655,382964.0,EUR,3791.72,Медицинска академия,София,продава,тристаен,101.0,2,,продава Тристаен апартамент-Медицинска академия,"Агенция за недвижими имоти ”Перфе” има удоволствието да Ви представи: 

ТРИСТАЕН АПАРТАМЕНТ на първи надпартерен /втори жилищен/ етаж в модерна шестетажна бутикова сграда PERFE DOWNTOWN, на идеен пр..",Перфе ООД,,1,10288655,2026-02-14 06:10:08.764723,693,6ca67d56fcde93b7a223986757790c8a
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",https://www.alo.bg/tristaen-obzaveden-apartament-v-kv-iztok-do-gradski-transport-10897420,380000.0,EUR,4175.82,Изток,София,продава,тристаен,91.0,1,,продава Тристаен обзаведен апартамент в кв. Изток до градски транспорт,"Представяме ви светъл и просторен тристаен апартамент в кв. Изток, разположен в малка тухлена сграда на 4 етажа с отлично поддържани общи части и спокойна жилищна среда. 

Жилището е основно ремонтира..",АЯКС ИМОТИ,,1,10897420,2026-02-14 06:10:08.764723,693,75c36cb8b99b577058957e614d99df59
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",https://www.alo.bg/iztok-dvustaen-epk-vatreshen-do-tehnikum-djon-atanasov-10896892,214000.0,EUR,4280.0,Изток,София,продава,двустаен,50.0,11,,"продава Изток - двустаен, ЕПК, вътрешен, до техникум Джон Атанасов","Маломерен двустаен, вътрешен, състои се от просторен хол с преход към спалня, балкон, на който се излиза от двете помещения, кухненски бокс, баня с тоалетна. Настилките са теракот и ламинат, ПВЦ догра..",АВИСТА,,1,10896892,2026-02-14 06:10:08.764723,693,267e57d95b8be2f11870754a01a65cbb
