site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",https://www.alo.bg/dvustaen-obzaveden-kv-darvenica-10917460,,,,Дървеница,София,наем,двустаен,50.0,,,наем Двустаен Обзаведен кв. Дървеница,"Под Наем кв. Дървеница

Двустаен обзаведен апартамент с площ от 50кв.м. 

РАЗПРЕДЕЛЕНИЕ: 
-входно антре
-кухня с бокс и хол
-баня с тоалетна
-спалня
-паркомясто в цената

ОБЗАВЕЖДАНЕ: 
Жилището се предлага напълно обзаведено и оборудвано с нови мебели и електроуреди! 

ЛОКАЦИЯ: 
кв. Дървеница
Нова сграда на метри от спирки на градски транспорт, големи и малки хранителни магазини, аптеки, зони за отдих и спорт! 

🆔️ Оферта номер: 88665

СВЪРЖЕТЕ СЕ ЗА ОГЛЕД НА ТЕЛЕФОНА ПОСОЧЕН В ОПИСАНИЕТО ИЛИ ЧРЕЗ ФОРМАТА ЗА ЗАПИТВАНЕ НА САЙТА",Уайс Пропъртис,,1,10917460,2026-02-14 06:16:31.139807,795,66e095c31ab57f9c43e4091d64a91712
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",https://www.alo.bg/davame-pod-naem-tristaen-apartament-v-dianabad-10690980,,,,Дианабад,София,наем,тристаен,86.0,,,Даваме под наем тристаен апартамент в Дианабад,"Тристаен, непреходен, обзаведен, дългосрочно, близо до метрото, 3 спални, баня с тоалетна и още една тоалетна, 2тераси, кухня, антре, килер, изложение юг, север, директно от собственика, вижте телефона. Саниран блок, много топъл апартамент!!! 
Възможни са допълнителни договорки!",ЯНАКИЕВ,,1,10690980,2026-02-14 06:16:31.139807,795,b996d51a34e21cf132d7f3600f91bcf2
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",https://www.alo.bg/prostoren-2-staen-apartament-v-reina-sofiya-rezidans-10816788,,,,Хладилника,София,наем,двустаен,80.0,,,наем Просторен 2 стаен апартамент в Рейна София Резидънс,"Лаборатория Недвижими Имоти предлага под наем чисто нов обзаведен 2 стаен апартамент в жилищен комплекс Рейна София Резидънс, сграда участник в конкурса ’Сграда на годината’. Сградата съчетава престижна локация с усещане за спокойствие и уединение, предлагайки на своите обитатели изключително качество на живот, панорамни гледки към Витоша и хармония между природата и динамиката на съвременния град. Комплексът предлага всичко необходимо за съвременния начин на живот - бърз достъп до ключови транспортни връзки, метростанция Витоша, търговски центрове като МОЛ Парадайс, културни и образователни и..",Лаборатория Недвижими Имоти,,1,10816788,2026-02-14 06:16:31.139807,795,28d9e377620131cd9771694d2c16e9c4
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",https://www.alo.bg/dvustaen-apartament-pod-naem-j-k-lozenec-10818376,,,,Лозенец,София,наем,двустаен,70.0,2,,Двустаен апартамент под наем ж.к. Лозенец,"Ние от Gal homes имаме удоволствието да ви представим апартамент под наем в град София, Ж. к. Лозенец, който е светъл и функционален двустаен апартамент с площ от 70 кв.м, разположен на 2-ри етаж от о..",вчера,,1,10818376,2026-02-14 06:16:31.139807,795,f0be25d66b590974982455163c046d69
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",https://www.alo.bg/dvustaen-apartament-pod-naem-j-k-strelbishte-10818303,,,,Стрелбище,София,наем,двустаен,67.0,3,,Двустаен апартамент под наем ж.к. Стрелбище,"Ние от Gal homes имаме удоволствието да ви представим апартамент под наем в град София, Ж. к. Стрелбище, който е светъл и функционален двустаен апартамент с площ от 67 кв.м, разположен на 3-ти етаж от..",вчера,,1,10818303,2026-02-14 06:16:31.139807,795,5d02d23b983f1a17c697d1062ca892fa
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",https://www.alo.bg/tristaen-apartament-pod-naem-j-k-lozenec-10829514,,,,Лозенец,София,наем,тристаен,99.0,4,,Тристаен апартамент под наем ж.к. Лозенец,"Ние от Gal homes имаме удоволствието да ви представим апартамент под наем в град София, Ж. к. Лозенец, който е светъл и функционален тристаен апартамент с площ от 99 кв.м, разположен на 4-ри етаж от о..",вчера,,1,10829514,2026-02-14 06:16:31.139807,795,1c3bc4a182360af6b1c41c822ce67ba7
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",https://www.alo.bg/ednostaen-apartament-pod-naem-j-k-iztok-10829509,,,,Изток,София,наем,едностаен,44.0,,,Едностаен апартамент под наем ж.к. Изток,"Ние от Gal homes имаме удоволствието да ви представим апартамент под наем в град София, Ж. к. Изток, който е светъл и функционален едностаен апартамент с площ от 46 кв.м, разположен на 4ти етаж от общ..",вчера,,1,10829509,2026-02-14 06:16:31.139807,795,a52045deba636093091f37cba6556a94
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",https://www.alo.bg/dvustaen-apartament-pod-naem-j-k-medicinska-akademiya-10829612,,,,Медицинска академия,София,наем,двустаен,65.0,,,Двустаен апартамент под наем ж.к. Медицинска академия,"Ние от Gal homes имаме удоволствието да ви представим апартамент под наем в град София, Ж. к. Медицинска академия, който е светъл и функционален двустаен апартамент с площ от 65 кв.м, разположен на 3-..",вчера,,1,10829612,2026-02-14 06:16:31.139807,795,2acd54e61046dcc30b2603c784681191
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",https://www.alo.bg/tristaen-apartament-pod-naem-j-k-strelbishte-10824509,,,,Стрелбище,София,наем,тристаен,99.0,4,,Тристаен апартамент под наем ж.к. Стрелбище,"Ние от Gal homes имаме удоволствието да ви представим апартамент под наем в град София, Ж. к. Стрелбище, който е светъл и функционален тристаен апартамент с площ от 99 кв.м, разположен на 4-ри етаж от..",вчера,,1,10824509,2026-02-14 06:16:31.139807,795,a18fe870a26987216459f80b8ff295a6
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",https://www.alo.bg/dvustaen-apartament-pod-naem-j-k-hipodruma-10824502,,,,Хиподрума,София,наем,двустаен,68.0,3,,Двустаен апартамент под наем ж.к. Хиподрума,"Ние от Gal homes имаме удоволствието да ви представим апартамент под наем в град София, Ж. к. Хиподрума, който е светъл и функционален двустаен апартамент с площ от 68 кв.м, разположен на 3-ри етаж от..",вчера,,1,10824502,2026-02-14 06:16:31.139807,795,33f7e49ccd2f68203344c5f3a9249be5
