site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-dobrich?currency=2,https://bazar.bg/obiava-53030190/prodawa-se-zemedelska-zemia-dobrudzha,97500.0,EUR,,Генерал Тошево,Добрич,продава,земя,,,,ПРОДАВА СЕ ЗЕМЕДЕЛСКА ЗЕМЯ – ДОБРУДЖА,,,,1,53030190,2026-02-05 06:18:25.760484,203,3bf574181cc568da573afc0036477227
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-dobrich?currency=2,https://bazar.bg/obiava-46877709/krapets-8-5-dekara-zemia,15000.0,EUR,,Крапец,Добрич,продава,земя,,,,продава  КРАПЕЦ   8.5 декара земя,,,,1,46877709,2026-02-05 06:18:25.760484,203,8f9abe623f3b62099155575d51f2a617
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-dobrich?currency=2,https://bazar.bg/obiava-53322012/prodawa-zemedelska-zemia-s-staewtsi-oblast-dobrich,,,,Стаевци,Добрич,продава,земя,,,,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Стаевци, област Добрич",,,,1,53322012,2026-02-05 06:18:25.760484,203,b3dacf2f1bf098ec47126edec9aadc65
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-dobrich?currency=2,https://bazar.bg/obiava-53322062/prodawa-zemedelska-zemia-s-tsarkwa-oblast-dobrich,32212.0,EUR,,Църква,Добрич,продава,земя,,,,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Църква, област Добрич",,,,1,53322062,2026-02-05 06:18:25.760484,203,ac81916f20416fb56f96551485d99552
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-dobrich?currency=2,https://bazar.bg/obiava-50109635/prodawa-zemedelska-zemia-s-balkantsi-oblast-dobrich,120256.0,EUR,,Балканци,Добрич,продава,земя,,,,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Балканци, област Добрич",,,,1,50109635,2026-02-05 06:18:25.760484,203,42dcafb09921d4a5affef508a8d5647a
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-dobrich?currency=2,https://bazar.bg/obiava-53264454/prodawa-zemedelska-zemia-gr-kawarna-oblast-dobrich,,,,Варна,Добрич,продава,земя,,,,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, гр. Каварна, област Добрич",,,,1,53264454,2026-02-05 06:18:25.760484,203,c990c844d2fe0d4eb9683f2ef6fad41d
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-dobrich?currency=2,https://bazar.bg/obiava-53354601/prodawa-zemedelska-zemia-s-obrochishte-oblast-dobrich,140000.0,EUR,,Оброчище,Добрич,продава,земя,,,,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Оброчище, област Добрич",,,,1,53354601,2026-02-05 06:18:25.760484,203,f25aa55c29c6874b4c03a57631925093
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-dobrich?currency=2,https://bazar.bg/obiava-53353387/prodawa-zemedelska-zemia-s-tsarkwa-oblast-dobrich,290000.0,EUR,,Църква,Добрич,продава,земя,,,,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Църква, област Добрич",,,,1,53353387,2026-02-05 06:18:25.760484,203,7986585f975c704c722291b7d8d0bf1b
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-dobrich?currency=2,https://bazar.bg/obiava-53031546/prodawa-zemedelska-zemia-gr-general-toshewo-oblast-dobrich,56500.0,EUR,,Генерал Тошево,Добрич,продава,земя,,,,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, гр. Генерал Тошево, област Добрич",,,,1,53031546,2026-02-05 06:18:25.760484,203,32251827a79087a0be3eb685412d7a1e
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-dobrich?currency=2,https://bazar.bg/obiava-53350669/prodawa-zemedelska-zemia-s-widno-oblast-dobrich,16500.0,EUR,,Видно,Добрич,продава,земя,,,,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Видно, област Добрич",,,,1,53350669,2026-02-05 06:18:25.760484,203,2ce6b21726b1deabe868c8115194cded
