site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-51757236/dwustaen-apartament-pod-naem-w-kamenitsa-1,32211.0,EUR,,Пловдив,Каменица 1,наем,двустаен,,,,Двустаен апартамент под наем в Каменица 1,,,,1,51757236,2026-02-04 14:53:52.917056,1139,4200d6e636d4891a72ebdb35f76ddca9
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53313111/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,350.0,EUR,,Пловдив,Център,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Център",,,,1,53313111,2026-02-04 14:53:52.917056,1139,0d2ab6be99f8301136c40aae36b478e8
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53166386/dawa-pod-naem-2-staen-gr-plowdiw-mladezhki-halm,460.0,EUR,,Пловдив,Младежки хълм,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Младежки Хълм",,,,1,53166386,2026-02-04 14:53:52.917056,1139,1f47e3a7f30bd56e4dd1cf5f652945e7
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-52876952/dawa-pod-naem-2-staen-gr-plowdiw-otdih-i-kultura,700.0,EUR,,Пловдив,Отдих и Култура,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Отдих и култура",,,,1,52876952,2026-02-04 14:53:52.917056,1139,685441c6c2a3586b87688199f1359305
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53312976/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,350.0,EUR,,Пловдив,Център,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Център",,,,1,53312976,2026-02-04 14:53:52.917056,1139,0d2ab6be99f8301136c40aae36b478e8
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53310956/dawa-pod-naem-3-staen-gr-plowdiw-marasha,550.0,EUR,,Пловдив,Мараша,наем,тристаен,,,,"Дава под наем 3-СТАЕН, гр. Пловдив, Мараша",,,,1,53310956,2026-02-04 14:53:52.917056,1139,fd59259dbf8cc1b08817e1c7957042d5
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-52456790/dawa-pod-naem-2-staen-gr-plowdiw-kamenitsa-1,780.0,EUR,,Пловдив,Каменица 1,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Каменица 1",,,,1,52456790,2026-02-04 14:53:52.917056,1139,47b9df0c432e9941c193f417046a84a7
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53218243/dawa-pod-naem-3-staen-gr-plowdiw-mladezhki-halm,690.0,EUR,,Пловдив,Младежки хълм,наем,тристаен,,,,"Дава под наем 3-СТАЕН, гр. Пловдив, Младежки Хълм",,,,1,53218243,2026-02-04 14:53:52.917056,1139,b82dd110bde80bc84db8293ffb08b2cc
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53257644/dawa-pod-naem-3-staen-gr-plowdiw-mladezhki-halm,380.0,EUR,,Пловдив,Младежки хълм,наем,тристаен,,,,"Дава под наем 3-СТАЕН, гр. Пловдив, Младежки Хълм",,,,1,53257644,2026-02-04 14:53:52.917056,1139,96bb560d48fac721571dfbfe78525ad7
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53241783/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,390.0,EUR,,Пловдив,Център,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Център",,,,1,53241783,2026-02-04 14:53:52.917056,1139,0d2ab6be99f8301136c40aae36b478e8
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53254148/dawa-pod-naem-3-staen-gr-plowdiw-tsentar,875.0,EUR,,Пловдив,Център,наем,тристаен,,,,"Дава под наем 3-СТАЕН, гр. Пловдив, Център",,,,1,53254148,2026-02-04 14:53:52.917056,1139,97dc81839a1953a0fe29e8c43b1699d1
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53070249/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,350.0,EUR,,Пловдив,Център,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Център",,,,1,53070249,2026-02-04 14:53:52.917056,1139,0d2ab6be99f8301136c40aae36b478e8
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53355004/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,430.0,EUR,,Пловдив,Център,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Център",,,,1,53355004,2026-02-04 14:53:52.917056,1139,0d2ab6be99f8301136c40aae36b478e8
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53354859/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,600.0,EUR,,Пловдив,Център,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Център",,,,1,53354859,2026-02-04 14:53:52.917056,1139,35b971a98be3590178433c0bcf62950b
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53354329/dawa-pod-naem-2-staen-gr-plowdiw-marasha,510.0,EUR,,Пловдив,Мараша,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Мараша",,,,1,53354329,2026-02-04 14:53:52.917056,1139,1f47e3a7f30bd56e4dd1cf5f652945e7
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53159563/dawa-pod-naem-2-staen-gr-plowdiw-mladezhki-halm,420.0,EUR,,Пловдив,Младежки хълм,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Младежки Хълм",,,,1,53159563,2026-02-04 14:53:52.917056,1139,0d2ab6be99f8301136c40aae36b478e8
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53353835/dawa-pod-naem-2-staen-gr-plowdiw-mladezhki-halm,520.0,EUR,,Пловдив,Младежки хълм,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Младежки Хълм",,,,1,53353835,2026-02-04 14:53:52.917056,1139,1f47e3a7f30bd56e4dd1cf5f652945e7
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-52086131/iziskan-prostoren-treti-etazh-tsentar-gr-plowdiw-270-kw-m-s-wazmozhnost-za-garazh-pod-naem,1500.0,EUR,5.56,Пловдив,Център,наем,гараж,270.0,,,"ИЗИСКАН, Просторен трети етаж, Център гр. Пловдив - 270 кв.м с възможност за ГАРАЖ под наем",,,,1,52086131,2026-02-04 14:53:52.917056,1139,58023a048f9454ee601ba815e7a54034
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53005571/dawa-pod-naem-3-staen-gr-plowdiw-tsentar,550.0,EUR,,Пловдив,Център,наем,тристаен,,,,"Дава под наем 3-СТАЕН, гр. Пловдив, Център",,,,1,53005571,2026-02-04 14:53:52.917056,1139,fd59259dbf8cc1b08817e1c7957042d5
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,https://bazar.bg/obiava-53353503/dawa-pod-naem-2-staen-gr-plowdiw-mladezhki-halm,400.0,EUR,,Пловдив,Младежки хълм,наем,двустаен,,,,"Дава под наем 2-СТАЕН, гр. Пловдив, Младежки Хълм",,,,1,53353503,2026-02-04 14:53:52.917056,1139,0d2ab6be99f8301136c40aae36b478e8
