site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-86661-apartamenti-za-prodajba-v-plovdiv.html,56351.0,EUR,237.15,Пловдив,Гагарин,продава,,237.62,,,"Модерен комплекс с 4 блока съчетаващ удобство и уют, близо до центъра на Пловдив","Продажба, Твоят дом те очаква в комплекс, който се отличава с модерна архитектура, просторни апартаменти, осигуряващи комфорт и високо качество на живот.
 
Ако сте мечтали да живеете на комуникативно място с модерна инфраструктура, до всички удобства тогава определено трябва да",Стефан Моллов,,2,86661,2026-02-04 14:33:52.869273,83,4c29cc06ee2f6e73ceafaca32f58f775
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89053-dvustaen-apartament-za-prodajba-v-plovdiv.html,118000.0,EUR,1761.19,Пловдив,Беломорски,продава,двустаен,67.0,,,Двустаен апартамент с Акт 16 и паркомясто в кв. Беломорски,"Продажба, Двустаен апартамент с Акт 16, разположен в тихия и уютен квартал Беломорски, който граничи с Кючук Париж. Районът се характеризира с преобладаващо жилищно застрояване, спокойна атмосфера, много зелени площи, което го прави отличен избор за семейства и хора, търсещи баланс между",Стефан Моллов,,2,89053,2026-02-04 14:33:52.869273,83,79c5429076ed5a46986a3899930a3ad5
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-etaji-ot-kashta/imot-85340-etaj-ot-kashta-za-prodajba-blizo-do-plovdiv.html,170000.0,EUR,1172.41,Пловдив,,продава,къща,145.0,,,Етаж от къща с прекрасна гледка към Родопите в гр. Куклен,"Продажба, -3%, Етаж от просторна къща намираща се в полите на Родопите на няколко минути от град Пловдив. Имотът е достъпен целогодишно и предлага невероятна тишина, спокойствие и уединение. Намира се в края на града и разкрива невероятна гледка към Родопите. Разположен е едва на 8 км от втория",Петър Петаларев,,2,85340,2026-02-04 14:33:52.869273,83,4a385698142dbbe45e43d23cc42a05a9
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-85748-apartamenti-za-prodajba-v-plovdiv.html,224728.0,EUR,1435.23,Пловдив,Кършияка,продава,,156.58,,,Модерен жилищен комплекс с Акт 16 до Парк-хотел „Санкт Петербург“,"Продажба, Представяме на вашето внимание студиа, двустайни и тристайни апартаменти, магазини и паркоместа в модерна бутикова сграда, разположена до хотел „Санкт Петербург“, в кв. Кършияка. Комплексът се отличава с висок клас строителство, съвременен архитектурен дизайн, европейска визия,",Стефан Моллов,,2,85748,2026-02-04 14:33:52.869273,83,d5280ce09554a5aa12b9c8bfceea3b8a
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-87383-apartamenti-za-prodajba-v-plovdiv.html,54900.0,EUR,374.21,Пловдив,Беломорски,продава,,146.71,,,Нов комплекс с апартаменти в кв. Беломорски,"Продажба, Апартаменти в жилищен проект от две 4-етажни сгради със стартиращо строителство. Очакван Акт 16 - 30.12.2026г. Комплексът се намира в кв. Беломорски с бърз и лесен достъп до центъра на Пловдив. Районът предлага отлична инфраструктура.

Имотът включва две 4-етажните жилищни",Стефан Моллов,,2,87383,2026-02-04 14:33:52.869273,83,29e86a749a5480a082bb38c8a932af47
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-86398-apartamenti-za-prodajba-v-plovdiv.html,66400.0,EUR,585.28,Пловдив,Беломорски,продава,,113.45,,,Двустайни и тристайни апартаменти в зеления кв. Беломорски,"Продажба, Двустайни и тристайни апартаменти в жилищен проект, стартиращо строителство в края на януари, 2025 година. Очакван Акт 16  - 30.10.2026г. Имотът се намира в най-зеления квартал на Пловдив – Беломорски, на втора линия - на тихо място в бързоразвиващ се район с ново, модерно",Стефан Моллов,,2,86398,2026-02-04 14:33:52.869273,83,1c77e1cb7458bec992700c880a5fe3cd
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-85939-apartamenti-za-prodajba-v-plovdiv.html,135700.0,EUR,981.56,Пловдив,Христо Смирненски,продава,,138.25,,,Жилищна сграда с модерна архитектура в кв. Христо Смирненски,"Продажба, Апартаменти е нова, жилищна сграда с отлична локация в гр. Пловдив. Модерна, стилна визия с красиво аранжиран вътрешен двор. Концепцията е вдъхновена от стремежа за създаване на комфортна и балансирана градска среда. Изисканата му елегантност, лукс и високото ниво на изпълнение",Стефан Моллов,,2,85939,2026-02-04 14:33:52.869273,83,21f53cf9d6ead4dfd7c9981c623b3f96
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-87389-dvustaen-apartament-za-prodajba-v-plovdiv.html,210000.0,EUR,2692.31,Пловдив,Христо Смирненски,продава,двустаен,78.0,партер,,Новопостроен двустаен апартамент с паркомясто до Гребна база,"Продажба, Разгледайте нашето ново предложение за покупка на готов за нанасяне двустаен апартамент с просторна веранда (60 кв.м.) и включено външно паркомясто в цената, разположен на партерен етаж в нова бутикова сграда, завършена през 2025 г. Имотът се намира в един от най-търсените райони",Стефан Моллов,,2,87389,2026-02-04 14:33:52.869273,83,01ef132fe48b46e231100954ebdfca50
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-86069-apartamenti-za-prodajba-v-plovdiv.html,106500.0,EUR,523.06,Пловдив,Гагарин,продава,,203.61,,,Жилища ново строителство в кв. Гагарин,"Продажба, Нов жилищен проект в кв. Гагарин, в близост до парк „Рибница“, супермаркет „Кауфланд“, МБАЛ „Св. Иван Рилски“, до училища и детски градини и ключовите булеварди „България“ и „Васил Левски“ в Пловдив.

Отлична сграда, чието завършване и планирано за началото на 2027",Стефан Моллов,,2,86069,2026-02-04 14:33:52.869273,83,a975656cc7833b7cb6561ed8b186084b
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-77917-apartamenti-za-prodajba-v-plovdiv.html,149267.0,EUR,504.45,Пловдив,Остромила,продава,,295.9,,,"Casa Moderna - дом, който впечатлява от пръв поглед!","Продажба, Вие сте човек, който мечтае да живее в изискан дом, отговарящ на Вашите високи стандарти, държите на стила и вниманието към малките детайли? Изберете дом в новия луксозен комплекс Casa Moderna, вече с Акт 16, разположен в кв. Остромила на град Пловдив, обграден от природа, която",Стефан Моллов,,2,77917,2026-02-04 14:33:52.869273,83,7bb297d75c02233f7644704ce956bd48
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-87652-apartamenti-za-prodajba-v-plovdiv.html,96447.0,EUR,1371.54,Пловдив,Младежки хълм,продава,,70.32,,,Сграда луксозно ново строителство в кв. Младежки хълм,"Продажба, Предлагаме за продажба просторни и функционално разпределени двустайни апартаменти в новострояща се луксозна жилищна сграда, разположена в един от най-предпочитаните райони на Пловдив – до Стоматологичния факултет и на метри от Медицинския университет. Локацията е изключително",Стефан Моллов,,2,87652,2026-02-04 14:33:52.869273,83,454e42706374eccf65559b31b5f335f1
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-85995-apartamenti-za-prodajba-v-plovdiv.html,96750.0,EUR,744.98,Пловдив,Кючук Париж,продава,,129.87,,,Модерна жилищна сграда в кв. Кючук Париж,"Продажба, Изберете своя нов дом с една или две спални с отлична локация в кв. Кючук Париж, до ул. Коматевско шосе, удобен градски транспорт, детски градини, училища, 3 болници, аптеки, супермаркет, ритейл парк, бул. Александър Стамболийски, с удобен достъп до Младежки хълм и Факултет по",Стефан Моллов,,2,85995,2026-02-04 14:33:56.030811,83,5ff4ee1a0356b16d6eb1daeba67c7466
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-83990-apartamenti-za-prodajba-v-plovdiv.html,192455.0,EUR,1448.88,Пловдив,Център,продава,,132.83,,,Висок клас строителство в центъра на гр. Пловдив,"Продажба, Още едно архитектурно бижу в централна част на град Пловдив. 

Жилищна сграда с модерна архитектура изцяло насочена към удовлетворяването на потребностите на съвременния човек в динамиката на града. Комфортни домове с централна локация, съчетаващи изискан и модерен дизайн,",Стефан Моллов,,2,83990,2026-02-04 14:33:56.030811,83,b5997231d613089f879119f385b46a78
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,https://www.bulgarianproperties.bg/imoti-etaji-ot-kashta/imot-79013-etaj-ot-kashta-za-prodajba-v-plovdiv.html,140000.0,EUR,828.4,Пловдив,Прослав,продава,къща,169.0,,,Обзаведен етаж от къща в кв. Прослав,"Продажба, Предлагаме ви етаж от къща в хубав квартал на Пловдив. Градът е известен с богатото си историческо и културно наследство и модерно развитие. Къщата се намира близо до училище, хранителни магазини, парк, детска градина, автобусна спирка. Бързи и удобни връзки до всички точки на",Стефан Моллов,,2,79013,2026-02-04 14:33:56.030811,83,4d2aaafda1c71fe1a4b990fef1fc16f9
