site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89281-dvustaen-apartament-pod-naem-v-sofiya.html,1500.0,EUR,12.96,София,Център,наем,двустаен,115.7,4,,Голям двустаен апартамент под наем в центъра на София,"Наем, Предлагаме под наем просторен и изключително функционален двустаен апартамент, разположен в центъра на София, на една от най-предпочитаните и комуникативни локации в столицата – в непосредствена близост до метростанция „Театрална“, парк „Заимов“ и Докторската градина. Районът",Николай Попов,,2,89281,2026-02-07 06:09:53.714646,76,9a8635d5eaddec12f9e00c18cadc7392
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89283-dvustaen-apartament-pod-naem-v-sofiya.html,640.0,EUR,9.55,София,Зона Б-19,наем,двустаен,67.0,3,,Двустаен апартамент под наем в зона Б-19 до метро и парк,"Наем, Предлагаме под наем добре разположен и функционален двустаен апартамент в зона Б-19 – район с отлична градска инфраструктура и бърз достъп до ключови точки на столицата. Имотът се намира в близост до парк, болница, ул. „Цар Симеон“, бул. „Сливница“, бул. „Инж. Иван Иванов“ и бул.",Иван Каменов,,2,89283,2026-02-07 06:09:53.714646,76,0a8785ca4f01174d03297aaf1b7fe557
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-88128-tristaen-apartament-pod-naem-v-sofiya.html,750.0,EUR,6.82,София,Карпузица,наем,тристаен,110.0,2,,Просторен и стилно обзаведен тристаен апартамент под наем в кв. Карпузица,"Наем, Представяме ви просторен и стилно обзаведен тристаен апартамент под наем, разположен в предпочитания квартал Карпузица. Жилището е с площ от 110 кв. м., намира се на втори етаж в модерна тухлена сграда от 2019 г., с асансьор и контролиран достъп, което осигурява спокойна и",Иванка Стойкова,,2,88128,2026-02-07 06:09:53.714646,76,f10cef21bed623b5116230c080185a96
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-75337-dvustaen-apartament-pod-naem-v-sofiya.html,420.0,EUR,8.08,София,Бояна,наем,двустаен,52.0,3,,Компактен двустаен апартамент в кв. Бояна,"Наем, Компактен двустаен апартамент под наем, ситуиран в кв. Бояна, непосредствено до парка на Национален исторически музей – удобно отдалечен от Околовръстен път, но с бърза връзка към ключовия възел. 

Имотът е с площ 52 кв.м. и благоприятно южно изложение, намира се на последен",Иванка Стойкова,,2,75337,2026-02-07 06:09:53.714646,76,f29a8906145dfb7feced147642c37fc5
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89272-tristaen-apartament-pod-naem-v-sofiya.html,800.0,EUR,8.0,София,Манастирски ливади,наем,тристаен,100.0,1,,Тристаен апартамент под наем в Манастирски ливади,"Наем, Представяме на вашето внимание просторен тристаен апартамент под наем, разположен в квартал Манастирски ливади, една от най-желаните и бързо развиващи се локации на столицата. Жилището предлага площ от 100 кв.м., разпределени изключително функционално и удобно.

Апартаментът се",Иван Каменов,,2,89272,2026-02-07 06:09:53.714646,76,c09f51789b177b002729ac93637a8a9d
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89231-dvustaen-apartament-pod-naem-v-sofiya.html,700.0,EUR,10.77,София,Кръстова вада,наем,двустаен,65.0,3,,Готов за нанасяне двустаен апартамент под наем във Vitosha View,"Наем, Имотът разполага с отлично разпределение, светли и функционални помещения. Напълно обзаведен и оборудван. Сградата се намира на пешеходно разстояние до магазин Фантастико в квартал Драгалевци, с лесен достъп до Околовръстния път на столицата, търговски център „Ring Mall“, мебелен",Иван Каменов,,2,89231,2026-02-07 06:09:53.714646,76,223896c14957efac3b90a3567b363b20
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89184-dvustaen-apartament-pod-naem-v-sofiya.html,850.0,EUR,14.17,София,Бояна,наем,двустаен,60.0,2,,Стилен и светъл двустаен апартамент под наем с южно изложение в кв. Бояна,"Наем, Елегантен и изключително светъл двустаен апартамент, разположен в един от най-престижните и предпочитани квартали на София – Бояна. Районът е известен със своята тиха атмосфера, чист въздух и близостта си до природата, като същевременно осигурява удобен достъп до централните",Савина Божилова,,2,89184,2026-02-07 06:09:53.714646,76,686d2a80b4d3a20e69db920f0bd5769d
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89206-tristaen-apartament-pod-naem-v-sofiya.html,700.0,EUR,7.23,София,Център,наем,тристаен,96.76,3,,Готов за нанасяне тристаен апартамент в центъра на София,"Наем, Отдава се под наем просторен и напълно обзаведен тристаен апартамент с изключително атрактивна локация в самото сърце на столицата, в района на ул. „Пиротска“. Имотът е разположен в непосредствена близост до ключови метростанции и основни градски артерии, което осигурява бърз и",Кирил Календерски,,2,89206,2026-02-07 06:09:53.714646,76,93bb79f54649df9ab16ea90d76b6de0f
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89196-tristaen-apartament-pod-naem-v-sofiya.html,899.0,EUR,7.19,София,Банишора,наем,тристаен,125.0,3,,Просторен обзаведен апартамент в нова тухлена сграда,"Наем, Тристаен апартамент под наем в централната градска част на столицата. Жилището се намира в нова тухлена сграда, разположена между ул. „Опълченска“ и бул. „Христо Ботев“, на тиха и добре уредена локация в централната градска част. Апартаментът е след основен ремонт и се предлага",Иван Каменов,,2,89196,2026-02-07 06:09:53.714646,76,6e1c10e216c8d5a80361e9338e4bc281
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89199-tristaen-apartament-pod-naem-v-sofiya.html,1050.0,EUR,10.37,София,Бъкстон,наем,тристаен,101.26,5,,Чисто нов тристаен апартамент в кв. Бъкстон,"Наем, Предлагаме под наем напълно нов и стилно обзаведен тристаен апартамент, разположен в съвременна жилищна сграда от 2025 г. на ул. Казбек в кв. Бъкстон – район с отлично развита инфраструктура, удобен обществен транспорт и бърз достъп до ключови точки на София.

Жилището с обща",Николай Попов,,2,89199,2026-02-07 06:09:53.714646,76,eb4b63fafcbe7e042d4cb9bdb9721846
