site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=424,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-91m2-sofiya-zhk.-iztok/as1670802,380000.0,EUR,4175.82,София,Изток,продава,тристаен,91.0,,,"Тристаен, 91m²","Тухла, Обзаведен, ТЕЦ",,,10,1670802,2026-02-06 06:14:53.202877,,08277a2d0f9a7b7ea18f04e5352d9545
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=424,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-91m2-sofiya-zhk.-iztok/as1670724,380000.0,EUR,4175.82,София,Изток,продава,тристаен,91.0,,,"Тристаен, 91m²","Тухла, Обзаведен, ТЕЦ",,,10,1670724,2026-02-06 06:14:53.202877,,08277a2d0f9a7b7ea18f04e5352d9545
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=424,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-58m2-sofiya-zhk.-iztok/as1646492,178000.0,EUR,3068.97,София,Изток,продава,двустаен,58.0,,,"Двустаен, 58m²","Тухла, Полуобзаведен",,,3,1646492,2026-02-06 06:14:53.202877,,0fc611173a0c0f58d593aca857e73656
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=424,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-180m2-sofiya-zhk.-iztok/as1670548,450000.0,EUR,2500.0,София,Изток,продава,четиристаен,180.0,,,"Четиристаен, 180m²","Тухла, Обзаведен, ТЕЦ",,,10,1670548,2026-02-06 06:14:53.202877,,e92a9b6f3b8d630864b182bb5a877c40
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=424,https://www.homes.bg/offer/apartament-za-prodazhba/tristaen-84m2-sofiya-zhk.-iztok/as1659648,410000.0,EUR,4880.95,София,Изток,продава,тристаен,84.0,,,"Тристаен, 84m²","Тухла, Електричество",,,10,1659648,2026-02-06 06:14:53.202877,,9b3919ed3d27524b5b0513be893ba612
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=424,https://www.homes.bg/offer/apartament-za-prodazhba/chetiristaen-103m2-sofiya-zhk.-iztok/as1658064,465480.0,EUR,4519.22,София,Изток,продава,четиристаен,103.0,,,"Четиристаен, 103m²","ЕПК, ТЕЦ",,,10,1658064,2026-02-06 06:14:53.202877,,63d7cbadcfcedd085b36d0c2aa881a66
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=424,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-60m2-sofiya-zhk.-iztok/as1667938,178950.0,EUR,2982.5,София,Изток,продава,двустаен,60.0,,,"Двустаен, 60m²","Тухла, Обзаведен, ТЕЦ",,,8,1667938,2026-02-06 06:14:53.202877,,b460072b6030ecb0ac7b34d10452ce1b
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=424,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-28m2-sofiya-zhk.-iztok/as1667312,145000.0,EUR,5178.57,София,Изток,продава,двустаен,28.0,,,"Двустаен, 28m²","Тухла, Полуобзаведен, ТЕЦ",,,8,1667312,2026-02-06 06:14:53.202877,,2c875251d090640f24dba00e7aad6d41
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=424,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-93m2-sofiya-zhk.-iztok/as1663821,275825.0,EUR,2965.86,София,Изток,продава,двустаен,93.0,,,"Двустаен, 93m²","Тухла, Полуобзаведен, ТЕЦ",,,10,1663821,2026-02-06 06:14:53.202877,,f8db50b37a0b8cf05a67100a93ee8ffc
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=1&typeId=ApartmentSell&neighbourhoods%5B%5D=424,https://www.homes.bg/offer/apartament-za-prodazhba/dvustaen-75m2-sofiya-zhk.-iztok/as1606875,325000.0,EUR,4333.33,София,Изток,продава,двустаен,75.0,,,"Двустаен, 75m²","ЕПК, Обзаведен, Локално отопление",,,10,1606875,2026-02-06 06:14:53.202877,,e6a467be7d1eecabc18f548a072165d9
