raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
"Земеделска земя, 12577m²","Категория 4, Нива",13000.0,EUR,False,наем,земя,Пловдив,с.Труд,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-12577m2-plovdiv-s.trud/la35747,2,,,homesbg,0,35747,днес,,,
"Земеделска земя, 5580m²","Категория 4, Нива",23468.0,EUR,False,наем,земя,Пловдив,с.Цалапица,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-5580m2-plovdiv-s.calapica/la35746,1,,,homesbg,0,35746,днес,,,
"Земеделска земя, 3000m²",Нива,62000.0,EUR,False,наем,земя,Пловдив,с.Бенковски,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3000m2-plovdiv-s.benkovski/la35745,1,,,homesbg,0,35745,днес,,,
"Земеделска земя, 4500m²",Нива,45000.0,EUR,False,наем,земя,Пловдив,с.Цалапица,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-4500m2-plovdiv-s.calapica/la35744,1,,,homesbg,0,35744,днес,,,
"Земеделска земя, 3000m²",Нива,79500.0,EUR,False,наем,земя,Пловдив,с.Калековец,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3000m2-plovdiv-s.kalekovec/la35743,1,,,homesbg,0,35743,днес,,,
"Земеделска земя, 3000m²",Нива,93000.0,EUR,False,наем,земя,Пловдив,с.Костиево,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3000m2-plovdiv-s.kostievo/la35742,1,,,homesbg,0,35742,днес,,,
"Земеделска земя, 895m²",Друго,5113.0,EUR,False,наем,земя,Сливен,Вилна зона,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-895m2-sliven-vilna-zona/la35009,1,,,homesbg,0,35009,вчера,,,
"Земеделска земя, 959m²","Категория 9, Нива",5000.0,EUR,False,наем,земя,Сливен,с.Бяла,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-959m2-sliven-s.byala/la34547,0,,,homesbg,0,34547,вчера,,,
"Земеделска земя, 2900m²",Нива,105000.0,EUR,False,наем,земя,Пловдив,с.Марково,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2900m2-plovdiv-s.markovo/la35213,1,,,homesbg,0,35213,вчера,,,
"Земеделска земя, 2969m²","Категория 4, Нива",74500.0,EUR,False,наем,земя,София,жк. Овча Купел,,,,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2969m2-sofiya-zhk.-ovcha-kupel/la35091,2,,,homesbg,0,35091,вчера,,,
