site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-1691m2-dryanovo-s.skalsko/la35828,16500.0,EUR,9.76,Дряново,С.Скалско,продава,земя,1691.0,,,"Земеделска земя, 1691m²",,,,1,35828,2026-02-11 18:17:43.263115,,e26d150ee0f86c05d88e7dd0fe55affa
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-40000m2-smolyan-s.smilyan/la20220,245000.0,EUR,6.12,Смолян,С.Смилян,продава,земя,40000.0,,,"Земеделска земя, 40000m²",Гора,,,4,20220,2026-02-11 18:17:43.263115,,ba82963662469776f9c582ace70acb93
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3333m2-marica-s.trud/la23357,33333.0,EUR,10.0,Марица,С.Труд,продава,земя,3333.0,,,"Земеделска земя, 3333m²","Категория 6, Нива",,,1,23357,2026-02-11 18:17:43.263115,,cecedd9658b848fbb35b28b57eafe834
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-24168m2-smolyan-s.smilyan/la22398,26000.0,EUR,1.08,Смолян,С.Смилян,продава,земя,24168.0,,,"Земеделска земя, 24168m²",Ливада,,,1,22398,2026-02-11 18:17:43.263115,,11b03108462b974c852b93d7f2a6999f
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2600m2-plovdiv-s.orizari/la35090,156000.0,EUR,60.0,Пловдив,С.Оризари,продава,земя,2600.0,,,"Земеделска земя, 2600m²",Нива,,,0,35090,2026-02-11 18:17:43.263115,,dcfd6520c0029a95bd58389ef0cf3081
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-4439m2-plovdiv-s.belashtica/la24511,159804.0,EUR,36.0,Пловдив,С.Белащица,продава,земя,4439.0,,,"Земеделска земя, 4439m²",Нива,,,2,24511,2026-02-11 18:17:43.263115,,1373d2001f68af141e0547d119abdded
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-895m2-sliven-vilna-zona/la35009,5113.0,EUR,5.71,Сливен,Вилна Зона,продава,земя,895.0,,,"Земеделска земя, 895m²",Друго,,,1,35009,2026-02-11 18:17:43.263115,,6cb5856df5d2365937f944c644ccb21a
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-959m2-sliven-s.byala/la34547,5000.0,EUR,5.21,Сливен,С.Бяла,продава,земя,959.0,,,"Земеделска земя, 959m²","Категория 9, Нива",,,0,34547,2026-02-11 18:17:43.263115,,609acbda9d4de6fcc410c9e94dc9ca03
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-3745m2-plovdiv-s.joakim-gruevo/la35552,7670.0,EUR,2.05,Пловдив,С.Йоаким-Груево,продава,земя,3745.0,,,"Земеделска земя, 3745m²","Категория 4, Нива",,,1,35552,2026-02-11 18:17:43.263115,,d49a6cb9b914ae3020ad1bfc1a460147
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2700m2-plovdiv-s.pyrvenec/la34507,30000.0,EUR,11.11,Пловдив,С.Първенец,продава,земя,2700.0,,,"Земеделска земя, 2700m²",Нива,,,3,34507,2026-02-11 18:17:43.263115,,934b0eabe9cd8480a1418d575742abc4
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-14287m2-sofiya-ivanyane/la35824,197160.0,EUR,13.8,София,Иваняне,продава,земя,14287.0,,,"Земеделска земя, 14287m²","Категория 5, Нива",,,4,35824,2026-02-11 18:17:43.263115,,58cd74f86d1fdcbac149188f50943cfe
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-4388m2-plovdiv-s.pyrvenec/la35826,140416.0,EUR,32.0,Пловдив,С.Първенец,продава,земя,4388.0,,,"Земеделска земя, 4388m²",Нива,,,1,35826,2026-02-11 18:17:43.263115,,3abde013de250443269c8f8e02de08b7
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-1300m2-plovdiv-s.pyrvenec/la35762,100000.0,EUR,76.92,Пловдив,С.Първенец,продава,земя,1300.0,,,"Земеделска земя, 1300m²",Нива,,,1,35762,2026-02-11 18:17:43.263115,,2e5749190f87c3af0113d8ffd2a16b94
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-5499m2-plovdiv-s.caracovo/la35573,220000.0,EUR,40.01,Пловдив,С.Царацово,продава,земя,5499.0,,,"Земеделска земя, 5499m²","Категория 5, Нива",,,1,35573,2026-02-11 18:17:43.263115,,102290617a1b27ca2063809cfe8e3a08
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-2300m2-borovo-s.brestovica/la35827,11500.0,EUR,5.0,Борово,С.Брестовица,продава,земя,2300.0,,,"Земеделска земя, 2300m²","Категория 7, Лозе",,,5,35827,2026-02-11 18:17:43.263115,,f9e16c5459d676382885ed74f2b47ddc
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-7684m2-vraca-s.chelopek/la19918,6136.0,EUR,0.8,Враца,С.Челопек,продава,земя,7684.0,,,"Земеделска земя, 7684m²","Категория 8, Пасище",,,2,19918,2026-02-11 18:17:43.263115,,d25a028906b1dbd12a0a5ab46a712bc6
homesbg,https://www.homes.bg/api/offers?currencyId=1&filterOrderBy=0&locationId=0&typeId=LandAgro,https://www.homes.bg/offer/zemya-za-prodazhba/zemedelska-zemya-1500m2-vraca-s.pavolche/la19917,5113.0,EUR,3.41,Враца,С.Паволче,продава,земя,1500.0,,,"Земеделска земя, 1500m²",,,,1,19917,2026-02-11 18:17:43.263115,,9137c323c8a1ed77850b5d16083987d9
