title,price,currency,offer_type,property_type,city,neighborhood,description,contact_info,agency,agency_url,details_url,num_photos,date_added,site,floor,price_per_m2,ref_no,area
Продава 2-СТАЕН,170000,EUR,Продава,двустаен,град София,Дианабад,"61 кв.м, бул. Д-р Г. М. Димитров, 7-ми ет. от 8, Газ, Тухла 2023 г., ПОСЛЕДЕН АПАРТАМЕНТ НА ДИРЕКТНА ПРОДАЖБА!  2-стаен апартамент в нова сграда на бул. Симеоновско шосе ..., тел.: 0887677426",0887677426,,https://stolinchev.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173442158314967&slink=bjarb7&f1=1,10.0,2025-01-10 18:02:20.169046,imot.bg,,,1b173442158314967,
Продава 2-СТАЕН,170000,EUR,Продава,двустаен,град София,Дианабад,"61 кв.м, бул. Д-р Г. М. Димитров, 7-ми ет. от 8, Газ, Тухла 2023 г., ПОСЛЕДЕН АПАРТАМЕНТ НА ДИРЕКТНА ПРОДАЖБА!  2-стаен апартамент в нова сграда на бул. Симеоновско шосе ..., тел.: 0887677426",0887677426,,https://stolinchev.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173442158314967&slink=bjarb7&f1=1,10.0,2025-01-10 18:02:20.169751,imot.bg,,,1b173442158314967,
Продава 2-СТАЕН,186000,EUR,Продава,двустаен,град София,Дианабад,"70 кв.м, бул. Д-р Г. М. Димитров, 8-ми ет. от 20, ТЕЦ, Отлично отремонтиран имот в изцяло санирана сграда на комуникативно място в близост до много спирки  ..., тел.: 0898515970",0898515970,,https://mitra.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b172389258384810&slink=bjarb7&f1=1,9.0,2025-01-10 18:02:20.170049,imot.bg,,,1b172389258384810,
Продава 2-СТАЕН,240000,EUR,Продава,двустаен,град София,Дианабад,"76 кв.м, 3-ти ет. от 8, ТЕЦ, Тухла 2023 г., Напълно обзаведен имот с АКТ 16!  Билдинг Бокс предлага за продажба двустаен апартамент в тухлена сг ..., тел.: 0879900994",0879900994,,https://buildingbox.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173460178581370&slink=bjarb7&f1=1,15.0,2025-01-10 18:02:20.170338,imot.bg,,,1b173460178581370,
Продава 2-СТАЕН,220675,EUR,Продава,двустаен,град София,Изгрев,"63 кв.м, 4-ти ет. от 8, ТЕЦ, Тухла 2025 г., ДИРЕКТНО ОТ ИНВЕСТИТОРА !!! Имаме удоволствието да Ви представим първата жилищна сграда в София със  ..., тел.: 0896001701",0896001701,,https://harmonygroup.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b157294181120037&slink=bjarb7&f1=1,17.0,2025-01-10 18:02:20.170642,imot.bg,,,1b157294181120037,
Продава 2-СТАЕН,220675,EUR,Продава,двустаен,град София,Изгрев,"63 кв.м, бул. Драган Цанков, 4-ти ет. от 8, ТЕЦ, Тухла 2025 г., ДИРЕКТНО ОТ ИНВЕСТИТОРА !!! Имаме удоволствието да Ви представим първата жилищна сграда в София със  ..., тел.: 0896001701",0896001701,,https://harmonygroup.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b157190704816896&slink=bjarb7&f1=1,17.0,2025-01-10 18:02:20.170953,imot.bg,,,1b157190704816896,
Продава 2-СТАЕН,215000,EUR,Продава,двустаен,град София,Хладилника,"65 кв.м, Партер от 6, Тухла 2024 г., ERA Premium има удоволствието да Ви представи двустаен апартамент в затворен комплекс SoHome Residen ..., тел.: 0877500153",0877500153,,https://belleestates.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173642820254986&slink=bjarb7&f1=1,6.0,2025-01-10 18:02:20.171256,imot.bg,,,1b173642820254986,
Продава 2-СТАЕН,222000,EUR,Продава,двустаен,град София,Хладилника,"77 кв.м, 3-ти ет. от 6, ТЕЦ, Тухла 2002 г., Билдинг Бокс предлага за продажба двустаен апартамент с чиста площ 64 кв.м, разположен на трети етаж ..., тел.: 0877734412",0877734412,,https://buildingbox.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b173390728454794&slink=bjarb7&f1=1,13.0,2025-01-10 18:02:20.171546,imot.bg,,,1b173390728454794,
Продава 2-СТАЕН,211488,EUR,Продава,двустаен,град София,Хладилника,"78 кв.м, 3-ти ет. от 5, Тухла 2024 г., Продажби директно от инвеститора, без комисиона за купувача! С Акт 16! Представеният апартамент 14 в ..., тел.: 0882330022",0882330022,,https://husestate.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b166443216968170&slink=bjarb7&f1=1,16.0,2025-01-10 18:02:20.171841,imot.bg,,,1b166443216968170,
Продава 3-СТАЕН,172000,EUR,Продава,тристаен,град София,Дианабад,"80 кв.м, бул. Д-р Г. М. Димитров, 10-ти ет. от 19, ТЕЦ, ЕПК 1977 г., оф. 37777. ТОП ЛОКАЦИЯ! НА ТОП ЦЕНА! ЧУДЕСЕН ТРИСТАЕН АПАРТАМЕНТ, ВЪТРЕШЕН, МНОГО ТОПЪЛ, СЛЪНЧЕВ, НА ..., тел.: 0886969404",0886969404,,https://imotidoverie.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c165028983915451&slink=bjarb7&f1=1,16.0,2025-01-10 18:02:20.172134,imot.bg,,,1c165028983915451,
Продава 3-СТАЕН,229000,EUR,Продава,тристаен,град София,Дианабад,"110 кв.м, 5-ти ет. от 5, Тухла 2003 г., Продава се тристаен тухлен апартамент, на метри от бул.Г.М.Димитров, в близост до хотел Оливс. Апарт ..., тел.: 0899585100",0899585100,,https://bandb.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171009288091415&slink=bjarb7&f1=1,16.0,2025-01-10 18:02:20.172419,imot.bg,,,1c171009288091415,
Продава 3-СТАЕН,304000,EUR,Продава,тристаен,град София,Дианабад,"219 кв.м, 5-ти ет. от 5, Тухла 2024 г., Референтен номер: 737.     МаксВю Пропърти Ви представя тристаен апартамент с панорамна гледка в лук ..., тел.: 0893069401",0893069401,,https://maxview050221.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c171351472791537&slink=bjarb7&f1=1,6.0,2025-01-10 18:02:20.172705,imot.bg,,,1c171351472791537,
Продава 3-СТАЕН,318990,EUR,Продава,тристаен,град София,Изгрев,"105 кв.м, 2-ри ет. от 7, ТЕЦ, Тухла 2023 г., НОВА СГРАДА С АКТ 16! В НАЙ-ЖЕЛАНИЯ КВАРТАЛ - ИЗГРЕВ! Предлагаме на Вашето внимание тристаен апартам ..., тел.: 0887219224",0887219224,,https://jjcorporation.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c172959846407345&slink=bjarb7&f1=1,17.0,2025-01-10 18:02:20.173019,imot.bg,,,1c172959846407345,
Продава 3-СТАЕН,279000,EUR,Продава,тристаен,град София,Изгрев,"100 кв.м, 6-ти ет. от 17, ТЕЦ, Апартамента е в комплекс 80Тинтява. Степен на завършеност акт 14, очакван акт 16 12/2025 година. Изл ..., тел.: 0888566566",0888566566,,https://eurobroker.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c172226055620690&slink=bjarb7&f1=1,,2025-01-10 18:02:20.173336,imot.bg,,,1c172226055620690,
Продава 3-СТАЕН,291550,EUR,Продава,тристаен,град София,Изгрев,"83 кв.м, бул. Драган Цанков, 2-ри ет. от 8, ТЕЦ, Тухла 2025 г., ДИРЕКТНО ОТ ИНВЕСТИТОРА!!! Имаме удоволствието да Ви представим първата жилищна сграда в София със с ..., тел.: 0897981801",0897981801,,https://harmonygroup.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c157234033546672&slink=bjarb7&f1=1,17.0,2025-01-10 18:02:20.173636,imot.bg,,,1c157234033546672,
Продава 3-СТАЕН,465756,EUR,Продава,тристаен,град София,Изгрев,"126 кв.м, бул. Драган Цанков, 5-ти ет. от 8, ТЕЦ, Тухла 2024 г., ДИРЕКТНО ОТ ИНВЕСТИТОРА !!! Имаме удоволствието да Ви представим първата жилищна сграда в София със  ..., тел.: 0899001701",0899001701,,https://harmonygroup.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c157294232369772&slink=bjarb7&f1=1,17.0,2025-01-10 18:02:20.173948,imot.bg,,,1c157294232369772,
Продава 3-СТАЕН,220000,EUR,Продава,тристаен,град София,Изток,"70 кв.м, ул. Николай Хайтов, 1-ви ет. от 6, ТЕЦ, 🌟 Продава се уютен 3-стаен апартамент в престижния квартал Изток! 🌟  🔑 Детай ..., тел.: 0888925556",0888925556,,https://novdom1sf.imot.bg/,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1c173530808772995&slink=bjarb7&f1=1,11.0,2025-01-10 18:02:20.174244,imot.bg,,,1c173530808772995,
