raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,date,ref_no,time,price_per_m2,area,floor
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 20.07.2024 г. и рента 110 лв./год., 23 дка, Рилци, В близост до чертите на селото,излаз на път,лице 65 м.Плодородна земя,подходяща за зеленчукопроизвод ..., тел.: 0887635511",96600.0,BGN,False,продава,,Добрич, област Добрич,0887635511,,https://kondor.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173710118551351&slink=bps4fm&f1=1,5.0,2025-02-24 08:36:21.907110,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bps4fm&f1=1,imot.bg,454,2025-02-24,1s173710118551351,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 20.07.2024 г. и рента 110 лв./год., 23 дка, Рилци, В близост до чертите на селото,излаз на път,лице 65 м.Плодородна земя,подходяща за зеленчукопроизвод ..., тел.: 0887635511",96600.0,BGN,False,продава,,Добрич, област Добрич,0887635511,,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173710118551351&slink=bps4fm&f1=1,,2025-02-24 08:36:21.907933,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bps4fm&f1=1,imot.bg,454,2025-02-24,1s173710118551351,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 6 дка, Земя до регулация в землището на село Просеник, Бургас БЕЗ КОМИСИОНА! ДО РЕГУЛАЦИЯ! В БЛИЗОСТ ДО ТОК ..., тел.: 0886088088",69900.0,EUR,False,продава,,Просеник, област Бургас,0886088088,,https://petrakievi.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173808398750813&slink=bps4fm&f1=1,5.0,2025-02-24 08:36:21.908242,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bps4fm&f1=1,imot.bg,454,2025-02-24,1s173808398750813,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 30.09.2025 г. и рента 30 лв./год., 33 дка, ЕВОЛЮТ продава земеделска земя в землището на с. Малки чифлик, общ. Велико Търново, НИВИ категория 3 ..., тел.: 0878 44 7777",39600.0,BGN,False,продава,,Малки чифлик, област Велико Търново,0878 44 7777,,https://evoluthome.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s168554872924106&slink=bps4fm&f1=1,5.0,2025-02-24 08:36:21.908523,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bps4fm&f1=1,imot.bg,454,2025-02-24,1s168554872924106,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 01.10.2025 г. и рента 110 лв./год., 18 дка, Гекко Хоум ви предлага един парцел 18 д-ка раположен в район Добрич, населено място Крушари. Нивата  ..., тел.: 0893717250",71100.0,BGN,False,продава,,Крушари, област Добрич,0893717250,,https://gekkohome.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173986806402068&slink=bps4fm&f1=1,,2025-02-24 08:36:21.908812,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bps4fm&f1=1,imot.bg,454,2025-02-24,1s173986806402068,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 01.10.2025 г. и рента 110 лв./год., 40 дка, Гекко Хоум ви предлага един парцел 40 д-ка раположен в район Добрич, населено място Полковник Дяково ..., тел.: 0893717250",158000.0,BGN,False,продава,,Полковник Дяково, област Добрич,0893717250,,https://gekkohome.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173986183051144&slink=bps4fm&f1=1,,2025-02-24 08:36:21.909090,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bps4fm&f1=1,imot.bg,454,2025-02-24,1s173986183051144,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 2.399 дка, ОФЕРТА 82632 Земеделска земя с площ 2 399кв.м., категория 3, Нива в м. Тръновица в район на нови къщ ..., тел.: 0893 568 645",100758.0,EUR,False,продава,,Браниполе, област Пловдив,0893 568 645,,https://rimex.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173978348446066&slink=bps4fm&f1=1,5.0,2025-02-24 08:36:21.909347,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bps4fm&f1=1,imot.bg,454,2025-02-24,1s173978348446066,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 5 дка, Земеделска земя 5534 кв м  с начин на трайно ползване - нива . трета категория при неполивани услови ..., тел.: 0887737333",139000.0,EUR,False,продава,,Брестник, област Пловдив,0887737333,,https://tal.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s170721249229320&slink=bps4fm&f1=1,2.0,2025-02-24 08:36:21.909620,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bps4fm&f1=1,imot.bg,454,2025-02-24,1s170721249229320,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, с Аренден договор до 01.09.2025 г. и рента 70 лв./год., 81.53 дка, Предлагаме за продажба обработваема земеделска земя в землището на с. Радецки, общ. Нова Загора, обл ..., тел.: 0879332276",244599.0,BGN,False,продава,,Радецки, област Сливен,0879332276,,https:None,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s173649180711166&slink=bps4fm&f1=1,5.0,2025-02-24 08:36:21.909873,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bps4fm&f1=1,imot.bg,454,2025-02-24,1s173649180711166,,,,
Продава ЗЕМЕДЕЛСКА ЗЕМЯ,"Нива, кат. 3, 10 дка, Предлагаме Ви атрактивен парцел по главен път Габрово   Севлиево. Недвижим имот с различни възможнос ..., тел.: 0898 675 565",,,False,продава,,Габрово, Център,0898 675 565,,https://dikova.imot.bg,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1s155497096674724&slink=bps4fm&f1=1,4.0,2025-02-24 08:36:21.910166,https://www.imot.bg/pcgi/imot.cgi?act=3&slink=bps4fm&f1=1,imot.bg,454,2025-02-24,1s155497096674724,,,,
