site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/tristaen?raioni=5982~5986~5988~5991~6360~,https://www.imot.bg/obiava-1c177010764828993-prodava-tristaen-apartament-grad-plovdiv-marasha-ulitsa-bratya-miladinovi,171700.0,EUR,1480.17,Пловдив,Мараша,продава,тристаен,116.0,5,5,Продава 3-СТАЕН,"116 кв.м, улица Братя Миладинови, 5-ти ет. от 5, Въведен в експлоатация 2013 г., САМО ПРИ НАС !!  🔥 Промоционална цена до края на януари   1480  /кв.м 🔥  Предлагам н ..., тел.: 0897077363",ЕЙЧ ЕЙЧ ПРОПЪРТИ ЕООД,https://hhproperties.imot.bg,10.0,1,2026-02-11 18:18:29.070337,757,b7fbcd033b4aa646ee36b67a2fafe080
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/tristaen?raioni=5982~5986~5988~5991~6360~,https://www.imot.bg/obiava-1c176183103512942-prodava-tristaen-apartament-grad-plovdiv-marasha,180000.0,EUR,1875.0,Пловдив,Мараша,продава,тристаен,96.0,2,4,Продава 3-СТАЕН,"96 кв.м, 2-ри ет. от 4, 1998 г., (Оферта - 8967 !!! СРЕДЕН ЕТАЖ! Малка сграда! Топ локация! Акрона имоти представя ТРИ стаен апартаме ..., тел.: 0897650418",АКРОНА НЕДВИЖИМИ ИМОТИ,https://acrona.imot.bg,6.0,1,2026-02-11 18:18:29.070337,757,2bcb6a4b077c7508e6ba4f7a726ecf48
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/tristaen?raioni=5982~5986~5988~5991~6360~,https://www.imot.bg/obiava-1c176969132555702-prodava-tristaen-apartament-grad-plovdiv-marasha,228000.0,EUR,2072.73,Пловдив,Мараша,продава,тристаен,110.0,5,5,Продава 3-СТАЕН,"110 кв.м, 5-ти ет. от 5, Въведен в експлоатация 2002 г., 🙏 С всяка сделка ние от Diamond Home помагаме! 💎 Даряваме процент от нашата комисион ..., тел.: 0886452910",ДАЙМЪНД ХОУМ БЪЛГАРИЯ ЕООД,https://diamondhome.imot.bg,14.0,1,2026-02-11 18:18:29.070337,757,33c395f08adafa738900f4e12a3b45d8
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/tristaen?raioni=5982~5986~5988~5991~6360~,https://www.imot.bg/obiava-1c168554922603365-prodava-tristaen-apartament-grad-plovdiv-marasha-top-myasto,359000.0,EUR,2564.29,Пловдив,Мараша,продава,тристаен,140.0,4,5,Продава 3-СТАЕН,"140 кв.м, ТОП място , 4-ти ет. от 5, Въведен в експлоатация 2022 г., ЧИСТО НОВ ,ЛУКС ОБЗАВЕДЕН ТРИСТАЕН АПАРТАМЕНТ С ПАРТЕРЕН ГАРАЖ БЛИЗО ДО ЦЕНТЪРА НА ПЛОВДИВ В МАРАША  ..., тел.: 0889992848",ЕЛЕМЕНТ,https://element.imot.bg,17.0,1,2026-02-11 18:18:29.070337,757,db6cbd2331485df3fd71a09daeef2081
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/tristaen?raioni=5982~5986~5988~5991~6360~,https://www.imot.bg/obiava-1c176078123746698-prodava-tristaen-apartament-grad-plovdiv-mladezhki-halm,240000.0,EUR,2376.24,Пловдив,Младежки хълм,продава,тристаен,101.0,2,7,Продава 3-СТАЕН,"101 кв.м, 2-ри ет. от 7, Въведен в експлоатация,  Продава се тристаен апартамент , кв. Младежки хълм до Медицински университет. Просторен апартамент  ..., тел.: 0882391665",М ИНВЕСТ ИМОТИ,https://minvest.imot.bg,14.0,1,2026-02-11 18:18:29.070337,757,a77f8d7c8b36bd27e73d91fe4e10470d
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/tristaen?raioni=5982~5986~5988~5991~6360~,https://www.imot.bg/obiava-1c176846231267396-prodava-tristaen-apartament-grad-plovdiv-tsentar-kamenitsa-2,134600.0,EUR,1922.86,Пловдив,Център,продава,тристаен,70.0,,,Продава 3-СТАЕН,"70 кв.м, Каменица 2, Въведен в експлоатация, реф.18711 С ПАРКОМЯСТО В ЦЕНАТА !!! Предлагаме апартамент в сграда с АКТ 16 от 2024 година. Жилището ..., тел.: 0890588882",ПЕРСПЕКТИВА,https://perspektivaimot.imot.bg,9.0,1,2026-02-11 18:18:29.070337,757,677fadbd1a4c56ccd4b19a467285d456
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/tristaen?raioni=5982~5986~5988~5991~6360~,https://www.imot.bg/obiava-1c177002401839436-prodava-tristaen-apartament-grad-plovdiv-tsentar,140000.0,EUR,1400.0,Пловдив,Център,продава,тристаен,100.0,4,6,Продава 3-СТАЕН,"100 кв.м, 4-ти ет. от 6, Въведен в експлоатация 1998 г., 🔑 Оферта  1587 | Агенция  ГАРАНТИ продава:  📐 100 кв.м. реална площ - рядко срещано  ..., тел.: 0898657778",ГАРАНТИ,https://garanti.imot.bg,11.0,1,2026-02-11 18:18:29.070337,757,4c7a5c622305e5a242b9e1d0860c134c
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/tristaen?raioni=5982~5986~5988~5991~6360~,https://www.imot.bg/obiava-1c176770978664439-prodava-tristaen-apartament-grad-plovdiv-tsentar-sadiyski,149487.0,EUR,1299.89,Пловдив,Център,продава,тристаен,115.0,4,15,Продава 3-СТАЕН,"115 кв.м, Съдийски, 4-ти ет. от 15, Въведен в експлоатация, оф.24884  АКТ 16 !! ИЗГОДЕН !! ПРЕПОЧИТАНА ЛОКАЦИЯ !! СРЕДЕН ЕТАЖ !! Предлагаме Ви да закупите страх ..., тел.: 0883355516",АВАНГАРД РИЪЛ ЕСТЕЙТ,https://avangardimoti.imot.bg,12.0,1,2026-02-11 18:18:29.070337,757,31c4312820a1ff2e1c29a92b4d70340a
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/tristaen?raioni=5982~5986~5988~5991~6360~,https://www.imot.bg/obiava-1c177027734402779-prodava-tristaen-apartament-grad-plovdiv-tsentar,156000.0,EUR,2000.0,Пловдив,Център,продава,тристаен,78.0,9,12,Продава 3-СТАЕН,"78 кв.м, 9-ти ет. от 12, Въведен в експлоатация 1970 - 1979 г., Компания `Х` представя на Вашето внимание тристаен апартамент в центъра на град Пловдив.   МЕСТОПОЛО ..., тел.: 0887779990",ЕКС НВД ООД,https://xnvd_plovdiv.imot.bg,3.0,1,2026-02-11 18:18:29.070337,757,e901b2a0a610ab71647efd5d9d74bcbe
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-plovdiv/tsentar/tristaen?raioni=5982~5986~5988~5991~6360~,https://www.imot.bg/obiava-1c176831931827427-prodava-tristaen-apartament-grad-plovdiv-tsentar-sadiyski,160511.0,EUR,1294.44,Пловдив,Център,продава,тристаен,124.0,8,15,Продава 3-СТАЕН,"124 кв.м, Съдийски, 8-ми ет. от 15, Въведен в експлоатация, оф.24885  АКТ 16 !! ИЗГОДЕН !! ПРЕПОЧИТАНА ЛОКАЦИЯ !! СРЕДЕН ЕТАЖ !! Предлагаме Ви да закупите страх ..., тел.: 0883355516",АВАНГАРД РИЪЛ ЕСТЕЙТ,https://avangardimoti.imot.bg,8.0,1,2026-02-11 18:18:29.070337,757,4039f65dc4d97a5d6af8976fe2fd25f4
