site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,https://www.imot.bg/obiava-1b176312186634757-prodava-dvustaen-apartament-grad-sofiya-belite-brezi,159900.0,EUR,2907.27,София,Белите брези,продава,двустаен,55.0,1,12,Продава 2-СТАЕН,"55 кв.м, 1-ви ет. от 12, Въведен в експлоатация, Отворени врати + търг   апартамент в кв. Бели брези, бл. 13 📅 20 и 21 февруари 📍 Соф ..., тел.: 0877 829 955",КАПИТАЛ ПРОПЪРТИ ГРУП,https://cpgroup.imot.bg,8.0,1,2026-02-13 06:17:52.035181,438,5c24a4308d3fd99fc1703b22b766d248
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,https://www.imot.bg/obiava-1b176855901518616-prodava-dvustaen-apartament-grad-sofiya-belite-brezi-bul-gotse-delchev,200900.0,EUR,3939.22,София,Белите брези,продава,двустаен,51.0,6,11,Продава 2-СТАЕН,"51 кв.м, бул. Гоце Делчев, 6-ти ет. от 11, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Двустаен апартамент в добро състояние, на кръстовището на бул. Гоце Делчев и бул. България. Жилището ..., тел.: 0895539992",РИЪЛНЕТ ОФИС КЛАСИК,https://realnet_classic.imot.bg,12.0,1,2026-02-13 06:17:52.035181,438,7c0cd58c4adcad78f281aa7d5aa5829f
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,https://www.imot.bg/obiava-1b177080458867195-prodava-dvustaen-apartament-grad-sofiya-belite-brezi-ul-nishava,235000.0,EUR,3309.86,София,Белите брези,продава,двустаен,71.0,7,14,Продава 2-СТАЕН,"71 кв.м, ул. Нишава, 7-ми ет. от 14, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Продавам голям, непреходен, обзаведен двустаен апартамент в гр. София, кв.'Белите брези', ул.'Нишава ..., тел.: 0878 866 508",БЪЛГАРИЯ РИАЛТИ,https://bulgariarealty.imot.bg,17.0,1,2026-02-13 06:17:52.035181,438,7bc86fa0d7b86f2c01cf47bf3e2b0dad
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,https://www.imot.bg/obiava-1b177028733767783-prodava-dvustaen-apartament-grad-sofiya-belite-brezi,235000.0,EUR,3507.46,София,Белите брези,продава,двустаен,67.0,8,10,Продава 2-СТАЕН,"67 кв.м, 8-ми ет. от 10, ТЕЦ, Въведен в експлоатация 1980 - 1989 г.,    Агенция за недвижими имоти 'МИТРЕВ-Г' предлага за продажба голям двустаен апартамент, функционалн ..., тел.: 0886272553",МИТРЕВ-Г,https://mitrev-g.imot.bg,10.0,1,2026-02-13 06:17:52.035181,438,5dc4373959cd8feb4a39c1194725da3e
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,https://www.imot.bg/obiava-1b176961603110288-prodava-dvustaen-apartament-grad-sofiya-belite-brezi,239000.0,EUR,3144.74,София,Белите брези,продава,двустаен,76.0,4,4,Продава 2-СТАЕН,"76 кв.м, 4-ти ет. от 4, Въведен в експлоатация, LUXIMMO FINEST ESTATES: www.luximmo.bg  Представяме двустаен апартамент в кв.  Белите брези , разпол ..., тел.: 0988154591",ЛУКСИММО,https://luximmo.imot.bg,17.0,1,2026-02-13 06:17:52.035181,438,0aeca85d90da029792d3757d7ccc387b
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,https://www.imot.bg/obiava-1b176303224858983-prodava-dvustaen-apartament-grad-sofiya-dianabad,165000.0,EUR,2750.0,София,Дианабад,продава,двустаен,60.0,8,8,Продава 2-СТАЕН,"60 кв.м, 8-ми ет. от 8, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., ТОП ЛОКАЦИЯ!!! НАЙ-НИСКА ЦЕНА ЗА РАЙОНА!!! ПАНОРАМА!!! Имаме удоволствието да Ви предсатавим класиче ..., тел.: 0878443777",ЕВОЛЮТ ОФИС ИНФИНИТИ,https://evolut.imot.bg,11.0,1,2026-02-13 06:17:52.035181,438,b2f5eb7c97573e1944837ec7225595f8
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,https://www.imot.bg/obiava-1b177072190313721-prodava-dvustaen-apartament-grad-sofiya-dianabad,169000.0,EUR,2964.91,София,Дианабад,продава,двустаен,57.0,3,8,Продава 2-СТАЕН,"57 кв.м, ТЕЦ, Отлична локация! Предлагам двустаен апартамент с площ 57 кв.м, разположен на 3-ти етаж от 8 в панелн ..., тел.: 0892507939",ЯВЛЕНА ЦЕНТРАЛЕН ОФИС,https://yavlena.imot.bg,7.0,1,2026-02-13 06:17:52.035181,438,52e146f37bb2608c52903ba7eaf50480
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,https://www.imot.bg/obiava-1b177021075085664-prodava-dvustaen-apartament-grad-sofiya-dianabad,184999.0,EUR,3083.32,София,Дианабад,продава,двустаен,60.0,5,8,Продава 2-СТАЕН,"60 кв.м, 5-ти ет. от 8, ТЕЦ, Въведен в експлоатация, 'Svetlina Real Estate' Ви предлага двустаен апартамент за продажба в кв. Дианабад.  Имотът е част от ..., тел.: 0893006908",СВЕТЛИНА,https://svetlina.imot.bg,13.0,1,2026-02-13 06:17:52.035181,438,17f1b638a3a8d7479d05e345776f3326
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,https://www.imot.bg/obiava-1b174437685070245-prodava-dvustaen-apartament-grad-sofiya-dianabad-bul-d-r-g-m-dimitrov,187859.0,EUR,2981.89,София,Дианабад,продава,двустаен,63.0,2,7,Продава 2-СТАЕН,"63 кв.м, бул. Д-р Г. М. Димитров, 2-ри ет. от 7, ТЕЦ, Ще бъде въведен в експлоатация 2027 г., Строително инвенстиционна компания!!!  СОФИЯ БИЛДИНГ ЕСТЕЙТ  ЕООД Ви предлага двустайни, тристайни и ..., тел.: 0885 688 556",СОФИЯ БИЛДИНГ ЕСТЕЙТ ЕООД,https://sbe.imot.bg,3.0,1,2026-02-13 06:17:52.035181,438,543b92d2755f8897102f60911f386dbd
imotbg,https://www.imot.bg/obiavi/prodazhbi/grad-sofiya/dianabad/dvustaen?raioni=21~22~23~57~60~63~72~80~81~85~86~120~132~146~147~6101~,https://www.imot.bg/obiava-1b177056893954169-prodava-dvustaen-apartament-grad-sofiya-dianabad,215000.0,EUR,3359.38,София,Дианабад,продава,двустаен,64.0,6,8,Продава 2-СТАЕН,"64 кв.м, 6-ти ет. от 8, Въведен в експлоатация 2024 г., ОБЗАВЕДЕН !!! ЮЖНО ИЗЛОЖЕНИЕ !!! НА 300 метра от Студентски парк !!! КОМУНИКАТИВНА ЛОКАЦИЯ !!!  Пред ..., тел.: 0875363330",ХОУМ ТУ Ю БЪЛГАРИЯ,https://home2u3.imot.bg,7.0,1,2026-02-13 06:17:52.035181,438,f07ab98f23fa84c6d52f4cdbbdf83fb7
