site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/37131863/prodava-mezonet-grad-sofiya-yavorov,1091230.0,EUR,4915.45,София,Яворов,продава,мезонет,222.0,4,,Продава  Мезонет,"4-ти ет., ТЕЦ, 🔑 ЕКСКЛУЗИВНО ПРЕДЛОЖЕНИЕ ОТ KMV PROPERTY MANAGEMENTМезонет с три спални и впечатляваща днев ...",,,1,37131863,2026-02-04 18:14:59.336700,80,48e7e9008fa019e28d651e70fbed627c
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/74631027/prodava-mezonet-grad-sofiya-belite-brezi,293000.0,EUR,2441.67,София,Белите брези,продава,мезонет,120.0,4,,Продава  Мезонет,"4-ти ет., ТЕЦ, Galiano Estates  има удоволствието да Ви представи голям тристаен мезонет за продажба. Имотът се нам ...",Galiano Estates,,1,74631027,2026-02-04 18:14:59.336700,80,e56b11deb2d69f46b91a86b82f57004d
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/41382355/prodava-mezonet-grad-sofiya-belite-brezi,400000.0,EUR,1877.93,София,Белите брези,продава,мезонет,213.0,6,,Продава  Мезонет,"6-ти ет., Мезонет в тухлен блок до метростанция КРАСНО СЕЛО. Апартаментът е със следното разпределение: Първо  ...",,,1,41382355,2026-02-04 18:14:59.336700,80,3e57730891c72a0a836e7834a964a860
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/67968464/prodava-mezonet-grad-sofiya-belite-brezi,429898.0,EUR,3306.91,София,Белите брези,продава,мезонет,130.0,5,,Продава  Мезонет,"5-ти ет., ТЕЦ, ЕКСКЛУЗИВНА ОФЕРТА!!! 'PETRA Estates 15' продава ЕКСКЛУЗИВНО просторен, топъл и светъл апарт ...",PETRA Estates,,1,67968464,2026-02-04 18:14:59.336700,80,94646b09fd29d2b5477021f5717547b7
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/39963122/prodava-mezonet-grad-sofiya-belite-brezi,430000.0,EUR,2866.67,София,Белите брези,продава,мезонет,150.0,7,,Продава  Мезонет,"7-ми ет., Инжталант Ви,  предлага мезонет на две нива и голяма покривна тераса на последния етаж.Мезонетът е р ...",,,1,39963122,2026-02-04 18:14:59.336700,80,e46654a35afbe7bc0268d654099168a2
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/41171824/prodava-mezonet-grad-sofiya-belite-brezi,520000.0,EUR,2363.64,София,Белите брези,продава,мезонет,220.0,5,,Продава  Мезонет,"5-ти ет., Sofia In /www.sofiain.com/ представя на Вашето внимание:Мезонет на 5-ти и 6-ти етаж в седем етажна т ...",,,1,41171824,2026-02-04 18:14:59.336700,80,cd8a995ed30434d0a909d5f70301abc3
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/50188705/prodava-mezonet-grad-sofiya-belite-brezi,520000.0,EUR,2600.0,София,Белите брези,продава,мезонет,200.0,5,,Продава  Мезонет,"5-ти ет., Чудесно място в близост до пл.Ручей!Тиха улица на комуникативно място в близост до метро, тролейбуси ...",,,1,50188705,2026-02-04 18:14:59.336700,80,511e86dac1a9c55ec726b178a7367deb
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/80293014/prodava-mezonet-grad-sofiya-belite-brezi,540000.0,EUR,2700.0,София,Белите брези,продава,мезонет,200.0,6,8,Продава  Мезонет,"6-ти ет., Предлага се на вниманието Ви, двуетажен мезонет, разположен на 6 и 7 етаж от 8 етажна жилищна сграда ...",,,1,80293014,2026-02-04 18:14:59.336700,80,9d81073ef5b0c635d6586510f90bee88
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/65528882/prodava-mezonet-grad-sofiya-belite-brezi,599900.0,EUR,2448.57,София,Белите брези,продава,мезонет,245.0,8,,Продава  Мезонет,"8-ми ет., ТЕЦ, Билдинг Бокс предлага за продажба апартамент в един от най-предпочитаните комуникатични и същевремен ...",,,1,65528882,2026-02-04 18:14:59.336700,80,e3b84a2fffdc9a70d4b9d2aabd509a34
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/40717222/prodava-mezonet-grad-sofiya-borovo,264000.0,EUR,2200.0,София,Борово,продава,мезонет,120.0,6,,Продава  Мезонет,"6-ти ет., Предлагаме Ви просторен, тристаен мезонет за продажба в нова, бутикова сграда с АКТ 16. Мезонетът е  ...",,,1,40717222,2026-02-04 18:14:59.336700,80,3f67f2024bdaae00cb0408a8ca51fb9d
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/36344702/prodava-mezonet-grad-sofiya-borovo,300000.0,EUR,1986.75,София,Борово,продава,мезонет,151.0,5,,Продава  Мезонет,"5-ти ет., СГРАДА С АКТ 16!'ПАРАДАЙС ХОУМС' Ви представя  тристаен апартамент, тип мезонет /на две нива/ , нахо ...",,,1,36344702,2026-02-04 18:14:59.336700,80,e26894d7643ded8d47c341ec5b50a1a5
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/98507154/prodava-mezonet-grad-sofiya-borovo,340000.0,EUR,1988.3,София,Борово,продава,мезонет,171.0,7,,Продава  Мезонет,"7-ми ет., ТЕЦ, СИТИ ХОУМ БРОКЕРС  предлага ексклузивно на своите клиенти един изключително атрактивен апартамент в  ...",,,1,98507154,2026-02-04 18:14:59.336700,80,4bedc9938123da19abcc8dad05757ab7
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/50879224/prodava-mezonet-grad-sofiya-borovo,346000.0,EUR,2276.32,София,Борово,продава,мезонет,152.0,5,,Продава  Мезонет,"5-ти ет., АКТ 16!ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба  мезонет,  в нова сграда в кв. Борово ! Апартам ...",ИМОТИ,,1,50879224,2026-02-04 18:14:59.336700,80,be9050781af6f03ce74da52461a76720
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/57518763/prodava-mezonet-grad-sofiya-borovo,449990.0,EUR,1799.96,София,Борово,продава,мезонет,250.0,2,,Продава  Мезонет,"2-ри ет., ТЕЦ, 360 - обиколка! Огромен имот на 3 нива! Магазин/Офис/Лекарски кабинет/Дентален център/Занималня! Тух ...",,,1,57518763,2026-02-04 18:14:59.336700,80,0afb1306c649c660ebfe578f51e5e4d3
imoticom,https://www.imoti.com/prodazhbi/grad-sofiya/mezoneti?sraion=86~4~14~15~6101~146~147~21~22~23~32~120~57~132~60~72~80~81~85~,https://www.imoti.com/obiava/26919669/prodava-mezonet-grad-sofiya-borovo,597000.0,EUR,3262.3,София,Борово,продава,мезонет,183.0,7,,Продава  Мезонет,"7-ми ет., ТЕЦ,    Предлагаме на Вашето внимание луксозно обзаведен мезонет с панорамни тераси в кв. Борово, ул. Сол ...",,,1,26919669,2026-02-04 18:14:59.336700,80,f0577f75acba691b14f1a55e40cf9ad4
