site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,https://www.imoti.com/obiava/81270156/dava-pod-naem-2-staen-grad-sofiya-doktorski-pametnik,730.0,EUR,12.59,София,Докторски паметник,наем,двустаен,58.0,3,,Дава под наем  2-стаен,"3-ти ет., ТЕЦ, РиълНет офис Партнърс дава под наем прекрасен двустаен апартамент в сграда в тих вътрешен двор до Са ...",,,1,81270156,2026-02-04 14:55:56.277029,680,6a0e005ffea1d98173fd8e8aa21a7397
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,https://www.imoti.com/obiava/36344858/dava-pod-naem-2-staen-grad-sofiya-doktorski-pametnik,1100.0,EUR,12.5,София,Докторски паметник,наем,двустаен,88.0,2,,Дава под наем  2-стаен,"2-ри ет., ТЕЦ, TWO ROOMS, LUXURY, FURNISHED according to a designer project, APARTMENT next to 'Doctor's Garden' an ...",,,1,36344858,2026-02-04 14:55:56.277029,680,de43dcaafbe1dae78cb8c4118f403a7d
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,https://www.imoti.com/obiava/35812367/dava-pod-naem-2-staen-grad-sofiya-ivan-vazov,499.0,EUR,9.98,София,Иван Вазов,наем,двустаен,50.0,5,,Дава под наем  2-стаен,"5-ти ет., ТЕЦ, ТОП ЛОКАЦИЯ!АРТ ХАУС 94 има удоволствието да ви предложи 2 стаен  ОБЗАВЕДЕН апартамент под НАЕМ в кв ...",,,1,35812367,2026-02-04 14:55:56.277029,680,6c8ce53a43196e8c19778885746b8d89
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,https://www.imoti.com/obiava/56589791/dava-pod-naem-2-staen-grad-sofiya-ivan-vazov,500.0,EUR,9.43,София,Иван Вазов,наем,двустаен,53.0,,,Дава под наем  2-стаен,,,,1,56589791,2026-02-04 14:55:56.277029,680,98f9a73f7fc1ed9e78cf35c8c1f9736a
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,https://www.imoti.com/obiava/73559652/dava-pod-naem-2-staen-grad-sofiya-ivan-vazov,600.0,EUR,8.22,София,Иван Вазов,наем,двустаен,73.0,2,,Дава под наем  2-стаен,"2-ри ет., ТЕЦ, Открийте мястото, където ще се чувствате у дома от първия момент.Титан Пропъртис- офис Хиподрума с р ...",Пропърти,,1,73559652,2026-02-04 14:55:56.277029,680,0897eda59e99978ca499b50bb8bbd703
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,https://www.imoti.com/obiava/16407684/dava-pod-naem-2-staen-grad-sofiya-ivan-vazov,830.0,EUR,12.77,София,Иван Вазов,наем,двустаен,65.0,3,,Дава под наем  2-стаен,"3-ти ет., Стилен и модерен апартамент в сградата на РЕД ЕПЪЛ се предлага от фирма СОБСТВЕНИК! ТОП локация с из ...",,,1,16407684,2026-02-04 14:55:56.277029,680,40ce15d1baf2ffd52a7fdfd17d5c98ec
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,https://www.imoti.com/obiava/94271124/dava-pod-naem-2-staen-grad-sofiya-izgrev,512.0,EUR,7.31,София,Изгрев,наем,двустаен,70.0,,,Дава под наем  2-стаен,"ID-814БЕЗ КОМИСИОННА!!Топ локация!ОГЛЕД ПО ВСЯКО ВРЕМЕ!Представяме ви уютен двустаен апартамент, раз ...",,,1,94271124,2026-02-04 14:55:56.277029,680,d5d20b8aeada4d53692f6b05b873fd67
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,https://www.imoti.com/obiava/47573166/dava-pod-naem-2-staen-grad-sofiya-iztok,500.0,EUR,6.67,София,Изток,наем,двустаен,75.0,4,,Дава под наем  2-стаен,"4-ти ет., Отлично обзаведен, непреходен, тухлен апартамент.Разпределението включва входно антре с портманто, и ...",,,1,47573166,2026-02-04 14:55:56.277029,680,4f767df73e03447b29c5c707d364001b
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,https://www.imoti.com/obiava/69379303/dava-pod-naem-2-staen-grad-sofiya-iztok,550.0,EUR,7.05,София,Изток,наем,двустаен,78.0,3,,Дава под наем  2-стаен,"3-ти ет., Aгенция за недвижими имоти Вайб Естейтс предлага на Вашето внимание уютен двустаен апартамент под на ...",имоти,,1,69379303,2026-02-04 14:55:56.277029,680,474ff76fe178cf7ac562860f0c16c565
imoticom,https://www.imoti.com/naemi/grad-sofiya?pubtype=3~4~&sraion=6101~57~60~21~147~81~22~23~85~120~80~,https://www.imoti.com/obiava/57568071/dava-pod-naem-2-staen-grad-sofiya-iztok,620.0,EUR,10.69,София,Изток,наем,двустаен,58.0,3,,Дава под наем  2-стаен,"3-ти ет., ТЕЦ, Отдава се под наем 2-стаен напълно обзаведен(реновиран)апартамент  в жк.'Изток',в непосредствена бли ...",,,1,57568071,2026-02-04 14:55:56.277029,680,0e48061b79ed273dbf41e3ed0da98db4
