raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,date,ref_no,time,price_per_m2,area,floor
"продава Двустаен апартамент, 63 м2","МЕТРО!ТИШИНА!ЕЛЕГАНТНОСТ!ПРЕДПРОДАЖБА!СКОРО ОТНОВО ЩЕ ВДИГНЕМ ЦЕНАТА, ПОБЪРЗАЙТЕ!ВЕЧЕ 70% ОТ ЖИЛИЩАТА СА ЗАКУПЕНИ!Уникален мини...",144900.0,EUR,False,продава,двустаен,София, Подуене,,Елеганс Естейт,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/poduene/dvustaen/5982550/?sid=gFM8jD&page=1,4.0,2025-08-04 18:02:55.475780,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,imoti.net,341,2025-08-04,,,Цена на /м2/:2 300EUR, 63 м2,Етаж: 4 от 6
"продава Двустаен апартамент, 53 м2",Референтен номер: 2093558.Революшън Естейт представя двустаен апартамент в ж.к. Редута.-  Квадратура: 53 кв.м-  Етаж: 5 от 8 .-  Изложение: Изток....,164000.0,EUR,False,продава,двустаен,София, Редута,,Революшън Естейт България,,https://www.imoti.net/bg/obiava/prodava/sofia/reduta/dvustaen/6098033/?sid=gFM8jD&page=1,10.0,2025-08-04 18:02:55.476293,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,imoti.net,341,2025-08-04,,,Цена на /м2/:3 094EUR, 53 м2,Етаж: 5 от 8
"продава Двустаен апартамент, 78 м2","ИРИДА НЕДВИЖИМИ ИМОТИ, С КЛЮЧ В АГЕНЦИЯТА!!! Ви представя за продажба прекрасен двустаен апартамент в кв. Дианабад в гр. София, в близост до множество обществен транспорт, осигуряващ връзки с...",194900.0,EUR,False,продава,двустаен,София, Дианабад,,ИРИДА НЕДВИЖИМИ ИМОТИ,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/dianabad/dvustaen/6071658/?sid=gFM8jD&page=1,12.0,2025-08-04 18:02:55.476765,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,imoti.net,341,2025-08-04,,,Цена на /м2/:2 499EUR, 78 м2,Етаж: 2 от 6
"продава Тристаен апартамент, 132 м2","МЕТРОПАРКЛУКСЕлеганс Естейт има удоволствието да представи на своите клиенти една емблематична новострояща се сграда, намираща се в непосредствена...",359961.0,EUR,False,продава,тристаен,София, Суха Река,,Елеганс Естейт,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/suha-reka/tristaen/6052785/?sid=gFM8jD&page=1,5.0,2025-08-04 18:02:55.477217,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,imoti.net,341,2025-08-04,,,Цена на /м2/:2 727EUR, 132 м2,Етаж: 9 от 10
"продава Тристаен апартамент, 144 м2","ИРИДА НЕДВИЖИМИ ИМОТИ продава слънчев тристаен апартамент в новоизграждащ се затворен жилищен комплекс, с изключително висококачествено строителство от доказан инвеститор на комуникативно място, в...",472200.0,EUR,False,продава,тристаен,София, Оборище,,ИРИДА НЕДВИЖИМИ ИМОТИ,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/oborishte/tristaen/6040120/?sid=gFM8jD&page=1,6.0,2025-08-04 18:02:55.477688,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,imoti.net,341,2025-08-04,,,Цена на /м2/:3 279EUR, 144 м2,Етаж: 7 от 14
"продава Тристаен апартамент, 122 м2","НОВА СГРАДА С АКТ 16! В НАЙ-ЖЕЛАНИЯ КВАРТАЛ - ИЗГРЕВ! Представяме на Вашето внимание тристаен апартамент, разположен на ул. Тинтява - район, който се отличава с тишина, много зеленина и модерна...",525000.0,EUR,False,продава,тристаен,София, Изгрев,,Джей и Джей Корпорейшън,,https://www.imoti.net/bg/obiava/prodava/sofia/sofija-izgrev/tristaen/6101060/?sid=gFM8jD&page=1,18.0,2025-08-04 18:02:55.478124,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,imoti.net,341,2025-08-04,,,Цена на /м2/:4 303EUR, 122 м2,Етаж: 4 от 7
"продава Четиристаен апартамент, 197 м2","Ексклузивно представяме супер просторен и уютен, четиристаен апартамент в един от най-предпочитаните райони на София – квартал ""Изток"".Жилището е част от модерна сграда, разположена...",650000.0,EUR,False,продава,четиристаен,София, Изток,,Luximmo Finest Estates,,https://www.imoti.net/bg/obiava/prodava--v-stroej/sofia/sofija-iztok/chetiristaen/5983325/?sid=gFM8jD&page=1,14.0,2025-08-04 18:02:55.478585,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,imoti.net,341,2025-08-04,,,Цена на /м2/:3 299EUR, 197 м2,Етаж:  от 8
"продава Двустаен апартамент, 52 м2",ДИРЕКТНО ОТ ИНВЕСТИТОР!AIRPORT REZIDENTIALЕДИНСТВЕНАТА СГРАДА В БЪЛГАРИЯ С ЦЯЛОСТНА ВЕРТИКАЛНА ГРАДИНАПредставяме Ви нова изключително иновативна жилищна...,99840.0,EUR,False,продава,двустаен,София, Подуене,,частно лице,,https://www.imoti.net/bg/obiava/prodava/sofia/poduene/dvustaen/6104348/?sid=gFM8jD&page=1,14.0,2025-08-04 18:02:55.479093,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,imoti.net,341,2025-08-04,,,Цена на /м2/:1 920EUR, 52 м2,Етаж: 2 от 6
"продава Двустаен апартамент, 58 м2","Двустайно жилище състоящо се от: антре, дневна с кухненски бокс, спралня, баня с тоалетна и тераса. Към жилището има прилежащо мазе.Има възможност за закупуване на паркомясто.",100148.0,EUR,False,продава,двустаен,София, Суха Река,,АДРЕС Недвижими имоти АД,,https://www.imoti.net/bg/obiava/prodava/sofia/suha-reka/dvustaen/6096692/?sid=gFM8jD&page=1,5.0,2025-08-04 18:02:55.479559,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,imoti.net,341,2025-08-04,,,Цена на /м2/:1 727EUR, 58 м2,Етаж: 4 от 5
"продава Двустаен апартамент, 46 м2",Предлагаме за продажба пред АКТ 14двустайно ателие номер 1Разпределение:▪ входно антре▪  дневна с кухненски бокс▪ самостоятелна спалня,100148.0,EUR,False,продава,двустаен,София, Суха Река,,Имотека,,https://www.imoti.net/bg/obiava/prodava/sofia/suha-reka/dvustaen/6095588/?sid=gFM8jD&page=1,2.0,2025-08-04 18:02:55.480020,https://www.imoti.net/bg/obiavi/r/prodava/sofia/?page=1&sid=gFM8jD,imoti.net,341,2025-08-04,,,Цена на /м2/:2 177EUR, 46 м2,Етаж: 4 от 5
