site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-44987-tristaen-apartament-za-prodajba-v-plovdiv.html,200000.0,EUR,1134.94,Пловдив,Кършияка,продава,тристаен,176.22,5,5,Тристаен апартамент,ЕКСКЛУЗИВНИ ПРАВА,Luximmo,,4,44987,2026-02-07 06:12:09.651598,140,be1cc5d5d951a470473e8a1a937dec4d
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-petstayni-apartamenti/luksozen-imot-44009-petstaen-apartament-za-prodajba-v-plovdiv.html,,,,Пловдив,Христо Смирненски,продава,,373.59,6,7,Петстаен апартамент,,Luximmo,,15,44009,2026-02-07 06:12:09.651598,140,54c385acb1820616683ba83d6f70dc99
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-44141-tristaen-apartament-za-prodajba-v-plovdiv.html,265000.0,EUR,2523.81,Пловдив,Център,продава,тристаен,105.0,3,7,Тристаен апартамент,,Luximmo,,2,44141,2026-02-07 06:12:09.651598,140,212307df09ffde198d29f2814a102cb5
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-40995-tristaen-apartament-za-prodajba-v-plovdiv.html,383049.0,EUR,2990.0,Пловдив,Кършияка,продава,тристаен,128.11,2,7,Тристаен апартамент,,Luximmo,,8,40995,2026-02-07 06:12:09.651598,140,067a799bc9e23e0550507588bef285af
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-47788-dvustaen-apartament-za-prodajba-v-plovdiv.html,148133.0,EUR,2666.66,Пловдив,Център,продава,двустаен,55.55,2,7,Двустаен апартамент,,Luximmo,,6,47788,2026-02-07 06:12:09.651598,140,975dac8bf9a0356225ee001ee8a40482
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-47789-tristaen-apartament-za-prodajba-v-plovdiv.html,343547.0,EUR,2666.67,Пловдив,Център,продава,тристаен,128.83,5,7,Тристаен апартамент,,Luximmo,,6,47789,2026-02-07 06:12:09.651598,140,b863a40c2a3e282a3feb3de37ce62d02
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-chetiristayni-apartamenti/luksozen-imot-47790-chetiristaen-apartament-za-prodajba-v-plovdiv.html,405661.0,EUR,2583.33,Пловдив,Център,продава,четиристаен,157.03,4,7,Четиристаен апартамент,,Luximmo,,6,47790,2026-02-07 06:12:09.651598,140,e9436a026a8f34660f6bfb60682316d4
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-47754-tristaen-apartament-za-prodajba-v-plovdiv.html,181656.0,EUR,883.33,Пловдив,Остромила,продава,тристаен,205.65,4,4,Тристаен апартамент,,Luximmo,,9,47754,2026-02-07 06:12:09.651598,140,7f2a00924f92775229dc979c405c73dd
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-47694-tristaen-apartament-za-prodajba-v-plovdiv.html,246000.0,EUR,2299.07,Пловдив,Каменица 1,продава,тристаен,107.0,6,8,Тристаен апартамент,,Luximmo,,8,47694,2026-02-07 06:12:09.651598,140,12085d0358f6affd6c6c4d0e6fdb6eee
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-47695-dvustaen-apartament-za-prodajba-v-plovdiv.html,109950.0,EUR,1600.9,Пловдив,Отдих и Култура,продава,двустаен,68.68,3,4,Двустаен апартамент,,Luximmo,,5,47695,2026-02-07 06:12:09.651598,140,22cc73b37d7d9b8d6795adc7601efdf1
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-47696-tristaen-apartament-za-prodajba-v-plovdiv.html,152500.0,EUR,1612.56,Пловдив,Отдих и Култура,продава,тристаен,94.57,2,4,Тристаен апартамент,,Luximmo,,5,47696,2026-02-07 06:12:09.651598,140,b3357c6c3fb473cda0f301a904e17ab9
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-47679-tristaen-apartament-za-prodajba-v-plovdiv.html,,,,Пловдив,Христо Смирненски,продава,тристаен,116.63,1,5,Тристаен апартамент,,Luximmo,,16,47679,2026-02-07 06:12:09.651598,140,3b96c3a037b8c8d1bfb7f8c1998da0ba
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-47579-dvustaen-apartament-za-prodajba-v-plovdiv.html,149000.0,EUR,2029.14,Пловдив,Кършияка,продава,двустаен,73.43,2,4,Двустаен апартамент,,Luximmo,,8,47579,2026-02-07 06:12:09.651598,140,834c371969c043fa683eadeed0e87a15
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-47580-dvustaen-apartament-za-prodajba-v-plovdiv.html,180000.0,EUR,2500.0,Пловдив,Христо Смирненски,продава,двустаен,72.0,4,9,Двустаен апартамент,,Luximmo,,7,47580,2026-02-07 06:12:09.651598,140,2733b798c470d8e251bec0dcc73f25b8
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-34884-tristaen-apartament-za-prodajba-v-plovdiv.html,156000.0,EUR,1707.9,Пловдив,Христо Смирненски,продава,тристаен,91.34,4,5,Тристаен апартамент,,Luximmo,,7,34884,2026-02-07 06:12:09.651598,140,df4c5236e6e604d74416e3f688e8445c
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-ednostayni-apartamenti/luksozen-imot-47442-ednostaen-apartament-za-prodajba-v-plovdiv.html,82872.0,EUR,1390.0,Пловдив,Христо Смирненски,продава,едностаен,59.62,3,7,Едностаен апартамент,,Luximmo,,7,47442,2026-02-07 06:12:09.651598,140,ffdc3ad0d85c71b8fbfeffe1e726d3d6
