site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-47576-tristaen-apartament-pod-naem-v-plovdiv.html,1200.0,EUR,11.43,Пловдив,Христо Смирненски,наем,тристаен,105.0,5,7,наем Тристаен апартамент,ЕКСКЛУЗИВНИ ПРАВА,Luximmo,,9,47576,2026-02-11 18:19:54.753470,10,1b055eac49cd79383326d75e95e51936
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-47318-dvustaen-apartament-pod-naem-v-plovdiv.html,700.0,EUR,9.72,Пловдив,Отдих и Култура,наем,двустаен,72.0,2,7,наем Двустаен апартамент,,Luximmo,,6,47318,2026-02-11 18:19:54.753470,10,1641632f3f8e091e19227e745b51c217
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-40339-dvustaen-apartament-pod-naem-v-plovdiv.html,780.0,EUR,9.32,Пловдив,Каменица 1,наем,двустаен,83.68,5,7,наем Двустаен апартамент,,Luximmo,,16,40339,2026-02-11 18:19:54.753470,10,a1c60e8af69fdd27c95bad90d5e33132
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-46708-dvustaen-apartament-pod-naem-v-plovdiv.html,600.0,EUR,7.84,Пловдив,Христо Смирненски,наем,двустаен,76.55,2,6,наем Двустаен апартамент,ЕКСКЛУЗИВНИ ПРАВА,Luximmo,,13,46708,2026-02-11 18:19:54.753470,10,635e73d6600a726184aff423b944c3d7
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-41367-dvustaen-apartament-pod-naem-v-plovdiv.html,735.0,EUR,10.5,Пловдив,Христо Смирненски,наем,двустаен,70.0,4,4,наем Двустаен апартамент,,Luximmo,,17,41367,2026-02-11 18:19:54.753470,10,4abb415f19ff95c9787bb7f0f827c97e
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-46381-tristaen-apartament-pod-naem-v-plovdiv.html,750.0,EUR,7.65,Пловдив,Сточна Гара Пловдивска Област /  България,наем,тристаен,98.0,2,5,наем Тристаен апартамент,,Luximmo,,10,46381,2026-02-11 18:19:54.753470,10,0999be229de8b5b2b547db772969ab49
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-tristayni-apartamenti/luksozen-imot-35333-tristaen-apartament-pod-naem-v-plovdiv.html,665.0,EUR,8.31,Пловдив,Център,наем,тристаен,80.0,5,5,наем Тристаен апартамент,,Luximmo,,17,35333,2026-02-11 18:19:54.753470,10,b1a09eaed9388c37bb76d9fe74b32895
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-chetiristayni-apartamenti/luksozen-imot-45896-chetiristaen-apartament-pod-naem-v-plovdiv.html,2000.0,EUR,11.15,Пловдив,Христо Смирненски,наем,четиристаен,179.4,6,6,наем Четиристаен апартамент,,Luximmo,,19,45896,2026-02-11 18:19:54.753470,10,86d37516e239b3863f3091d17d3aa363
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-41962-dvustaen-apartament-pod-naem-v-plovdiv.html,900.0,EUR,11.69,Пловдив,Център,наем,двустаен,77.0,5,5,наем Двустаен апартамент,,Luximmo,,7,41962,2026-02-11 18:19:54.753470,10,d656128eb4846b9b4edb30af04b5c97d
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-plovdiv/plovdiv/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-42978-dvustaen-apartament-pod-naem-v-plovdiv.html,850.0,EUR,12.14,Пловдив,Христо Смирненски,наем,двустаен,70.0,3,7,наем Двустаен апартамент,,Luximmo,,12,42978,2026-02-11 18:19:54.753470,10,702f7b040f5c6fc20e830e61747f3265
