site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-chetiristayni-apartamenti/luksozen-imot-43445-chetiristaen-apartament-za-prodajba-v-sofiya.html,430000.0,EUR,2072.99,София,Горна баня,продава,четиристаен,207.43,2,5,Четиристаен апартамент,ЕКСКЛУЗИВНИ ПРАВА,Luximmo,,23,43445,2026-02-13 06:17:46.654153,1123,cbb746946be44493577fae9fdd1b3d8f
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-mnogostayni-apartamenti/luksozen-imot-37942-mnogostaen-apartament-za-prodajba-v-sofiya.html,502020.0,EUR,2000.0,София,Бояна,продава,многостаен,251.01,3,6,Многостаен апартамент,,Luximmo,,33,37942,2026-02-13 06:17:46.654153,1123,0029f3f9817f947802a68d9a6002b541
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/pancharevo/luksozni-imoti-chetiristayni-apartamenti/luksozen-imot-44494-chetiristaen-apartament-za-prodajba-v-pancharevo.html,1950000.0,EUR,4401.81,Панчарево Софийска област,България,продава,четиристаен,443.0,,4,Четиристаен апартамент,ЕКСКЛУЗИВНИ ПРАВА,Luximmo,,39,44494,2026-02-13 06:17:46.654153,1123,28601983301995b15530530857445be0
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/pancharevo/luksozni-imoti-tristayni-apartamenti/luksozen-imot-43316-tristaen-apartament-za-prodajba-v-pancharevo.html,1200000.0,EUR,4000.0,Панчарево Софийска област,България,продава,тристаен,300.0,2,4,Тристаен апартамент,,Luximmo,,37,43316,2026-02-13 06:17:46.654153,1123,32b628418e71a9acc7a34a98f0dd2bc6
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-44096-tristaen-apartament-za-prodajba-v-sofiya.html,367260.0,EUR,3000.0,София,Горна баня,продава,тристаен,122.42,2,4,Тристаен апартамент,,Luximmo,,20,44096,2026-02-13 06:17:46.654153,1123,1db11d4f5a8ce17eb83707cb7fb0b29a
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-45320-tristaen-apartament-za-prodajba-v-sofiya.html,480000.0,EUR,4329.0,София,Лозенец,продава,тристаен,110.88,2,6,Тристаен апартамент,,Luximmo,,30,45320,2026-02-13 06:17:46.654153,1123,2dacaeaae0b20e021397c5b140b2905c
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-42464-dvustaen-apartament-za-prodajba-v-sofiya.html,181666.0,EUR,2872.64,София,Манастирски ливади,продава,двустаен,63.24,1,5,Двустаен апартамент,,Luximmo,,7,42464,2026-02-13 06:17:46.654153,1123,0c3776131a1d850c3eb70049204a5619
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-39567-tristaen-apartament-za-prodajba-v-sofiya.html,236522.0,EUR,2150.0,София,Витоша,продава,тристаен,110.01,2,6,Тристаен апартамент,,Luximmo,,12,39567,2026-02-13 06:17:46.654153,1123,13bd53174fcc41022bc8ba393f4ed558
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-36260-tristaen-apartament-za-prodajba-v-sofiya.html,680000.0,EUR,5085.63,София,Манастирски ливади,продава,тристаен,133.71,1,5,Тристаен апартамент,,Luximmo,,21,36260,2026-02-13 06:17:46.654153,1123,d05d7a95a28e1298c520c80a0992e9c9
luximmo,https://www.luximmo.bg/prodajba/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-35648-tristaen-apartament-za-prodajba-v-sofiya.html,702702.0,EUR,3000.05,София,Манастирски ливади,продава,тристаен,234.23,7,9,Тристаен апартамент,,Luximmo,,16,35648,2026-02-13 06:17:46.654153,1123,91cdd527a32d5165b422f09177b7ea15
