site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-31583-dvustaen-apartament-pod-naem-v-sofiya.html,900.0,EUR,11.25,София,Кръстова вада,наем,двустаен,80.0,3,5,наем Двустаен апартамент,,Luximmo,,9,31583,2026-02-07 18:06:26.130808,277,5d3e7faba0767d73efaa3a036205b7f8
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-44916-tristaen-apartament-pod-naem-v-sofiya.html,1600.0,EUR,13.11,София,Манастирски ливади,наем,тристаен,122.0,4,10,наем Тристаен апартамент,,Luximmo,,7,44916,2026-02-07 18:06:26.130808,277,926b3ced8f948f826007a6bd5116b86b
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-34181-dvustaen-apartament-pod-naem-v-sofiya.html,2000.0,EUR,10.98,София,Манастирски ливади,наем,двустаен,182.13,1,6,наем Двустаен апартамент,,Luximmo,,21,34181,2026-02-07 18:06:26.130808,277,1fe66b2330742d13baa4e7c2fa66cbe5
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-36646-tristaen-apartament-pod-naem-v-sofiya.html,10000.0,EUR,38.46,София,Център,наем,тристаен,260.0,21,22,наем Тристаен апартамент,,Luximmo,,31,36646,2026-02-07 18:06:26.130808,277,653c3bbcf0e8e459ee7845f9968739e6
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-25035-tristaen-apartament-pod-naem-v-sofiya.html,1140.0,EUR,11.75,София,Център,наем,тристаен,97.0,4,6,наем Тристаен апартамент,,Luximmo,,13,25035,2026-02-07 18:06:26.130808,277,817e9ce010bebd8c3fc5ed15c2033a4b
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-45637-tristaen-apartament-pod-naem-v-sofiya.html,1650.0,EUR,10.58,София,Център,наем,тристаен,156.0,5,6,наем Тристаен апартамент,,Luximmo,,21,45637,2026-02-07 18:06:26.130808,277,3fd9fb971bcc7c5c5ba776167d9912fc
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-24396-tristaen-apartament-pod-naem-v-sofiya.html,1290.0,EUR,8.6,София,Иван Вазов,наем,тристаен,150.0,10,13,наем Тристаен апартамент,ЕКСКЛУЗИВНИ ПРАВА,Luximmo,,30,24396,2026-02-07 18:06:26.130808,277,de7686a4f0d5ee2d9cea5b1d7e3ca1d1
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-24286-tristaen-apartament-pod-naem-v-sofiya.html,1700.0,EUR,14.17,София,Лозенец,наем,тристаен,120.0,2,4,наем Тристаен апартамент,,Luximmo,,27,24286,2026-02-07 18:06:26.130808,277,1018aa92d385737281ee5f793f91942d
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-tristayni-apartamenti/luksozen-imot-21703-tristaen-apartament-pod-naem-v-sofiya.html,1300.0,EUR,10.66,София,Младост 1,наем,тристаен,122.0,6,7,наем Тристаен апартамент,,Luximmo,,18,21703,2026-02-07 18:06:26.130808,277,5d75edd3c5e2dc8152b02c3cdddfd32b
luximmo,https://www.luximmo.bg/naem/bulgaria/oblast-sofiya/sofiya-luksozni-imoti/po-tip-apartamenti/index.html,https://www.luximmo.bg/bulgaria/oblast-sofia/sofiya/luksozni-imoti-dvustayni-apartamenti/luksozen-imot-22388-dvustaen-apartament-pod-naem-v-sofiya.html,825.0,EUR,11.79,София,Лозенец,наем,двустаен,70.0,4,6,наем Двустаен апартамент,,Luximmo,,17,22388,2026-02-07 18:06:26.130808,277,c2c6035c06cd6e164df752e742769342
