raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
Тристаен апартамент,,153461.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-125423-tristaen-apartament-v-elegantniya-kompleks-magnoliya-forest-v-plovdiv/,3,,,suprimmo,0,PLV-125423,,,96.57,4
Двустаен апартамент,,149000.0,EUR,False,продава,двустаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-137375-svetal-dvustaen-apartament-do-klyuch-v-nov-kompleks-v-kv-karshiyaka/,3,,,suprimmo,0,PLV-137375,,,73.43,2
Двустаен апартамент,,180000.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137379-dvustaen-apartament-v-nov-moderen-kompleks-v-kv-hristo-smirnenski/,3,,,suprimmo,0,PLV-137379,,,72,4
Тристаен апартамент,,148770.0,EUR,False,продава,тристаен,Пловдив,Тракия,,Suprimmo,,https://www.suprimmo.bg/imot-137384-tristaen-apartament-v-nov-kompleks-v-kv-trakiya/,3,,,suprimmo,0,PLV-137384,,,129,2
Тристаен апартамент(В процес на строителство),,145580.0,EUR,False,продава,тристаен,Пловдив,Каменица 2,,Suprimmo,,https://www.suprimmo.bg/imot-137353-tristaen-apartament-v-nov-kompleks-v-kv-kamenitsa-2/,3,,,suprimmo,0,PLV-137353,,,116,2
Тристаен апартамент,,156000.0,EUR,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-98448-tristaen-apartament-v-kompleks-s-akt-16-v-park-otdih-i-kultura/,3,,,suprimmo,0,PLV-98448,,,91.34,4
Двустаен апартамент,,119000.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137246-dvustaen-apartament-s-panorama-kam-rodopite-v-nov-kompleks-do-mall-plovdiv/,3,,,suprimmo,0,PLV-137246,,,74,8
Двустаен апартамент,,88900.0,EUR,False,продава,двустаен,Пловдив,Беломорски,,Suprimmo,,https://www.suprimmo.bg/imot-137266-dvustaen-apartament-v-nov-kompleks-v-yujnata-chast-na-plovdiv/,3,,,suprimmo,0,PLV-137266,,,113.33,4
Тристаен апартамент(В процес на строителство),,134665.0,EUR,False,продава,тристаен,Пловдив,Остромила,,Suprimmo,,https://www.suprimmo.bg/imot-137197-gradinski-tristaen-apartament-s-golyam-dvor-v-kv-ostromila/,3,,,suprimmo,0,PLV-137197,,,95.28,1
Едностаен апартамент(Предварителни продажби ),,82872.0,EUR,False,продава,едностаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137073-ednostaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,3,,,suprimmo,0,PLV-137073,,,59.62,3
Двустаен апартамент(Предварителни продажби ),,103833.0,EUR,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137078-dvustaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,3,,,suprimmo,0,PLV-137078,,,74.70,2
Тристаен апартамент(Предварителни продажби ),,164852.0,EUR,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137082-tristaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,3,,,suprimmo,0,PLV-137082,,,120.33,2
Четиристаен апартамент(Предварителни продажби ),,391179.0,EUR,False,продава,четиристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137083-mnogostaen-apartament-v-nov-inovativen-kompleks-v-kv-hristo-smirnenski/,3,,,suprimmo,0,PLV-137083,,,264.31,7
Четиристаен апартамент,,360000.0,EUR,False,продава,четиристаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-137019-dizaynerski-mnogostaen-apartament-v-idealniya-tsentar-na-plovdiv/,3,,,suprimmo,0,PLV-137019,,,121,4
Тристаен апартамент,,259800.0,EUR,False,продава,тристаен,Пловдив,Център,,Suprimmo,,https://www.suprimmo.bg/imot-137039-tristaen-apartament-v-sanirana-tuhlena-sgrada-v-idealniya-tsentar-na-plovdiv/,3,,,suprimmo,0,PLV-137039,,,78,1
Тристаен апартамент(В процес на строителство),,119900.0,EUR,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-137053-tristaen-apartament-v-nov-kompleks-ot-dve-malki-sgradi-v-kv-hristo-smirnenski/,3,,,suprimmo,0,PLV-137053,,,132.50,5
Едностаен апартамент(В процес на строителство),,0.0,,False,продава,едностаен,Пловдив,Остромила,,Suprimmo,,https://www.suprimmo.bg/imot-136977-studio-v-inovativen-kompleks-v-kv-ostromila/,3,,,suprimmo,0,PLV-136977,,,39,2
Тристаен апартамент(В процес на строителство),,156650.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-125014-tristaen-apartament-v-butikov-kompleks-kv-karshiyaka-v-plovdiv/,3,,,suprimmo,0,PLV-125014,,,104.43,3
Двустаен апартамент(В процес на строителство),,90000.0,EUR,False,продава,двустаен,Пловдив,Беломорски,,Suprimmo,,https://www.suprimmo.bg/imot-122427-nov-dvustaen-apartament-v-moderen-kompleks-s-akt-14/,3,,,suprimmo,0,PLV-122427,,,72.56,4
Тристаен апартамент(В процес на строителство),,165440.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-125017-tristaen-apartament-novo-stroitelstvo-v-kv-karshiyaka-v-plovdiv/,3,,,suprimmo,0,PLV-125017,,,110.35,3
Четиристаен апартамент,,340000.0,EUR,False,продава,четиристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-127844-nov-prostoren-apartament-v-savremennen-kompleks-s-akt-16-do-park/,3,,,suprimmo,0,PLV-127844,,,205.98,4
Двустаен апартамент(В процес на строителство),,107090.0,EUR,False,продава,двустаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-117005-dvustaen-apartament-v-nov-kompleks-v-kv-karshiyaka-v-plovdiv/,3,,,suprimmo,0,PLV-117005,,,71.39,5
Тристаен апартамент(В процес на строителство),,165000.0,EUR,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-117006-tristaen-apartament-v-nov-kompleks-v-kv-karshiyaka-v-plovdiv/,3,,,suprimmo,0,PLV-117006,,,110.29,4
Тристаен апартамент(В процес на строителство),,105700.0,EUR,False,продава,тристаен,Пловдив,Беломорски,,Suprimmo,,https://www.suprimmo.bg/imot-136838-tristaen-apartament-v-nov-kompleks-v-yujnata-chast-na-plovdiv/,3,,,suprimmo,0,PLV-136838,,,85,3
