raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
Едностаен апартамент(В процес на строителство),,0.0,,False,продава,едностаен,Пловдив,Остромила,,Suprimmo,,https://www.suprimmo.bg/imot-136977-studio-v-inovativen-kompleks-v-kv-ostromila/,3,2026-01-23 22:39:57.647676,,suprimmo,261,PLV-136977,,,39,2
Тристаен апартамент(В процес на строителство),,0.0,,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-117762-tristaen-apartament-v-nov-luksozen-kompleks-do-grebnata-baza-/,3,2026-01-23 22:40:00.907486,,suprimmo,261,PLV-117762,,,114.78,3
Тристаен апартамент,,0.0,,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-124169-tristaen-apartament-v-nova-luksozna-sgrada-do-grebnata-baza/,3,2026-01-23 22:40:04.203371,,suprimmo,261,PLV-124169,,,101.62,9
Двустаен апартамент,,0.0,,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-107179-dvustaen-apartament-novo-stroitelstvo-v-luksozen-kompleks-do-grebnata-baza/,3,2026-01-23 22:40:04.205185,,suprimmo,261,PLV-107179,,,65.21,2
Двустаен апартамент(В процес на строителство),,0.0,,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-124657-dvustaen-apartament-v-nov-luksozen-kompleks-do-grebnata-baza/,3,2026-01-23 22:40:04.208008,,suprimmo,261,PLV-124657,,,68.39,5
Тристаен апартамент(В процес на строителство),,0.0,,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-119410-tristaen-apartament-v-nov-kompleks-ot-zatvoren-tip-do-mall-plovdiv-i-park-otdih-i-kultura/,3,2026-01-23 22:40:04.208903,,suprimmo,261,PLV-119410,,,99.73,4
Двустаен апартамент(В процес на строителство),,0.0,,False,продава,двустаен,Пловдив,Беломорски,,Suprimmo,,https://www.suprimmo.bg/imot-135051-komforten-dvustaen-apartament-v-moderna-nova-sgrada-v-kv-belomorski/,3,2026-01-23 22:40:07.490103,,suprimmo,261,PLV-135051,,,58.64,2
Тристаен апартамент(В процес на строителство),,0.0,,False,продава,тристаен,Пловдив,Беломорски,,Suprimmo,,https://www.suprimmo.bg/imot-135052-tristaen-apartament-v-moderna-nova-sgrada-v-yujen-kvartal-v-plovdiv/,3,2026-01-23 22:40:07.490951,,suprimmo,261,PLV-135052,,,90.81,2
Двустаен апартамент,,0.0,,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-134649-dvustaen-apartament-v-nov-kompleks-ot-zatvoren-tip-do-grebnata-baza/,3,2026-01-23 22:40:10.243794,,suprimmo,261,PLV-134649,,,81.95,2
Двустаен апартамент(В процес на строителство),,0.0,,False,продава,двустаен,Пловдив,Остромила,,Suprimmo,,https://www.suprimmo.bg/imot-130457-dvustaen-apartament-v-inovativen-kompleks-v-kv-ostromila/,3,2026-01-23 22:40:13.571725,,suprimmo,261,PLV-130457,,,67,2
Тристаен апартамент(В процес на строителство),,0.0,,False,продава,тристаен,Пловдив,Остромила,,Suprimmo,,https://www.suprimmo.bg/imot-130461-tristaen-apartament-v-inovativen-kompleks-v-kv-ostromila/,3,2026-01-23 22:40:13.572576,,suprimmo,261,PLV-130461,,,113,2
Тристаен апартамент,,0.0,,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-130184-tristaen-apartament-v-nov-luksozen-kompleks-na-50-m-ot-grebnata-baza/,3,2026-01-23 22:40:13.575189,,suprimmo,261,PLV-130184,,,153.96,5
Тристаен апартамент(В процес на строителство),,0.0,,False,продава,тристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-129560-tristaen-apartament-v-nov-butikov-kompleks-v-kv-hristo-smirnenski/,3,2026-01-23 22:40:13.582295,,suprimmo,261,PLV-129560,,,103.64,2
Четиристаен апартамент(В процес на строителство),,0.0,,False,продава,четиристаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-129563-mnogostaen-apartament-v-nov-butikov-kompleks-v-kv-hristo-smirnenski/,3,2026-01-23 22:40:13.583175,,suprimmo,261,PLV-129563,,,135.43,1
Петстаен апартамент,,0.0,,False,продава,,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-129522-premium-mnogostaen-apartament-v-prestijen-jilishten-kompleks-v-plovdiv/,3,2026-01-23 22:40:13.584083,,suprimmo,261,PLV-129522,,,373.59,6
Двустаен апартамент,,0.0,,False,продава,двустаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-129456-dvustaen-apartament-v-prestijen-zatvoren-kompleks-v-kv-karshiyaka/,3,2026-01-23 22:40:13.584892,,suprimmo,261,PLV-129456,,,79,5
Тристаен апартамент,,0.0,,False,продава,тристаен,Пловдив,Кършияка,,Suprimmo,,https://www.suprimmo.bg/imot-129457-tristaen-apartament-v-prestijen-zatvoren-kompleks-v-kv-karshiyaka/,3,2026-01-23 22:40:13.585688,,suprimmo,261,PLV-129457,,,120,5
Четиристаен апартамент,,0.0,,False,продава,четиристаен,Пловдив,Беломорски,,Suprimmo,,https://www.suprimmo.bg/imot-128418-mnogostaen-apartament-v-nov-kompleks-v-kv-belomorski/,3,2026-01-23 22:40:16.452478,,suprimmo,261,PLV-128418,,,178.25,4
Двустаен апартамент(В процес на строителство),,0.0,,False,продава,двустаен,Пловдив,Христо Смирненски,,Suprimmo,,https://www.suprimmo.bg/imot-127488-dvustaen-apartament-v-nov-luksozen-kompleks-do-grebnata-baza/,3,2026-01-23 22:40:16.456898,,suprimmo,261,PLV-127488,,,67.11,8
Тристаен апартамент,,0.0,,False,продава,тристаен,Пловдив,Беломорски,,Suprimmo,,https://www.suprimmo.bg/imot-127427-tristaen-apartament-v-nov-kompleks-v-kv-belomorski/,3,2026-01-23 22:40:16.457715,,suprimmo,261,PLV-127427,,,95.47,1
Тристаен апартамент(В процес на строителство),,0.0,,False,продава,тристаен,Пловдив,Остромила,,Suprimmo,,https://www.suprimmo.bg/imot-124157-tristaen-apartament-v-nov-kompleks-v-kv-ostromila-na-grad-plovdiv/,3,2026-01-23 22:40:19.225922,,suprimmo,261,PLV-124157,,,105.05,3
Двустаен апартамент(В процес на строителство),,0.0,,False,продава,двустаен,Пловдив,Остромила,,Suprimmo,,https://www.suprimmo.bg/imot-121961-dvustaen-apartament-v-inovativen-kompleks-v-kv-ostromila-na-grad-plovdiv/,3,2026-01-23 22:40:19.228548,,suprimmo,261,PLV-121961,,,73.17,2
