site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-125423-tristaen-apartament-v-elegantniya-kompleks-magnoliya-forest-v-plovdiv/,153461.0,EUR,1589.12,Пловдив,Кършияка,продава,тристаен,96.57,4,4,продава Тристаен апартамент,"-7% Намалена цена, акт 16",Suprimmo,,3,125423,2026-02-11 06:24:23.820685,269,17b2342cb5cd30ade062ba9c5b6f07a6
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137761-nov-tristaen-apartament-v-inovativen-kompleks-v-sartseto-na-plovdiv/,401388.0,EUR,3120.0,Пловдив,Център,продава,тристаен,128.65,4,7,продава Тристаен апартамент(В процес на строителство),НОВА ОФЕРТА,Suprimmo,,3,137761,2026-02-11 06:24:23.820685,269,f7a1d6b54bf386651dfd252d9115d9e6
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137767-prostoren-semeen-apartament-v-royal-garden-2-utvarden-adres-v-plovdiv/,367500.0,EUR,2500.0,Пловдив,Христо Смирненски,продава,тристаен,147.0,3,7,продава Тристаен апартамент,"НОВА ОФЕРТА, Ексклузивна агенция, акт 16",Suprimmo,,3,137767,2026-02-11 06:24:23.820685,269,8512ee0916c63d7a416a5454e2e20312
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137788-dvustaen-apartament-v-nov-kompleks-v-kv-belomorski/,70100.0,EUR,1091.39,Пловдив,Беломорски,продава,двустаен,64.23,3,4,продава Двустаен апартамент(В процес на строителство),НОВА ОФЕРТА,Suprimmo,,3,137788,2026-02-11 06:24:23.820685,269,a088d089d802f99239848dfe16bdafb9
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137790-tristaen-apartament-v-nov-kompleks-v-kv-belomorski/,112900.0,EUR,822.23,Пловдив,Беломорски,продава,тристаен,137.31,4,4,продава Тристаен апартамент(В процес на строителство),НОВА ОФЕРТА,Suprimmo,,3,137790,2026-02-11 06:24:23.820685,269,6c0f3a8e1003b11628de90fde218713f
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137758-mnogostaen-apartament-v-nov-butikov-kompleks-v-kv-hristo-smirnenski/,,,,Пловдив,Христо Смирненски,продава,многостаен,116.0,3,3,продава Четиристаен апартамент(В процес на строителство),акт 14,Suprimmo,,3,137758,2026-02-11 06:24:23.820685,269,4632738eb7d5df38856da26cdc888420
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137756-tristaen-apartament-v-nov-kompleks-v-kv-trakiya/,157700.0,EUR,1349.94,Пловдив,Тракия,продава,тристаен,116.82,5,7,продава Тристаен апартамент,"Само за частни лица!, акт 15",Suprimmo,,3,137756,2026-02-11 06:24:23.820685,269,fa793db02f8e1d5cce9cd86aa5b71ce6
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137723-dvustaen-apartament-v-inovativen-kompleks-v-sartseto-na-plovdiv/,148133.0,EUR,2666.66,Пловдив,Център,продава,двустаен,55.55,2,7,продава Двустаен апартамент(В процес на строителство),,Suprimmo,,3,137723,2026-02-11 06:24:23.820685,269,975dac8bf9a0356225ee001ee8a40482
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137725-tristaen-apartament-v-inovativen-kompleks-v-sartseto-na-plovdiv/,343547.0,EUR,2666.67,Пловдив,Център,продава,тристаен,128.83,5,7,продава Тристаен апартамент(В процес на строителство),,Suprimmo,,3,137725,2026-02-11 06:24:23.820685,269,b863a40c2a3e282a3feb3de37ce62d02
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137726-mnogostaen-apartament-v-inovativen-kompleks-v-sartseto-na-plovdiv/,405661.0,EUR,2583.33,Пловдив,Център,продава,многостаен,157.03,4,7,продава Четиристаен апартамент(В процес на строителство),,Suprimmo,,3,137726,2026-02-11 06:24:23.820685,269,38fdb34de19992339b313d461e208ea7
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137661-tristaen-apartament-s-panoramna-terasa-i-gledka-kam-rodopite-v-kv-ostromila/,181656.0,EUR,883.33,Пловдив,Остромила,продава,тристаен,205.65,4,4,продава Тристаен апартамент,акт 16,Suprimmo,,3,137661,2026-02-11 06:24:23.820685,269,7f2a00924f92775229dc979c405c73dd
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137599-dvustaen-apartament-v-nov-zatvoren-kompleks-v-kv-trakiya/,145500.0,EUR,1993.15,Пловдив,Тракия,продава,двустаен,73.0,2,11,продава Двустаен апартамент,акт 16,Suprimmo,,3,137599,2026-02-11 06:24:23.820685,269,ddeab386dcf7dad97c6d0cfaf0bcc186
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137563-tristaen-apartament-v-nova-sgrada-s-akt-14-v-kv-kamenitsa-1/,246000.0,EUR,2299.07,Пловдив,Каменица 1,продава,тристаен,107.0,6,8,продава Тристаен апартамент,акт 14,Suprimmo,,3,137563,2026-02-11 06:24:23.820685,269,12085d0358f6affd6c6c4d0e6fdb6eee
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137567-dvustaen-apartament-v-nov-kompleks-v-kv-otdih-i-kultura/,109950.0,EUR,1600.9,Пловдив,Отдих и Култура,продава,двустаен,68.68,3,4,продава Двустаен апартамент(Предварителни продажби ),,Suprimmo,,3,137567,2026-02-11 06:24:23.820685,269,22cc73b37d7d9b8d6795adc7601efdf1
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137569-tristaen-apartament-v-nov-kompleks-v-kv-otdih-i-kultura/,152500.0,EUR,1612.56,Пловдив,Отдих и Култура,продава,тристаен,94.57,2,4,продава Тристаен апартамент(Предварителни продажби ),,Suprimmo,,3,137569,2026-02-11 06:24:23.820685,269,b3357c6c3fb473cda0f301a904e17ab9
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137523-tristaen-apartament-v-nov-zatvoren-kompleks-na-50-m-ot-grebnata-baza/,,,,Пловдив,Христо Смирненски,продава,тристаен,116.63,1,5,продава Тристаен апартамент,акт 16,Suprimmo,,3,137523,2026-02-11 06:24:23.820685,269,3b96c3a037b8c8d1bfb7f8c1998da0ba
suprimmo,https://www.suprimmo.bg/prodajba/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137539-nov-dvustaen-apartament-v-moderen-zatvoren-kompleks-v-kv-trakiya/,152900.0,EUR,2352.31,Пловдив,Тракия,продава,двустаен,65.0,4,11,продава Двустаен апартамент,"Само за частни лица!, акт 16",Suprimmo,,3,137539,2026-02-11 06:24:23.820685,269,5711bb3f1be1aeae4a30071cf3786842
