site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-107559-stilno-obzaveden-apartament-v-nova-sgrada-v-plovdiv/,550.0,EUR,9.17,Пловдив,Младежки хълм,продава,двустаен,60.0,3,7,продава Двустаен апартамент,"НОВА ОФЕРТА, под наем дългосрочно, акт 16",Suprimmo,,3,107559,2026-02-14 06:15:11.571478,24,c209e5d87c5473c1c9bafdf376d61956
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137931-svetal-dvustaen-apartament-v-nova-sgrada-v-kv-kamenitsa-1/,430.0,EUR,6.32,Пловдив,Каменица 1,продава,двустаен,68.0,4,5,продава Двустаен апартамент,"НОВА ОФЕРТА, под наем дългосрочно, акт 16",Suprimmo,,3,137931,2026-02-14 06:15:11.571478,24,8ab30cb0ceb94e4c490412d550232465
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137509-eleganten-tristaen-apartament-v-podnojieto-na-park-bunardjik/,1000.0,EUR,9.8,Пловдив,Мараша,продава,тристаен,102.0,4,5,продава Тристаен апартамент,"под наем дългосрочно, акт 16",Suprimmo,,3,137509,2026-02-14 06:15:11.571478,24,fcad560efddaf1529a9ee20dd481b601
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137388-nov-stilen-tristaen-apartament-v-tsentara-na-plovdiv/,1900.0,EUR,15.08,Пловдив,Център,продава,тристаен,126.0,6,6,продава Тристаен апартамент,"под наем дългосрочно, акт 16",Suprimmo,,3,137388,2026-02-14 06:15:11.571478,24,960ba1003fdaed094e08a1737ee3f391
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137409-komforten-dvustaen-apartament-do-mladejki-halm-v-plovdiv/,550.0,EUR,7.97,Пловдив,Христо Смирненски,продава,двустаен,69.0,2,4,продава Двустаен апартамент,под наем дългосрочно,Suprimmo,,3,137409,2026-02-14 06:15:11.571478,24,4c070d8d5c547b11d98ca0f86ae4ea8c
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137362-eleganten-tristaen-apartament-pod-naem-v-prestijniya-kompleks-royal-garden/,1200.0,EUR,11.43,Пловдив,Христо Смирненски,наем,тристаен,105.0,5,7,продава Тристаен апартамент,"под наем дългосрочно, Ексклузивна агенция, акт 16",Suprimmo,,3,137362,2026-02-14 06:15:11.571478,24,1b055eac49cd79383326d75e95e51936
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137300-uyuten-i-stilen-dvustaen-apartament-v-tsentralnata-chast-na-plovdiv/,650.0,EUR,10.0,Пловдив,Център,продава,двустаен,65.0,3,5,продава Двустаен апартамент,"под наем дългосрочно, акт 16",Suprimmo,,3,137300,2026-02-14 06:15:11.571478,24,6f7b315a175f33641c8e8e0b82eb5d93
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-137101-stilen-tristaen-apartament-s-dvoen-garaj-v-nova-sgrada-v-plovdiv/,850.0,EUR,7.39,Пловдив,Христо Смирненски,продава,тристаен,115.0,4,6,продава Тристаен апартамент,под наем дългосрочно,Suprimmo,,3,137101,2026-02-14 06:15:11.571478,24,5956cefd7ffa284d8972203d6bcbf42f
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-136831-moderen-tristaen-apartament-do-novotel-plovdiv/,770.0,EUR,6.42,Пловдив,Кършияка,продава,тристаен,120.0,4,7,продава Тристаен апартамент,"под наем дългосрочно, Ексклузивна агенция, акт 16",Suprimmo,,3,136831,2026-02-14 06:15:11.571478,24,458d626da4730e8e30d3f827a32f5480
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-plovdiv/plovdiv-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-136801-dvustaen-apartament-v-prestijen-jilishten-kompleks-royal-garden-2/,700.0,EUR,9.72,Пловдив,Отдих и Култура,продава,двустаен,72.0,2,7,продава Двустаен апартамент,"под наем дългосрочно, акт 16",Suprimmo,,3,136801,2026-02-14 06:15:11.571478,24,1641632f3f8e091e19227e745b51c217
