raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
Многостаен апартамент,,502020.0,EUR,False,продава,многостаен,София,Бояна,,Suprimmo,,https://www.suprimmo.bg/imot-109946-mnogostaen-apartament-za-prodajba-v-rezidentsiya-berlin-park-boyana/,3,,,suprimmo,0,SOF 109946,,,251.01,3
Четиристаен апартамент,,1950000.0,EUR,False,продава,четиристаен,Панчарево,"Софийска област, България",,Suprimmo,,https://www.suprimmo.bg/imot-130883-dizaynerski-apartament-s-tri-spalni-na-ezero-pancharevo/,3,,,suprimmo,0,STO-130883,,,443,партер
Двустаен апартамент,,185000.0,EUR,False,продава,двустаен,София,Сухата река,,Suprimmo,,https://www.suprimmo.bg/imot-132154-yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-rayon/,3,,,suprimmo,0,STO-132154,,,74,4
Тристаен апартамент,,480000.0,EUR,False,продава,тристаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-132801-poluobzaveden-tristaen-apartament-na-metri-ot-yujen-park/,3,,,suprimmo,0,SOF-132801,,,110.88,2
Тристаен апартамент,,367260.0,EUR,False,продава,тристаен,София,Горна баня,,Suprimmo,,https://www.suprimmo.bg/imot-129729-nov-zapaden-tristaen-apartament-v-gloria-palace-residence/,3,,,suprimmo,0,SOF-129729,,,122.42,2
Тристаен апартамент,,1200000.0,EUR,False,продава,тристаен,Панчарево,"Софийска област, България",,Suprimmo,,https://www.suprimmo.bg/imot-128088-tristaen-apartament-s-frontalna-gledka-kam-pancharevskoto-ezero/,3,,,suprimmo,0,STO-128088,,,300,2
Двустаен апартамент,,253000.0,EUR,False,продава,двустаен,София,Драгалевци,,Suprimmo,,https://www.suprimmo.bg/imot-126389-dvustaen-apartament-v-nova-sgrada-sas-spa-i-fitnes/,3,,,suprimmo,0,SOF-126389,,,100.76,2
Тристаен апартамент(В процес на строителство),,247468.0,EUR,False,продава,тристаен,Панчарево,"Софийска област, България",,Suprimmo,,https://www.suprimmo.bg/imot-133172-tristaen-apartament-v-luksozna-sgrada-do-borova-gora-v-pancharevo/,3,,,suprimmo,0,STO-133172,,,95.18,3
Двустаен апартамент(В процес на строителство),,160240.0,EUR,False,продава,двустаен,София,Горна баня,,Suprimmo,,https://www.suprimmo.bg/imot-132787-dvustaen-apartament-novo-stroitelstvo-blizo-do-gloria-palace/,3,,,suprimmo,0,SOF-132787,,,74.53,2
Тристаен апартамент,,702702.0,EUR,False,продава,тристаен,София,Манастирски ливади - Запад,,Suprimmo,,https://www.suprimmo.bg/imot-100962-prostoren-tristaen-apartament-za-prodajba-v-luksozna-sgrada/,3,,,suprimmo,0,AP 100962,,,234.23,7
Къща,,835120.0,EUR,False,продава,,София,Драгалевци,,Suprimmo,,https://www.suprimmo.bg/imot-101958-kashta-v-zatvoren-kompleks-na-ul-leshnikova-gora/,3,,,suprimmo,0,Sve-101958,,,379.60,
Тристаен апартамент,,385000.0,EUR,False,продава,тристаен,София,Драгалевци,,Suprimmo,,https://www.suprimmo.bg/imot-126380-tristaen-apartament-v-nova-sgrada-sas-spa-i-fitnes-v-kv-dragalevtsi/,3,,,suprimmo,0,SOF-126380,,,154.43,2
Двустаен апартамент(В процес на строителство),,181666.0,EUR,False,продава,двустаен,София,Манастирски ливади - Изток,,Suprimmo,,https://www.suprimmo.bg/imot-125697-dvustaen-apartament-v-moderen-zatvoren-kompleks/,3,,,suprimmo,0,SOF 125697,,,63.24,1
Тристаен апартамент(В процес на строителство),,241971.0,EUR,False,продава,тристаен,София,Манастирски ливади - Изток,,Suprimmo,,https://www.suprimmo.bg/imot-125701-nov-tristaen-apartament-v-zatvoren-kompleks-v-kv-manastirski-livadi--iztok/,3,,,suprimmo,0,SOF 125701,,,90.29,3
Тристаен апартамент,,379100.0,EUR,False,продава,тристаен,София,Манастирски ливади - Изток,,Suprimmo,,https://www.suprimmo.bg/imot-104767-tristaen-apartament-v-sgrada-novo-stroitelstvo-do-bul-balgariya/,3,,,suprimmo,0,STO-104767,,,111.50,2
Двустаен апартамент(В процес на строителство),,221676.0,EUR,False,продава,двустаен,София,Манастирски ливади - Изток,,Suprimmo,,https://www.suprimmo.bg/imot-125429-dvustaen-apartament-s-veranda-v-nov-kompleks-v-kv-manastirski-livadi--iztok/,3,,,suprimmo,0,SOF 125429,,,65.97,партер
Тристаен апартамент(В процес на строителство),,251875.0,EUR,False,продава,тристаен,Панчарево,"Софийска област, България",,Suprimmo,,https://www.suprimmo.bg/imot-133173-yujen-apartament-v-luksozna-sgrada-do-ezeroto-v-pancharevo/,3,,,suprimmo,0,STO-133173,,,100.75,3
Двустаен апартамент,,183333.0,EUR,False,продава,двустаен,София,Малинова долина,,Suprimmo,,https://www.suprimmo.bg/imot-129198-dvustaen-apartament-56-v-okinawa-boutique-residence/,3,,,suprimmo,0,SOF-129198,,,77.47,5
Тристаен апартамент,,343000.0,EUR,False,продава,тристаен,София,Малинова долина,,Suprimmo,,https://www.suprimmo.bg/imot-127867-tristaen-apartament-v-okinawa-boutique-residence-v-kv-malinova-dolina/,3,,,suprimmo,0,SOF-127867,,,136,4
Тристаен апартамент,,285000.0,EUR,False,продава,тристаен,София,Малинова долина,,Suprimmo,,https://www.suprimmo.bg/imot-123965-tristaen-apartament-73-s-gledka-kam-vitosha-v-okinawa-boutique/,3,,,suprimmo,0,SOF-123965,,,116.34,7
Тристаен апартамент,,300000.0,EUR,False,продава,тристаен,София,Малинова долина,,Suprimmo,,https://www.suprimmo.bg/imot-98244-ekskluziven-apartament-s-gradinska-terasa-i-gledka-kam-planina-vitosha/,3,,,suprimmo,0,STO-98244,,,95.50,1
Едностаен апартамент(В процес на строителство),,119049.0,EUR,False,продава,едностаен,София,Малинова долина,,Suprimmo,,https://www.suprimmo.bg/imot-135370-ednostaen-apartament-v-moderen-kompleks-do-simeonovsko-shose/,3,,,suprimmo,0,STO-135370,,,55.10,4
