raw_title,raw_description,price,currency,without_dds,offer_type,property_type,city,neighborhood,contact_info,agency,agency_url,details_url,num_photos,date_time_added,search_url,site,total_offers,ref_no,time,price_per_m2,area,floor
Тристаен апартамент,,1600.0,EUR,False,продава,тристаен,София,Манастирски ливади - Запад,,Suprimmo,,https://www.suprimmo.bg/imot-131731-iziskan-i-moderen-tristaen-apartament-v-luksozna-sgrada-pulse-tower/,3,2026-01-24 06:05:25.653889,,suprimmo,361,SOF-131731,,13.11,122,4
Тристаен апартамент,,10000.0,EUR,False,продава,тристаен,София,Център,,Suprimmo,,https://www.suprimmo.bg/imot-104721-panoramen-tristaen-apartament-v-prestijnata-sgrada-milenium-tsentar/,3,2026-01-24 06:05:25.654895,,suprimmo,361,SOF-104721,,38.46,260,21
Двустаен апартамент,,450.0,EUR,False,продава,двустаен,София,Хиподрума,,Suprimmo,,https://www.suprimmo.bg/imot-36493-napalno-obzaveden-dvustaen-apartament-v-kv-hipodruma/,3,2026-01-24 06:05:25.655829,,suprimmo,361,Kbs 36493,,8.29,54.31,3
Четиристаен апартамент,,1800.0,EUR,False,продава,четиристаен,София,Малинова долина,,Suprimmo,,https://www.suprimmo.bg/imot-63398-svetal-apartament-s-podzemno-parkomyasto-v-polite-na-vitosha/,3,2026-01-24 06:05:25.656802,,suprimmo,361,SOF-63398,,11.25,160,4
Тристаен апартамент,,1650.0,EUR,False,продава,тристаен,София,Център,,Suprimmo,,https://www.suprimmo.bg/imot-133548-tristaen-apartament-s-parkomyasto-do-metrostantsiya-sv-patriarh-evtimiy/,3,2026-01-24 06:05:25.657762,,suprimmo,361,SOF-133548,,10.58,156,5
Двустаен апартамент,,2000.0,EUR,False,наем,двустаен,София,Манастирски ливади - Запад,,Suprimmo,,https://www.suprimmo.bg/imot-95307-dizaynerski-apartament-pod-naem-na-2-niva-s-garaj-v-zatvoren-kompleks-do-bulbalgariya/,3,2026-01-24 06:05:25.658731,,suprimmo,361,SOF 95307,,10.98,182.13,1
Тристаен апартамент,,1400.0,EUR,False,наем,тристаен,София,Манастирски ливади - Изток,,Suprimmo,,https://www.suprimmo.bg/imot-125367-stilen-tristaen-apartament-pod-naem-v-predpochitan-kompleks-v-kv-manastirski-livadi/,3,2026-01-24 06:05:25.659706,,suprimmo,361,Kbs 125367,,12.27,114.13,3
Четиристаен апартамент,,1500.0,EUR,False,продава,четиристаен,София,Изток,,Suprimmo,,https://www.suprimmo.bg/imot-130536-chetiristaen-apartament-etaj-ot-kashta-v-kviztok-s-hubava-terasa-i-garaj/,3,2026-01-24 06:05:25.660677,,suprimmo,361,SOF 130536,,11.54,130,1
Двустаен апартамент,,1023.0,EUR,False,наем,двустаен,София,Бояна,,Suprimmo,,https://www.suprimmo.bg/imot-106259-prostoren-stilno-obzaveden-dvustaen-apartament-pod-naem-s-vklyucheno-parkomyasto/,3,2026-01-24 06:05:25.661666,,suprimmo,361,Kbs 106259,,9.47,108,2
Тристаен апартамент,,1900.0,EUR,False,наем,тристаен,София,Дианабад,,Suprimmo,,https://www.suprimmo.bg/imot-113455-vazhititelen-dizaynerski-apartament-s-otlichna-lokatsiya-pod-naem-v-kv-dianabad/,3,2026-01-24 06:05:25.662719,,suprimmo,361,Kbs 113455,,15.57,122,11
Тристаен апартамент,,1430.0,EUR,False,наем,тристаен,София,Кръстова вада,,Suprimmo,,https://www.suprimmo.bg/imot-122146-nov-moderen-tristaen-apartament-pod-naem-do-paradise-mall/,3,2026-01-24 06:05:25.663712,,suprimmo,361,SOF-122146,,17.88,80,5
Двустаен апартамент,,818.0,EUR,False,наем,двустаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-75140-stilen-dvustaen-apartament-pod-naem-na-top-lokatsiya-v-kv-lozenets/,3,2026-01-24 06:05:25.664745,,suprimmo,361,Kbs 75140,,12.21,67,2
Двустаен апартамент,,750.0,EUR,False,продава,двустаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-118991-stilen-dvustaen-apartament-s-podzemno-parkomyasto-v-lozenets/,3,2026-01-24 06:05:25.665739,,suprimmo,361,Sof 118991,,10.56,71,2
Тристаен апартамент,,1600.0,EUR,False,наем,тристаен,София,Кръстова вада,,Suprimmo,,https://www.suprimmo.bg/imot-118300-nov-moderen-tristaen-apartament-pod-naem-do-paradise-mall/,3,2026-01-24 06:05:25.666701,,suprimmo,361,SOF-118300,,14.55,110,5
Многостаен апартамент,,2500.0,EUR,False,наем,многостаен,София,Стрелбище,,Suprimmo,,https://www.suprimmo.bg/imot-41508-luksozen-dizaynerski-mnogostaen-apartament-pod-naem-do-bul-balgariya/,3,2026-01-24 06:05:25.667622,,suprimmo,361,Sfa 1275,,8.31,301,7
Тристаен апартамент,,1300.0,EUR,False,продава,тристаен,София,Борово,,Suprimmo,,https://www.suprimmo.bg/imot-137365-stilno-obzaveden-apartament-v-k-s-ot-zatvoren-tip-v-kvborovo/,3,2026-01-24 06:05:25.668669,,suprimmo,361,Sve-137365,,12.38,105,2
Тристаен апартамент,,899.0,EUR,False,наем,тристаен,София,Банишора,,Suprimmo,,https://www.suprimmo.bg/imot-137373-tristaen-apartament-pod-naem-v-kv-banishora-do-ul-opalchenska/,3,2026-01-24 06:05:25.669653,,suprimmo,361,SOF-137373,,7.19,125,3
Тристаен апартамент,,1200.0,EUR,False,наем,тристаен,София,Витоша,,Suprimmo,,https://www.suprimmo.bg/imot-137374-tristaen-apartament-pod-naem-v-zatvoren-kompleks-v-kvvitosha/,3,2026-01-24 06:05:25.670604,,suprimmo,361,Kbs 137374,,8.33,144,4
Тристаен апартамент,,770.0,EUR,False,наем,тристаен,София,Витоша,,Suprimmo,,https://www.suprimmo.bg/imot-75464-tristaen-apartament-pod-naem-v-kv-vitosha/,3,2026-01-24 06:05:25.671648,,suprimmo,361,SOF-75464,,9.62,80,2
Четиристаен апартамент,,2500.0,EUR,False,наем,четиристаен,София,Яворов,,Suprimmo,,https://www.suprimmo.bg/imot-137331-vpechatlyavasht-mezonet-pod-naem-v-sartseto-na-grsofiya/,3,2026-01-24 06:05:25.672596,,suprimmo,361,SOF 137331,,8.33,300,5
Двустаен апартамент,,900.0,EUR,False,наем,двустаен,София,Манастирски ливади - Изток,,Suprimmo,,https://www.suprimmo.bg/imot-137333-luksozen-dvustaen-apartament-pod-naem-vav-via-bulgaria/,3,2026-01-24 06:05:25.673598,,suprimmo,361,SOF-137333,,12.86,70,6
Двустаен апартамент,,625.0,EUR,False,наем,двустаен,София,Витоша,,Suprimmo,,https://www.suprimmo.bg/imot-137336-dvustaen-apartament-pod-naem-v-kv-vitosha-do-zoopark-sofiya/,3,2026-01-24 06:05:25.674677,,suprimmo,361,SOF-137336,,11.83,52.83,3
Мезонет,,1200.0,EUR,False,наем,мезонет,София,Витоша,,Suprimmo,,https://www.suprimmo.bg/imot-137360-mezonet-pod-naem-v-zatvoren-kompleks-v-kvvitosha/,3,2026-01-24 06:05:25.675645,,suprimmo,361,Kbs 137360,,8.33,144,4
Двустаен апартамент,,850.0,EUR,False,наем,двустаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-137325-moderen-dvustaen-apartament-pod-naem-v-kvlozenets/,3,2026-01-24 06:05:25.676608,,suprimmo,361,Kbs 131884,,13.71,62,4
Двустаен апартамент,,850.0,EUR,False,наем,двустаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-137327-chisto-nov-dvustaen-apartament-pod-naem-v-rezidans-hil-kv-lozenets/,3,2026-01-24 06:05:28.584872,,suprimmo,361,Kbs 137327,,11.18,76,2
Двустаен апартамент,,900.0,EUR,False,наем,двустаен,София,Кръстова вада,,Suprimmo,,https://www.suprimmo.bg/imot-137217-luksozen-chisto-nov-dvustaen-apartament-pod-naem-v-ruhouse-2/,3,2026-01-24 06:05:28.585935,,suprimmo,361,SOF-137217,,12.0,75,7
Тристаен апартамент,,1000.0,EUR,False,наем,тристаен,София,Център,,Suprimmo,,https://www.suprimmo.bg/imot-137230-tristaen-apartament-pod-naem-do-bul-vitosha/,3,2026-01-24 06:05:28.586896,,suprimmo,361,SOF 137230,,16.67,60,1
Двустаен апартамент,,950.0,EUR,False,продава,двустаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-137250-nov-obzaveden-dvustaen-apartament-s-panoramna-gledka-do-metrostantsiya-djeyms-baucher/,3,2026-01-24 06:05:28.587889,,suprimmo,361,SOF-137250,,14.84,64,6
Двустаен апартамент,,1000.0,EUR,False,наем,двустаен,София,Център,,Suprimmo,,https://www.suprimmo.bg/imot-137251-prostoren-dvustaen-apartament-pod-naem-v-tsentara-do-bul-vitosha/,3,2026-01-24 06:05:28.588871,,suprimmo,361,SOF-137251,,12.5,80,4
Тристаен апартамент,,1300.0,EUR,False,продава,тристаен,София,Драгалевци,,Suprimmo,,https://www.suprimmo.bg/imot-137253-tristaen-apartament-s-novo-obzavejdane-i-panoramna-gledka-v-luksozen-kompleks/,3,2026-01-24 06:05:28.589862,,suprimmo,361,SOF-137253,,10.16,128,3
Мезонет,,1490.0,EUR,False,наем,мезонет,София,Център,,Suprimmo,,https://www.suprimmo.bg/imot-137258-chisto-nov-mezonet-s-dve-spalni-pod-naem-na-ul-lyuben-karavelov-do-ndk/,3,2026-01-24 06:05:28.590843,,suprimmo,361,SOF-137258,,11.04,135,5
Тристаен апартамент,,550.0,EUR,False,наем,тристаен,София,Банишора,,Suprimmo,,https://www.suprimmo.bg/imot-137265-prostoren-tristaen-apartament-pod-naem-v-kvbanishora-do-metro/,3,2026-01-24 06:05:28.591757,,suprimmo,361,SOF 137265,,6.55,84,4
Двустаен апартамент,,770.0,EUR,False,наем,двустаен,София,Лозенец,,Suprimmo,,https://www.suprimmo.bg/imot-137291-dvustaen-apartament-pod-naem-v-kvlozenets/,3,2026-01-24 06:05:28.592664,,suprimmo,361,Kbs 137291,,10.55,73,
Тристаен апартамент,,1290.0,EUR,False,продава,тристаен,София,Иван Вазов,,Suprimmo,,https://www.suprimmo.bg/imot-67420-artistichen-apartament-v-sgrada-red-apple-s-optsiya-za-parkomyasto/,3,2026-01-24 06:05:28.593787,,suprimmo,361,SOF 67420,,8.6,150,10
Тристаен апартамент,,1790.0,EUR,False,наем,тристаен,София,Кръстова вада,,Suprimmo,,https://www.suprimmo.bg/imot-128625-tristaen-apartament-pod-naem-s-gledka-kam-vatreshen-dvor-v-paradise-place/,3,2026-01-24 06:05:28.594774,,suprimmo,361,SOF 128625,,15.91,112.54,3
Четиристаен апартамент,,1550.0,EUR,False,наем,четиристаен,София,Драгалевци,,Suprimmo,,https://www.suprimmo.bg/imot-133527-prostoren-chetiristaen-apartament-pod-naem-do-fantastiko-v-kv-dragalevtsi/,3,2026-01-24 06:05:28.595768,,suprimmo,361,SOF-133527,,8.81,176,1
Двустаен апартамент,,750.0,EUR,False,наем,двустаен,София,Оборище,,Suprimmo,,https://www.suprimmo.bg/imot-137191-nov-moderen-dvustaen-apartament-pod-naem-na-ul-cherkovna/,3,2026-01-24 06:05:28.596796,,suprimmo,361,SOF-137191,,10.56,71,6
Двустаен апартамент,,750.0,EUR,False,наем,двустаен,София,Подуяне,,Suprimmo,,https://www.suprimmo.bg/imot-137193-otlichen-nov-dvustaen-apartament-pod-naem-na-ul-cherkovna/,3,2026-01-24 06:05:28.597815,,suprimmo,361,SOF-137193,,10.56,71,6
Тристаен апартамент,,1450.0,EUR,False,продава,тристаен,София,Младост 4,,Suprimmo,,https://www.suprimmo.bg/imot-137195-moderen-tristaen-apartament-sas-sistema-umen-dom-v-iris-park/,3,2026-01-24 06:05:28.598839,,suprimmo,361,SOF-137195,,13.94,104,1
Тристаен апартамент,,950.0,EUR,False,наем,тристаен,София,Център,,Suprimmo,,https://www.suprimmo.bg/imot-137202-moderen-tristaen-apartament-pod-naem-do-metrostantsiya-serdika/,3,2026-01-24 06:05:28.599760,,suprimmo,361,SOF-137202,,12.18,78,5
Двустаен апартамент,,800.0,EUR,False,продава,двустаен,София,Център,,Suprimmo,,https://www.suprimmo.bg/imot-137211-novo-stilno-jilishte-v-luksozna-sgrada/,3,2026-01-24 06:05:28.600811,,suprimmo,361,Sve-137211,,12.31,65,1
Двустаен апартамент,,400.0,EUR,False,наем,двустаен,София,Илинден,,Suprimmo,,https://www.suprimmo.bg/imot-137227-dvustaen-apartament-pod-naem-s-gledka-kam-vatreshen-dvor/,3,2026-01-24 06:05:28.601729,,suprimmo,361,Kbs 137227,,8.0,50,1
Тристаен апартамент,,1495.0,EUR,False,наем,тристаен,София,в,,Suprimmo,,https://www.suprimmo.bg/imot-137150-luksozen-tristaen-apartament-pod-naem-v-eliten-kompleks-garitage-park/,3,2026-01-24 06:05:28.602728,,suprimmo,361,SOF-137150,,13.59,110,2
Двустаен апартамент,,800.0,EUR,False,продава,двустаен,София,Витоша,,Suprimmo,,https://www.suprimmo.bg/imot-137155-svetal-dvustaen-apartament-s-funktsionalno-razpredelenie-v-kv-vitosha/,3,2026-01-24 06:05:28.603712,,suprimmo,361,Kbs 137155,,14.55,55,1
Тристаен апартамент,,1600.0,EUR,False,наем,тристаен,София,Стрелбище,,Suprimmo,,https://www.suprimmo.bg/imot-137159-prekrasen-tristaen-apartament-pod-naem-do-yujen-park/,3,2026-01-24 06:05:28.604686,,suprimmo,361,SOF-137159,,10.67,150,4
Многостаен апартамент,,3400.0,EUR,False,продава,многостаен,София,Витоша,,Suprimmo,,https://www.suprimmo.bg/imot-137104-parvoklasen-mnogostaen-mezonet-s-dve-parkomesta-v-kv-vitosha/,3,2026-01-24 06:05:28.605695,,suprimmo,361,SOF-137104,,11.81,288,5
Тристаен апартамент,,900.0,EUR,False,наем,тристаен,София,Дървеница,,Suprimmo,,https://www.suprimmo.bg/imot-137112-tristaen-apartament-pod-naem-kvdarvenitsa/,3,2026-01-24 06:05:28.606719,,suprimmo,361,Kbs 137112,,7.83,115,5
Двустаен апартамент,,850.0,EUR,False,наем,двустаен,София,Витоша,,Suprimmo,,https://www.suprimmo.bg/imot-137114-prostoren-i-svetal-mezonet-pod-naem-v-kv-vitosha/,3,2026-01-24 06:05:28.607705,,suprimmo,361,Kbs 137114,,8.5,100,5
Четиристаен апартамент,,1400.0,EUR,False,наем,четиристаен,София,Изток,,Suprimmo,,https://www.suprimmo.bg/imot-137137-chetiristaen-apartament-pod-naem-blizo-do-metrostantsiya-jolio-kyuri/,3,2026-01-24 06:05:31.540124,,suprimmo,361,SOF-137137,,5.6,250,3
Двустаен апартамент,,860.0,EUR,False,продава,двустаен,София,Изгрев,,Suprimmo,,https://www.suprimmo.bg/imot-78343-prostoren-i-svetal-apartament-do-borisovata-gradina/,3,2026-01-24 06:05:31.541155,,suprimmo,361,STO 78343,,9.45,91,2
Тристаен апартамент,,1800.0,EUR,False,наем,тристаен,София,Кръстова вада,,Suprimmo,,https://www.suprimmo.bg/imot-137055-prostoren-nov-tristaen-apartament-pod-naem-v-smart-tower-do-paradise-mall/,3,2026-01-24 06:05:31.542153,,suprimmo,361,SOF-137055,,12.0,150,8
