site,search_url,details_url,price,original_currency,price_per_m2,city,neighborhood,offer_type,property_type,area,floor,total_floors,raw_title,raw_description,agency,agency_url,num_photos,ref_no,date_time_added,total_offers,fingerprint_hash
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-82813-dvustaen-apartament-pod-naem-v-zatvoren-komleks/,900.0,EUR,11.25,София,Кръстова вада,наем,двустаен,80.0,3,5,продава Двустаен апартамент,"под наем дългосрочно, акт 16",Suprimmo,,3,82813,2026-02-05 18:17:24.873385,373,5d3e7faba0767d73efaa3a036205b7f8
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-131731-iziskan-i-moderen-tristaen-apartament-v-luksozna-sgrada-pulse-tower/,1600.0,EUR,13.11,София,Манастирски ливади,продава,тристаен,122.0,4,10,продава Тристаен апартамент,"под наем дългосрочно, акт 16",Suprimmo,,3,131731,2026-02-05 18:17:24.873385,373,926b3ced8f948f826007a6bd5116b86b
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-104721-panoramen-tristaen-apartament-v-prestijnata-sgrada-milenium-tsentar/,10000.0,EUR,38.46,София,Център,продава,тристаен,260.0,21,22,продава Тристаен апартамент,"под наем дългосрочно, акт 16",Suprimmo,,3,104721,2026-02-05 18:17:24.873385,373,653c3bbcf0e8e459ee7845f9968739e6
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-36493-napalno-obzaveden-dvustaen-apartament-v-kv-hipodruma/,450.0,EUR,8.29,София,Хиподрума,продава,двустаен,54.31,3,8,продава Двустаен апартамент,под наем дългосрочно,Suprimmo,,3,36493,2026-02-05 18:17:24.873385,373,29d399a73cfec1a5d04c94fbe6cbed29
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-63398-svetal-apartament-s-podzemno-parkomyasto-v-polite-na-vitosha/,1800.0,EUR,11.25,София,Малинова долина,продава,паркомясто,160.0,4,7,продава Четиристаен апартамент,под наем дългосрочно,Suprimmo,,3,63398,2026-02-05 18:17:24.873385,373,73c7a8f1b7556110ac0863ca1ac5322d
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-133548-tristaen-apartament-s-parkomyasto-do-metrostantsiya-sv-patriarh-evtimiy/,1650.0,EUR,10.58,София,Център,продава,паркомясто,156.0,5,6,продава Тристаен апартамент,"под наем дългосрочно, акт 16",Suprimmo,,3,133548,2026-02-05 18:17:24.873385,373,5fa0801c9be37f62c0ae34837a368cf9
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-95307-dizaynerski-apartament-pod-naem-na-2-niva-s-garaj-v-zatvoren-kompleks-do-bulbalgariya/,2000.0,EUR,10.98,София,Манастирски ливади,наем,двустаен,182.13,1,6,продава Двустаен апартамент,"под наем дългосрочно, акт 16",Suprimmo,,3,95307,2026-02-05 18:17:24.873385,373,1fe66b2330742d13baa4e7c2fa66cbe5
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-125367-stilen-tristaen-apartament-pod-naem-v-predpochitan-kompleks-v-kv-manastirski-livadi/,1400.0,EUR,12.27,София,Манастирски ливади,наем,тристаен,114.13,3,6,продава Тристаен апартамент,"под наем дългосрочно, акт 16",Suprimmo,,3,125367,2026-02-05 18:17:24.873385,373,ce1d191879f2c1b96b030a51a9606ab6
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-130536-chetiristaen-apartament-etaj-ot-kashta-v-kviztok-s-hubava-terasa-i-garaj/,1500.0,EUR,11.54,София,Изток,продава,четиристаен,130.0,1,3,продава Четиристаен апартамент,"под наем дългосрочно, акт 16",Suprimmo,,3,130536,2026-02-05 18:17:24.873385,373,136731e42a1aef462e8e762cd9f8520d
suprimmo,https://www.suprimmo.bg/naem/bulgaria/oblast-sofiya/sofiya-imoti/po-tip-apartamenti/,https://www.suprimmo.bg/imot-113455-vazhititelen-dizaynerski-apartament-s-otlichna-lokatsiya-pod-naem-v-kv-dianabad/,1900.0,EUR,15.57,София,Дианабад,наем,тристаен,122.0,11,13,продава Тристаен апартамент,"под наем дългосрочно, Ексклузивна агенция, акт 16",Suprimmo,,3,113455,2026-02-05 18:17:24.873385,373,3e2b52ea55cf568c523e45c184f4d64f
