site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",2026-02-09 06:25:06.073135,https://www.alo.bg/prodavam-zemedelska-zemya-10529079,,462 000 €(903 593.46 лв.),"Ивайло, Пазарджик",Продавам земеделска земя,"Продавам 21 декара земеделска земя. Намира се на асфалтиран път, на изхода на с. Ивайло на път за магистрала Тракия. Земята е подходяща за складови помещения, производствени бази, логистични центрове, тир паркинг на транспортни фирми, административни центрове, зеленчукови борси и еднофамилни къщи, каквито в момента ще се строят до имота. Има ток и вода.",,,,вчера,1,10529079,923,Продавам земеделска земя
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",2026-02-09 06:25:06.073135,https://www.alo.bg/prodavam-parcel-s-plosht-22-500-dka-patya-yambol-veselinovo-magistrala-trakiya-7730494,,Цена на имота:115 040.67 €(225 000 лв.),"Веселиново, област  Ямбол","Продавам парцел с площ 22,500 дка. Пътя Ямбол - Веселиново - Магистрала Тракия","Продавам парцел с площ 22,500 дка. Подходящ за бензиностанция, паркинг или друго. Намира се на главния път от Ямбол - Веселиново - Автомагистрала Тракия, в землището на село Веселиново. Цена по догова..",,,,Таня Атанасова,1,7730494,923,"Продавам парцел с площ 22,500 дка. Пътя Ямбол - Веселиново - Магистрала Тракия"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",2026-02-09 06:25:06.073135,https://www.alo.bg/prodavam-10-ili-poveche-primerno-20-30-60-dekara-zemedelska-zemya-v-selo-zahari-stoyanovo-10783368,,Цена на имота:20 451.60 €(39 999.85 лв.),"Шабла, Захари Стояново, област  Добрич","Продавам 10 (или повече, примерно 20, 30,... 60) декара земеделска земя в село Захари Стояново","Продавам 10 декара от имот от 60 плодородна земеделска земя III-та категория в землището на село Захари Стояново, район Шабла, област Добрич. 
Земята се обработва и има сключен едногодишен арендаторс..",,,,вчера,1,10783368,923,"Продавам 10 (или повече, примерно 20, 30,... 60) декара земеделска земя в село Захари Стояново"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",2026-02-09 06:25:06.073135,https://www.alo.bg/prodavam-zemedelska-zemya-v-chokoba-bozadjii-i-skobelevo-10875728,,Цена на имота:110 700 €(216 510.38 лв.),"Бозаджии, област  Сливен","Продавам земеделска земя в Чокоба, Бозаджий и Скобелево","Продавам земеделска земя в Чокоба, Бозаджий и Скобелево, 54 дка, III категория. От собственик.",,,,преди 2 дни,1,10875728,923,"Продавам земеделска земя в Чокоба, Бозаджий и Скобелево"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",2026-02-09 06:25:06.073135,https://www.alo.bg/parcel-za-rancho-do-min-bani-8688798,,Цена на имота:123 000 €(240 567.10 лв.),"Банево, Бургас",продава Парцел за ранчо до Мин. Бани,"Продава парцел за ранчо или строителство на къщи на 500м. от в. з. Мин. Бани. С плодородна земя(3кат.). С гледка към Бургаския залив и околните хълмове с борови гори. На 180м. от в. з. Светлейката, от..",,,,преди 3 дни,1,8688798,923,Парцел за ранчо до Мин. Бани
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",2026-02-09 06:25:06.073135,https://www.alo.bg/zemedelska-zemya-v-s-veselinovo-obl-yambol-10861494,,Цена на имота:55 490.75 €(108 530.47 лв.),"местност Бетимя, Веселиново, област  Ямбол","продава Земеделска земя в с. Веселиново, обл. Ямбол","Два съседни имота с площ и категория както следва: 
имот № 006042 - 14.997, трета категория
имот № 006043 - 14.996, четвърта категория",,,,преди 3 дни,1,10861494,923,"Земеделска земя в с. Веселиново, обл. Ямбол"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",2026-02-09 06:25:06.073135,https://www.alo.bg/pomorie-mestnost-kosharite-2003-kv-m-10743168,,,"Поморие, област  Бургас",продава Поморие - Местност Кошарите 2003 кв м,"Парцел калкан с изградени къщи и гледка към Бургаския залив. 

Имотът е с отлична локация, добра градоустройствена перспектива и сериозен потенциал за развитие. Подходящ за жилищен комплекс, семейни..",,,,Х. Ж. Георгиев,1,10743168,923,Поморие - Местност Кошарите 2003 кв м
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",2026-02-09 06:25:06.073135,https://www.alo.bg/zemedelska-zemya-3-ta-kategoriya-s-izvorishte-10632857,,Цена на имота:24 542.01 €(48 000 лв.),"Глигана Домус орман, Изворище, област  Бургас",продава Земеделска земя 3-та категория с. Изворище,"Продава се обработваема земеделска земя от 3-та категория, в местност Глигана, с. Изворище. 
ИД 32425.13.8
В момента се обработва от фирма в гр. Поморие. Ренто-договорът се сменя след покупко-продаж..",,,,krasimr dimitrov,1,10632857,923,Земеделска земя 3-та категория с. Изворище
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",2026-02-09 06:25:06.073135,https://www.alo.bg/zemya-7-dka-na-200-m-ot-centralniya-pat-patya-asenovgrad-kozanovo-10812034,,Цена на имота:25 000 €(48 895.75 лв.),"Асеновград, област  Пловдив",продава земя 7 дка на 200 м от централния път пътя Асеновград-Козаново,Парцелът е 7 дка с възможност за смяна на статут на 200м. от асфалтов път,,,,дан,1,10812034,923,земя 7 дка на 200 м от централния път пътя Асеновград-Козаново
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/zemedelska-zemia-gradini-lozia-gora/?p[696]=2321,2322,2323",2026-02-09 06:25:06.073135,https://www.alo.bg/zemya-13-dka-s-150-metra-lice-na-glavniya-pat-bolyarci-izbegli-10730802,,Цена на имота:50 000 €(97 791.50 лв.),"Асеновград, област  Пловдив",продава земя 13 дка с 150 метра лице на главния път Болярци Избегли,"Парцелът е 13 дка с възможност за смяна на статут на асфалтов път, с 150 метра лице, по пътя Болярци Избегли, което осигурява удобен и целогодишен достъп. Близо до имота има електричество, водоснабдяв..",,,,дан,1,10730802,923,земя 13 дка с 150 метра лице на главния път Болярци Избегли
