site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",2026-02-04 14:53:16.776687,https://www.alo.bg/dvustaen-apartament-v-kv-marasha-10662036,,112 000 €(219 052.96 лв.),"Мараша, Пловдив",продава Двустаен апартамент в кв. Мараша,"Титан Пропъртис с радост предлага на Вашето внимание двустаен апартамент в кв. Мараша. Районът е изключително комуникативен - в близост до магазини, спирки, училища, детска градина ”Незабравка” и в непосредствена близост до Четвъртък пазара, Главната улица и Художественото училище. 

Имотът е ситуиран на 1-ви жилищен етаж и разполага с площ от 38кв.м, разгърната в следното разпределение: входно антре, хол с кухненски бокс, спалня, баня с тоалетна и тераса. 

Имотът е напълно обзаведен и подходящ както за живеене, така и за инвестиция. 

Агенцията разполага с множество оферти в и извън ра..",38 кв.м,1 етаж,,Титан Пропъртис Пловдив ООД,1,10662036,2209,Двустаен апартамент в кв. Мараша
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",2026-02-04 14:53:16.776687,https://www.alo.bg/tristaen-apartament-do-medicinski-universitet-v-gr-plovdiv-10878567,,240 000 €(469 399.20 лв.),"Център, Пловдив",продава Тристаен апартамент до Медицински Университет в гр. Пловдив,"Референтен номер: 579. 
	SAVINI предлага за продажба тристаен/многостаен апартамент в центъра на гр. Пловдив - в непосредствена близост до Медицинския Университет, на ул. Ниш. 
	Апартаментът се състои от: 
	- хубав коридор, 
	- просторна и светла всекидневна, 
	- баня с тоалетна, 
	- 2 спални, едната от които е обзаведена, 
	- отделна кухня, 
	- 3 тераси. 
	Квадратурата на имота е 115 кв.м. с терасите. 
	На етаж са само 3 апартамента. 
	SAVINI съдейства за изгодно банково кредитиране при необходимост.",90 кв.м,4 етаж,,SAVINI INTERNATIONAL REALTY - член на НСНИ,1,10878567,2209,Тристаен апартамент до Медицински Университет в гр. Пловдив
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",2026-02-04 14:53:16.776687,https://www.alo.bg/ekskluzivno-dvustaen-apartament-v-kv-kamenica-2-napalno-obzaveden-i-gotov-za-nanasyane-10509595,,164 000 €(320 756.12 лв.),"Каменица 2, Пловдив",продава ЕКСКЛУЗИВНО! Двустаен апартамент в кв. Каменица 2 - напълно обзаведен и готов за нанасяне,"🙏 С всяка сделка ние от Diamond Home помагаме! 💎
Даряваме процент от нашата комисионна на Фондация „Вярвай“ - организация, която подпомага хора, борещи се с рак. 
Вярваме, че заедно можем да направим нещо повече от просто бизнес - можем да дадем надежда. ❤️

🏡 ЕКСКЛУЗИВНО ПРЕДЛОЖЕНИЕ! 
Предлагаме на Вашето внимание двустаен апартамент, част от нова сграда в кв. Каменица 2. Жилището е напълно обзаведено и готово за нанасяне, съчетавайки комфорт, стил и функционалност. 

📐 Площ: 60 кв.м
🏢 Етаж: 5/6
🧭 Изложение: Север

🛋️ Разпределение: Входно антре, просторна дневна с кухненски бокс, ..",60 кв.м,5 етаж,,Diamond Home,1,10509595,2209,ЕКСКЛУЗИВНО! Двустаен апартамент в кв. Каменица 2 - напълно обзаведен и готов за нанасяне
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",2026-02-04 14:53:16.776687,https://www.alo.bg/dvustaen-apartament-za-prodajba-v-jk-mladejki-halm-10893647,,139 000 €(271 860.37 лв.),"Младежки хълм, Пловдив",продава Двустаен апартамент за продажба в жк. Младежки хълм,"Титан Пропъртис с радост предлага на Вашето внимание двустаен апартамент в ржк. Младежки хълм. Районът е с удобен достъп до централната градска част, магазини, градски транспорт и всички необходими удобства. 

Имотът е ситуиран на 2-ри жилищен етаж и разполага с площ 60кв.м, разгърната в следното разпределение: входно антре, самостоятелна кухня, преходен хол, спалня, баня с тоалетна и два големи остъклени балкона. 

Към жилището има прилежащи избено и таванско помещение, както и двор с възможност за безплатно паркиране на живущите. Изложението е изток, юг и запад, което осигурява топлина п..",60 кв.м,2 етаж,,Титан Пропъртис Пловдив ООД,1,10893647,2209,Двустаен апартамент за продажба в жк. Младежки хълм
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",2026-02-04 14:53:16.776687,https://www.alo.bg/tristaen-s-akt-16-centar-10558513,,269 999 €(528 072.14 лв.),"Център, Пловдив",продава ТРИСТАЕН С АКТ 16 ЦЕНТЪР,"Референтен номер: 2641. Реф. номер: 2641

ЕКСКЛУЗИВНО! ТОП ЛОКАЦИЯ! АКТ 16! ЛУКСОЗНА СГРАДА! ЮГ/ ИЗТОК! ЦЕТЪР! 

Предлагаме ви да закупите тристаен апартамент в луксозна нова сграда С АКТ 16 ОТ 2024 ГОДИНА на пешеходно разстояние от Х-Л ТРИМОНЦИУМ до ТЦ ГРАНД! 

Основни характеристики на имота: 

- Площ: 107кв.м

- Разпределение: Голям и светъл хол с кухненски бокс, две просторни спални, едната от които с обособена част за голям гардероб, баня с тоалетна, отделно тоалетна, перално помещение, тераса с уникална гледка към града. Към апартамента и складово помещение на същия етаж до апа..",107 кв.м,7 етаж,,Лайт Хоум Риъл Естейт ЕООД,1,10558513,2209,ТРИСТАЕН С АКТ 16 ЦЕНТЪР
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",2026-02-04 14:53:16.776687,https://www.alo.bg/luksozen-tristaen-s-akt-16-sadiiski-10831537,,244 999 €(479 176.40 лв.),"Център, Пловдив",продава Луксозен тристаен с акт 16/ Съдийски,"оф.24921

ИЗЦЯЛО ОБЗАВЕДЕН ПО ДИЗАЙНЕРСКИ ПРОЕКТ! АКТ 16! БЕЗ АНАЛОГ НА ПАЗАРА! ОБЗАВЕЖДАНЕ С НАЙ-ВИСОК КЛАС МЕБЕЛИ И ЕЛ. УРЕДИ! Предлагаме Ви да закупите страхотен тристаен апартамент без аналог на пазара, състоящ се от ПРОСТОРЕН ХОЛ С КУХНЕНСКИ БОКС И ТРАПЕЗАРИЯ, ДВЕ ГОЛЕМИ СПАЛНИ, БАНЯ С ТОАЛЕТНА, ОТДЕЛНА ТОАЛЕТНА, ПЕРАЛНО ПОМЕЩЕНИЕ, КОРИДОР И ДВЕ ТЕРАСИ. Жилището, което Ви предлагаме да закупите, ще бъде обзаведено по дизайнерски проект, с мебели и ел. уреди от най-висок клас, което ще Ви дава пълната възможност да се нанесете веднага. Имотът е перфектния избор, както за вашия нов и мечт..",115 кв.м,7 етаж,,Avangard Real Estate,1,10831537,2209,Луксозен тристаен с акт 16/ Съдийски
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",2026-02-04 14:53:16.776687,https://www.alo.bg/tristaen-do-klyuch-obzaveden-do-vmi-i-ul-ivan-vazov-178000-evro-7367414,,178 000 €(348 137.74 лв.),"Младежки хълм, Пловдив",продава тристаен до ключ обзаведен до ВМИ и ул. ”Иван Вазов” 178000 евро,"Представяме Ви ново жилище в лукс кооперация с жива охрана на метри от ВМИ и на 5 минути пеша от ул. ”Иван Вазов” на тиха, малка уличка. Състои се от две спални, хол с голям кухненски бокс. Компактно, но много добре разпределено. Завършено до ключ и напълно обзаведено с мебели и електроуреди, три климатика Дайкин. Южно изложение, френски прозорци-много слънчево, вътрешно и топло. Статут на апартамент и по проект е оригинално с две спални. Идеално за инвестиция или живеене. Идеално за отдаване през платформи за нощувки. Свободно паркиране с достатъчно място на уличката. Възможност за парко мяст..",66 кв.м,4 етаж,,МД ИМОТИ ГРУП,1,7367414,2209,тристаен до ключ обзаведен до ВМИ и ул. ”Иван Вазов” 178000 евро
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",2026-02-04 14:53:16.776687,https://www.alo.bg/tristaen-apartament-v-kamenica-2-10726697,,116 999 €(228 830.15 лв.),"Каменица 2, Пловдив",продава Тристаен апартамент в Каменица 2,"Представяме Ви тристаен апартамент в кв. Кменица 2. Имота се намира на предпоследен етаж от осем етажна панелна сграда с изложение изток/запад. Състои се от коридор, хол, спалня, детска стая, кухня, баня, мокро помещение и тоалетна, тераса. Към апартамента има и избено помещение. Имота е за основен ремонт! 
Района е изключителено комуникативен, зелен с множество паркове, детски градини, училища. В непосредствена близост до МОЛ Плаза и парк Лаута. 
За повече инфомация се обадете на посочените контакти!",68 кв.м,,,Nextimo,1,10726697,2209,Тристаен апартамент в Каменица 2
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",2026-02-04 14:53:16.776687,https://www.alo.bg/ekskluzivno-tristaen-apartament-obzaveden-do-klyuch-v-centar-10782178,,188 000 €(367 696.04 лв.),"Център, Пловдив",продава Ексклузивно! Тристаен апартамент обзаведен до ключ в Център,"🌹Агенция за недвижими имоти Роуз хоумс

Ви представя ЕКСКЛУЗИВНО: 

🏠Тристаен имот завършен до ключ с прекрасна панорама към стария град и храм Света Неделя 
✨Жилището е завършени с висококачествени материали и уреди и очаква своите нови артистични собственици да го обзаведат по свой вкус
📐Разпределение - входно антре, всекидневна с излаз на тераса, две спални и баня с тоалетна
📍Имота се намира на комуникативна локация в самият Център на гр. Пловдив. 
🏢Ситуиран е на 4ти от 5 етажна сграда с асансьор
📌Сградата е с АКТ 16 от 2025г

📞 За допълнителна информация сме на разположение на п..",82 кв.м,4 етаж,5,Роуз Хоумс България ЕООД,1,10782178,2209,Ексклузивно! Тристаен апартамент обзаведен до ключ в Център
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=16&location_ids=3333&p[413]=1574%2C1575%2C1576&section_ids=292,298,299,305,307,835,318",2026-02-04 14:53:16.776687,https://www.alo.bg/3-staen-do-voenna-bolnica-10841814,,112 199 €(219 442.17 лв.),"Център, Пловдив",продава 3-стаен до Военна Болница,"оф.24915

ТОП ЛОКАЦИЯ! СРЕДЕН ЕТАЖ! ИЗТОЧНО ИЗЛОЖЕНИЕ! Предлагаме Ви да закупите чудесен тристаен апартамент със следното разпределение: Хол с кухненски бокс, две спални, баня с тоалетна, входно антре, две тераси, прилежащо избено и таванско помещение. Жилището се продава необзаведено и без съвременни подобрения което Ви позволява да го отремонтирате и обзаведете по Ваш собствен вкус. Намира се в близост до детски градини, училища, магазини и удобен градски транспорт. 

Авангард Риъл Естейт предлага Висока сигурност при покупка на имот и цялостно съдействие до финализиране на сделката пред..",60 кв.м,2 етаж,,Avangard Real Estate,1,10841814,2209,3-стаен до Военна Болница
