title,details_url,location,price_text,property_type_text,area_text,construction_type,year_text,floor_text,description,agency_name,search_url,scraped_at
Прекрасен многостаен апартамент в София,/prekrasen-mnogostaen-apartament-v-sofiya-10850889,"Редута, София",640 000 €(1 251 731.20 лв.),Многостаен апартамент в Редута,220 кв.м,Тухла,2008 г.,6 етаж,"Собственик продава просторен многостаен апартамент 220,27 кв.м с панорамна гледка към. София, ул. „Околчица“ 4, ЖК „Редута Ин“

Продавам изключително просторен и светъл многостаен апартамент, разположен на 6-ти етаж (не последен), на едно ниво, в сграда с Акт 16 от 2008 г. и асансьор. 

Имот, създаден за комфортен живот на голямо семейство, с отлична функционалност и редки за София квадратури. 

Важно предимство: апартаментът е без никакви скосявания - всички помещения са с реално използваеми площи. Терасите са компактни и практични, без излишни „губещи“ квадратури. 
Жилището е обзаведе..",Форт Нокс,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.383743
"Южен двустаен апартамент с отделна кухня, в спокоен и зелен район",/yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-raion-10383253,"Сухата река, София",175 000 €(342 270.25 лв.),Двустаен апартамент в Сухата река,74 кв.м,Панел,,4 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: STO-132154 

Представяме просторен, южен двустаен имот за продажба в спокоен и зелен район, на 10 мин пеша от парк ”Герена”. 

Имотът е разположен на 4-ти етаж от 6. Сградата е построена от Строителни войски за собствени нужди. Има асансьор, а входът се заключва. 

Жилището е с обща площ 74 кв.м, разпределени в: 
• антре, коридор; 
• просторен светъл хол; 
• голям остъклен балкон, който може да се ползва като обща част с хола; 
• кухня; 
• ..",SUPRIMMO,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.386922
"Нов ексклузивен жилищен проект в София - Corner Park, кв. Сухата река",/nov-ekskluziven-jilishten-proekt-v-sofiya-corner-park-kv-suhata-reka-10707720,"Сухата река, София",Цена:98 538 €(192 723.58 лв.),Двустаен апартамент в Сухата река,44.79 кв.м,Тухла,2028 г.,,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в alo.bg. 

Референтен номер: Sfa 87778
Отговорен брокер: Иван Каменов

Представяме в..",BULGARIAN PROPERTIES,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.389483
Продава апартамент на бул. Прага,/prodava-apartament-na-bul-praga-10826211,"Медицинска академия, София",Цена:301 000 €(588 704.83 лв.),Тристаен апартамент в Медицинска академия,70 кв.м,Тухла,1950 г.,4 етаж,"ЕКСКЛУЗИВНО ПРЕДЛОЖЕНИЕ - Тристаен апартамент на бул. Прага, Център
Цена: 301 000 EUR
Площ: 70 кв.м | Етаж 4 | Монолитна тухлена сграда 
Представяме Ви изключително функционален тристаен апартамент..",Агенция за недвижими имоти ДОМИНУМ,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.392106
"До метростанция, Ул. ”Нишава”, Обзаведен непреходен 2-стаен след ремонт.",/do-metrostanciya-ul-nishava-obzaveden-neprehoden-2-staen-sled-remont-10855629,"Белите Брези, София",Цена:238 000 €(465 487.54 лв.),Двустаен апартамент в Белите Брези,71 кв.м,ЕПК/ПК,1985 г.,7 етаж,"Продавам голям, непреходен, обзаведен двустаен апартамент в гр. София, кв. ’Белите брези’, ул. ’Нишава’. Комуникативно и същевременно тихо място. Близо до метростанция, до спирки на градски транспорт,..",Bulgaria Realty,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.394577
Двустаен апартамент с отделна кухня,/dvustaen-apartament-s-otdelna-kuhnya-10844493,"Дървеница, София",Цена:191 000 €(373 563.53 лв.),Двустаен апартамент в Дървеница,71 кв.м,ЕПК/ПК,1986 г.,,Агенция за недвижими имоти ви представя за продажба двустаен непреходен апартамент с отделна кухня с 2 остъклени балкона в ж.к. Мусагеница. Жилището се намира в изцяло саниран блок по европейска прогр..,Madjestic Real Estate,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.397194
Тристаен апартамент до хотел Плиска в ж.к. Изток,/tristaen-apartament-do-hotel-pliska-v-j-k-iztok-10738129,"Изток, София",Цена:399 990 €(782 312.44 лв.),Тристаен апартамент в Изток,96 кв.м,Тухла,1975 г.,5 етаж,"Галерия Имоти ви предлага за продажба 3-стаен апартамент с отделна кухня до хотел Плиска в ж.к. Изток на Цариградско шосе. 

Апартаментът се намира в много добре поддържана тухлена сграда с асансьор..",Galeria Homes - Real Estate,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.399680
Тристаен апартамент 91 кв.м ЕПК/ПК 1985 г. 14 етаж Непоследен,/tristaen-apartament-91-kv-m-epk-pk-1985-g-14-etaj-neposleden-10742934,"Сухата река, София",Цена:205 000 €(400 945.15 лв.),Тристаен апартамент в Сухата река,91 кв.м,ЕПК/ПК,1985 г.,14 етаж,"Номер в агенцията - 54665. Агенция Абела предлага за продажба изключително просторен и светъл тристаен апартамент. Локацията е една от най-предпочитаните в района, непосредствено до метростанция Хаджи..",Abella LLC,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.402304
Продавам прекрасен 4-стаен апартамент в нова сграда в кв. Бели брези,/prodavam-prekrasen-4-staen-apartament-v-nova-sgrada-v-kv-beli-brezi-10842342,"Белите Брези, София",Цена:249 900 €(488 761.92 лв.),Многостаен апартамент в Белите Брези,78 кв.м,Тухла,2010 г.,5 етаж,"Продавам прекрасен 4-стаен апартамент в нова сграда в кв. Бели брези, на ул. Хайдушка гора 35, разположен на пети жилищен етаж. Жилището включва антре с коридор, дневна с кухненски бокс, три спални, д..",Диана Трайкова,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.404694
"2-стаен, София, Борово, 106 кв.м., 270000 €",/2-staen-sofiya-borovo-106-kv-m-270000-10867421,"Борово, София",Цена:270 000 €(528 074.10 лв.),Двустаен апартамент в Борово,106 кв.м,Тухла,,2 етаж,"Просторен двустаен апартамент функционално преустроен на тристаен. 

Застроена площ - 106,14 кв.м. и мазе 6кв.м. Състои се от антре, дневна /светла площ 23кв.м./ с преход към кабинет /зимна градина ..",Адрес недвижими имоти,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-24T18:22:35.407040
