title,details_url,location,price_text,property_type_text,area_text,construction_type,year_text,floor_text,description,agency_name,ref_no,num_photos,price_per_m2,total_offers,offer_type,search_url,scraped_at
"Южен двустаен апартамент с отделна кухня, в спокоен и зелен район",/yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-raion-10383253,"Сухата река, София",175 000 €(342 270.25 лв.),Двустаен апартамент в Сухата река,74 кв.м,Панел,,4 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: STO-132154 

Представяме просторен, южен двустаен имот за продажба в спокоен и зелен район, на 10 мин пеша от парк ”Герена”. 

Имотът е разположен на 4-ти етаж от 6. Сградата е построена от Строителни войски за собствени нужди. Има асансьор, а входът се заключва. 

Жилището е с обща площ 74 кв.м, разпределени в: 
• антре, коридор; 
• просторен светъл хол; 
• голям остъклен балкон, който може да се ползва като обща част с хола; 
• кухня; 
• ..",SUPRIMMO,10383253,0,2364.86,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.783371
Двустаен апартамент №4.32 в сграда S-Tower на бул. ”Г. М. Димитров”,/dvustaen-apartament-4-32-v-sgrada-s-tower-na-bul-g-m-dimitrov-10003788,"Дианабад, София",212 600 €(415 809.46 лв.),Двустаен апартамент в Дианабад,80.23 кв.м,Тухла,,4 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-127848 

Ексклузивно представяме за продажба двустаен апартамент №4.32 в сграда S-Tower - нов проект с отличителен дизайн, висок клас на изпълнение, комуникативна локация и отлична възможност за инвестиция. Проектът е дело на арх. Ангел Захариев и неговия екип, печелили неведнъж престижната награда ”Сграда на годината”. Кулата е с изключителна визия и ще се превърне в емблема за столицата ни. 

Апартаментът е ситуиран на 4-ти етаж от общо 15 и..",SUPRIMMO,10003788,0,2649.88,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.788916
Двустаен апартамент №4.28 в кула S-Tower на бул. ”Г. М. Димитров” в София,/dvustaen-apartament-4-28-v-kula-s-tower-na-bul-g-m-dimitrov-v-sofiya-10080380,"Дианабад, София",247 041 €(483 170.20 лв.),Двустаен апартамент в Дианабад,89.83 кв.м,Тухла,,4 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-128675 

Ексклузивно представяме за продажба двустаен апартамент №4.28 в сграда S-Tower - нов проект с отличителен дизайн, висок клас на изпълнение, комуникативна локация и отлична възможност за инвестиция. Проектът е дело на арх. Ангел Захариев и неговия екип, печелили неведнъж престижната награда ”Сграда на годината”. Кулата е с изключителна визия и ще се превърне в емблема за столицата ни. 

Апартаментът е ситуиран на 4-ти етаж от общо 15 и..",SUPRIMMO,10080380,0,2750.09,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.794424
Прекрасен многостаен апартамент в София,/prekrasen-mnogostaen-apartament-v-sofiya-10850889,"Редута, София",640 000 €(1 251 731.20 лв.),Многостаен апартамент в Редута,220 кв.м,Тухла,2008 г.,6 етаж,"Собственик продава просторен многостаен апартамент 220,27 кв.м с панорамна гледка към. София, ул. „Околчица“ 4, ЖК „Редута Ин“

Продавам изключително просторен и светъл многостаен апартамент, разположен на 6-ти етаж (не последен), на едно ниво, в сграда с Акт 16 от 2008 г. и асансьор. 

Имот, създаден за комфортен живот на голямо семейство, с отлична функционалност и редки за София квадратури. 

Важно предимство: апартаментът е без никакви скосявания - всички помещения са с реално използваеми площи. Терасите са компактни и практични, без излишни „губещи“ квадратури. 
Жилището е обзаведе..",Форт Нокс,10850889,0,2909.09,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.800067
Продавам прекрасен 4-стаен апартамент в нова сграда в кв. Бели брези,/prodavam-prekrasen-4-staen-apartament-v-nova-sgrada-v-kv-beli-brezi-10842342,"Белите Брези, София",Цена:244 900 €(478 982.77 лв.),Многостаен апартамент в Белите Брези,78 кв.м,Тухла,2010 г.,5 етаж,"Продавам прекрасен светъл 4-стаен апаратмент в нова сграда в кв. Бели брези на ул. Хайдушка гора 35, на пети жилищен етаж без асансьор. Жилището се състои от антре с коридор, дневна с кухненски бокс, ..",Диана Трайкова,10842342,0,3139.74,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.804390
Продава 3-СТАЕН до Мартинели на бул. България,/prodava-3-staen-do-martineli-na-bul-balgariya-10845561,"Борово, София",Цена:275 000 €(537 853.25 лв.),Тристаен апартамент в Борово,132 кв.м,Тухла,2004 г.,2 етаж,"ИНТЕРЕСЕН, ПЕРСПЕКТИВЕН, ТИХ, ВЪТРЕШЕН ап. в тухлена кооперация от 2004г.; в близост до бул. България, МАРТИНЕЛИ, БИЛЛА, МОЛ; отличен вход с портиер; етаж 1НМ от 9; асансьор; РАЗПРЕДЕЛЕНИЕ: 109,75 кв...",”АЛДЕС ИМОТИ” ЕООД,10845561,0,2083.33,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.808946
"Нов ексклузивен жилищен проект в София - Corner Park, кв. Сухата река",/nov-ekskluziven-jilishten-proekt-v-sofiya-corner-park-kv-suhata-reka-10707720,"Сухата река, София",Цена:98 538 €(192 723.58 лв.),Двустаен апартамент в Сухата река,44.79 кв.м,Тухла,2028 г.,,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в alo.bg. 

Референтен номер: Sfa 87778
Отговорен брокер: Иван Каменов

Представяме в..",BULGARIAN PROPERTIES,10707720,0,2200.0,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.813466
Тристаен апартамент №5.34 в сграда S-Tower на бул. ”Г. М. Димитров”,/tristaen-apartament-5-34-v-sgrada-s-tower-na-bul-g-m-dimitrov-9103755,"Дианабад, София",Цена:370 655 €(724 938.17 лв.),Тристаен апартамент в Дианабад,130.05 кв.м,Тухла,,5 етаж,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-116659 

Ексклузивно представяме за продажба трис..",SUPRIMMO,9103755,0,2850.1,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.817747
Тристаен апартамент до хотел Плиска в ж.к. Изток,/tristaen-apartament-do-hotel-pliska-v-j-k-iztok-10738129,"Изток, София",Цена:399 990 €(782 312.44 лв.),Тристаен апартамент в Изток,96 кв.м,Тухла,1975 г.,5 етаж,"Галерия Имоти ви предлага за продажба 3-стаен апартамент с отделна кухня до хотел Плиска в ж.к. Изток на Цариградско шосе. 

Апартаментът се намира в много добре поддържана тухлена сграда с асансьор..",Galeria Homes - Real Estate,10738129,0,4166.56,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.822312
"Продава 3-СТАЕН, град София, Медицинска академия",/prodava-3-staen-grad-sofiya-medicinska-akademiya-10880680,"Медицинска академия, София",Цена:285 000 €(557 411.55 лв.),Тристаен апартамент в Медицинска академия,67 кв.м,Тухла,1970 г.,6 етаж,"Продава 3-СТАЕН
град София, Медицинска академия
285 000 €
МЕДИЦИНСКА АКАДЕМИЯ!!! НА 5 МИНУТИ ОТ МЕТРО!!! 10 МИНУТИ ДО НДК!!! 

Представяме на вашето внимание тристаен апартамент в престижния квар..",Абдул Ал Шалаби,10880680,0,4253.73,0,продава,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-01-29T18:07:49.826529
