site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/ot-sobstvenik-tristaen-na-ul-oborishte-10902478,,340 000 €(664 982.20 лв.),"Оборище, София",продава От собственик. Тристаен на ул. Оборище.,"От собственик. Ремонтиран и обзаведен апартамент на ул Оборище. Състои се от хол, две спални и малка кухня. Баня и тоалетна. Балкон и голямо мазе към апартамента. Изложение - Юг, Изток, Север.",65 кв.м,2 етаж,,Жени,1,10902478,695,От собственик. Тристаен на ул. Оборище.
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/prekrasen-mnogostaen-apartament-v-sofiya-10850889,,640 000 €(1 251 731.20 лв.),"Редута, София",продава Прекрасен многостаен апартамент в София,"Собственик продава просторен многостаен апартамент 220,27 кв.м с панорамна гледка към. София, ул. „Околчица“ 4, ЖК „Редута Ин“

Продавам изключително просторен и светъл многостаен апартамент, разположен на 6-ти етаж (не последен), на едно ниво, в сграда с Акт 16 от 2008 г. и асансьор. 

Имот, създаден за комфортен живот на голямо семейство, с отлична функционалност и редки за София квадратури. 

Важно предимство: апартаментът е без никакви скосявания - всички помещения са с реално използваеми площи. Терасите са компактни и практични, без излишни „губещи“ квадратури. 
Жилището е обзаведе..",220 кв.м,6 етаж,,днешна обява,1,10850889,695,Прекрасен многостаен апартамент в София
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/yujen-dvustaen-apartament-s-otdelna-kuhnya-v-spokoen-i-zelen-raion-10383253,,175 000 €(342 270.25 лв.),"Сухата река, София","продава Южен двустаен апартамент с отделна кухня, в спокоен и зелен район","За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: STO-132154 

Представяме просторен, южен двустаен имот за продажба в спокоен и зелен район, на 10 мин пеша от парк ”Герена”. 

Имотът е разположен на 4-ти етаж от 6. Сградата е построена от Строителни войски за собствени нужди. Има асансьор, а входът се заключва. 

Жилището е с обща площ 74 кв.м, разпределени в: 
• антре, коридор; 
• просторен светъл хол; 
• голям остъклен балкон, който може да се ползва като обща част с хола; 
• кухня; 
• ..",74 кв.м,4 етаж,,SUPRIMMO,1,10383253,695,"Южен двустаен апартамент с отделна кухня, в спокоен и зелен район"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/dvustaen-apartament-4-32-v-sgrada-s-tower-na-bul-g-m-dimitrov-10003788,,212 600 €(415 809.46 лв.),"Дианабад, София",продава Двустаен апартамент №4.32 в сграда S-Tower на бул. ”Г. М. Димитров”,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-127848 

Ексклузивно представяме за продажба двустаен апартамент №4.32 в сграда S-Tower - нов проект с отличителен дизайн, висок клас на изпълнение, комуникативна локация и отлична възможност за инвестиция. Проектът е дело на арх. Ангел Захариев и неговия екип, печелили неведнъж престижната награда ”Сграда на годината”. Кулата е с изключителна визия и ще се превърне в емблема за столицата ни. 

Апартаментът е ситуиран на 4-ти етаж от общо 15 и..",80.23 кв.м,4 етаж,,SUPRIMMO,1,10003788,695,Двустаен апартамент №4.32 в сграда S-Tower на бул. ”Г. М. Димитров”
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/dvustaen-apartament-4-28-v-kula-s-tower-na-bul-g-m-dimitrov-v-sofiya-10080380,,247 041 €(483 170.20 лв.),"Дианабад, София",продава Двустаен апартамент №4.28 в кула S-Tower на бул. ”Г. М. Димитров” в София,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-128675 

Ексклузивно представяме за продажба двустаен апартамент №4.28 в сграда S-Tower - нов проект с отличителен дизайн, висок клас на изпълнение, комуникативна локация и отлична възможност за инвестиция. Проектът е дело на арх. Ангел Захариев и неговия екип, печелили неведнъж престижната награда ”Сграда на годината”. Кулата е с изключителна визия и ще се превърне в емблема за столицата ни. 

Апартаментът е ситуиран на 4-ти етаж от общо 15 и..",89.83 кв.м,4 етаж,,SUPRIMMO,1,10080380,695,Двустаен апартамент №4.28 в кула S-Tower на бул. ”Г. М. Димитров” в София
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/tristaen-obzaveden-apartament-v-kv-iztok-do-gradski-transport-10897420,,Цена:380 000 €(743 215.40 лв.),"Изток, София",продава Тристаен обзаведен апартамент в кв. Изток до градски транспорт,"Представяме ви светъл и просторен тристаен апартамент в кв. Изток, разположен в малка тухлена сграда на 4 етажа с отлично поддържани общи части и спокойна жилищна среда. 

Жилището е основно ремонтира..",91 кв.м,1 етаж,,АЯКС ИМОТИ,1,10897420,695,Тристаен обзаведен апартамент в кв. Изток до градски транспорт
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/iztok-dvustaen-epk-vatreshen-do-tehnikum-djon-atanasov-10896892,,Цена:214 000 €(418 547.62 лв.),"Изток, София","продава Изток - двустаен, ЕПК, вътрешен, до техникум Джон Атанасов","Маломерен двустаен, вътрешен, състои се от просторен хол с преход към спалня, балкон, на който се излиза от двете помещения, кухненски бокс, баня с тоалетна. Настилките са теракот и ламинат, ПВЦ догра..",50 кв.м,11 етаж,,АВИСТА,1,10896892,695,"Изток - двустаен, ЕПК, вътрешен, до техникум Джон Атанасов"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/tristaen-apartament-do-hotel-pliska-v-j-k-iztok-10738129,,Цена:369 990 €(723 637.54 лв.),"Изток, София",продава Тристаен апартамент до хотел Плиска в ж.к. Изток,"Галерия Имоти ви предлага за продажба 3-стаен апартамент с отделна кухня до хотел Плиска в ж.к. Изток на Цариградско шосе. 

Апартаментът се намира в много добре поддържана тухлена сграда с асансьор..",96 кв.м,5 етаж,,Galeria Homes - Real Estate,1,10738129,695,Тристаен апартамент до хотел Плиска в ж.к. Изток
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/ot-sobstvenika-bez-komisionna-prodava-3-staen-grad-sofiya-medicinska-akademiya-10880680,,Цена:285 000 €(557 411.55 лв.),"Медицинска академия, София","От собственика, без комисионна, Продава 3-СТАЕН, град София, Медицинска академия","От собственика, без комисионна
Продава 3-СТАЕН
град София, Медицинска академия
285 000 €
МЕДИЦИНСКА АКАДЕМИЯ!!! НА 5 МИНУТИ ОТ МЕТРО!!! 10 МИНУТИ ДО НДК!!! 

Представяме на вашето внимание трист..",75 кв.м,6 етаж,,Абдул Ал Шалаби,1,10880680,695,"От собственика, без комисионна, Продава 3-СТАЕН, град София, Медицинска академия"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/tristaen-apartament-5-34-v-sgrada-s-tower-na-bul-g-m-dimitrov-9103755,,Цена:370 655 €(724 938.17 лв.),"Дианабад, София",продава Тристаен апартамент №5.34 в сграда S-Tower на бул. ”Г. М. Димитров”,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. 
Референтен номер: SOF-116659 

Ексклузивно представяме за продажба трис..",130.05 кв.м,5 етаж,,SUPRIMMO,1,9103755,695,Тристаен апартамент №5.34 в сграда S-Tower на бул. ”Г. М. Димитров”
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/tristaen-apartament-medicinska-akademiya-10288655,,Цена:382 964 €(749 012.48 лв.),"Медицинска академия, София",продава Тристаен апартамент-Медицинска академия,"Агенция за недвижими имоти ”Перфе” има удоволствието да Ви представи: 

ТРИСТАЕН АПАРТАМЕНТ на първи надпартерен /втори жилищен/ етаж в модерна шестетажна бутикова сграда PERFE DOWNTOWN, на идеен пр..",101 кв.м,2 етаж,,Перфе ООД,1,10288655,695,Тристаен апартамент-Медицинска академия
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/stilna-elegantna-sgrada-posledni-tristaini-funkcionalni-apartamenti-s-akt-16-10920189,,Цена:317 000 €(619 998.10 лв.),"Гоце Делчев, София","продава Стилна елегантна сграда, ПОСЛЕДНИ тристайни функционални апартаменти с Акт 16","Стилна елегантна сграда, ПОСЛЕДНИ тристайни функционални апартаменти с Акт 16, на 10 мин пеша до Южен парк. 
Агенция Артисстрой предлага: на вниманието Ви тристаен функционален непреходен апартамент ..",110 кв.м,2 етаж,,Артисстрой,1,10920189,695,"Стилна елегантна сграда, ПОСЛЕДНИ тристайни функционални апартаменти с Акт 16"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/prodava-4-staen-apartament-gr-sofiya-kv-darvenica-10919820,,Цена:300 000 €(586 749 лв.),"Дървеница, София","Продава 4-СТАЕН апартамент, гр. София, кв. Дървеница","Скъпи клиенти и колеги, Агенция Емпайър Естейт Билдинг ви представя луксозно обзаведен четиристаен апартамент в един от най-предпочитаните и добре уредени райони на София кв. Дървеница. Жилището е с п..",86 кв.м,7 етаж,,ЕМПАЙЪР ЕСТЕЙТ БИЛДИНГ,1,10919820,695,"Продава 4-СТАЕН апартамент, гр. София, кв. Дървеница"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/luksozen-apartament-j-k-strelbishte-10895846,,Цена:790 000 €(1 545 105.70 лв.),"Стрелбище, София",продава Луксозен апартамент - ж.к. Стрелбище,"Луксозен многостаен апартамент в ж.к. Стрелбище - единствен на етажа! 
Просторно и стилно жилище с панорамна гледка към Витоша, разположено на тиха и комуникативна улица. 
Разпределение: 
• Хол с к..",219 кв.м,3 етаж,,Factor Estate Bansko,1,10895846,695,Луксозен апартамент - ж.к. Стрелбище
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/dvustaen-v-oborishte-10919454,,Цена:278 544 €(544 784.70 лв.),"Оборище, София",продава Двустаен в Оборище,". Имоти Премиер ви представя стилен 2-стаен апартамент с отлично разпределение и престижна локация в кв. Оборище, гр. София

Имаме удоволствието да ви представим този отличен имот - двустаен апартам..",71 кв.м,11 етаж,,ИМОТИ ПРЕМИЕР ООД,1,10919454,695,Двустаен в Оборище
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/prodavam-dvustaen-obzaveden-v-kv-reduta-do-park-geo-milev-10617687,,Цена:140 000 €(273 816.20 лв.),"Редута, София","продавам двустаен, обзаведен в кв. Редута, до парк Гео милев","- намира се на улица Георги минчев
- тухла 2008г. с АКТ16, етаж 4/4 без Асансьор 
- в продажната цена е включена и комисионната 
- обявата, снимките и описанието са реални/актуални 
- по статут се..",52 кв.м,4 етаж,,днешна обява,1,10617687,695,"продавам двустаен, обзаведен в кв. Редута, до парк Гео милев"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/prodavam-mnogostaen-apartament-v-kv-iztok-gr-sofiya-9740408,,Цена:528 000 €(1 032 678.24 лв.),"Изток, София",Продавам многостаен апартамент в кв. Изток - гр. София,"Продавам /без комисионно/ четиристаен непреходен апартамент с просторни помещения и етажна височина 2,70 м. / от готов под до таван /. Площта на жилището е 161 кв.м. без общите части от сградата. Към ..",190 кв.м,7 етаж,,Kostadinova,1,9740408,695,Продавам многостаен апартамент в кв. Изток - гр. София
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/2-staen-sofiya-suha-reka-70-73-kv-m-249000-10918519,,Цена:249 000 €(487 001.67 лв.),"Сухата река, София","продава 2-стаен, София, Суха река, 70.73 кв.м., 249000 €","ТОП ОФЕРТА с акт 16! 

Двустаен ЮЖЕН апартамент с обща площ 70.73 кв.м. и застроена площ 60.97 кв.м, разположен на втори етаж, с южно изложение. 

Разпределение: антре, дневна с кухненски бокс 22...",71 кв.м,3 етаж,,Имотека АД,1,10918519,695,"2-стаен, София, Суха река, 70.73 кв.м., 249000 €"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/perfektna-lokaciya-10521391,,Цена:450 000 €(880 123.50 лв.),"Иван Вазов, София",продава перфектна локация,"ИЗКЛЮЧИТЕЛНИ ПРАВА! Представя ме на вашето внимание един дом, който скоро ще бъде готов да посрещне своите нови обитатели. Просторен четиристаен не преходен апартамент (139 кв.м. чиста площ). Перфектн..",139 кв.м,1 етаж,,Ай Енд Ай Естенд,1,10521391,695,перфектна локация
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/publichna-prodan-ot-chsi-na-mnogostaen-apartament-v-gr-sofiya-bl-14-vh-b-10917633,,,"Гоце Делчев, София","продава Публична продан от ЧСИ на Многостаен апартамент в гр. София бл. 14, вх. Б","Публична продан от частен съдебен изпълнител 

СРОК: от 16.02.2026 до 16.03.2026

Адрес: бл. 14, вх. Б

САМОСТОЯТЕЛЕН ОБЕКТ В СГРАДА С ИДЕНТИФИКАТОР 68134.1005.31.1.22 (шестдесет и осем хиляди сто три..",148.68 кв.м,3 етаж,,вчера,1,10917633,695,"Публична продан от ЧСИ на Многостаен апартамент в гр. София бл. 14, вх. Б"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/prodava-4-staen-10890835,,Цена:340 000 €(664 982.20 лв.),"Гоце Делчев, София",Продава 4-СТАЕН,"Собственик продава панорамен и слънчев апартамент, намиращ се в кв. Гоце Делчев. В района са позиционирани много училища, детски градини, ДКЦ. В близост е МОЛ България, магазини Джъмбо, Била, Лидл, Ка..",97 кв.м,14 етаж,,вчера,1,10890835,695,Продава 4-СТАЕН
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/poddarjan-tristaen-apartament-s-komunikativna-lokaciya-do-bul-balgariya-10917341,,Цена:275 000 €(537 853.25 лв.),"Борово, София",продава Поддържан тристаен апартамент с комуникативна локация до бул. България,"За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в alo.bg. 

Референтен номер: Sfa 85607
Отговорен брокер: Иван Каменов

Светъл и прос..",131 кв.м,2 етаж,,BULGARIAN PROPERTIES,1,10917341,695,Поддържан тристаен апартамент с комуникативна локация до бул. България
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/3-staen-sofiya-iztok-129-kv-m-585000-9257396,,Цена:585 000 €(1 144 160.55 лв.),"Изток, София","продава 3-стаен, София, Изток, 129 кв.м., 585000 €","Напълно обзаведено жилище, уникален дизайн. Състои се от трапезария и кухня, две спални с дрешник, мокро помещение, една баня с тоалетна и тоалетна за гости. 

Изложението е югоизток, а етажът позво..",129 кв.м,9 етаж,,Адрес недвижими имоти,1,9257396,695,"3-стаен, София, Изток, 129 кв.м., 585000 €"
alobg,"https://www.alo.bg/obiavi/imoti-prodajbi/apartamenti-stai/?region_id=22&location_ids=4342&section_ids=394%2C399%2C424%2C425%2C434%2C443%2C445%2C446%2C459%2C509%2C525%2C537%2C539%2C548%2C557&p[413]=1574,1575,1576,1579",2026-02-15 18:03:25.766244,https://www.alo.bg/zabelejitelen-tristaen-apartament-na-otlichna-lokaciya-kv-dianabad-10916986,,Цена:269 000 €(526 118.27 лв.),"Дианабад, София",продава Забележителен тристаен апартамент на отлична локация - кв. Дианабад,"БИЛДИНГ БОКС предлага за продажба просторен тристаен апартамент в една от най-предпочитаните части на квартал ”Дианабад”. 
Локацията е изключително удобна. Има бърз достъп до метростанция ”Г. М. Димит..",74 кв.м,7 етаж,,БИЛДИНГ БОКС АД,1,10916986,695,Забележителен тристаен апартамент на отлична локация - кв. Дианабад
