site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",2026-02-11 06:24:39.327011,https://www.alo.bg/prostoren-2-staen-apartament-v-reina-sofiya-rezidans-10816788,,,"Хладилника, София",наем Просторен 2 стаен апартамент в Рейна София Резидънс,"Лаборатория Недвижими Имоти предлага под наем чисто нов обзаведен 2 стаен апартамент в жилищен комплекс Рейна София Резидънс, сграда участник в конкурса ’Сграда на годината’. Сградата съчетава престижна локация с усещане за спокойствие и уединение, предлагайки на своите обитатели изключително качество на живот, панорамни гледки към Витоша и хармония между природата и динамиката на съвременния град. Комплексът предлага всичко необходимо за съвременния начин на живот - бърз достъп до ключови транспортни връзки, метростанция Витоша, търговски центрове като МОЛ Парадайс, културни и образователни и..",80 кв.м,,,Лаборатория Недвижими Имоти,1,10816788,812,Просторен 2 стаен апартамент в Рейна София Резидънс
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",2026-02-11 06:24:39.327011,https://www.alo.bg/davame-pod-naem-tristaen-apartament-v-dianabad-10690980,,,"Дианабад, София",Даваме под наем тристаен апартамент в Дианабад,"Тристаен, непреходен, обзаведен, дългосрочно, близо до метрото, 3 спални, баня с тоалетна и още една тоалетна, 2тераси, кухня, антре, килер, изложение юг, север, директно от собственика, вижте телефона. Саниран блок, много топъл апартамент!!! 
Възможни са допълнителни договорки!",86 кв.м,,,ЯНАКИЕВ,1,10690980,812,Даваме под наем тристаен апартамент в Дианабад
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",2026-02-11 06:24:39.327011,https://www.alo.bg/nov-dvustaen-apartament-v-blizost-do-metro-10882233,,,"Сухата река, София",наем Нов двустаен апартамент в близост до метро,"С удоволствие Ви представяме нов двустаен апартамент в спокоен и семеен, но изключително комуникативен квартал. 
В близост се намират метро, спирки на градски транспорт, училища и магазини, а около санираната сградата се паркира безпроблемно. Контролът на достъп позволява чисти и поддържани общи части. 
Жилището е напълно обзаведено с чисто нови и кчествени мебели, както и висок енергиен клас електроуреди. 
Разпределение: хол с кухненски бокс, спалня и WC. 
Реф. Номер: 31403",39 кв.м,,,GnD Services,1,10882233,812,Нов двустаен апартамент в близост до метро
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",2026-02-11 06:24:39.327011,https://www.alo.bg/dvustaen-obzaveden-10909601,,,"Изток, София",наем Двустаен обзаведен,"Давам двустаен за живеене в замяна на помощ в домакинството. Апартаментът за почистване, готвене и т.н. се намира в същата сграда. Подробности по телефон следобяд.",70 кв.м,,,вчера,1,10909601,812,Двустаен обзаведен
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",2026-02-11 06:24:39.327011,https://www.alo.bg/neobzaveden-nov-3-staen-10908502,,,"Редута, София",наем Необзаведен нов 3-стаен,"ID 1851

БЕЗ КОМИСИОННА!!! 

Топ локация! 

Отдава се тристаен апартамент в кв. Гео Милев. Намира се в тих и уреден район с бърз достъп до градски транспорт. 

Имотът е светъл, функционален и ..",100 кв.м,,,”УПРАВЛЕНИЕ. БГ” ЕООД,1,10908502,812,Необзаведен нов 3-стаен
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",2026-02-11 06:24:39.327011,https://www.alo.bg/tristaen-pod-naem-jk-hipodruma-10370169,,,"Хиподрума, София","Тристаен, под наем, жк. Хиподрума","Открийте мястото, където ще се чувствате у дома от първия момент. 

Титан Пропъртис - офис Младост с радост предлага на Вашето внимание прекрасен тристаен апартамент под наем в жк. Хиподрума, София...",95 кв.м,,,ТИТАН ПРОПЪРТИС РЕНТ ООД,1,10370169,812,"Тристаен, под наем, жк. Хиподрума"
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",2026-02-11 06:24:39.327011,https://www.alo.bg/2-staen-obzaveden-gr-sofiya-kv-reduta-10735451,,,"Редута, София","наем 2- стаен, обзаведен, гр. София, кв. Редута","Просторен 2- стаен апартамент, на ул. Велчо Атанасов и ул. Каймакчалан в нова тухлена кооперация, в непосредствена близост до МОЛ Сердика и спирка на градски транспорт; жилището е в перфектно състояни..",72 кв.м,,,ВИ ОРТ-КОМЕРС ЕООД,1,10735451,812,"2- стаен, обзаведен, гр. София, кв. Редута"
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",2026-02-11 06:24:39.327011,https://www.alo.bg/dava-pod-naem-2-staen-gr-sofiya-strelbishte-70m-10887965,,,"Стрелбище, София",Дава под наем 2-стаен гр. София - Стрелбище 70m²,"Слънчев двустаен апартамент с перфектно съчетание на елегантност, комфорт и модерен дизайн. Жилището е с ютоизточно изложение, ниски консумативи и следното разпределение: 
- коридор, 
- хол с кухнен..",70 кв.м,,,Продиджи недвижими имоти,1,10887965,812,Дава под наем 2-стаен гр. София - Стрелбище 70m²
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",2026-02-11 06:24:39.327011,https://www.alo.bg/dava-pod-naem-2-staen-10873357,,,"Изгрев, София",дава под наем 2-стаен,"ID-814

БЕЗ КОМИСИОННА!! 

Топ локация! 

ОГЛЕД ПО ВСЯКО ВРЕМЕ! 

Представяме ви уютен двустаен апартамент, разположен в един от най-предпочитаните райони на София кв. Изгрев. 
Локацията пред..",70 кв.м,,,”УПРАВЛЕНИЕ. БГ” ЕООД,1,10873357,812,дава под наем 2-стаен
alobg,"https://www.alo.bg/obiavi/imoti-naemi/apartamenti/?region_id=22&location_ids=4342&section_ids=394,399,425,434,443,445,446,469,459,496,522,525,537,539,548,549,896,557",2026-02-11 06:24:39.327011,https://www.alo.bg/tristaen-apartament-pod-naem-10772507,,,"Борово, София",Тристаен апартамент под наем,"ID 1813; 

БЕЗ КОМИСИОННА!!! 

Предлагаме под наем чудесен тристаен апартамент в един от най-удобните и търсени райони на София - Красно село. Жилището е светло, просторно и добре разпределено: 
..",60 кв.м,,,”УПРАВЛЕНИЕ. БГ” ЕООД,1,10772507,812,Тристаен апартамент под наем
