site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-pleven?currency=2,2026-02-15 18:05:33.658557,https://bazar.bg/obiava-53402394/pasishta-i-liwadi,,450€,"с. Крушовица, Плевен",продава Пасища и ливади ,,,,,,1,53402394,59,Пасища и ливади 
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-pleven?currency=2,2026-02-15 18:05:33.658557,https://bazar.bg/obiava-28560400/prodavam-gora,,Договаряне,"гр. Плевен, Идеален център",Продавам гора ,,,,,,1,28560400,59,Продавам гора 
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-pleven?currency=2,2026-02-15 18:05:33.658557,https://bazar.bg/obiava-53484009/prodawa-zemedelska-zemia-s-walchitran-oblast-plewen,,7 019 020€,"с. Вълчитрън, Плевен","Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Вълчитрън, област Плевен",,,,,,1,53484009,59,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Вълчитрън, област Плевен"
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-pleven?currency=2,2026-02-15 18:05:33.658557,https://bazar.bg/obiava-53484012/prodawa-zemedelska-zemia-s-obnowa-oblast-plewen,,3 900 000€,"с. Обнова, Плевен","Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Обнова, област Плевен",,,,,,1,53484012,59,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Обнова, област Плевен"
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-pleven?currency=2,2026-02-15 18:05:33.658557,https://bazar.bg/obiava-52871297/prodawa-zemedelska-zemia-s-brenitsa-oblast-plewen,,315 000€,"с. Бреница, Плевен","Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Бреница, област Плевен",,,,,,1,52871297,59,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Бреница, област Плевен"
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-pleven?currency=2,2026-02-15 18:05:33.658557,https://bazar.bg/obiava-41529813/niva-gr-slavianovo-obsht-pleven,,"26 075,90€","гр. Плевен, 9-ти квартал","продава Нива гр.Славяново , общ.Плевен",,,,,,1,41529813,59,"Нива гр.Славяново , общ.Плевен"
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-pleven?currency=2,2026-02-15 18:05:33.658557,https://bazar.bg/obiava-52795400/prodawa-zemedelska-zemia-10-3-dka-s-enitsa-obsht-knezha,,Договаряне,"гр. Кнежа, Плевен","Продава земеделска земя - 10.3 дка - с. ЕНИЦА, общ. Кнежа",,,,,,1,52795400,59,"Продава земеделска земя - 10.3 дка - с. ЕНИЦА, общ. Кнежа"
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-pleven?currency=2,2026-02-15 18:05:33.658557,https://bazar.bg/obiava-53477071/prodawa-zemedelska-zemia-s-debowo-oblast-plewen,,96 000€,"с. Дебово, Плевен","Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Дебово, област Плевен",,,,,,1,53477071,59,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Дебово, област Плевен"
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-pleven?currency=2,2026-02-15 18:05:33.658557,https://bazar.bg/obiava-53474500/prodawa-zemedelska-zemia-s-telish-oblast-plewen,,170 000€,"с. Телиш, Плевен","Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Телиш, област Плевен",,,,,,1,53474500,59,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Телиш, област Плевен"
bazarbg,https://bazar.bg/obiavi/prodazhba-zemedelska-zemya/oblast-pleven?currency=2,2026-02-15 18:05:33.658557,https://bazar.bg/obiava-53455619/prodawa-zemedelska-zemia-s-gorni-dabnik-oblast-plewen,,20 120€,"с. Горни Дъбник, Плевен","Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Горни Дъбник, област Плевен",,,,,,1,53455619,59,"Продава ЗЕМЕДЕЛСКА ЗЕМЯ, с. Горни Дъбник, област Плевен"
