title,details_url,ref_no,price_text,location,date,search_url,scraped_at
📣 Внимание - за първи наематели!,https://bazar.bg/obiava-53073929/wnimanie-za-parwi-naemateli,53073929,650€,"гр. Пловдив, Център",вчера,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.505744
"Дава под наем 2-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-53147041/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,53147041,420€,"гр. Пловдив, Център",вчера,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.505899
"Дава под наем 3-СТАЕН, гр. Пловдив, Младежки Хълм",https://bazar.bg/obiava-53154232/dawa-pod-naem-3-staen-gr-plowdiw-mladezhki-halm,53154232,570€,"гр. Пловдив, Младежки Хълм",вчера,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.506064
"Дава под наем 2-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-53170225/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,53170225,650€,"гр. Пловдив, Център",вчера,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.506214
ОТ СОБСТВЕНИК ПОД НАЕМ ТРИСТАЕН НОВ ДО НОВОТЕЛА,https://bazar.bg/obiava-53175299/ot-sobstwenik-pod-naem-tristaen-now-do-nowotela,53175299,520€,"гр. Пловдив, Център",22 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.506362
"Дава под наем 3-СТАЕН, гр. Пловдив, Младежки Хълм",https://bazar.bg/obiava-53022843/dawa-pod-naem-3-staen-gr-plowdiw-mladezhki-halm,53022843,490€,"гр. Пловдив, Младежки Хълм",22 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.506508
Апартамент под наем,https://bazar.bg/obiava-52844872/apartament-pod-naem,52844872,450€,"гр. Пловдив, Младежки Хълм",22 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.507136
"Дава под наем 2-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-52397403/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,52397403,460€,"гр. Пловдив, Център",22 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.507285
"Дава под наем 2-СТАЕН, гр. Пловдив, Младежки Хълм",https://bazar.bg/obiava-53165870/dawa-pod-naem-2-staen-gr-plowdiw-mladezhki-halm,53165870,Договаряне,"гр. Пловдив, Младежки Хълм",21 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.507429
"Дава под наем 2-СТАЕН, гр. Пловдив, Младежки Хълм",https://bazar.bg/obiava-52731772/dawa-pod-naem-2-staen-gr-plowdiw-mladezhki-halm,52731772,550€,"гр. Пловдив, Младежки Хълм",19 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.507579
"Дава под наем 3-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-53150021/dawa-pod-naem-3-staen-gr-plowdiw-tsentar,53150021,520€,"гр. Пловдив, Център",19 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.507727
"Дава под наем 2-СТАЕН, гр. Пловдив, Каменица 1",https://bazar.bg/obiava-53069197/dawa-pod-naem-2-staen-gr-plowdiw-kamenitsa-1,53069197,460€,"гр. Пловдив, Каменица 1",19 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.507875
"Дава под наем 3-СТАЕН, гр. Пловдив, Младежки Хълм",https://bazar.bg/obiava-53092275/dawa-pod-naem-3-staen-gr-plowdiw-mladezhki-halm,53092275,700€,"гр. Пловдив, Младежки Хълм",17 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.508034
"Дава под наем 2-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-53070249/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,53070249,350€,"гр. Пловдив, Център",17 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.508182
"Дава под наем 3-СТАЕН, гр. Пловдив, Мараша",https://bazar.bg/obiava-53124619/dawa-pod-naem-3-staen-gr-plowdiw-marasha,53124619,490€,"гр. Пловдив, Мараша",16 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.508326
"Дава под наем 3-СТАЕН, гр. Пловдив, Мараша",https://bazar.bg/obiava-53119748/dawa-pod-naem-3-staen-gr-plowdiw-marasha,53119748,500€,"гр. Пловдив, Мараша",16 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.508474
"Дава под наем 3-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-53119244/dawa-pod-naem-3-staen-gr-plowdiw-tsentar,53119244,500€,"гр. Пловдив, Център",16 януари,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.508617
"Дава под наем 2-СТАЕН, гр. Пловдив, Център",https://bazar.bg/obiava-53173538/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,53173538,750€,"гр. Пловдив, Център",вчера,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.508761
"Дава под наем 2-СТАЕН, гр. Пловдив, Младежки Хълм",https://bazar.bg/obiava-53015848/dawa-pod-naem-2-staen-gr-plowdiw-mladezhki-halm,53015848,330€,"гр. Пловдив, Младежки Хълм",вчера,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.508909
"Дава под наем 3-СТАЕН, гр. Пловдив, Каменица 1",https://bazar.bg/obiava-53203395/dawa-pod-naem-3-staen-gr-plowdiw-kamenitsa-1,53203395,700€,"гр. Пловдив, Каменица 1",вчера,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-01-23T22:37:37.509068
