site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-02-11 06:22:06.312658,https://bazar.bg/obiava-53379067/dawa-pod-naem-2-staen-gr-plowdiw-marasha,,420€,"гр. Пловдив, Мараша","Дава под наем 2-СТАЕН, гр. Пловдив, Мараша",,,,,,1,53379067,1169,"Дава под наем 2-СТАЕН, гр. Пловдив, Мараша"
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-02-11 06:22:06.312658,https://bazar.bg/obiava-53173782/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,,400€,"гр. Пловдив, Център","Дава под наем 2-СТАЕН, гр. Пловдив, Център",,,,,,1,53173782,1169,"Дава под наем 2-СТАЕН, гр. Пловдив, Център"
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-02-11 06:22:06.312658,https://bazar.bg/obiava-53377537/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,,350€,"гр. Пловдив, Център","Дава под наем 2-СТАЕН, гр. Пловдив, Център",,,,,,1,53377537,1169,"Дава под наем 2-СТАЕН, гр. Пловдив, Център"
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-02-11 06:22:06.312658,https://bazar.bg/obiava-53430446/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,,460€,"гр. Пловдив, Център","Дава под наем 2-СТАЕН, гр. Пловдив, Център",,,,,,1,53430446,1169,"Дава под наем 2-СТАЕН, гр. Пловдив, Център"
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-02-11 06:22:06.312658,https://bazar.bg/obiava-53310956/dawa-pod-naem-3-staen-gr-plowdiw-marasha,,550€,"гр. Пловдив, Мараша","Дава под наем 3-СТАЕН, гр. Пловдив, Мараша",,,,,,1,53310956,1169,"Дава под наем 3-СТАЕН, гр. Пловдив, Мараша"
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-02-11 06:22:06.312658,https://bazar.bg/obiava-52876952/dawa-pod-naem-2-staen-gr-plowdiw-otdih-i-kultura,,700€,"гр. Пловдив, Отдих и култура","Дава под наем 2-СТАЕН, гр. Пловдив, Отдих и култура",,,,,,1,52876952,1169,"Дава под наем 2-СТАЕН, гр. Пловдив, Отдих и култура"
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-02-11 06:22:06.312658,https://bazar.bg/obiava-53413467/dawa-pod-naem-2-staen-gr-plowdiw-marasha,,440€,"гр. Пловдив, Мараша","Дава под наем 2-СТАЕН, гр. Пловдив, Мараша",,,,,,1,53413467,1169,"Дава под наем 2-СТАЕН, гр. Пловдив, Мараша"
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-02-11 06:22:06.312658,https://bazar.bg/obiava-53412809/dawa-pod-naem-2-staen-gr-plowdiw-marasha,,460€,"гр. Пловдив, Мараша","Дава под наем 2-СТАЕН, гр. Пловдив, Мараша",,,,,,1,53412809,1169,"Дава под наем 2-СТАЕН, гр. Пловдив, Мараша"
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-02-11 06:22:06.312658,https://bazar.bg/obiava-52606667/dawa-pod-naem-3-staen-gr-plowdiw-tsentar,,1 900€,"гр. Пловдив, Център","Дава под наем 3-СТАЕН, гр. Пловдив, Център",,,,,,1,52606667,1169,"Дава под наем 3-СТАЕН, гр. Пловдив, Център"
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-02-11 06:22:06.312658,https://bazar.bg/obiava-53313111/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,,350€,"гр. Пловдив, Център","Дава под наем 2-СТАЕН, гр. Пловдив, Център",,,,,,1,53313111,1169,"Дава под наем 2-СТАЕН, гр. Пловдив, Център"
bazarbg,https://bazar.bg/obiavi/naemi-apartamenti/plovdiv?asize[]=2&asize[]=3&asize[]=4&asize[]=5&asize[]=6&currency=2&district_id[]=710&district_id[]=714&district_id[]=979&district_id[]=718&district_id[]=720&district_id[]=984&district_id[]=723&district_id[]=270&sort=default,2026-02-11 06:22:06.312658,https://bazar.bg/obiava-53278094/dawa-pod-naem-2-staen-gr-plowdiw-tsentar,,330€,"гр. Пловдив, Център","Дава под наем 2-СТАЕН, гр. Пловдив, Център",,,,,,1,53278094,1169,"Дава под наем 2-СТАЕН, гр. Пловдив, Център"
