site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-02-06 06:14:54.677292,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-88302-tristaen-apartament-za-prodajba-v-plovdiv.html,,125 000€,"гр. Пловдив,кв. ""Остромила""",Просторен апартамент с голяма тераса и гледка към Пловдивските тепета,"Продажба, Тристаен апартамент в нова сграда в кв. Остромила. Апартаментът е проектиран с изключително функционално разпределение, а просторът и възможността за преустройства го правят гъвкав и подходящ за семейства с различни нужди.

Имотът е с площ 115 кв. м. (96.60 кв. м. чиста площ),",115.00 кв.м,5,,Стефан Моллов,2,88302,84,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-02-06 06:14:54.677292,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-84963-tristaen-apartament-za-prodajba-v-plovdiv.html,,149 900€,"гр. Пловдив,кв. ""Захарна фабрика""",Тристаен апартамент в нова сграда в кв. Кършияка,"Продажба, Тристайно жилище в сграда ново строителство в кв. Кършияка. Апартаментът е подходящ за отдаване под наем тъй като се намира до новата сграда на Пловдивски университет. Районът е изключително комуникативен, в близост са разположени спирка на градски транспорт, училище, детска",102.00 кв.м,3,,Стефан Моллов,2,84963,84,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-02-06 06:14:54.677292,https://www.bulgarianproperties.bg/imoti-apartamenti/imot-86661-apartamenti-za-prodajba-v-plovdiv.html,,от56 351€,"гр. Пловдив,кв. ""Гагарин""","Модерен комплекс с 4 блока съчетаващ удобство и уют, близо до центъра на Пловдив","Продажба, Твоят дом те очаква в комплекс, който се отличава с модерна архитектура, просторни апартаменти, осигуряващи комфорт и високо качество на живот.
 
Ако сте мечтали да живеете на комуникативно място с модерна инфраструктура, до всички удобства тогава определено трябва да",237.62 кв.м,,,Стефан Моллов,2,86661,84,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-02-06 06:14:54.677292,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-87187-tristaen-apartament-za-prodajba-v-plovdiv.html,,195 000€,"гр. Пловдив,кв. ""Център""",Просторен апартамент с две спални и три тераси в центъра на град Пловдив,"Продажба, Предлагаме ви просторно жилище с функционално разпределение и отлична локация в сърцето на Пловдив. Апартаментът се намира на 5-ти жилищен етаж в монолитна сграда от 1986 г., с асансьор и поддържани общи части. Предлага невероятна панорамна гледка към Стария град и Малката",99.04 кв.м,5,,Петър Петаларев,2,87187,84,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-02-06 06:14:54.677292,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-87043-dvustaen-apartament-za-prodajba-v-plovdiv.html,,89 900€,"гр. Пловдив,кв. ""Южен""",Нов двустаен апартамент в кв. Южен,"Продажба, Двустаен апартамент, съчетаващ простор, комфорт и спокойствие, с балансиран и практичен дизайн, който можете да персонализирате според вашите нужди, така че да се чувствате максимално добре в мечтания си дом. Имотът се намира в предпочитания за живеене квартал Южен, в близост до",70.40 кв.м,3,,Стефан Моллов,2,87043,84,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-02-06 06:14:54.677292,https://www.bulgarianproperties.bg/imoti-ednostayni-apartamenti/imot-89163-ednostaen-apartament-za-prodajba-v-plovdiv.html,,82 870€,"гр. Пловдив,кв. ""Христо Смирненски""",Едностаен апартамент до Гребната база в кв. Христо Смирненски,"Продажба, Предлагаме едностаен апартамент в модерна жилищна сграда на бул. Пещерско шосе, в един от най-предпочитаните и динамично развиващи се райони на Пловдив – кв. Христо Смирненски. Локацията съчетава удобен градски живот с близост до зелени зони и ключови удобства, сред които",59.66 кв.м,3,,Стефан Моллов,2,89163,84,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-02-06 06:14:54.677292,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89165-dvustaen-apartament-za-prodajba-v-plovdiv.html,,101 730€,"гр. Пловдив,кв. ""Христо Смирненски""","Двустаен апартамент в модерен, нов комплекс близо до Гребната база","Продажба, Двустаен апартамент в модерна новострояща се жилищна сграда, разположена в един от най-предпочитаните и бързоразвиващи се райони на Пловдив – кв. Христо Смирненски, на бул. Пещерско шосе. Локацията е отлично балансирана между градска динамика и зелена среда, в непосредствена",73.66 кв.м,3,,Стефан Моллов,2,89165,84,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-02-06 06:14:54.677292,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89169-tristaen-apartament-za-prodajba-v-plovdiv.html,,171 400€,"гр. Пловдив,кв. ""Христо Смирненски""",Тристаен апартамент в модерен жилищен комплекс в кв. Христо Смирненски,"Продажба, Предлагаме за продажба тристаен апартамент в модерна новострояща се жилищна сграда, разположена в един от най-предпочитаните и динамично развиващи се райони на Пловдив – кв. Христо Смирненски, на бул. Пещерско шосе.

Локацията предлага отличен баланс между активен градски живот",122.00 кв.м,3,,Стефан Моллов,2,89169,84,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-02-06 06:14:54.677292,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-88882-dvustaen-apartament-za-prodajba-v-plovdiv.html,,88 500€,"гр. Пловдив,кв. ""Остромила""",Двустаен апартамент в модерен комплекс в кв. Остромила,"Продажба, Представяме ви двустаен апартамент в модерен, нов комплекс в кв. Остромила – имот, който впечатлява с функционално разпределение, южно изложение и отлична среда за живот. Жилището е с площ от 62 кв.м, от които 53 кв.м чиста площ и 9 кв.м общи части, разположено на 3-ти етаж в",62.00 кв.м,3,,Стефан Моллов,2,88882,84,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769203632=%E3%F0.+%CF%EB%EE%E2%E4%E8%E2&squarter_text1769203632=&stip_text1769203632=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stip%5B%5D=10&stown=2833,2026-02-06 06:14:54.677292,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-88671-tristaen-apartament-za-prodajba-v-plovdiv.html,,165 000€,"гр. Пловдив,кв. ""Христо Смирненски""",Тристаен апартамент ново строителство с топ локация в кв. Христо Смирненски,"Продажба, Предлагаме за продажба тристаен апартамент в новострояща се модерна сграда в един от най-предпочитаните райони на Пловдив – кв. Христо Смирненски. Имот с концепция, комфорт и изключително функционално разпределение, каквото рядко се среща на пазара.

Апартаментът е разположен",98.00 кв.м,3,,Стефан Моллов,2,88671,84,
