price_text,title,location,size_text,description,details_url,ref_no,agency_name,num_photos,total_offers,time,search_url,scraped_at
от185 874€,"Central Park - 7 сгради с 12 дка парк. Сгради А, Б и В получиха АКТ 16!","гр. София,кв. ""Банишора""","(2 200- 2 800€/м2)(4 302,83- 5 476,32лв./м2)Площ: 71.49 - 187.57 м2","Модерни сгради, простор, зеленина и гледки, които ви оставят без дъх! Една бъдеща емблема на столицата, която ще внесе нов стандарт за качество на живот.

Central Park - твоят Ню Йорк в София!

Сгради А, Б и В получиха Акт 16!
 
Независимо дали става въпрос за структурни",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-77779-apartamenti-za-prodajba-v-sofiya.html,,инж. Иван Крумов,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.519380
от69 900€,"AMur Gardens - висок клас комплекс със зеленина, детска площадка и магазини в Костинброд","Близо до гр. София,BILLA","(1 570- 2 019€/м2)(3 070,65- 3 948,82лв./м2)Площ: 44.40 - 174.88 м2","Домът, който наистина заслужавате!  

AМur Gardens е повече от място за живеене – това е начин на живот, който съчетава комфорт, качество и удобства. Това е вашият дом – в малък град близо до динамиката на столицата. Инвестирайте в бъдещето си още днес!  

Уникален комплекс с",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-82112-apartamenti-za-prodajba-blizo-do-sofiya.html,,Магдалена Тошева,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.523017
от243 882€,SKY TOWERS by AMur — новият архитектурен символ на София,"гр. София,кв. ""Манастирски ливади""","(3 360- 5 688€/м2)(6 571,59- 11 124,76лв./м2)Площ: 65.07 - 202.24 м2","Sky Towers by AMur е проект от най-висок клас, създаден да се превърне в новата визитна картичка на модерна София. Извисяващи се над града, две емблематични сгради комбинират изцяло остъклени фасади, елегантни линии и впечатляваща вертикална динамика, които създават усещането за",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-82111-apartamenti-za-prodajba-v-sofiya.html,,Магдалена Тошева,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.526629
от130 000€,SYNERA Residence - най-новият комплекс в кв. Манастирски ливади - Изток,"гр. София,кв. ""Манастирски ливади""","(2 492- 3 382€/м2)(4 873,93- 6 614,62лв./м2)Площ: 52.17 - 208.03 м2","Synera Residence – дом, където динамичният градски начин на живот среща красотата и спокойствието на Витоша. Разположен в кв. Манастирски ливади – Изток, този проект ви дава възможността да живеете само на минути от центъра на София, без да се отказвате от свежия въздух и",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-87185-apartamenti-za-prodajba-v-sofiya.html,,инж. Даниела Тотева,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.530202
от98 538€,"Нов ексклузивен жилищен проект в София – Corner Park, кв. Сухата река","гр. София,кв. ""Сухата река""","(1 850- 2 500€/м2)(3 618,29- 4 889,58лв./м2)Площ: 44.79 - 249.28 м2","Представяме ви Corner Park – нов ексклузивен жилищен комплекс в кв. Сухата река, разположен в един от най-перспективните райони на София, над гара Подуяне и на пешеходно разстояние от бул. „Мадрид“ и бул. „Ситняково“.

Проектът съчетава модерен градски дизайн, висок стандарт на",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-87778-apartamenti-za-prodajba-v-sofiya.html,,Иван Каменов,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.533706
от134 500€,Стилен нов проект в Малинова долина – модерно жилище в приятна жилищна зона,"гр. София,кв. ""Малинова долина""","(1 683- 2 200€/м2)(3 291,66- 4 302,83лв./м2)Площ: 67.03 - 143.95 м2","Твоят нов дом в една от най-перспективните жилищни зони на София – Малинова долина. Просторен, функционален, изцяло ориентиран към нуждите и очакванията за комфорт и сигурност на модерния човек в столицата.

С удоволствие ви представяме най-новото бижу в динамично развиващия се",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-87833-apartamenti-za-prodajba-v-sofiya.html,,Магдалена Цоклинова,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.537186
от234 253€,Нова сграда със само 16 апартамента в кв. Манастирски ливади – изток,"гр. София,кв. ""Манастирски ливади""","(2 045€/м2)(3 999,99лв./м2)Площ: 114.54 - 186.86 м2","Светли и просторни апартаменти в нов, жилищен проект, намиращ се в престижния квартал „Манастирски ливади-изток“. Сградата ще се отличава с елегантна архитектура, модерна фасада, качествено изпълнение, бърз достъп до центъра на града. Комуникативен район с добра инфраструктура, с",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-80045-apartamenti-za-prodajba-v-sofiya.html,,Иванка Стойкова,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.540481
от210 000€,Луксозен комплекс от две сгради Green View Apartments в кв. Княжево - с АКТ 16,"гр. София,кв. ""Княжево""","(1 860- 3 331€/м2)(3 637,84- 6 514,87лв./м2)Площ: 68.07 - 268.82 м2","Търсите жилище от висок клас с удобна локация в столицата, даваща възможност за бърз достъп до централните части на града, но и да се насладите на спокойствието и зеленината на планината? Имаме удоволствието да ви предложим за продажба апартаменти ново строителство в комплекс от",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-80315-apartamenti-za-prodajba-v-sofiya.html,,Иванка Стойкова,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.543927
от136 000€,Reina Sofia Residence - висок клас сграда енергиен клас А близо до Зоопарк София и Ловен парк,"гр. София,кв. ""Кръстова вада""","(2 879- 4 189€/м2)(5 630,83- 8 192,97лв./м2)Площ: 47.24 - 139.88 м2","Топ локация с изглед към Витоша и бърз достъп до удобен транспорт, спортни центрове, търговски център, болници, паркове, училища и др. Сградата е решена 11 етажа с уникални апартаменти в 3 типа - двустаен, тристаен и четиристаен. За покупка се предлагат последните два магазина на",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-77806-apartamenti-za-prodajba-v-sofiya.html,,Магдалена Тошева,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.547332
от310 000€,Нов жилищен проект в кв. Малинова долина  с Акт 14,"гр. София,кв. ""Малинова долина""","(1 863- 2 042€/м2)(3 643,71- 3 993,80лв./м2)Площ: 151.80 - 191.62 м2","Не пропускайте възможността да изберете имот с изключително качество в Малинова долина - сграда Lux Building 9, в процес на изграждане!

Последни апартаменти, гаражи и паркоместа!
 
Представяме на вашето внимание проект със стилен дизайн в кв. Малинова долина, проектирани в",https://www.bulgarianproperties.bg/imoti-apartamenti/imot-85403-apartamenti-za-prodajba-v-sofiya.html,,Магдалена Цоклинова,2,0,,https://www.bulgarianproperties.bg/Search/index.php?stown_text1769199733=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769199733=&stip_text1769199733=&minarea=&maxprice=&skeyword=&sadx=1&sady=&spredlog=innear&scntr=1&from_search_form=normal&c=%D2%DA%D0%D1%C8&stown=4732&stip%5B%5D=10,2026-02-01T06:13:57.550769
