site,search_url,scraped_at,details_url,agency_url,price_text,location_text,title,description,area_text,floor_text,total_floors_text,agency_name,num_photos,ref_no,total_offers,raw_link_description
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-02-12 06:20:51.092901,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89281-dvustaen-apartament-pod-naem-v-sofiya.html,,1 500€/месец,"гр. София,кв. ""Център""",Голям двустаен апартамент под наем в центъра на София,"Наем, Предлагаме под наем просторен и изключително функционален двустаен апартамент, разположен в центъра на София, на една от най-предпочитаните и комуникативни локации в столицата – в непосредствена близост до метростанция „Театрална“, парк „Заимов“ и Докторската градина. Районът",115.70 кв.м,4,,Николай Попов,2,89281,75,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-02-12 06:20:51.092901,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89283-dvustaen-apartament-pod-naem-v-sofiya.html,,640€/месец,"гр. София,кв. ""Зона Б-19""",Двустаен апартамент под наем в зона Б-19 до метро и парк,"Наем, Предлагаме под наем добре разположен и функционален двустаен апартамент в зона Б-19 – район с отлична градска инфраструктура и бърз достъп до ключови точки на столицата. Имотът се намира в близост до парк, болница, ул. „Цар Симеон“, бул. „Сливница“, бул. „Инж. Иван Иванов“ и бул.",67.00 кв.м,3,,Иван Каменов,2,89283,75,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-02-12 06:20:51.092901,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-88128-tristaen-apartament-pod-naem-v-sofiya.html,,750€/месец,"гр. София,кв. ""Карпузица""",Просторен и стилно обзаведен тристаен апартамент под наем в кв. Карпузица,"Наем, Представяме ви просторен и стилно обзаведен тристаен апартамент под наем, разположен в предпочитания квартал Карпузица. Жилището е с площ от 110 кв. м., намира се на втори етаж в модерна тухлена сграда от 2019 г., с асансьор и контролиран достъп, което осигурява спокойна и",110.00 кв.м,2,,Иванка Стойкова,2,88128,75,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-02-12 06:20:51.092901,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-75337-dvustaen-apartament-pod-naem-v-sofiya.html,,420€/месец,"гр. София,кв. ""Бояна""",Компактен двустаен апартамент в кв. Бояна,"Наем, Компактен двустаен апартамент под наем, ситуиран в кв. Бояна, непосредствено до парка на Национален исторически музей – удобно отдалечен от Околовръстен път, но с бърза връзка към ключовия възел. 

Имотът е с площ 52 кв.м. и благоприятно южно изложение, намира се на последен",52.00 кв.м,3,,Иванка Стойкова,2,75337,75,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-02-12 06:20:51.092901,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89272-tristaen-apartament-pod-naem-v-sofiya.html,,800€/месец,"гр. София,кв. ""Манастирски ливади""",Тристаен апартамент под наем в Манастирски ливади,"Наем, Представяме на вашето внимание просторен тристаен апартамент под наем, разположен в квартал Манастирски ливади, една от най-желаните и бързо развиващи се локации на столицата. Жилището предлага площ от 100 кв.м., разпределени изключително функционално и удобно.

Апартаментът се",100.00 кв.м,1,,Иван Каменов,2,89272,75,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-02-12 06:20:51.092901,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89231-dvustaen-apartament-pod-naem-v-sofiya.html,,700€/месец,"гр. София,кв. ""Кръстова вада""",Готов за нанасяне двустаен апартамент под наем във Vitosha View,"Наем, Имотът разполага с отлично разпределение, светли и функционални помещения. Напълно обзаведен и оборудван. Сградата се намира на пешеходно разстояние до магазин Фантастико в квартал Драгалевци, с лесен достъп до Околовръстния път на столицата, търговски център „Ring Mall“, мебелен",65.00 кв.м,3,,Иван Каменов,2,89231,75,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-02-12 06:20:51.092901,https://www.bulgarianproperties.bg/imoti-dvustayni-apartamenti/imot-89184-dvustaen-apartament-pod-naem-v-sofiya.html,,800€/месец,"гр. София,кв. ""Бояна""",Стилен и светъл двустаен апартамент под наем с южно изложение в кв. Бояна,"Наем, -6%, Елегантен и изключително светъл двустаен апартамент, разположен в един от най-престижните и предпочитани квартали на София – Бояна. Районът е известен със своята тиха атмосфера, чист въздух и близостта си до природата, като същевременно осигурява удобен достъп до централните",60.00 кв.м,2,,Савина Божилова,2,89184,75,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-02-12 06:20:51.092901,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89206-tristaen-apartament-pod-naem-v-sofiya.html,,700€/месец,"гр. София,кв. ""Център""",Готов за нанасяне тристаен апартамент в центъра на София,"Наем, Отдава се под наем просторен и напълно обзаведен тристаен апартамент с изключително атрактивна локация в самото сърце на столицата, в района на ул. „Пиротска“. Имотът е разположен в непосредствена близост до ключови метростанции и основни градски артерии, което осигурява бърз и",96.76 кв.м,3,,Кирил Календерски,2,89206,75,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-02-12 06:20:51.092901,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89196-tristaen-apartament-pod-naem-v-sofiya.html,,899€/месец,"гр. София,кв. ""Банишора""",Просторен обзаведен апартамент в нова тухлена сграда,"Наем, Тристаен апартамент под наем в централната градска част на столицата. Жилището се намира в нова тухлена сграда, разположена между ул. „Опълченска“ и бул. „Христо Ботев“, на тиха и добре уредена локация в централната градска част. Апартаментът е след основен ремонт и се предлага",125.00 кв.м,3,,Иван Каменов,2,89196,75,
bulgarianproperties,https://www.bulgarianproperties.bg/Search/index.php?sady=2&stown_text1769203711=%E3%F0.+%D1%EE%F4%E8%FF&squarter_text1769203711=&stop_text1769203711=&spredlog=in&sdevv_text1769203711=&stip%5B%5D=10&minprice=&maxprice=&minarea=&mingarden=&minbedrom=&skeyword=&sref_no=&c=Search&from_search_form=advanced&stown=4732,2026-02-12 06:20:51.092901,https://www.bulgarianproperties.bg/imoti-tristayni-apartamenti/imot-89199-tristaen-apartament-pod-naem-v-sofiya.html,,1 050€/месец,"гр. София,кв. ""Бъкстон""",Чисто нов тристаен апартамент в кв. Бъкстон,"Наем, Предлагаме под наем напълно нов и стилно обзаведен тристаен апартамент, разположен в съвременна жилищна сграда от 2025 г. на ул. Казбек в кв. Бъкстон – район с отлично развита инфраструктура, удобен обществен транспорт и бърз достъп до ключови точки на София.

Жилището с обща",101.26 кв.м,5,,Николай Попов,2,89199,75,
